HCH_011_048_000212	歷官國子助教，三爲《五經》博士，遷尚書祠部郎。
HCH_011_048_000213	出爲海鹽、山陰二縣令。
HCH_011_048_000214	僉儒者，不長政術，在縣無績。
HCH_011_048_000215	太清亂，卒於家。
HCH_011_048_000216	子俶玄，頗涉文學，官至太學博士。
HCH_011_048_000217	僉兄子元素，又善《三禮》，有盛名，早卒。
HCH_011_048_000218	盧廣，范陽涿人，自云晉司空從事中郎諶之後也。
HCH_011_048_000219	諶沒死冉閔之亂，晉中原舊族，諶有後焉。
HCH_011_048_000220	廣少明經，有儒術。
HCH_011_048_000221	天監中歸國。
HCH_011_048_000222	初拜員外散騎侍郎，出爲始安太守，坐事免。
HCH_011_048_000223	頃之，起爲折沖將軍，配千兵北伐，還拜步兵校尉，兼國子博士，遍講《五經》。
HCH_011_048_000224	時北來人，儒學者有崔靈恩、孫詳、蔣顯，並聚徒講說，而音辭鄙拙；惟廣言論清雅，不類北人。
HCH_011_048_000225	僕射徐勉，兼通經術，深相賞好。
HCH_011_048_000226	尋遷員外散騎常侍，博士如故。
HCH_011_048_000227	出爲信武桂陽嗣王長史、尋陽太守。
HCH_011_048_000228	又爲武陵王長史，太守如故，卒官。
HCH_011_048_000229	沈峻字士嵩，吳興武康人。
HCH_011_048_000230	家世農夫，至峻好學，與舅太史叔明師事宗人沈麟士門下積年。
HCH_011_048_000231	晝夜自課，時或睡寐，輒以杖自擊，其篤志如此。
HCH_011_048_000232	麟士卒後，乃出都，遍遊講肆，遂博通《五經》，尤長《三禮》。
HCH_011_048_000233	初爲王國中尉，稍遷侍郎，並兼國子助教。
HCH_011_048_000234	時吏部郎陸倕與僕射徐勉書薦峻曰：「《五經》博士庾季達須換，計公家必欲詳擇其人。凡聖賢可講之書，必以《周官》立義，則《周官》一書，實爲羣經源本。此學不傳，多歷年世，北人孫詳、蔣顯亦經聽習，而音革楚、夏，故學徒不至；惟助教沈峻，特精此書。比日時開講肆，羣儒劉岩、沈宏、沈熊之徒，並執經下坐，北面受業，莫不嘆服，人無間言。第謂宜卽用此人，命其專此一學，周而復始。使聖人正典，廢而更興；累世絕業，傳於學者。」
HCH_011_048_000235	勉從之，奏峻兼《五經》博士。
HCH_011_048_000236	於館講授，聽者常數百人。
HCH_011_048_000237	出爲華容令，還除員外散騎侍郎，復兼《五經》博士。
HCH_011_048_000238	時中書舍人賀琛奉敕撰《梁官》，乃啓峻及孔子袪補西省學士，助撰錄。
HCH_011_048_000239	書成，入兼中書通事舍人。
HCH_011_048_000240	出爲武康令，卒官。
HCH_011_048_000241	子文阿，傳父業，尤明《左氏傳》。
HCH_011_048_000242	太清中，自國子助教爲《五經》博士。
HCH_011_048_000243	傳峻業者，又有吳郡張及、會稽孔子雲，官皆至《五經》博士、尚書祠部郎。
HCH_011_048_000244	太史叔明，吳興烏程人，吳太史慈後也。
HCH_011_048_000245	少善《莊》、《老》，兼治《孝經》、《禮記》，其三玄尤精解，當世冠絕，每講說，聽者常五百餘人。
HCH_011_048_000246	歷官國子助教。
HCH_011_048_000247	邵陵王綸好其學，及出爲江州，攜叔明之鎮。
HCH_011_048_000248	王遷郢州，又隨府，所至輒講授，江外人士皆傳其學焉。
HCH_011_048_000249	大同十三年，卒，時年七十三。
HCH_011_048_000250	孔子袪，會稽山陰人。
HCH_011_048_000251	少孤貧好學，耕耘樵采，常懷書自隨，投閑則誦讀。
HCH_011_048_000252	勤苦自勵，遂通經術，尤明《古文尚書》。
HCH_011_048_000253	初爲長沙嗣王侍郎，兼國子助教，講《尚書》四十遍，聽者常數百人。
HCH_011_048_000254	中書舍人賀琛受敕撰《梁官》，啓子袪爲西省學士，助撰錄。
HCH_011_048_000255	書成，兼司文侍郎，不就。
HCH_011_048_000256	久之兼主客郎、舍人，學士如故。
HCH_011_048_000257	累遷湘東王國侍郎、常侍、員外散騎侍郎，又云麾廬江公記室參軍，轉兼中書通事舍人。
HCH_011_048_000258	尋遷步兵校尉，舍人如故。
HCH_011_048_000259	高祖撰《五經講疏》及《孔子正言》，專使子袪檢閱羣書，以爲義證。
HCH_011_048_000260	事竟，敕子袪與右衛朱异、左丞賀琛於士林館遞日執經。
HCH_011_048_000261	累遷通直正員郎，舍人如故。
HCH_011_048_000262	中大同元年，卒官，時年五十一。
HCH_011_048_000263	子袪凡著《尚書義》二十卷，《集注尚書》三十卷，續朱异《集注周易》一百卷，續何承天《集禮論》一百五十卷。
HCH_011_048_000264	皇侃，吳郡人，青州刺史皇象九世孫也。
HCH_011_048_000265	侃少好學，師事賀瑒，精力專門，盡通其業，尤明《三禮》、《孝經》、《論語》。
HCH_011_048_000266	起家兼國子助教，于學講說，聽者數百人。
HCH_011_048_000267	撰《禮記講疏》五十卷，書成奏上，詔付秘閣。
HCH_011_048_000268	頃之，召入壽光殿講《禮記義》，高祖善之，拜員外散騎侍郎，兼助教如故。
HCH_011_048_000269	性至孝，常日限誦《孝經》二十遍，以擬《觀世音經》。
HCH_011_048_000270	丁母憂，解職還鄉里。
HCH_011_048_000271	平西邵陵王欽其學，厚禮迎之。
HCH_011_048_000272	侃旣至，因感心疾，大同十一年，卒於夏首，時年五十八。
HCH_011_048_000273	所撰《論語義》十卷，與《禮記義》並見重於世，學者傳焉。
HCH_011_048_000274	陳吏部尚書姚察曰：昔叔孫通講論馬上，桓榮精力凶荒；旣逢平定，自致光寵；若夫崔、伏、何、嚴互有焉。
HCH_011_048_000275	曼容、佟之講道于齊季，不爲時改；賀瑒、嚴植之之徒，遭梁之崇儒重道，咸至高官，稽古之力，諸子各盡之矣。
HCH_011_048_000276	范縝墨絰僥倖，不遂其志，宜哉。
HCH_011_048_000277	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
