HCH_010_105_000116	人望使民出錢，官自募役，時以為便。
HCH_010_105_000117	久之請老，以守司徒、兼侍中致仕。
HCH_010_105_000118	卒，謚曰文獻。
HCH_010_105_000119	人望有操守，喜怒不形，未嘗附麗求進。
HCH_010_105_000120	初除執政，家人賀之。
HCH_010_105_000121	人望愀然曰：「得勿喜，失勿憂。抗之甚高，擠之必酷。」
HCH_010_105_000122	其畏慎如此。
HCH_010_105_000123	耶律鐸魯斡，字乙辛隱，季父房之後。
HCH_010_105_000124	廉約重義。
HCH_010_105_000125	重熙末，給事誥院。
HCH_010_105_000126	咸雍中，累遷同知南京留守事。
HCH_010_105_000127	被召，以部民懇留，乃賜詔褒獎。
HCH_010_105_000128	大康初，改西南面招討使，為北面林牙，遷左夷離畢。
HCH_010_105_000129	大安五年，拜南府宰相。
HCH_010_105_000130	壽隆初，致仕，卒。
HCH_010_105_000131	鐸魯斡所至有聲，吏民畏愛。
HCH_010_105_000132	及退居鄉里，子普古為烏古部節度使，遣人來迎。
HCH_010_105_000133	既至，見積委甚富。
HCH_010_105_000134	謂普古曰：「辭親入仕，當以裕國安民為事。枉道欺君，以茍貨利，非吾誌也。」
HCH_010_105_000135	命駕而歸。
HCH_010_105_000136	普古後為盜所殺。
HCH_010_105_000137	楊遵勖，字益誡，涿州范陽人。
HCH_010_105_000138	重熙十九年登進士第，調儒州軍事判官，累遷樞密院副承旨。
HCH_010_105_000139	咸雍三年，為宋國賀正使；還，遷都承旨。
HCH_010_105_000140	天下之事，叢於樞府，簿書填委。
HCH_010_105_000141	遵勖一目五行俱下，剖決如流，敷奏詳敏。
HCH_010_105_000142	上嘉之。
HCH_010_105_000143	奉詔征戶部逋錢，得四十餘萬緡，拜樞密直學士，改樞密副使。
HCH_010_105_000144	大康初，參知政事，徙知樞密院事，兼門下侍郎、平章事，拜南府宰相。
HCH_010_105_000145	耶律乙辛誣皇太子，詔遵勖與燕哥按其事，遵勖不敢正言，時議短之。
HCH_010_105_000146	尋拜北府宰相。
HCH_010_105_000147	大安中暴卒，年五十六。
HCH_010_105_000148	贈守司空，謚康懿。
HCH_010_105_000149	子晦，終昭文館直學士。
HCH_010_105_000150	王棠，涿州新城人。
HCH_010_105_000151	博古善屬文。
HCH_010_105_000152	重熙十五年擢進士。
HCH_010_105_000153	鄉貢、禮部、廷試對皆第一。
HCH_010_105_000154	累遷上京鹽鐵使。
HCH_010_105_000155	或誣以賄，無狀，釋之。
HCH_010_105_000156	遷東京戶部使。
HCH_010_105_000157	大康二年，遼東饑，民多死，請賑恤，從之。
HCH_010_105_000158	三年，入為樞密副使，拜南府宰相。
HCH_010_105_000159	大安末，卒。
HCH_010_105_000160	棠練達朝政，臨事不怠，在政府修明法度，有聲。
HCH_010_105_000161	論曰：孟子謂「民為貴，社稷次之」，司牧者當如何以盡心。
HCH_010_105_000162	公鼎奏罷完堤役以息民，拒公主假貸以守法，單騎行郡，化盜為良，庶幾召、杜之美。
HCH_010_105_000163	文知易州，雨暍應禱，蝗不為災。
HCH_010_105_000164	人望為民不避囚系，判度支，公私兼裕，亦卓乎未易及已。
HCH_010_105_000165	鐸魯斡吏畏民愛，楊遵勖決事如流，真能吏哉！
HCH_010_105_000166	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
