HCH_009_019_000124	十九年四月戊申，有事於太廟，攝行祀事。
HCH_009_019_000125	丁巳，詹事烏林答願入謝，帝命取襆頭腰帶，官屬請曰：「此見宰相師傅之禮也。」
HCH_009_019_000126	帝曰：「願事陛下久，以此加敬耳。」
HCH_009_019_000127	皆曰：「非臣等所及。」
HCH_009_019_000128	十一月，改葬明德皇后于坤厚陵，帝徒行挽靈車。
HCH_009_019_000129	遇大風雪，左右進雨具，帝卻之。
HCH_009_019_000130	比至頓所，衣盡沾濕，觀者無不下淚。
HCH_009_019_000131	海陵雖貶黜為庶人，宗幹尚稱明肅皇帝，議者以為未盡，帝具表奏論。
HCH_009_019_000132	世宗嘉納之。
HCH_009_019_000133	於是宗幹削去帝號，降封遼王。
HCH_009_019_000134	二十四年，世宗將幸上京，詔帝守國，作「守國之寶」以授之。
HCH_009_019_000135	其遣使、祭享、五品以上官及事利害重者遣使馳奏，六品以下官、其餘常事，並聽裁決。
HCH_009_019_000136	每三日一次於集賢殿受尚書省啟事。
HCH_009_019_000137	京朝官遇朔望具朝服問侯。
HCH_009_019_000138	車駕在路，每二十日一遣使問起居。
HCH_009_019_000139	已達上京，每三十日一問起居。
HCH_009_019_000140	世宗曰：「今巡幸或能留一二年，以汝守國。譬之農家種田，商人營利，但能不墜父業。即為克家子也。」
HCH_009_019_000141	帝對曰：「臣在東宮二十餘年，過失甚多，陛下以明德皇后之故未嘗見責。臣誠愚昧，不克負荷，乞備扈從。」
HCH_009_019_000142	世宗曰：「凡人養子，皆望投老得力。朕留太尉、左右丞、參政輔汝，彼皆國家舊人，可與商議。且政事無難，但用心公正，無納讒邪，一月之後，政事自熟。」
HCH_009_019_000143	帝流涕堅辭，左右為之感動。
HCH_009_019_000144	三月，世宗如上京，帝守國留中都。
HCH_009_019_000145	初，帝在東宮，或攜中侍步于芳苑。
HCH_009_019_000146	中侍出入禁中，未嘗限阻。
HCH_009_019_000147	此輩見帝守國，各為得意，帝知之，謂諸中侍曰：「我向在東宮，不親國政，日與汝輩語話。今即守國，汝等有召命然後得入。」
HCH_009_019_000148	五月，世宗至上京，賜敕書曰：「朕以前月八日到遼陽，此月二日達上京，翌日祀慶元廟。省方觀民，古之制也。汝守國任重，夏暑方熾，益當自愛，無貽朕憂。」
HCH_009_019_000149	帝謂徒單克寧曰：「車駕巡幸，以國事見屬。刑名最重，人之死生系焉。凡有可議，當盡至公。比主上還都，勿有廢事。」
HCH_009_019_000150	自是，凡啟稟刑名，帝自披閱，召都事委曲折正，移晷忘倦，或賜之食。
HCH_009_019_000151	近侍報瑤池位蓮開，當設宴。
HCH_009_019_000152	帝曰：「聖上東巡，命我守國，何敢宴遊廢事？采致數花足矣。」
HCH_009_019_000153	七月，遣子金源郡王麻達葛奉表問起居，請世宗還都。
HCH_009_019_000154	十一月壬寅，帝冬獵。
HCH_009_019_000155	辛亥，還都。
HCH_009_019_000156	二十五年正月乙酉朔，免群臣賀禮。
HCH_009_019_000157	帝自守國，深懷謙抑，宮臣不庭拜，啟事時不侍立，免朔望禮。
