HCH_012_125_000111	遇春先下保定、中山、真定，馮勝、湯和下懷慶，度太行，取澤、潞，達以大軍繼之。
HCH_012_125_000112	時擴廓帖木兒方引兵出雁門，將由居庸以攻北平。
HCH_012_125_000113	達聞之，與諸將謀曰：「擴廓遠出，太原必虛。北平有孫都督在，足以禦之。今乘敵不備，直搗太原，使進不得戰，退無所守，所謂批亢搗虛者也。彼若西還自救，此成擒耳。」
HCH_012_125_000114	諸將皆曰：「善。」
HCH_012_125_000115	乃引兵趨太原。
HCH_012_125_000116	擴廓至保安，果還救。
HCH_012_125_000117	達選精兵夜襲其營。
HCH_012_125_000118	擴廓以十八騎遁去。
HCH_012_125_000119	盡降其眾，遂克太原。
HCH_012_125_000120	乘勢收大同，分兵徇未下州縣。
HCH_012_125_000121	山西悉平。
HCH_012_125_000122	二年引兵西渡河。
HCH_012_125_000123	至鹿台，張思道遁，遂克奉元。
HCH_012_125_000124	時遇春下鳳翔，李思齊走臨洮，達會諸將議所向。
HCH_012_125_000125	皆曰：「張思道之才不如李思齊，而慶陽易於臨洮，請先慶陽。」
HCH_012_125_000126	達曰：「不然，慶陽城險而兵精，猝未易拔也。臨洮北界河、湟，西控羌、戎，得之，其人足備戰鬥，物產足佐軍儲。蹙以大兵，思齊不走，則束手縛矣。臨洮既克，于旁郡何有？」
HCH_012_125_000127	遂渡隴，克秦州，下伏羌、寧遠，入鞏昌，遣右副將軍馮勝逼臨洮，思齊果不戰降。
HCH_012_125_000128	分兵克蘭州，襲走豫王，盡收其部落輜重。
HCH_012_125_000129	還出蕭關，下平涼。
HCH_012_125_000130	思道走寧夏，為擴廓所執，其弟良臣以慶陽降。
HCH_012_125_000131	達遣薛顯受之。
HCH_012_125_000132	良臣復叛，夜出兵襲傷顯。
HCH_012_125_000133	達督軍圍之。
HCH_012_125_000134	擴廓遣將來援，逆擊敗去，遂拔慶陽。
HCH_012_125_000135	良臣父子投于井，引出斬之。
HCH_012_125_000136	盡定陝西地。
HCH_012_125_000137	詔達班師，賜白金文綺甚厚。
HCH_012_125_000138	將論功大封，會擴廓攻蘭州，殺指揮使，副將軍遇春已卒，三年春帝復以達為大將軍，平章李文忠為副將軍，分道出兵。
HCH_012_125_000139	達自潼關出西道，搗定西，取擴廓。
HCH_012_125_000140	文忠自居庸出東道，絕大漠，追元嗣主。
HCH_012_125_000141	達至定西，擴廓退屯沈兒峪，進軍薄之。
HCH_012_125_000142	隔溝而壘，日數交。
HCH_012_125_000143	擴廓遣精兵從間道劫東南壘，左丞胡德濟倉卒失措，軍驚擾，達帥兵擊卻之。
HCH_012_125_000144	德濟，大海子也，達以其功臣子，械送之京師，而斬其下指揮等數人以徇。
HCH_012_125_000145	明日，整兵奪溝，殊死戰，大破擴廓兵。
HCH_012_125_000146	擒郯王、文濟王及國公、平章以下文武僚屬千八百六十餘人，將士八萬四千五百餘人，馬駝雜畜以巨萬計。
HCH_012_125_000147	擴廓僅挾妻子數人奔和林。
HCH_012_125_000148	德濟至京，帝釋之，而以書諭達：「將軍效衛青不斬蘇建耳，獨不見穰苴之待莊賈乎？將軍誅之，則已。今下廷議，吾且念其信州、諸暨功，不忍加誅。繼自今，將軍毋事姑息。」
HCH_012_125_000149	達既破擴廓，即帥師自徽州南一百八渡至略陽，克沔州，入連雲棧，攻興元，取之。
HCH_012_125_000150	而副將軍文忠亦克應昌，獲元嫡孫妃主將相。
HCH_012_125_000151	先後露布聞，詔振旅還京師。
HCH_012_125_000152	帝迎勞于龍江。
HCH_012_125_000153	乃下詔大封功臣，授達開國輔運推誠宣力武臣，特進光祿大夫、左柱國、太傅、中書右丞相參軍國事，改封魏國公，歲祿五千石，予世券。
HCH_012_125_000154	明年帥盛熙等赴北平練軍馬，修城池，徙山后軍民實諸衛府，置二百五十四屯，墾田一千三百餘頃。
HCH_012_125_000155	其冬，召還。
HCH_012_125_000156	五年復大發兵征擴廓。
HCH_012_125_000157	達以征虜大將軍出中道，左副將軍李文忠出東道，征西將軍馮勝出西道，各將五萬騎出塞。
HCH_012_125_000158	達遣都督藍玉擊敗擴廓於土刺河。
HCH_012_125_000159	擴廓與賀宗哲合兵力拒，達戰不利，死者數萬人。
HCH_012_125_000160	帝以達功大，弗問也。
HCH_012_125_000161	時文忠軍亦不利，引還。
HCH_012_125_000162	獨勝至西涼獲全勝，坐匿駝馬，賞不行，事具《文忠》、《勝傳》。
HCH_012_125_000163	明年，達復帥諸將行邊，破敵於答剌海，還軍北平，留三年而歸。
HCH_012_125_000164	十四年，復帥湯和等討乃兒不花。
HCH_012_125_000165	已，復還鎮。
HCH_012_125_000166	每歲春出，冬暮召還，以為常。
HCH_012_125_000167	還輒上將印，賜休沐，宴見歡飲，有布衣兄弟稱，而達愈恭慎。
HCH_012_125_000168	帝嘗從容言：「徐兄功大，未有甯居，可賜以舊邸。」
HCH_012_125_000169	舊邸者，太祖為吳王時所居也。
HCH_012_125_000170	達固辭。
HCH_012_125_000171	一日，帝與達之邸，強飲之醉，而蒙之被，舁臥正寢。
HCH_012_125_000172	達醒，驚趨下階，俯伏呼死罪。
HCH_012_125_000173	帝覘之，大悅。
HCH_012_125_000174	乃命有司即舊邸前治甲第，表其坊曰「大功」。
HCH_012_125_000175	胡惟庸為丞相，欲結好于達，達薄其人，不答，則賂達閽者福壽使圖達。
HCH_012_125_000176	福壽發之，達亦不問；惟時時為帝言惟庸不任相。
HCH_012_125_000177	後果敗，帝益重達。
HCH_012_125_000178	十七年，太陰犯上將，帝心惡之。
HCH_012_125_000179	達在北平病背疽，稍愈，帝遣達長子輝祖齎敕往勞，尋召還。
HCH_012_125_000180	明年二月，病篤，遂卒，年五十四。
HCH_012_125_000181	帝為輟朝，臨喪悲慟不已。
HCH_012_125_000182	追封中山王，諡武寧，贈三世皆王爵。
HCH_012_125_000183	賜葬鐘山之陰，禦制神道碑文。
HCH_012_125_000184	配享太廟，肖像功臣廟，位皆第一。
HCH_012_125_000185	達言簡慮精。
HCH_012_125_000186	在軍，令出不二。
HCH_012_125_000187	諸將奉持凜凜，而帝前恭謹如不能言。
HCH_012_125_000188	善拊循，與下同甘苦，士無不感恩效死，以故所向克捷。
HCH_012_125_000189	尤嚴戢部伍，所平大都二，省會三，郡邑百數，閭井宴然，民不苦兵。
HCH_012_125_000190	歸朝之日，單車就舍，延禮儒生，談議終日，雍雍如也。
HCH_012_125_000191	帝嘗稱之曰：「受命而出，成功而旋，不矜不伐，婦女無所愛，財寶無所取，中正無疵，昭明乎日月，大將軍一人而已。」
HCH_012_125_000192	子四：輝祖、添福、膺緒、增壽。
HCH_012_125_000193	長女為文皇帝後，次代王妃，次安王妃。
HCH_012_125_000194	輝祖，初名允恭，長八尺五寸，有才氣，以勳衛署左軍都督府事。
HCH_012_125_000195	達薨，嗣爵。
HCH_012_125_000196	以避皇太孫諱，賜今名。
HCH_012_125_000197	數出練兵陝西、北平、山東、河南。
HCH_012_125_000198	元將阿魯帖木兒隸燕府，有異志，捕誅之。
HCH_012_125_000199	還領中軍都督府。
HCH_012_125_000200	建文初，加太子太傅。
HCH_012_125_000201	燕王子高煦，輝祖甥也。
HCH_012_125_000202	王將起兵，高煦方留京師，竊其善馬而逃。
HCH_012_125_000203	輝祖大驚，遣人追之，不及，乃以聞，遂見親信。
HCH_012_125_000204	久之，命帥師援山東，敗燕兵于齊眉山。
HCH_012_125_000205	燕人大懼。
HCH_012_125_000206	俄被詔還，諸將勢孤，遂相次敗績。
HCH_012_125_000207	及燕兵渡江，輝祖猶引兵力戰。
HCH_012_125_000208	成祖入京師，輝祖獨守父祠弗迎。
HCH_012_125_000209	於是下吏命供罪狀，惟書其父開國勳及券中免死語。
HCH_012_125_000210	成祖大怒，削爵幽之私第。
HCH_012_125_000211	永樂五年卒。
HCH_012_125_000212	萬曆中錄建文忠臣，廟祀南都，以輝祖居首。
HCH_012_125_000213	後追贈太師，諡忠貞。
HCH_012_125_000214	輝祖死逾月，成祖詔群臣：「輝祖與齊、黃輩謀危社稷。朕念中山王有大功，曲赦之。今輝祖死，中山王不可無後。」
HCH_012_125_000215	遂命輝祖長子欽嗣。
HCH_012_125_000216	九年，欽與成國公勇、定國公景昌、永康侯忠等，俱以縱恣為言官所劾。
HCH_012_125_000217	帝宥勇等，而令欽歸就學。
HCH_012_125_000218	十九年來朝，遽辭歸。
HCH_012_125_000219	帝怒，罷為民。
HCH_012_125_000220	仁宗即位，復故爵，傳子顯宗、承宗。
HCH_012_125_000221	承宗，天順初，守備南京，兼領中軍府，公廉恤士有賢聲。
HCH_012_125_000222	卒，子俌嗣。
HCH_012_125_000223	俌字公輔，持重，善容止。
HCH_012_125_000224	南京守備體最隆，懷柔伯施鏗以協同守備位俌上。
HCH_012_125_000225	俌不平，言於朝，詔以爵為序，著為令。
HCH_012_125_000226	弘治十二年，給事中胡易、御史胡獻以災異陳言下獄，俌上章救之。
HCH_012_125_000227	正德中，上書諫遊畋，語切直。
HCH_012_125_000228	嘗與無錫民爭田，賄劉瑾，為時所譏。
HCH_012_125_000229	俌嗣五十二年而卒，贈太傅，諡莊靖。
HCH_012_125_000230	孫鵬舉嗣，嬖其妾，冒封夫人，欲立其子為嫡，坐奪祿。
HCH_012_125_000231	傳子邦瑞，孫維志，曾孫弘基。
HCH_012_125_000232	自承宗至弘基六世，皆守備南京，領軍府事。
HCH_012_125_000233	弘基累加太傅，卒，諡莊武，子文爵嗣。
HCH_012_125_000234	明亡，爵除。
HCH_012_125_000235	增壽以父任仕至左都督。
HCH_012_125_000236	建文帝疑燕王反，嘗以問增壽。
HCH_012_125_000237	增壽頓首曰：「燕王先帝同氣，富貴已極，何故反！」
HCH_012_125_000238	及燕師起，數以京師虛實輸于燕。
HCH_012_125_000239	帝覺之，未及問。
HCH_012_125_000240	比燕兵渡江，帝召增壽詰之，不對，手劍斬之殿廡下。
HCH_012_125_000241	王入，撫屍哭。
HCH_012_125_000242	即位，追封武陽侯，諡忠湣。
HCH_012_125_000243	尋進封定國公，祿二千五百石。
HCH_012_125_000244	以其子景昌嗣。
HCH_012_125_000245	驕縱，數被劾，成祖輒宥之。
HCH_012_125_000246	成祖崩，景昌坐居喪不出宿，奪冠服歲祿，已而復之。
HCH_012_125_000247	三傳至玄孫光祚，累典軍府，加太師，嗣四十五年卒，諡榮僖。
HCH_012_125_000248	傳子至孫文璧，萬曆中，領後軍府。
HCH_012_125_000249	以小心謹畏見親於帝，數代郊天，加太師。
HCH_012_125_000250	累上書請建儲，罷礦稅，釋逮系。
HCH_012_125_000251	嗣三十五年卒，諡康惠。
HCH_012_125_000252	再傳至曾孫允禎，崇禎末為流賊所殺。
HCH_012_125_000253	洪武諸功臣，惟達子孫有二公，分居兩京。
HCH_012_125_000254	魏國之後多賢，而累朝恩數，定國常倍之。
HCH_012_125_000255	嘉靖中詔裁恩澤世封，有言定國功弗稱者，竟弗奪也。
HCH_012_125_000256	添福早卒。
HCH_012_125_000257	膺緒，授尚寶司卿，累遷中軍都督僉事，奉朝請，世襲指揮使。
HCH_012_125_000258	常遇春，字伯仁，懷遠人。
HCH_012_125_000259	貌奇偉，勇力絕人，猿臂善射。
HCH_012_125_000260	初從劉聚為盜，察聚終無成，歸太祖于和陽。
HCH_012_125_000261	未至，困臥田間，夢神人被甲擁盾呼曰：「起起，主君來。」
HCH_012_125_000262	驚寤，而太祖適至，即迎拜。
HCH_012_125_000263	時至正十五年四月也。
HCH_012_125_000264	無何，自請為前鋒。
HCH_012_125_000265	太祖曰：「汝特饑來就食耳，吾安得汝留也。」
HCH_012_125_000266	遇春固請。
HCH_012_125_000267	太祖曰：「俟渡江，事我未晚也。」
HCH_012_125_000268	及兵薄牛渚磯，元兵陳磯上，舟距岸且三丈余，莫能登。
HCH_012_125_000269	遇春飛舸至，太祖麾之前。
HCH_012_125_000270	遇春應聲，奮戈直前。
HCH_012_125_000271	敵接其戈，乘勢躍而上，大呼跳蕩，元軍披靡。
HCH_012_125_000272	諸將乘之，遂拔採石，進取太平。
HCH_012_125_000273	授總管府先鋒，進總管都督。
HCH_012_125_000274	時將士妻子輜重皆在和州，元中丞蠻子海牙復以舟師襲據採石，道中梗。
HCH_012_125_000275	太祖自將攻之，遣遇春多張疑兵分敵勢。
HCH_012_125_000276	戰既合，遇春操輕舸，沖海牙舟為二。
HCH_012_125_000277	左右縱擊，大敗之，盡得其舟。
HCH_012_125_000278	江路復通。
HCH_012_125_000279	尋命守溧陽，從攻集慶，功最。
HCH_012_125_000280	從元帥徐達取鎮江，進取常州。
HCH_012_125_000281	吳兵圍達于牛塘，遇春往援，破解之，擒其將，進統軍大元帥。
HCH_012_125_000282	克常州，遷中翼大元帥。
HCH_012_125_000283	從達攻甯國，中流矢，裹創鬥，克之。
HCH_012_125_000284	別取馬駝沙，以舟師攻池州，下之，進行省都督馬步水軍大元帥。
HCH_012_125_000285	從取婺州，轉同僉樞密院事，守婺。
HCH_012_125_000286	移兵圍衢州，以奇兵突入南門甕城，毀其戰具，急攻之，遂下，得甲士萬人，進僉樞密院事。
HCH_012_125_000287	攻杭州，失利，召還應天。
HCH_012_125_000288	從達拔趙普勝之水寨，從守池州，大破漢兵于九華山下，語具《達傳》。
HCH_012_125_000289	友諒薄龍灣，遇春以五翼軍設伏，大破之，遂復太平，功最。
HCH_012_125_000290	太祖追友諒于江州，命遇春留守，用法嚴，軍民肅然無敢犯，進行省參知政事。
HCH_012_125_000291	從取安慶。
HCH_012_125_000292	漢軍出江遊徼，遇春擊之，皆反走，乘勝取江州。
HCH_012_125_000293	還守龍灣，援長興，俘殺吳兵五千餘人，其將李伯升解圍遁。
HCH_012_125_000294	命甓安慶城。
HCH_012_125_000295	先是，太祖所任將帥最著者，平章邵榮、右丞徐達與遇春為三。
HCH_012_125_000296	而榮尤宿將善戰，至是驕蹇有異志，與參政趙繼祖謀伏兵為變。
HCH_012_125_000297	事覺，太祖欲宥榮死，遇春直前曰：「人臣以反名，尚何可宥，臣義不與共生。」
HCH_012_125_000298	太祖乃飲榮酒，流涕而戮之，以是益愛重遇春。
HCH_012_125_000299	池州帥羅友賢據神山寨，通張士誠，遇春破斬之。
HCH_012_125_000300	從援安豐。
HCH_012_125_000301	比至，呂珍已陷其城，殺劉福通，聞大軍至，盛兵拒守。
HCH_012_125_000302	太祖左右軍皆敗，遇春橫擊其陣，三戰三破之，俘獲士馬無算。
HCH_012_125_000303	遂從達圍廬州。
HCH_012_125_000304	城將下，陳友諒圍洪都，召還。
HCH_012_125_000305	會師伐漢，遇于彭蠡之康郎山。
HCH_012_125_000306	漢軍舟大，乘上流，鋒銳甚。
HCH_012_125_000307	遇春偕諸將大戰，呼聲動天地，無不一當百。
HCH_012_125_000308	友諒驍將張定邊直犯太祖舟，舟膠於淺，幾殆。
HCH_012_125_000309	遇春射中定邊，太祖舟得脫，而遇春舟復膠於淺。
HCH_012_125_000310	有敗舟順流下，觸遇春舟乃脫。
HCH_012_125_000311	轉戰三日，縱火焚漢舟，湖水皆赤，友諒不敢復戰。
HCH_012_125_000312	諸將以漢軍尚強，欲縱之去，遇春獨無言。
HCH_012_125_000313	比出湖口，諸將欲放舟東下，太祖命扼上流。
HCH_012_125_000314	遇春乃溯江而上，諸將從之。
HCH_012_125_000315	友諒窮蹙，以百艘突圍。
HCH_012_125_000316	諸將邀擊之，漢軍遂大潰，友諒死。
HCH_012_125_000317	師還，第功最，賚金帛土田甚厚。
HCH_012_125_000318	從圍武昌，太祖還應天，留遇春督軍困之。
HCH_012_125_000319	明年，太祖即吳王位，進遇春平章政事。
HCH_012_125_000320	太祖復視師武昌。
HCH_012_125_000321	漢丞相張必先自嶽來援。
HCH_012_125_000322	遇春乘其未集，急擊擒之。
HCH_012_125_000323	城中由是氣奪，陳理遂降，盡取荊、湖地。
HCH_012_125_000324	從左相國達取廬州，別將兵略定臨江之沙坑、麻嶺、牛陂諸寨，擒偽知州鄧克明，遂下吉安。
HCH_012_125_000325	圍贛州，熊天瑞固守不下。
HCH_012_125_000326	太祖使使諭遇春：「克城無多殺。苟得地，無民何益？」
HCH_012_125_000327	於是遇春浚壕立柵以困之。
HCH_012_125_000328	頓兵六月，天瑞力盡乃降，遇春果不殺。
HCH_012_125_000329	太祖大喜，賜書褒勉。
HCH_012_125_000330	遇春遂因兵威諭降南雄、韶州，還定安陸、襄陽。
HCH_012_125_000331	復從徐達克泰州，敗士誠援兵，督水軍壁海安壩以遏之。
HCH_012_125_000332	其秋拜副將軍，伐吳。
HCH_012_125_000333	敗吳軍於太湖，於毘山，於三里橋，遂薄湖州。
HCH_012_125_000334	士誠遣兵來援，屯於舊館，出大軍後。
HCH_012_125_000335	遇春將奇兵由大全港營東阡，更出其後。
HCH_012_125_000336	敵出精卒搏戰，奮擊破之。
