HCH_012_260_000135	諸賊未大創，降非實也，既出棧道，遂不受約束，盡殺安撫官五十餘人，攻掠諸州縣，關中大震。
HCH_012_260_000136	奇瑜悔失計，乃委罪他人以自解。
HCH_012_260_000137	賊初叛，猝至鳳翔，誘開城，守城知其詐，紿以縋城上，殺其先登者三十六人，余噪而去。
HCH_012_260_000138	其犯寶雞，亦為知縣李嘉彥所挫。
HCH_012_260_000139	奇瑜遂劾嘉彥及鳳翔鄉官孫鵬等撓撫局，撫按官亦異心。
HCH_012_260_000140	帝怒，切責撫按，逮嘉彥、鵬及士民五十餘人。
HCH_012_260_000141	奇瑜又請敕陜西、鄖陽、湖廣、河南、山西五巡撫各守要害，有失則治諸臣罪，冀以分己過。
HCH_012_260_000142	又委罪巡撫練國事，國事亦被逮。
HCH_012_260_000143	給事中顧國寶劾奇瑜誤封疆，詔解任候勘。
HCH_012_260_000144	御史傅永淳復劾奇瑜解隴州圍報首功不實，詔除名，錦衣官逮訊。
HCH_012_260_000145	九年六月謫戍邊。
HCH_012_260_000146	初，奇瑜官南陽，唐王殺其世子，欲並廢世子子聿鍵。
HCH_012_260_000147	賴奇瑜力，聿鍵得為世孫。
HCH_012_260_000148	後聿鍵自立於閩，召奇瑜為東閣大學士。
HCH_012_260_000149	道遠，未聞命，卒於家。
HCH_012_260_000150	元默，字中象，靜海人。
HCH_012_260_000151	萬曆四十七年進士。
HCH_012_260_000152	除懷慶推官，擢吏科給事中。
HCH_012_260_000153	魏忠賢焰方熾，以鄉里欲招致之，默謝不可。
HCH_012_260_000154	言路承忠賢意，劾罷歸。
HCH_012_260_000155	崇禎初，復官，歷遷太常卿。
HCH_012_260_000156	六年春，以僉都御史巡撫河南。
HCH_012_260_000157	流賊由均州犯河內，默率左良玉、湯九州、李卑、鄧玘兵待境上；復率九州乘雪夜薄吳城賊營，大破之。
HCH_012_260_000158	嵩、雒以北名城數十，賊避勿敢攻。
HCH_012_260_000159	奇瑜既失李自成於車箱峽，默自汝州移駐盧氏，檄良玉、九州各陳兵守要害，得稍寧者數月。
HCH_012_260_000160	當是時，賊勢張，良玉等承督師檄，守備尚固。
HCH_012_260_000161	默率諸將斬獲多，賊多趨秦、楚境。
HCH_012_260_000162	已，分為三，自潁州犯鳳陽皇陵，中州所在告急。
HCH_012_260_000163	八年夏，默被逮去。
HCH_012_260_000164	久之，得釋歸，八年卒。
HCH_012_260_000165	熊文燦，貴州永寧衛人。
HCH_012_260_000166	萬曆三十五年進士。
HCH_012_260_000167	授貴州推官，遷禮部主事，歷郎中。
HCH_012_260_000168	出封琉球還，擢山東左參政、山西按察使、山東右布政使。
HCH_012_260_000169	憂歸，自是徙家蘄水。
HCH_012_260_000170	崇禎元年，起福建左布政使。
HCH_012_260_000171	三月，就拜右僉都御史，巡撫其地。
HCH_012_260_000172	海上故多劇盜，袁進、李忠既降，楊六、楊七及鄭芝龍繼起。
HCH_012_260_000173	總兵官俞咨臯招六、七降，芝龍猖獗如故。
HCH_012_260_000174	然芝龍常敗都司洪先春，釋不追；獲一遊擊，不殺；咨臯戰敗，縱之走。
HCH_012_260_000175	當事知其可撫，遣使諭降之。
HCH_012_260_000176	文燦至，善遇芝龍，使為己用。
HCH_012_260_000177	其黨李魁奇再降，再叛去，芝龍擊擒之。
HCH_012_260_000178	海警漸息，而鐘斌又起。
HCH_012_260_000179	斌初亦就撫，後復叛，寇福州。
HCH_012_260_000180	文燦誘斌往泉州，令芝龍擊敗之。
HCH_012_260_000181	既而蹙之大洋，斌投海死。
HCH_012_260_000182	閩中屢平巨寇，皆芝龍力，文燦亦敘功增秩焉。
HCH_012_260_000183	五年二月，擢文燦兵部右侍郎兼右僉都御史，總督兩廣軍務，兼巡撫廣東。
HCH_012_260_000184	先是，海寇鐘靈秀既降復叛，為芝龍所擒，其黨潰入長汀，轉掠江西屬邑，文燦檄芝龍屢敗賊。
HCH_012_260_000185	而福建有紅夷之患，海盜劉香乘之，連犯閩、廣沿海邑，帝以責文燦。
