HCH_012_198_000296	始至，大陳軍容，引見諸將校，責以畏縮當死。
HCH_012_198_000297	諸將校股栗伏罪，良久乃釋。
HCH_012_198_000298	遂下令鼓行薄賊，大小數十戰，連破之。
HCH_012_198_000299	甫四月，賊盡平，語詳《鉞傳》。
HCH_012_198_000300	錄功，進右都御史、太子少保，蔭子錦衣世百戶。
HCH_012_198_000301	尋代洪鐘總督川、陜諸軍，討四川賊。
HCH_012_198_000302	時鄢本恕、藍廷瑞、廖惠、曹甫已平，惟廖麻子、喻思俸猖獗如故。
HCH_012_198_000303	澤偕總兵官時源數敗賊，部將閻勛追擒麻子於劍州。
HCH_012_198_000304	思俸竄通、巴間，勢復振。
HCH_012_198_000305	澤督諸軍圍之，卒就擒。
HCH_012_198_000306	澤遂移漢中，請班師。
HCH_012_198_000307	未報，而內江、榮昌賊復熾，澤又移師討平之。
HCH_012_198_000308	且平成都亂卒之執知州、指揮者。
HCH_012_198_000309	請班師益力，詔暫留保寧鎮撫。
HCH_012_198_000310	進左都御史、太子太保，蔭子如初。
HCH_012_198_000311	澤復請還者再，乃召還。
HCH_012_198_000312	未行，會土魯番據哈密，執忠順王速檀拜牙郎，以其印去，投謾書甘肅，要索金幣。
HCH_012_198_000313	總制鄧璋、甘肅巡撫趙鑒以聞，請遣大臣經略。
HCH_012_198_000314	大學士楊廷和等共薦澤。
HCH_012_198_000315	澤久在兵間，厭之。
HCH_012_198_000316	以鄉土為辭，且引疾，推璋及鹹寧侯鉞可任。
HCH_012_198_000317	帝優詔慰勉，乃行。
HCH_012_198_000318	澤材武知兵，然性疏闊負氣。
HCH_012_198_000319	經略哈密事頗不當，錢寧、王瓊等交齮龁之，遂因此得罪。
HCH_012_198_000320	澤至甘州，土魯番方寇赤斤、苦峪諸衛，遣使索金幣，請還哈密。
HCH_012_198_000321	澤以番人可利啖也，與鑒謀，遣哈密都督寫亦虎仙以幣二千、銀酒槍一賂之，令還哈密城印。
HCH_012_198_000322	未得報，輒奏事平，乞骸骨。
HCH_012_198_000323	召還理院事。
HCH_012_198_000324	巡按御史馮時雍言城未歸，澤不宜遽召。
HCH_012_198_000325	不納。
HCH_012_198_000326	初，兵部缺尚書，廷臣共推澤，而王瓊得之，且陰阻澤。
HCH_012_198_000327	言官多劾瓊者，由是有隙。
HCH_012_198_000328	澤又使酒常淩瓊，瓊愈欲傾之。
HCH_012_198_000329	澤時時罵錢寧，瓊以語寧，寧未信。
HCH_012_198_000330	瓊乃邀澤飲，匿寧所親屏間，挑澤醉罵使聞之，寧果大怒。
HCH_012_198_000331	會寇大入宣府，廷議以許泰將兵，澤總制東西兩邊軍務。
HCH_012_198_000332	及詔下，罷泰不遣，又不命澤總制，獨令提督兩遊擊兵六千人以行，意以困澤。
HCH_012_198_000333	澤言：「臣文臣，摧鋒陷陣非臣所能獨任。」
HCH_012_198_000334	瓊乃奏遣成國公朱輔。
HCH_012_198_000335	會寇遁，澤還理院事。
HCH_012_198_000336	寫亦虎仙者，素桀黠。
HCH_012_198_000337	雖居肅州，陰通土魯番酋速檀滿速兒，為之耳目，據城奪印皆其謀。
HCH_012_198_000338	澤初不知而遣之。
HCH_012_198_000339	滿速兒以城印來歸，留速檀拜牙郎如故。
HCH_012_198_000340	虎仙復啖使入寇，曰：「肅州可得也。」
HCH_012_198_000341	滿速兒悅，使其婿馬黑木隨入貢，以覘虛實，且征賄。
HCH_012_198_000342	澤已還，鑒亦遷去，李昆代巡撫，慮他變，質其使於甘州，而驅虎仙出關。
HCH_012_198_000343	虎仙懼弗去。
HCH_012_198_000344	滿速兒聞之怒，復取哈密，分兵據沙州，自率萬騎寇嘉峪關。
HCH_012_198_000345	遊擊芮寧與參將蔣存禮禦之。
HCH_012_198_000346	寧以七百人先遇寇沙子壩。
HCH_012_198_000347	寇圍寧，而分兵綴存禮軍。
HCH_012_198_000348	寧軍盡沒，遂墮城堡，縱殺掠。
HCH_012_198_000349	詔澤提督三邊軍務往禦。
HCH_012_198_000350	會副使陳九疇系其使失拜煙答及虎仙等，內應絕，乃復求和。
HCH_012_198_000351	澤兵遂罷。
HCH_012_198_000352	尋乞骸骨歸，馳驛給夫廩如制。
HCH_012_198_000353	澤既去，瓊追論嘉峪之敗，請窮詰增幣者主名。
HCH_012_198_000354	錢寧從中下其事，大學士梁儲等持之，乃已。
HCH_012_198_000355	會失拜煙答子訟父冤，下法司議，釋寫亦虎仙等。
HCH_012_198_000356	瓊因請遣給事御史勘失事狀，還報無所引。
HCH_012_198_000357	瓊遂劾澤妄增金幣，遺書議和，失信啟釁，辱國喪師；昆、九疇俱宜罪。
HCH_012_198_000358	詔斥澤為民，昆、九疇逮訊。
HCH_012_198_000359	昆謫官，九疇除名。
HCH_012_198_000360	世宗入繼，錢寧敗，瓊亦得罪。
HCH_012_198_000361	御史楊秉中請召澤，遂即家起兵部尚書、太子太保。
HCH_012_198_000362	昆、九疇亦復官。
HCH_012_198_000363	部事積壞久，澤核功罪，杜幹請，兵政一新。
HCH_012_198_000364	初，正德時，廷臣建白戎務奉俞旨者，多廢格。
HCH_012_198_000365	澤請臚列成書，次第修舉。
HCH_012_198_000366	又請敕九邊守臣，策防禦方略，毋畫境自保。
HCH_012_198_000367	鎮、巡居中調度，毋相牽制。
