HCH_010_046_000217	曷苏馆路女直国大王府。
HCH_010_046_000218	亦曰合苏衮部女直王，又曰合素女直王，又曰苏馆都大王。
HCH_010_046_000219	圣宗太平六年，曷苏馆诸部许建旗鼓。
HCH_010_046_000220	长白山女直国大王府。
HCH_010_046_000221	圣宗統和三十年，长白山三十部女直乞授爵秩。
HCH_010_046_000222	阻卜诸部节度使司。
HCH_010_046_000223	圣宗統和二十九年置。
HCH_010_046_000224	术不姑国大王府。
HCH_010_046_000225	亦曰述不姑。
HCH_010_046_000226	又有直不姑。
HCH_010_046_000227	阿萨兰回鹘大王府。
HCH_010_046_000228	亦曰阿思懒王府。
HCH_010_046_000229	回鹘国单于府。
HCH_010_046_000230	兴宗重熙二十二年，诏回鹘部副使以契丹人充。
HCH_010_046_000231	迪烈德国王府。
HCH_010_046_000232	亦曰敌烈，亦曰迭烈德。
HCH_010_046_000233	越离睹国王府。
HCH_010_046_000234	亦曰斡离都。
HCH_010_046_000235	徒睹古国王府。
HCH_010_046_000236	亦曰徒鲁古。
HCH_010_046_000237	三河国王府。
HCH_010_046_000238	核列哿国王府。
HCH_010_046_000239	已上诸国。
HCH_010_046_000240	黄龙府女直部大王府。
HCH_010_046_000241	道宗大康八年赐官及印。
HCH_010_046_000242	于厥里部族大王府。
HCH_010_046_000243	太宗會同三年，赐旗鼓。
HCH_010_046_000244	挞里得部。
HCH_010_046_000245	亦曰挞离底。
HCH_010_046_000246	乌濊部。
HCH_010_046_000247	已上三部，隶夫人婆底里东北路管押司。
HCH_010_046_000248	谛居部。
HCH_010_046_000249	亦曰谛举部。
HCH_010_046_000250	兀惹部。
HCH_010_046_000251	亦曰乌惹部。
HCH_010_046_000252	划离部。
HCH_010_046_000253	圣宗統和元年，划离部请今后详稳于当部人内选授，不许。
HCH_010_046_000254	闸古胡里扒部。
HCH_010_046_000255	已上诸部。
HCH_010_046_000256	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
