HCH_009_041_000121	東方神旗一，三人，紅、紫排襴旗二。
HCH_009_041_000122	南方神旗一，三人，黃、紫排襴旗二，中央神旗一，三人，紅龍排襴旗二。
HCH_009_041_000123	西方神旗一，三人，紅、紫排襴旗二。
HCH_009_041_000124	北方神旗一，三人，力士並紫排襴旗各一。
HCH_009_041_000125	風伯旗一，三人，力士並虎君旗各一。
HCH_009_041_000126	雨師旗一，三人，虎君並黃熊旗二。
HCH_009_041_000127	雷公旗一，三人，黃熊並赤豹旗二。
HCH_009_041_000128	電母旗一，三人，赤豹並吏兵旗二。
HCH_009_041_000129	北斗旗一，三人，吏兵並龍君旗二。
HCH_009_041_000130	玄武旗一，三人，龍君並。
HCH_009_041_000131	天馬旗二。
HCH_009_041_000132	三人執一旗者重立，二人各執小旗者亦重立。
HCH_009_041_000133	殿門外仗，亦從北，留中道。
HCH_009_041_000134	飛麟旗、駃騠旗、鸞旗、麟旗、馴象旗各二，共十人，從中分列為第一重。
HCH_009_041_000135	鶡雞旗、貔旗、玉馬旗、三角獸旗、黃鹿旗各二，共十人，次外分列為第二重。
HCH_009_041_000136	其次，第一部都尉三員，第二部至第五部俱二員，為第三重。
HCH_009_041_000137	又其次五部，各刀盾二十，為第四重。
HCH_009_041_000138	又其次五部，各弓矢二十，為第五重。
HCH_009_041_000139	左右同。
HCH_009_041_000140	黃麾細仗，攝官八十八人，擎執一千三百五人，編排職掌九人。
HCH_009_041_000141	內仗，中道左一行，自北西向排列。
HCH_009_041_000142	黃麾幡一首，執者三人。
HCH_009_041_000143	大雉扇六、中雉扇六、小雉扇六、硃團扇六、睥睨四、紅大傘一、紫方傘二、華蓋一，凡傘扇之上皆有碧襴官一。
HCH_009_041_000144	右行東向，排次同。
HCH_009_041_000145	面北，第一行，長壽幢一，居中。
HCH_009_041_000146	牙門旗八，共二十四人，分左右。
HCH_009_041_000147	第二行，君王萬歲旗五人，居中。
HCH_009_041_000148	日旗五人，監門校尉五人，在左。
HCH_009_041_000149	月旗五人，監門校尉五人，在右。
HCH_009_041_000150	第三行，五方龍旗十五在左，五方鳳旗十五在右。
HCH_009_041_000151	第四行，紅龍旗三十四，第五行，紅龍旗三十四，皆分左右。
HCH_009_041_000152	第六行，自內而東，太平、苣紋、合壁、苣紋、赤龍、青龍旗各一，旗五人，通直一人，大將一人。
HCH_009_041_000153	未、午、巳、辰、卯、寅旗各一，青天王旗、白天王旗各一。
HCH_009_041_000154	自內而西，祥雲、連珠、祥雲、黃龍。
HCH_009_041_000155	白龍，黑龍旗各一，旗五人，通直一人，大將一人。
HCH_009_041_000156	申、酉、戌、亥、子、醜旗各一，緋天王旗、皁天王旗各一。
HCH_009_041_000157	第七行，自內而東，河瀆、江瀆、兕、赤熊、馴犀、角端、狖鸃、綱子旗各一，旗五人。
HCH_009_041_000158	自內而西，淮瀆、濟瀆、兕、赤熊、馴犀、角端、狖鸃、綱子旗各一，旗五人。
HCH_009_041_000159	外仗，左邊西向，自北排列，第一行，五部，侍御史、大將軍、折沖都尉各一，主帥各二。
HCH_009_041_000160	第二行，第一部，絳引幡五首，十五人。
HCH_009_041_000161	龍頭竿四、弓矢五、揭鼓二、儀鍠斧五，龍頭竿四、弓矢五、硃刀盾五、綠刀盾五，龍頭竿四、儀鍠斧五、硃刀盾五、綠刀盾五，龍頭竿四、小戟五，龍頭竿四、小戟五。
HCH_009_041_000162	第二部至五部無絳引幡，餘色並同，以次相接而南。
HCH_009_041_000163	右五部東向，亦如之。
HCH_009_041_000164	左第三行，從北，角、亢、氐、房、心、尾、箕、斗、牛、女、虛、危、室、壁旗各一，旗三人。
HCH_009_041_000165	次重輪、左攝提、青龍旗各一，木、火、土、金、水星旗各一，北、東、中、南、西嶽旗各一，旗三人。
HCH_009_041_000166	次紫排襴四、黃排襴四、紅排襴四、吏兵旗二、天馬旗一。
HCH_009_041_000167	右第三行，從北，奎、婁、胃、昴、畢、觜、參、井、鬼、柳、星、張、翼、軫旗各一，旗三人。
HCH_009_041_000168	次重輪、右揶提、白虎旗各一，東、南、中、西、北方神旗各一，風伯、雨師、雷公、電母、北斗旗各一，旗三人。
HCH_009_041_000169	次紫排襴四、黃排襴四、紅排襴四、吏兵旗二、天馬旗一。
HCH_009_041_000170	行仗。
HCH_009_041_000171	天子非祀享巡幸遠出，則用常行儀衛。
HCH_009_041_000172	弩手二百人，軍使五人，控鶴二百人，首領四人，俱服紅地藏根牡丹錦襖、金鳳花交腳襆頭、塗金銀束帶，控鶴或皁帽碧襖，各執金鍍銀蒜瓣骨朵。
HCH_009_041_000173	長行四百人，拳腳襆頭、紅錦四䙆襖、塗金束帶，二人紫衫前導，無執物，餘執列糸骨朵七十八、瓜八十八，鐙三十四，在控鶴前，金吾仗八十、金花大劍六十俱垂紅絨結子、儀鍠斧五十八，在控鶴後。
HCH_009_041_000174	其常朝、御殿、郊廟、臨幸，凡步輦出入則有近侍導從，執金鍍銀骨朵者二人，左右扇十人，拂子四人，香盒二人，香球二人，節二人，幢二人，盂一人，唾壺一人，淨巾一人，鐁鑼一人，水罐一人，交椅一人，斧一人，皇帝出閣則分立閣門之外，導引至殿，皇帝升座則降階以俟，入閣然後放仗。
HCH_009_041_000175	天眷三年，熙宗幸燕，始備法駕，凡用士卒萬四千五十六人，攝官在外。
HCH_009_041_000176	海陵遷都于燕，用黃麾仗萬三百四十八人。
HCH_009_041_000177	天德二年祀廟，用黃麾四千人。
HCH_009_041_000178	世宗即位，凡行幸祀享並用三千人，間亦不滿其數。
HCH_009_041_000179	大定十一年前，祀南郊、朝享太廟及至郊壇，用大駕七千人，此其大較也。
HCH_009_041_000180	天眷法駕人數。
HCH_009_041_000181	攝官六百九十九人：將軍、大將軍四十三人，折沖、果毅一百二十六人，校尉五十六人，郎將三十四人，帥兵官二百四十六人，統軍六人，都頭六人，千牛一人，旅帥二人，部轄指揮使二人，押纛二人，押衙四人，四色官四人，押旗二人，引駕官四人，進馬四人，押仗通直二人，押仗大將二人，碧襴一十六人，長史二人，鼓吹令二人，鼓吹丞二人，典事五人，太史令一人，太史正一人，司丞一人，府牧一人，刻漏生四人，縣令一人，御史大夫一人，僚佐一十人，進輅職掌二人，夾輅將軍二人，陪輅將軍二人，教馬官二人，四省局官八人，導駕官四十八人，抱駕頭官一人，執扇筤一人，尚輦奉御二人，殿中少監二人，供奉職官二人，令史四人，書令史四人，押仗二人，殿中侍御史二十四人。
HCH_009_041_000182	諸班直隊二千九百四十五人：鈞容直三百六人人員六，長行三百，執旗一百三十六人，引駕六十二人人員二，長行六十，駕頭天武官一十二人，執從物茶酒班一十一人，禦龍直仗劍六人，天武把行門八人，殿前班擊鞭一十人，禦龍直四十人人員二，長行三十八，骨朵直一百三十四人，部押二人，殿前班行門三十五人，捧日馬隊七百人，奉宸步隊七百人，天武骨朵大劍三百一十人人員一十，長行三百，東第四班三十一人人員一，長行三十，扇筤天武二十人，捧日隊從領人員一十七人，簇輦茶酒班三十一人人員一，長行三十，鈞容直三十一人，人員一，長行三十。
HCH_009_041_000183	招箭班三十三人人員三，長行三十，天武約襴三百一十人。
HCH_009_041_000184	人員一十，長行三百。
HCH_009_041_000185	車輅下駕士六百三十八人：玉輅下一百四十人控馬踏路四，駕士一百二十八，挾輅八，金輅下六十四人控馬踏路四，駕士六十，象輅下駕士四十人，革輅、木輅、耕根車駕士同上，革車二，共五十人，指南、記裏車各三十人，輅車、鸞旗、皮軒車各十八人，黃鉞、豹尾車各十五人，屬車八，共八十人。
HCH_009_041_000186	輦輿下六百八十五人：小輿一，長行二十四人，逍遙一，共三十五人什將節級九，長行二十六，平輦下四十二人什將節級九，人員七，長行二十六，腰輿共一十九人人員一，什將虞候二，長行一十六，大輦下三百七十一人掌輦人員四，什將十二，長行三百五十五，分五番，芳亭輦一，長行六十人，御馬三十二，共百三十四人。
HCH_009_041_000187	控馬，天武官六十四。
HCH_009_041_000188	挾馬，騎御馬直長行六十四人。
HCH_009_041_000189	騎御馬直人員三，天武節級三人，押馬六人，象二十三人。
HCH_009_041_000190	擎執人、舁士共八千七百七十一人。
HCH_009_041_000191	鼓吹樂工九百九十四人。
HCH_009_041_000192	馬六千七十八匹。
HCH_009_041_000193	天德五年，海陵遷都于燕，用黃麾仗一萬八百二十三人攝官在內，騎三千九百六十九，分八節。
HCH_009_041_000194	第一節。
HCH_009_041_000195	中道，象二十三人。
HCH_009_041_000196	節級二人，銅鑼，七寶，䃋石、銀鉤各一，鐵鉤二，小旗十五，並服花腳襆頭、青錦絡縫緋䙆衫，金鍍銀雙鹿束帶第一引，七十二人：清道一，武弁、緋雲鶴袍、袴、革帶，執黑漆杖。
HCH_009_041_000197	幰弩一，赤平巾幘、緋辟邪衫、革帶、赤袴。
HCH_009_041_000198	誕馬二，控四人，赤平巾幘、緋繡寶相花衫、銀革帶，纓轡涼屜二副。
HCH_009_041_000199	軺車一，赤馬二，駕士十八人，武弁、緋繡雉大袖衫、白袴。
HCH_009_041_000200	馬，纓轡涼屜、銅面、包尾。
HCH_009_041_000201	縣令一員，朝服，坐軺車。
HCH_009_041_000202	僚佐四員，並朝服。
HCH_009_041_000203	控馬八人，錦帽、絡縫紫衫、大佩、銀帶。
HCH_009_041_000204	紫方傘一，黃抹額、寶相花衫、銀帶、大口袴。
HCH_009_041_000205	硃團扇一，曲蓋一，緋抹額、寶相花衫、革帶、袴。
HCH_009_041_000206	青衣二，青平巾、青衫、袴、革帶，執青竹杖。
HCH_009_041_000207	車輻棒二，赤平巾、緋白澤衫、革帶、赤袴。
HCH_009_041_000208	告止幡二，執者六人，緋抹額、寶相花衫、革帶，袴。
HCH_009_041_000209	傳教幡一，信幡一，各三人，並黃抹額、寶相花衫、革帶、大口袴。
HCH_009_041_000210	小戟十六。
HCH_009_041_000211	服同上。
HCH_009_041_000212	第二引，二百六十四人：清道二，幰弩一，誕馬四，控八人，服並如前。
HCH_009_041_000213	掆鼓一，金鉦一，平巾幘、緋鸞衫、抹帶、袴、錦螣蛇。
HCH_009_041_000214	大鼓六，黃雷花衫、袴、抹額、抹帶。
HCH_009_041_000215	節一，幢一，麾一，夾槊二，角四，儀刀十，並平巾幘、緋繡寶相花衫，銀革帶、大口袴。
HCH_009_041_000216	革車一，赤馬四，駕士二十五人，武弁、獬豸大袖、勒帛、馬飾如前。
HCH_009_041_000217	府牧一員，朝服坐車。
HCH_009_041_000218	僚佐四員，控馬八人，服並如前。
HCH_009_041_000219	鐃鼓一，簫二，笳二，笛一，篳篥一，並平幘、緋寶相花衫、銀褐抹帶。
HCH_009_041_000220	大橫吹一，緋苣紋袍、袴、抹額、抹帶。
HCH_009_041_000221	青衣四，車輻棒四，紫方傘一，硃團扇四，曲蓋一，告止幡二，六人，傳教幡二，六人，信幡二，六人，小戟四十，服並如前。
HCH_009_041_000222	刀盾三十六，銀褐抹額、寶相花衫、銀革帶、袴。
HCH_009_041_000223	弓矢三十六，錦帽、青寶相花衫、銀革帶、袴。
HCH_009_041_000224	槊三十六。
HCH_009_041_000225	錦帽、紫寶相花袍、革帶、袴。
HCH_009_041_000226	硃雀旗隊三十四人：折沖都尉三人，平巾幘、紫辟邪衫、革帶、大口鍠、錦螣蛇、橫刀弓矢。
HCH_009_041_000227	皞槊二，平巾幘、緋繡寶相花衫。
HCH_009_041_000228	革帶、袴。
HCH_009_041_000229	硃雀旗一，五人，緋抹額、寶相花衫、革帶、大口袴、橫刀，引夾人加弓矢。
HCH_009_041_000230	弩六，弓矢六，槊十二。
HCH_009_041_000231	並平巾、緋寶相花衫、橫刀、革帶、袴。
HCH_009_041_000232	龍旗隊七十一人：大將軍一人，朝服。
HCH_009_041_000233	引旗四人，黃抹額、寶相花衫、革帶、大口袴。
HCH_009_041_000234	旗十二，風伯旗一、雨師旗一、雷公旗一、電母旗一、北斗旗一、五星旗五、左右攝提旗二，執、夾共六十人，皆五色寶相花衫、抹額、革帶、袴、橫刀，引夾人加弓矢，後凡執旗者並同。
HCH_009_041_000235	副竿二，錦帽、黃寶相花衫、革帶、袴。
HCH_009_041_000236	護旗四人。
HCH_009_041_000237	加黃抹額、弓矢。
HCH_009_041_000238	太僕三車八十一人：指南車，駕士三十人，武弁、緋霡繡孔雀大袖、銀褐帶、袴。
HCH_009_041_000239	記裏鼓車，駕士三十人，獬豸大袖。
HCH_009_041_000240	鸞旗車，駕士十八人，瑞鷹大袖。
HCH_009_041_000241	駕車赤馬十二，執黑杖者三人。
HCH_009_041_000242	外仗。
HCH_009_041_000243	牙門旗隊二十八人：分左右。
HCH_009_041_000244	白澤旗二，執夾各五人，綠具裝冠、人馬甲、錦臂鞲、橫刀，引夾加弓矢。
HCH_009_041_000245	金吾牙門旗第一門，牙門旗四，執夾十二人，青寶相花衫、抹額、革帶、大口袴、橫刀，引夾人加弓矢。
HCH_009_041_000246	監門校尉六人。
HCH_009_041_000247	長腳襆頭、緋抹額、獅子裲襠、銀帶、橫刀、弓矢、烏皮靴，後隊同。
HCH_009_041_000248	前部馬隊，第一隊七十人：折沖、果毅都尉二人，錦帽、緋辟邪袍、袴、革帶、橫刀、弓矢。
HCH_009_041_000249	角宿、亢宿、斗宿、牛宿旗四，旗各五人，並五色寶相花衫、抹額、革帶、橫刀，引夾加弓矢。
HCH_009_041_000250	弩六，弓矢十四，並錦帽、青寶相花衫、革帶、袴。
HCH_009_041_000251	槊二十八。
HCH_009_041_000252	緋色衫，餘同上。
HCH_009_041_000253	第二隊七十人：折沖、果毅都尉二人，白澤衫。
HCH_009_041_000254	氐宿、女宿、房宿、虛宿旗四，旗五人，弩六，弓矢十四，。
HCH_009_041_000255	槊二十八。
HCH_009_041_000256	服、執如前。
HCH_009_041_000257	第三隊七十人：折沖、果毅都尉二人，心宿、危宿、尾宿、室宿旗四，旗五人，弩六，弓矢十四，槊二十八。
HCH_009_041_000258	服、執如前。
HCH_009_041_000259	第二節。
HCH_009_041_000260	中道。
HCH_009_041_000261	金吾引駕騎二十人：折沖都尉二人，平巾幘、緋辟邪衫、革帶、袴、橫刀、弓矢。
HCH_009_041_000262	弩六，弓矢六。
HCH_009_041_000263	槊六。
HCH_009_041_000264	並平巾幘、緋寶相花裲襠、革帶、袴。
HCH_009_041_000265	前部鼓吹五百四十七人：鼓吹令二人，長腳襆頭、綠公服、角帶、絲鞭、烏皮靴。
HCH_009_041_000266	府吏四人，長腳襆頭，綠寬衫、角帶、黃絹半臂、烏靴。
HCH_009_041_000267	部轄指揮使一人，平巾幘、紫寶相花衫、革帶、錦螣蛇。
HCH_009_041_000268	主帥四十八人，分五項，平巾幘、緋鸞衫、革帶、袴、執儀刀。
HCH_009_041_000269	掆鼓、金鉦各十二，平巾幘、緋鸞衫、銀褐抹帶、錦螣蛇。
HCH_009_041_000270	大鼓、長鳴各百二十，黃雷花衫、抹額、抹帶。
HCH_009_041_000271	鐃鼓十二，緋苣紋衫、抹額、抹帶。
HCH_009_041_000272	歌二十四，拱辰管二十四，簫二十四，笳二十四，服如鉦鼓，無螣蛇。
HCH_009_041_000273	大橫吹百二十。
HCH_009_041_000274	服如饒鼓。
HCH_009_041_000275	外仗。
HCH_009_041_000276	馬部第四隊六十人：分左右。
HCH_009_041_000277	折沖都尉二人，緋麟衫。
HCH_009_041_000278	箕宿、壁宿旗各一，旗五人，弩六，弓矢十四，槊二十人。
HCH_009_041_000279	服、執並如前隊。
HCH_009_041_000280	第五隊六十人：折沖都尉二人，奎宿、井宿旗各一，旗五人，弩六，弓矢十四，槊二十八。
HCH_009_041_000281	服、執並如前隊。
HCH_009_041_000282	第六隊六十人：折沖都尉二人，緋瑞鷹袍。
HCH_009_041_000283	婁宿、鬼宿旗各一，旗五人，弩六，弓矢十四，槊二十八。
HCH_009_041_000284	服、執並如前隊。
HCH_009_041_000285	第七隊六十人：折沖都尉二人，胃宿、柳宿旗各一，旗五人，弩六，弓矢十四，槊二十八。
HCH_009_041_000286	服、執並如前隊。
HCH_009_041_000287	第八隊六十人：折沖都尉二人，昴宿、星宿旗各一，旗五人，弩六，弓矢十四，槊二十八。
HCH_009_041_000288	服、執並如前隊。
HCH_009_041_000289	第九隊六十人：折沖都尉二人，赤豹袍。
HCH_009_041_000290	畢宿、張宿旗各一，旗五人，弩六，弓矢十四，槊二十八。
HCH_009_041_000291	服、執同前。
HCH_009_041_000292	第十隊七十人：折沖都尉二人，瑞馬袍。
HCH_009_041_000293	觜宿、翼宿、參宿、軫宿旗各一，旗五人，弩六，弓矢十四，槊二十八。
HCH_009_041_000294	服、執如前。
HCH_009_041_000295	步甲隊，第一、第二兩隊百一十人：領軍衛將軍二人，平巾幘、紫白澤袍、袴、帶、錦螣蛇、橫刀、弓矢。
HCH_009_041_000296	犦槊四，平巾幘、緋寶相花袍、大口袴。
HCH_009_041_000297	折沖都尉四人，服如將軍。
HCH_009_041_000298	鶡雞旗二，貔旗二，旗各五人，硃牟甲弓矢四十，硃牟甲刀盾四十。
HCH_009_041_000299	兜牟、甲身、披膊、錦臂鞲，行縢、鞋襪、勒甲、革帶。
HCH_009_041_000300	第三節。
HCH_009_041_000301	中道，前部鼓吹第二，五百二十三人：侍御在外。
HCH_009_041_000302	節鼓二，笛二十四，簫二十四，篳篥二十四，笳二十四，桃皮篳篥二十四，黑平巾幘、緋對鸞衫、銀褐勒帛、大口袴。
HCH_009_041_000303	主帥二十六人，分四項，革帶、執儀刀、服如上，無勒帛。
HCH_009_041_000304	掆鼓、金鉦各十二，黑平巾幘、緋繡對鸞衫、銀褐勒帛、大口袴、錦螣蛇。
HCH_009_041_000305	小鼓百二十，中鳴百二十，黃雷花袍、袴、抹額、抹帶。
HCH_009_041_000306	羽葆鼓十二，青苣紋袍、抹額、抹帶。
HCH_009_041_000307	歌二十四，拱辰管二十四，簫二十四，笳二十四，服如前色。
HCH_009_041_000308	侍御史二員，朝服。
HCH_009_041_000309	黃麾幡一，三人。
HCH_009_041_000310	武弁、緋寶相花衫、銀褐勒帛、大口袴，執者馬、袴者步。
HCH_009_041_000311	外仗。
HCH_009_041_000312	步甲，第三隊五十二人：折沖、果毅都尉二人，紫瑞馬袍。
HCH_009_041_000313	玉馬旗二，旗五人，青牟甲弓矢四十。
HCH_009_041_000314	服、執並同前隊。
HCH_009_041_000315	第四隊五十二人：折沖、果毅都尉二人，瑞鷹袍。
HCH_009_041_000316	三角獸旗二，旗五人，青牟甲刀盾四十。
HCH_009_041_000317	第五隊五十二人：折沖、果毅都尉二人，白澤袍。
HCH_009_041_000318	黃鹿旗二，旗五人，黑牟甲弓矢四十。
HCH_009_041_000319	第六隊五十二人：折沖、果毅都尉二人，服同。
HCH_009_041_000320	飛麟旗二，旗五人，黑牟甲刀盾四十。
HCH_009_041_000321	第七隊五十二人：折沖、果毅都尉二人，赤豹袍。
HCH_009_041_000322	駃騠旗二，旗五人，銀褐牟甲弓矢四十。
HCH_009_041_000323	第八隊五十二人：折沖、果毅都尉二人，服同。
HCH_009_041_000324	鸞旗二，旗五人，銀褐牟甲刀盾四十。
HCH_009_041_000325	第九隊五十二人：折沖、果毅都尉二人，瑞鷹袍。
HCH_009_041_000326	麟旗二，旗五人，黃牟甲弓矢四十。
