HCH_012_158_000308	驥倡修螺山、石巖、畢公諸塘堰，捍江潮，興湖利。
HCH_012_158_000309	鄉人賴之。
HCH_012_158_000310	居恒布衣糲食，不殖生產。
HCH_012_158_000311	事兄教諭騏，雖耄益恭。
HCH_012_158_000312	時戴笠行田間。
HCH_012_158_000313	嘗遇錢塘主簿，隸訶之。
HCH_012_158_000314	答曰「蕭山魏驥也」。
HCH_012_158_000315	主簿倉皇謝慰而去。
HCH_012_158_000316	成化七年，御史梁昉言：「臣先任蕭山，見致仕尚書臣魏驥裏居，與裏人稠處，教子孫孝弟力田，增堤浚湖，捍禦災患。所行動應禮法，倡理學，勖後進。雖在林野，有補治化。驥生平學行醇篤，心術正大。諳世事，瞭國體。致仕二十餘年，年九十八歲，四方仰德，有如卿雲。百年化育，滋此人瑞。臣讀前史，有以歸老賜祿畢其身者，有尊養三老五更者，有安車蒲輪召者，有賜幾仗者，上齒德也。驥齒德有餘，爵在上卿，可稱達尊。乞下所司，酌前代故事施行。」
HCH_012_158_000317	帝覽奏嘉嘆。
HCH_012_158_000318	遣行人存問，賜羊酒，命有司月給米三石。
HCH_012_158_000319	使命未至而驥卒。
HCH_012_158_000320	賜祭葬如禮，謚文靖。
HCH_012_158_000321	其子完以驥遺言詣闕辭葬，乞以其金振饑民。
HCH_012_158_000322	帝憮然曰：「驥臨終遺命，猶恐勞民，可謂純臣矣。」
HCH_012_158_000323	許之。
HCH_012_158_000324	蕭山民德驥不已，詣闕請祀於德惠祠，以配楊時。
HCH_012_158_000325	制曰「可」。
HCH_012_158_000326	魯穆，字希文，天臺人。
HCH_012_158_000327	永樂四年進士。
HCH_012_158_000328	家居，褐衣蔬食，足跡不入州府。
HCH_012_158_000329	比謁選，有司饋之贐，穆曰：「吾方從仕，未能利物，乃先厲州裏乎？」
HCH_012_158_000330	弗受。
HCH_012_158_000331	除御史。
HCH_012_158_000332	仁宗監國，屢上封事。
HCH_012_158_000333	漢王官校多不法，人莫敢言。
HCH_012_158_000334	穆上章劾之，不報，然直聲振朝廷。
HCH_012_158_000335	遷福建僉事。
HCH_012_158_000336	理冤濫，摧豪強。
HCH_012_158_000337	泉州人李某調官廣西，其姻富民林某遣仆冘李於道，而室其妻。
HCH_012_158_000338	李之宗人訴於官，所司納林賂，坐訴者，繫獄久。
HCH_012_158_000339	穆廉得其實，立正林罪。
HCH_012_158_000340	漳民周允文無子，以侄為後，晚而妾生子，因析產與侄，屬以妾子。
HCH_012_158_000341	允文死，侄言兒非叔子，逐去，盡奪其資，妾訴之。
