HCH_012_089_000069	帝在位久，京營特注意，然缺伍至七萬五千有奇，大率為權貴所隱佔。
HCH_012_089_000070	又用汪直總督團營，禁旅專掌於內臣，自帝始也。
HCH_012_089_000071	孝宗即位，乃命都御史馬文升為提督。
HCH_012_089_000072	是時營軍久苦工役。
HCH_012_089_000073	成化末，餘子俊嘗言之，文升復力陳不可。
HCH_012_089_000074	又請於每營選馬步銳卒二千，遇警徵調。
HCH_012_089_000075	且遵洪、永故事，五日一操，以二日走陣下營，以三日演武。
HCH_012_089_000076	從之。
HCH_012_089_000077	時尚書劉大夏陳弊端十事，復奏減修乾清宮卒。
HCH_012_089_000078	內臣謂其不恤大工，大學士劉健曰：「愛惜軍士，司馬職也。」
HCH_012_089_000079	帝納之。
HCH_012_089_000080	會戶部主事李夢陽極論役軍之害，並及內臣主兵者。
HCH_012_089_000081	以語侵壽寧侯，下詔獄，遂格不行。
HCH_012_089_000082	武宗即位，十二營銳卒僅六萬五百餘人，稍弱者二萬五千而已。
HCH_012_089_000083	給事中葛嵩請選五軍、三千營精銳歸團練，而存八萬餘人於營以供役。
HCH_012_089_000084	惠安伯張偉謬引舊制以爭，事遂已，隱佔如故。
HCH_012_089_000085	ＢＨ鐇反，太監張永將京軍往討，中官權益重。
HCH_012_089_000086	及流寇起，邊將江彬等得幸，請調邊軍入衛。
HCH_012_089_000087	於是集九邊突騎家丁數萬人於京師。
HCH_012_089_000088	名曰外四家。
HCH_012_089_000089	立兩官廳，選團營及勇士、四衛軍於西官廳操練，正德元年所選官軍操於東官廳。
HCH_012_089_000090	自是兩官廳軍為選鋒。
HCH_012_089_000091	而十二團營且為老家矣。
HCH_012_089_000092	武宗崩，大臣用遺命罷之。
HCH_012_089_000093	當是時，工作浩繁，邊將用事，京營戎政益大壞。
HCH_012_089_000094	給事中王良佐奉敕選軍，按籍三十八萬有奇，而存者不及十四萬，中選者僅二萬餘。
HCH_012_089_000095	世宗立，久之，從廷臣言，設文臣知兵者一人領京營。
HCH_012_089_000096	是時額兵十萬七千餘人，而存者僅半。
HCH_012_089_000097	專理京營兵部尚書李承勳請足十二萬之數。
HCH_012_089_000098	部議遵弘治中例，老者補以壯丁，逃、故者清軍官依期解補。
HCH_012_089_000099	從之。
HCH_012_089_000100	十五年，都御史王廷相提督團營，條上三弊：一，軍士多雜派，工作終歲，不得入操。
HCH_012_089_000101	雖名團營聽徵，實與田夫無異。
HCH_012_089_000102	二，軍士替代，吏胥需索重賄，貧軍不能辦，老羸苟且應役，而精壯子弟不得收練。
HCH_012_089_000103	三，富軍憚營操徵調，率賄將弁置老家數中，貧者雖老疲，亦常操練。
HCH_012_089_000104	語頗切中。
HCH_012_089_000105	既而兩郊九廟諸宮殿之工起，役軍益多。
HCH_012_089_000106	兵部請分番為二，半團操，半放歸，而收其月廩僱役。
HCH_012_089_000107	詔行一年。
HCH_012_089_000108	自後邊警急，團營見兵少，僅選騎卒三萬，仍號東西官廳。
HCH_012_089_000109	餘者悉老弱，仍為營帥、中官私役。
HCH_012_089_000110	二十九年，俺答入寇，兵部尚書丁汝夔核營伍不及五六萬人。
HCH_012_089_000111	驅出城門，皆流涕不敢前，諸將領亦相顧變色。
HCH_012_089_000112	汝夔坐誅。
HCH_012_089_000113	大學士嚴嵩乃請振刷以圖善後。
