HCH_012_152_000164	陳濟，字伯載，武進人。
HCH_012_152_000165	讀書過目成誦。
HCH_012_152_000166	嘗以父命如錢塘，家人賫貨以從。
HCH_012_152_000167	比還，以其貲之半市書，口誦手鈔。
HCH_012_152_000168	十餘年，盡通經史百家之言。
HCH_012_152_000169	成祖詔修《永樂大典》，用大臣薦，以布衣召為都總裁，修撰曾棨等為之副。
HCH_012_152_000170	詞臣纂修者，及太學儒生數千人，繙秘庫書數百萬卷，浩無端倪。
HCH_012_152_000171	濟與少師姚廣孝等數人，發凡起例，區分鉤考，秩然有法。
HCH_012_152_000172	執筆者有所疑，輒就濟質問，應口辨析無滯。
HCH_012_152_000173	書成，授右贊善。
HCH_012_152_000174	謹慎無過，皇太子甚禮重之。
HCH_012_152_000175	凡稽古纂集之事，悉以屬濟。
HCH_012_152_000176	隨事敷奏，多所裨益。
HCH_012_152_000177	五皇孫皆從受經。
HCH_012_152_000178	居職十五年而卒。
HCH_012_152_000179	年六十二。
HCH_012_152_000180	濟少有酒過，母戒之，終其身未嘗至醉。
HCH_012_152_000181	弟洽為兵部尚書，事濟如父。
HCH_012_152_000182	濟深懼盛滿，彌自謙抑。
HCH_012_152_000183	所居蓬戶葦壁，裁蔽風雨，終日危坐，手不釋卷。
HCH_012_152_000184	為文根據經史，不事葩藻。
HCH_012_152_000185	嘗云：「文貴如布帛菽粟，有益於世爾。」
HCH_012_152_000186	其後有陳繼、楊翥者，亦以布衣通經。
HCH_012_152_000187	用楊士奇薦，繼由博士入翰林。
HCH_012_152_000188	而翥竟用景帝潛邸恩，與俞山、俞綱等皆至大官。
HCH_012_152_000189	自天順後，始漸拘資格。
HCH_012_152_000190	編修馬升、檢討傅宗不由科目，李賢皆出之為參議。
HCH_012_152_000191	布衣無得預館閣者，而弘治間潘辰獨以才望得之，一時詫異數焉。
HCH_012_152_000192	陳繼，字嗣初，吳人。
HCH_012_152_000193	幼孤，母吳氏，躬織以資誦讀。
HCH_012_152_000194	比長，貫穿經學，人呼為「陳五經」。
HCH_012_152_000195	奉母至孝，府縣交薦，以母老不就。
HCH_012_152_000196	母卒，哀毀過人。
HCH_012_152_000197	永樂中，復舉孝行，旌其母曰「貞節」。
HCH_012_152_000198	仁宗即位，開弘文閣。
HCH_012_152_000199	帝臨幸，問：「今山林亦有名士乎？」
HCH_012_152_000200	楊士奇初不識繼。
HCH_012_152_000201	夏原吉治水蘇、松，得其文，歸以示士奇，士奇心識之。
HCH_012_152_000202	及帝問，遂以繼對。
HCH_012_152_000203	召為國子博士，尋改翰林《五經》博士，直弘文閣。
HCH_012_152_000204	宣宗初，遷檢討。
HCH_012_152_000205	引疾歸，卒。
HCH_012_152_000206	楊翥，字仲舉，亦吳人。
HCH_012_152_000207	少孤貧，隨兄戍武昌，授徒自給。
HCH_012_152_000208	楊士奇微時，流寄窘乏，翥輒解館舍讓之，而己教授他所。
HCH_012_152_000209	士奇心賢之。
HCH_012_152_000210	及貴，薦翥經明行修。
HCH_012_152_000211	宣宗詔試吏部，稱旨，授翰林院檢討，歷修撰。
HCH_012_152_000212	正統中，詔簡郕王府僚。
HCH_012_152_000213	諸翰林皆不欲行，乃出侍講儀銘及翥為左右長史。
HCH_012_152_000214	久之，引年歸。
HCH_012_152_000215	王即大位，入朝，拜禮部右侍郎。
HCH_012_152_000216	景泰三年進尚書，給祿致仕。
HCH_012_152_000217	明年卒，年八十五。
HCH_012_152_000218	翥篤行絕俗，一時縉紳厚德者，翥為最。
HCH_012_152_000219	既沒，景帝念之，召其子聿入覲，授本邑主簿。
HCH_012_152_000220	俞山，字積之，秀水人。
HCH_012_152_000221	由鄉舉為郕府伴讀。
HCH_012_152_000222	景帝時，拜吏部右侍郎。
HCH_012_152_000223	而嘉興俞綱由諸生繕寫《實錄》，試中書舍人，授郕府審理。
HCH_012_152_000224	景帝時，以兵部右侍郎入閣預機務。
HCH_012_152_000225	居三日，固辭，守本官。
HCH_012_152_000226	景帝將易東宮，山密疏諫。
HCH_012_152_000227	不聽。
HCH_012_152_000228	懷獻太子立，加太子少傅，山意不自安，致仕去。
HCH_012_152_000229	綱加太子少保。
HCH_012_152_000230	英宗復辟，山以致仕得免。
HCH_012_152_000231	而綱當景泰時，能周旋二帝間，故得調南京禮部。
HCH_012_152_000232	成化初致仕，卒。
HCH_012_152_000233	潘辰，字時用，景寧人。
HCH_012_152_000234	少孤，隨從父家京師，以文學名。
HCH_012_152_000235	弘治六年詔天下舉才德之士隱於山林者。
HCH_012_152_000236	府尹唐恂舉辰，吏部以辰生長京師，寢之。
HCH_012_152_000237	恂復奏，給事中王綸、夏昂亦交章薦，乃授翰林待詔。
HCH_012_152_000238	久之，掌典籍事。
HCH_012_152_000239	預修《會典》成，進五經博士。
HCH_012_152_000240	正德中，劉瑾摘《會典》小疵，復降為典籍，俄還故官。
HCH_012_152_000241	南京缺祭酒，吏部推石缶及辰。
HCH_012_152_000242	帝以命缶，而擢辰編修。
HCH_012_152_000243	居九年，超擢太常少卿，致仕歸，卒。
HCH_012_152_000244	特賜祭葬。
HCH_012_152_000245	辰居官勤慎，晨入夜歸。
HCH_012_152_000246	典制誥時，有以幣酬者，堅卻之。
HCH_012_152_000247	士大夫重其學行，稱為「南屏先生」。
HCH_012_152_000248	王英，字時彥，金溪人。
HCH_012_152_000249	永樂二年進士。
HCH_012_152_000250	選庶吉士，讀書文淵閣。
HCH_012_152_000251	帝察其慎密，令與王直書機密文字。
HCH_012_152_000252	與修《太祖實錄》，授翰林院修撰，進侍讀。
HCH_012_152_000253	二十年，扈從北征。
HCH_012_152_000254	師旋，過李陵城。
HCH_012_152_000255	帝聞城中有石碑，召英往視。
HCH_012_152_000256	既至，不識碑所。
HCH_012_152_000257	而城北門有石出土尺余。
HCH_012_152_000258	發之，乃元時李陵臺驛令謝某德政碑也，碑陰刻達魯花赤等名氏。
HCH_012_152_000259	具以奏。
HCH_012_152_000260	帝曰：「碑有蒙古名，異日且以為己地，啟爭端。」
HCH_012_152_000261	命再往擊碎之。
HCH_012_152_000262	沈諸河，還奏。
HCH_012_152_000263	帝喜其詳審，曰：「爾是二十八人中讀書者，朕且用爾。」
HCH_012_152_000264	因問以北伐事。
HCH_012_152_000265	英曰：「天威親征，彼必遠遁，願勿窮追。」
HCH_012_152_000266	帝笑曰：「秀才謂朕黷武邪？」
HCH_012_152_000267	因曰：「軍中動靜，有聞即入奏。」
HCH_012_152_000268	且諭中官勿阻。
HCH_012_152_000269	立功官軍有過，命勿與糧，相聚泣。
HCH_012_152_000270	以英奏，復給予。
HCH_012_152_000271	仁宗即位，累進右春坊大學士，乞省親歸。
HCH_012_152_000272	宣宗立，還朝。
HCH_012_152_000273	是時海內宴安，天子雅意文章，每與諸學士談論文藝，賞花賦詩，禮接優渥。
HCH_012_152_000274	嘗謂英曰：「洪武中，學士有宋濂、吳沈、朱善、劉三吾。永樂初，則解縉、胡廣。汝勉之，毋俾前人獨專其美。」
HCH_012_152_000275	修太宗、仁宗《實錄》成，遷少詹事，賜麒麟帶。
HCH_012_152_000276	母喪，特與葬祭，遣中官護歸。
HCH_012_152_000277	尋起復。
HCH_012_152_000278	正統元年命侍經筵，總裁《宣宗實錄》，進禮部侍郎。
HCH_012_152_000279	八年命理部事。
HCH_012_152_000280	浙江民疫，遣祭南鎮。
HCH_012_152_000281	時久旱，英至，大雨，民呼「侍郎雨」。
HCH_012_152_000282	年七十，再乞休。
HCH_012_152_000283	不許。
HCH_012_152_000284	十二年，英子按察副使裕坐事下獄。
HCH_012_152_000285	英上疏待罪。
HCH_012_152_000286	宥不問。
HCH_012_152_000287	明年進南京禮部尚書，俾就閑逸。
HCH_012_152_000288	居二年卒，年七十五。
HCH_012_152_000289	賜祭葬，謚文安。
HCH_012_152_000290	英端凝持重，歷仕四朝。
HCH_012_152_000291	在翰林四十餘年，屢為會試考官，朝廷制作多出其手，四方求銘誌碑記者不絕。
HCH_012_152_000292	性直諒，好規人過，三楊皆不喜，故不得柄用。
HCH_012_152_000293	裕後累官四川按察使。
HCH_012_152_000294	錢習禮，名幹，以字行，吉水人。
HCH_012_152_000295	永樂九年進士。
HCH_012_152_000296	選庶吉士，尋授檢討。
HCH_012_152_000297	習禮與練子寧姻戚。
HCH_012_152_000298	既仕，鄉人以奸黨持之，恒惴惴。
HCH_012_152_000299	楊榮乘間言於帝，帝笑曰：「使子寧在，朕猶當用之，況習禮乎。」
HCH_012_152_000300	仁宗即位，遷侍讀，知制誥，以省親歸。
