HCH_013_069_000225	紅崖者，天台、水腳、婁石、牛酸草等七囤，素稱天險，官兵未有至者。
HCH_013_069_000226	總兵張彥芳擊賊於羊耳，亦敗之。
HCH_013_069_000227	追至鴨池河，奪其戰象，斬首二百七十餘。
HCH_013_069_000228	七月，大兵戰勝，深入大壩洪紅鳥岡。
HCH_013_069_000229	賊所借鳥芸等部苗，望風奔潰。
HCH_013_069_000230	三善按轡直入大方，降者千計，救出田景猷、劉志敏、楊明楷等。
HCH_013_069_000231	奢社輝、安位焚大方老巢，竄火灼堡。
HCH_013_069_000232	安邦彥逃入織金。
HCH_013_069_000233	川兵入龍場，陣獲奢崇明妻安氏及奢崇輝、蔡金貴、李廷、王承恩、張尚極等。
HCH_013_069_000234	安位母子遣漢把劉光祚赴鎮遠乞降，總督楊述中許之，授賊黨袁紹等狀，令擒奢寅父子自贖，遣之回巢。
HCH_013_069_000235	紹等至省，羈留未發，而撫按會議亦勒限安位母子，縛解安邦彥、奢寅，然後請旨治罪。
HCH_013_069_000236	大抵三善以元凶未窮，當用勦為撫，而述中一意主撫，議遂不合。
HCH_013_069_000237	三善駐大方日久，邦彥日夜聚兵自益，令其黨陳其愚詐降。
HCH_013_069_000238	其愚者，目把中大猾也。
HCH_013_069_000239	三善輕信之，多與參贊軍務，由是邦彥纖悉盡知。
HCH_013_069_000240	四年春正月，王三善自大方還貴州，陳其愚相繼隨行。
HCH_013_069_000241	忽傳其愚山後遇賊，三善勒馬回視，其愚故縱轡衝三善墮地。
HCH_013_069_000242	三善知有變，將帥印付家人，囑令護持先去，即抽襪中小刀自刎。
HCH_013_069_000243	頸皮已破，其愚下馬奪其刀，儸鬼諸苗蜂擁而至。
HCH_013_069_000244	三善駡賊不屈，賊割其首去。
HCH_013_069_000245	副將秦民屏亦死之。
HCH_013_069_000246	秦佐明、祚明突圍出，賊勢復張。
HCH_013_069_000247	事聞，總督楊述中回籍聽勘。
HCH_013_069_000248	既而監軍御史傅宗龍獲陳其愚，誅之。
HCH_013_069_000249	其愚狡凶多計數，邦彥倚為耳目，至是伏誅。
HCH_013_069_000250	秋七月，總理魯欽、劉超克巖頭寨，破平茶，乘勝深入，至織金敗績。
HCH_013_069_000251	五年春，雲南巡撫閔洪學復霑益。
HCH_013_069_000252	水西、藺、烏霑三逆合兵數萬，窺霑益，敗走之。
HCH_013_069_000253	四川烏撒土目安效良，水西賊安邦彥肺腑之親也，其順逆惟水西是視。
HCH_013_069_000254	水、藺相繼叛，滇撫閔洪學以兵力不繼羈縻之，令其擒賊自贖，效良亦佯為恭順，擒安應龍以獻。
HCH_013_069_000255	而所遣獻功之人領文還，中途被劫。
HCH_013_069_000256	效良又見黔師出陸廣，滇師入霑益，隱然有撫背扼吭之勢，水、烏益成騎虎矣。
HCH_013_069_000257	至是，遂乘截黔之餘燄，南向入滇，合藺水、烏霑、安南諸部三十九營，直抵霑益。
HCH_013_069_000258	眾十倍於我，副總兵袁善、宣撫使沙源等督率將士奮勇血戰，對壘城下者五日夜，屢出奇兵破走之。
HCH_013_069_000259	六年春，水西苗老虎、阿引等，殺賊酋奢寅來降。
HCH_013_069_000260	苗老虎隨侍奢寅有年，著巴乃寅騎引馬卒，李老松乃寅看茶卒，與寅同居聶舌壩上。
HCH_013_069_000261	寅妻在箐林山上，相去二三里。
HCH_013_069_000262	奢崇明居克仲壩，相距三百餘里。
HCH_013_069_000263	寅子阿甫年七歲，一女嫁芒部。
HCH_013_069_000264	時水西約二月三路興兵，一攻雲南，一攻遵義，奢寅專攻永寧。
HCH_013_069_000265	寅素性凶淫，附近夷人妻女有姿色者強姦之，富於財者勒索其鏹，不遂輒死，以此部下多往鎮雄、芒部逃生。
HCH_013_069_000266	其麾下人阿引等故嘗受撫臣朱燮元金錢，令圖寅，與總兵李維新歃血，密謀舉事。
HCH_013_069_000267	寅微覺，縛阿引拷掠之，以利刃穿其左足一晝夜，阿引至死不承，乃釋之。
HCH_013_069_000268	阿引因勾合苗老虎、李明山等同謀。
HCH_013_069_000269	適奢寅與其下痛飲酣歌，登牀而寢。
HCH_013_069_000270	老虎佯與寅蓋絮，見寅睡方鼾，持刀砍其胸，寅大呼，李明山復助砍，身死腸出。
HCH_013_069_000271	明山刀折，偽總兵等闌入，苗老虎走，直往箐中擒寅妻，妻已聞變逃矣。
HCH_013_069_000272	賊黨追苗老虎等甚急，至一椀水，遇官兵，乃降。
HCH_013_069_000273	二月，安邦彥率眾數萬渡江，與我兵大戰數日。
HCH_013_069_000274	總理魯欽力禦之，抵暮，賊兵益眾，而我兵因數月無餉，乘夜皆潰，魯欽自剄死。
HCH_013_069_000275	賊燒劫麻姑孫官堡，苗仲復助逆，貴州三十里之外，樵蘇不行，城中大震。
HCH_013_069_000276	巡撫王瑊、巡按傅宗龍先遣王國禎等攻河沙壩儸鬼，盡俘之，廣順、定番、青巖、白納一帶，苗蠻為之奪氣。
HCH_013_069_000277	繼遣張雲鵬逆邦彥於趙官堡，小戰二日，大戰二日，所殺傷者甚眾。
HCH_013_069_000278	水內、水外之賊，奔走潰歸，道路復通。
HCH_013_069_000279	總督朱燮元以父喪歸。
HCH_013_069_000280	加偏沅巡撫閔夢得總督，從中調度，控制五省。
HCH_013_069_000281	夏，黔兵攻勻哈、長田一帶諸苗。
HCH_013_069_000282	黔中四面苗仲，而最狡悍者，無如勻哈。
HCH_013_069_000283	安邦彥初叛，圍龍里、新添，皆藉其眾。
HCH_013_069_000284	至是，數出沒劫掠清平、新添地方，餉道為梗。
HCH_013_069_000285	平越知府會同都司張雲鵬率兵攻擺沙大寨。
