HCH_013_072_000161	五年六月，兵部員外華允誠上言三大可惜，四大可憂，刺溫體仁、閔洪學。
HCH_013_072_000162	上切責之。
HCH_013_072_000163	允誠回奏，又極言其失，謂私沈演、唐世濟等。
HCH_013_072_000164	上怒，奪允誠俸。
HCH_013_072_000165	體仁上疏自理。
HCH_013_072_000166	十二月，詔停開納例。
HCH_013_072_000167	六年二月，諭吏部薦舉潛修之士，科道不必端出考選，館員須應先歷知推，垂爲法。
HCH_013_072_000168	冬十月，論囚，上素服，御建極殿，召閣臣商榷，溫體仁竟無所平反。
HCH_013_072_000169	陝西華陰知縣徐兆麒赴任七日，城陷，竟棄市，上頗心惻，體仁不爲救，人皆寃之。
HCH_013_072_000170	七年春正月，刑科給事李世祺劾大學士溫體仁、吳宗達，謫於外，復罪考選郎中吳鳴虞。
HCH_013_072_000171	山西提學僉事袁繼咸上言曰：「養鳳欲鳴，養鷹欲擊。今鳴而箝其舌，擊而紲其羽，朝廷之於言官，何以異此！使言官括囊無咎，而大臣終無一人議其後，大臣所甚利，忠臣所深憂，臣所爲太息也！且皇上所樂聽者讜言，而天下誤以攻彈貴近爲天子所厭聞，其勢將波靡不止。」
HCH_013_072_000172	上以越職言事，切責之。
HCH_013_072_000173	三月，山、陝大饑，民相食，發金五萬賑之。
HCH_013_072_000174	免浙江崇禎三年以前織造。
HCH_013_072_000175	六月，江西饑，逋賦益多。
HCH_013_072_000176	觀政進士陸運昌上撫字八條，上可其奏，下戶部議。
HCH_013_072_000177	冬十月，上數御經筵，遇雪不輟，諭講官尚書韓日纘、姜逢元等毋忌諱。
HCH_013_072_000178	少詹事文震孟講《春秋》，上論仲子歸賵云：「此見當時朝政有闕，所以當講。自今進講，當以此類推。」
HCH_013_072_000179	十一月，侍讀倪元璐上制實八策，曰：「離敵交，繕旁邑，優守兵，靖降戎，益寇餉，儲邊才，奠輦轂，嚴敎育。」
HCH_013_072_000180	又制虛八策，曰：「正根本，伸公議，宣義問，一條敎，慮久遠，昭激勸，勵名節，明駕馭。」
HCH_013_072_000181	疏入，上令確奏伐交實計。
HCH_013_072_000182	其撫降戎、儲邊才、留秦、晉餉、館監敎習，俱下部。
HCH_013_072_000183	其制虛八策，多係奉旨，不必繼陳。
HCH_013_072_000184	旣而元璐再陳間敵之術，且請盡徹監視內臣，以重邊疆。
HCH_013_072_000185	不報。
HCH_013_072_000186	禮部右侍郎陳子壯嘗謁大學士溫體仁，體仁盛稱主上神聖，臣下不宜異同。
HCH_013_072_000187	子壯曰：「世宗皇帝最英明，然祔廟之議，勳戚之獄，當日臣工猶執持不已。皇上威嚴，有類世宗，公之恩遇，孰與張、桂！但以將順而廢匡救，恐非善則歸君之意也。」
HCH_013_072_000188	體仁意沮，遂成嫌隙。
HCH_013_072_000189	八年春正月，兵部職方主事賀王盛再劾溫體仁庸奸誤國，謫外。
HCH_013_072_000190	御史吳履中劾溫體仁、王應熊，并及監視內臣，上切責之。
HCH_013_072_000191	議湖廣加派。
HCH_013_072_000192	上以祖訓，凡郡王子孫有文武才能堪任用者，宗人府具以名聞，朝廷考驗，授以秩，其遷除如常例。
HCH_013_072_000193	禮部右侍郎陳子壯上言：「宗秩改授，適開僥倖之門，隳藩規，溷銓政。」
HCH_013_072_000194	上以其沮詔間親，下於理。
