HCH_009_026_000391	貞祐二年割為陝州支郡，以備潼關。
HCH_009_026_000392	戶一萬二十二。
HCH_009_026_000393	縣三、鎮五：虢略有鹿蹄山、黃河。
HCH_009_026_000394	燭水。
HCH_009_026_000395	鎮三靖遠、玉城、硃陽。
HCH_009_026_000396	盧氏有硃陽山、熊耳山、洛水、鄢水。
HCH_009_026_000397	鎮二社管，欒川舊為縣，海陵貞元二年廢為鎮。
HCH_009_026_000398	硃陽海陵時當廢，後複置。
HCH_009_026_000399	有地肺山。
HCH_009_026_000400	乾州，中，刺史。
HCH_009_026_000401	宋嘗改為醴州，天德三年複。
HCH_009_026_000402	戶二萬六千八百五十六。
HCH_009_026_000403	縣四、鎮三：奉天有梁山、莫谷水、甘谷水。
HCH_009_026_000404	鎮一薛祿。
HCH_009_026_000405	醴泉有九峻山、浪水。
HCH_009_026_000406	鎮一甘北。
HCH_009_026_000407	武亭本武功，大定二十九年以嫌顯宗諱更。
HCH_009_026_000408	有敦物山、武功山、渭水。
HCH_009_026_000409	鎮一長寧。
HCH_009_026_000410	好畤有梁山、武亭河。
HCH_009_026_000411	同州，中，宋馮翊郡定國節度，治馮翊。
HCH_009_026_000412	後改安國軍節度使。
HCH_009_026_000413	舊貢圓筋繭耳羊，大定十一年罷之。
HCH_009_026_000414	戶三萬五千五百六十一。
HCH_009_026_000415	縣六、鎮九：馮翊倚。
HCH_009_026_000416	有洛水、渭水。
HCH_009_026_000417	鎮二沙苑並臨。
HCH_009_026_000418	朝邑有黃河、渭水。
HCH_009_026_000419	鎮四朝邑、新市、延祥、洿穀。
HCH_009_026_000420	白水有五龍山、洛水、白水。
HCH_009_026_000421	郃陽有非山、瀵水、黃河。
HCH_009_026_000422	鎮一夏陽。
HCH_009_026_000423	澄城有梁山、洛水。
HCH_009_026_000424	韓城貞祐三年為楨州，以郃陽縣隸焉。
HCH_009_026_000425	鎮二寺前、良輔。
HCH_009_026_000426	耀州，上，刺史。
HCH_009_026_000427	宋華原郡感德軍節度，皇統二年降為軍事，後為刺史州。
HCH_009_026_000428	戶五萬二百一十一。
HCH_009_026_000429	縣四、鎮二：華原有土門山、漆水、沮水。
HCH_009_026_000430	同官有白馬山、同官川。
HCH_009_026_000431	鎮一黃堡。
HCH_009_026_000432	美原有頻陽山。
HCH_009_026_000433	三原有堯門山、中白渠。
HCH_009_026_000434	鎮一龍橋。
HCH_009_026_000435	華州，中。
HCH_009_026_000436	宋華陰郡鎮潼軍節度，治鄭，國初因之，後置節度使，皇統二年降為防禦使。
HCH_009_026_000437	貞祐三年八月升為節鎮，軍曰金安，以商州為支郡。
HCH_009_026_000438	戶五萬三千八百。
HCH_009_026_000439	縣五、鎮六：鄭倚。
HCH_009_026_000440	有少華山、聖山、渭水、符禺水。
HCH_009_026_000441	鎮一赤水。
HCH_009_026_000442	華陰有太華山、松果山、黃河、渭水、潼關。
HCH_009_026_000443	鎮二關西、敷水。
HCH_009_026_000444	下邽有渭水、太白渠。
HCH_009_026_000445	鎮二素化、新市。
HCH_009_026_000446	蒲城有金粟山、洛水。
HCH_009_026_000447	鎮一荊姚。
HCH_009_026_000448	渭南有靈臺山、渭水。
HCH_009_026_000449	鳳翔路，宋秦鳳路，治秦州。
HCH_009_026_000450	府二、領防禦二，刺郡二，縣三十三，城一，堡四，寨十四，鎮十五。
HCH_009_026_000451	鳳翔府，中。
HCH_009_026_000452	宋扶風郡鳳翔軍節度。
HCH_009_026_000453	皇統二年升為府，軍名天興，大定十九年更軍名為鳳翔。
HCH_009_026_000454	大定二十七年升總管府。
HCH_009_026_000455	產芎藭、獨活、燈草、無心草、升麻、秦艽、骨碎補、羌活。
HCH_009_026_000456	戶六萬三千三百三。
HCH_009_026_000457	縣九、鎮四：舊有橫水、驛店、崔模、麻務，長清五鎮，後廢。
HCH_009_026_000458	鳳翔倚。
HCH_009_026_000459	有杜陽山、吳岳、雍水。
HCH_009_026_000460	舊名天興縣，大定十九年更。
HCH_009_026_000461	寶雞有陳倉山、渭水、汧水、大散關。
HCH_009_026_000462	鎮一武城。
HCH_009_026_000463	虢有楚山、渭水。
HCH_009_026_000464	鎮一陽平。
HCH_009_026_000465	郿有太白山、渭水。
HCH_009_026_000466	盭厔南至巡馬道二十里。
HCH_009_026_000467	貞祐四年升為恆州，以郿縣隸焉。
HCH_009_026_000468	有終南山、渭水、浴穀。
HCH_009_026_000469	扶風國初作扶興。
HCH_009_026_000470	有渭水、湋水。
HCH_009_026_000471	鎮一岐陽。
HCH_009_026_000472	岐山有岐山、終南山、渭水、姜水、汧水。
HCH_009_026_000473	鎮一馬跡。
HCH_009_026_000474	普潤有杜水、漆水、岐山。
HCH_009_026_000475	麟遊有五將山、黝土山。
HCH_009_026_000476	德順州，上，刺史。
HCH_009_026_000477	宋德順軍，國初隸熙秦路，皇統二年升為州，大定二十七年來屬。
HCH_009_026_000478	貞祐四年四月升為防禦，十月升為節鎮，軍曰隴安。
HCH_009_026_000479	戶三萬五千四百四十九。
HCH_009_026_000480	縣六、寨四、堡一：舊有上接鎮、通安寨、王家城、牧龍城、同家堡、後廢。
HCH_009_026_000481	隴幹倚。
HCH_009_026_000482	水洛本中安堡城。
HCH_009_026_000483	堡一中安。
HCH_009_026_000484	威戎本威戎堡城。
HCH_009_026_000485	隆德本隆德寨。
HCH_009_026_000486	通邊本通邊寨。
HCH_009_026_000487	寨三靜邊舊為縣，得勝，甯安。
HCH_009_026_000488	治平本治平寨。
HCH_009_026_000489	寨一懷遠。
HCH_009_026_000490	平涼府，散，中。
HCH_009_026_000491	宋渭州隴西郡平涼軍節度。
HCH_009_026_000492	舊為軍，後置陝西西路轉運司、陝西東、西路提刑司。
