HCH_011_013_000107	佗日又進曰：「今與古異，不可以淳風期萬物。士大夫攀龍附鳳者，皆望有尺寸之功，以保其福祿。今童兒牧豎，悉知齊祚已終，莫不云明公其人也。天文人事，表革運之徵，永元以來，尤爲彰著。讖云『行中水，作天子』，此又歷然在記。天心不可違，人情不可失，苟是曆數所至，雖欲謙光，亦不可得已。」
HCH_011_013_000108	高祖曰：「吾方思之。」
HCH_011_013_000109	對曰：「公初杖兵樊、沔，此時應思，今王業已就，何所復思。昔武王伐紂，始入，民便曰吾君，武王不違民意，亦無所思。公自至京邑，已移氣序，比于周武，遲速不同。若不早定大業，稽天人之望，脫有一人立異，便損威德。且人非金石，時事難保。豈可以建安之封，遺之子孫？若天子還都，公卿在位，則君臣分定，無復異心。君明於上，臣忠於下，豈復有人方更同公作賊。」
HCH_011_013_000110	高祖然之。
HCH_011_013_000111	約出，高祖召范雲告之，雲對略同約旨。
HCH_011_013_000112	高祖曰：「智者乃爾暗同，卿明早將休文更來。」
HCH_011_013_000113	雲出語約，約曰：「卿必待我。」
HCH_011_013_000114	雲許諾，而約先期入，高祖命草其事。
HCH_011_013_000115	約乃出懷中詔書並諸選置，高祖初無所改。
HCH_011_013_000116	俄而雲自外來，至殿門不得入，徘徊壽光閣外，但云「咄咄」。
HCH_011_013_000117	約出，問曰：「何以見處？」
HCH_011_013_000118	約舉手向左，雲笑曰：「不乖所望。」
HCH_011_013_000119	有頃，高祖召范雲謂曰：「生平與沈休文羣居，不覺有異人處；今日才智縱橫，可謂明識。」
HCH_011_013_000120	雲曰：「公今知約，不異約今知公。」
HCH_011_013_000121	高祖曰：「我起兵於今三年矣，功臣諸將，實有其勞，然成帝業者，乃卿二人也。」
HCH_011_013_000122	梁臺建，爲散騎常侍、吏部尚書，兼右僕射。
HCH_011_013_000123	高祖受禪，爲尚書僕射，封建昌縣侯，邑千戶，常侍如故。
HCH_011_013_000124	又拜約母謝爲建昌國太夫人。
HCH_011_013_000125	奉策之日，右僕射范雲等二十餘人咸來致拜，朝野以爲榮。
HCH_011_013_000126	俄遷尚書左僕射，常侍如故。
HCH_011_013_000127	尋兼領軍，加侍中。
