HCH_012_009_000201	是年，占城、琉球、瓦剌、哈密、蘇門答剌、亦力把里入貢。
HCH_012_009_000202	七年春正月辛酉朔，日有食之，免朝賀。
HCH_012_009_000203	癸酉，大祀天地於南郊。
HCH_012_009_000204	二月甲午，以春和諭法司錄囚。
HCH_012_009_000205	三月庚申，下詔行寬卹之政。
HCH_012_009_000206	辛酉，諭禮部曰：「朕以官田賦重，十減其三。乃聞異時蠲租詔下，戶部皆不行，甚者戒約有司，不得以詔書為辭。是廢格詔令，使澤不下究也。自今令在必行，毋有所遏。」
HCH_012_009_000207	夏四月辛丑，免山西逋賦。
HCH_012_009_000208	壬寅，募商中鹽輸粟入邊。
HCH_012_009_000209	六月癸卯，錄囚。
HCH_012_009_000210	癸丑，罷中官入番市馬。
HCH_012_009_000211	是月，作官箴成，凡三十五篇，示百官。
HCH_012_009_000212	秋八月乙未，敕京官三品以上舉才行文學之士，吏部、都察院黜方面有司不職者。
HCH_012_009_000213	九月庚午，諸將巡邊。
HCH_012_009_000214	是秋，免兩畿及嘉興、湖州水災稅糧。
HCH_012_009_000215	冬十一月辛酉，召督漕平江伯陳瑄、侍郎趙新等歲終至京議糧賦利弊。
HCH_012_009_000216	是年，占城、琉球、哈密、哈烈、瓦剌、亦力把里入貢。
HCH_012_009_000217	八年春正月丁卯，大祀天地於南郊。
HCH_012_009_000218	二月壬子，錄囚，宥免五千餘人。
HCH_012_009_000219	三月丙辰，賜曹鼐等進士及第、出身有差。
HCH_012_009_000220	庚辰，諭內外優卹軍士，違者風憲官察奏罪之。
HCH_012_009_000221	是春，以兩京、河南、山東、山西久旱，遣使振卹。
HCH_012_009_000222	夏四月戊戌，詔蠲京省被災逋租、雜課，免今年夏稅，賜復一年。
HCH_012_009_000223	理冤獄，減殊死以下，赦軍匠在逃者罪。
HCH_012_009_000224	有司各舉賢良方正一人。
HCH_012_009_000225	巡按御史、按察使糾貪酷吏及使臣生事者。
HCH_012_009_000226	五月丁巳，總兵官都督蕭授討平貴州烏羅蠻。
HCH_012_009_000227	丁卯，山雲討平宜山蠻。
HCH_012_009_000228	六月乙酉，禱雨不應，作閔旱詩示羣臣。
HCH_012_009_000229	辛丑，詔中外疏決罪囚。
HCH_012_009_000230	是夏，復振兩京、河南、山東、山西、湖廣饑，免稅糧。
HCH_012_009_000231	秋七月壬申，免江西水災稅糧。
HCH_012_009_000232	八月癸巳，汰京師冗官。
HCH_012_009_000233	閏月辛亥，西域貢麒麟。
HCH_012_009_000234	戊午，景星見。
HCH_012_009_000235	禮官請表賀，皆不許。
HCH_012_009_000236	九月乙酉，遣官錄天下重囚。
HCH_012_009_000237	己亥，阿魯台部昝卜寇涼州，總兵官劉廣擊斬之。
