HCH_012_011_000132	十二月庚寅，禮部左侍郎王一寧、祭酒蕭鎡兼翰林學士，直文淵閣，預機務。
HCH_012_011_000133	是月，也先弒其主脫脫不花。
HCH_012_011_000134	是年，安南、琉球中山、瓦剌、哈密入貢。
HCH_012_011_000135	三年春正月丙午，大祀天地於南郊。
HCH_012_011_000136	二月乙酉，副都御史劉廣衡錄南京囚。
HCH_012_011_000137	戊子，戶部尚書金濂以違詔下獄，尋釋之。
HCH_012_011_000138	三月戊午，毛福壽討湖廣巴馬苗，克之。
HCH_012_011_000139	夏五月甲午，廢皇太子見深為沂王，立皇子見濟為皇太子。
HCH_012_011_000140	廢皇后汪氏，立太子母杭氏為皇后。
HCH_012_011_000141	封上皇子見清榮王，見淳許王。
HCH_012_011_000142	大赦天下。
HCH_012_011_000143	丙申，築沙灣堤成。
HCH_012_011_000144	辛丑，河南流民復業者，計口給食五年。
HCH_012_011_000145	乙巳，官顏、孟二氏子孫各一人。
HCH_012_011_000146	六月乙亥，罷各省巡撫官入京議事。
HCH_012_011_000147	是月，大雨，河決沙灣。
HCH_012_011_000148	秋七月乙未，左都御史王翺總督兩廣軍務。
HCH_012_011_000149	壬寅，王一寧卒。
HCH_012_011_000150	八月乙丑，振徐、兗水災。
HCH_012_011_000151	戊辰，都御史洪英，尚書孫原貞、薛希璉等分行天下，考察官吏。
HCH_012_011_000152	丁丑，振兩畿水災州縣，免稅糧。
HCH_012_011_000153	乙酉，振南畿、河南、山東流民。
HCH_012_011_000154	九月庚寅，江淵起復。
HCH_012_011_000155	辛卯，以南京地震，兩淮大水，河決，命都御史王文巡視安輯。
HCH_012_011_000156	乙未，振兩畿、山東、山西、福建、廣西、江西、遼東被災州縣。
HCH_012_011_000157	閏月癸未，開處州銀場。
HCH_012_011_000158	是月，福建盜起。
HCH_012_011_000159	冬十月戊戌，左都御史王文兼翰林學士，直文淵閣，預機務。
HCH_012_011_000160	丙辰，都督孫鏜、僉事石彪協守大同，都督同知衞潁，僉事楊能、張欽協守宣府，備也先。
HCH_012_011_000161	十一月己未朔，日有食之。
HCH_012_011_000162	戊辰，都督方瑛平白石崖諸苗。
HCH_012_011_000163	甲戌，安輯畿內、山東、山西逃民，復賦役五年。
HCH_012_011_000164	是月，免山東及淮、徐水災稅糧。
HCH_012_011_000165	十二月癸巳，始立團營，太監阮讓、都督楊俊等分統之，聽于謙、石亨、太監劉永誠、曹吉祥節制。
HCH_012_011_000166	是月，免河南及永平被災秋糧。
HCH_012_011_000167	是年，瓦剌、琉球中山、爪哇、暹羅、安南、哈密、烏斯藏入貢。
HCH_012_011_000168	四年春正月辛未，大祀天地於南郊。
HCH_012_011_000169	二月戊子，五開、清浪諸苗復叛，梁珤、王來討之。
HCH_012_011_000170	庚戌，免江西去年被災秋糧。
HCH_012_011_000171	三月戊寅，開建寧銀場。
HCH_012_011_000172	夏四月戊子，築沙灣決口。
HCH_012_011_000173	運南京倉粟振徐州。
HCH_012_011_000174	五月丁巳，發徐、淮倉振饑民。
HCH_012_011_000175	己巳，王文起復。
HCH_012_011_000176	甲戌，徐州復大水，民益饑。
HCH_012_011_000177	發支運及鹽課糧振之。
HCH_012_011_000178	丁丑，發淮安倉振鳳陽。
HCH_012_011_000179	乙酉，沙灣河復決。
HCH_012_011_000180	六月壬辰，吏部尚書何文淵以給事中林聰言下獄，尋令致仕。
HCH_012_011_000181	辛亥，瘞土木、大同、紫荊關暴骸。
HCH_012_011_000182	秋七月庚辰，停諸不急工役。
HCH_012_011_000183	八月己丑，振河南饑。
HCH_012_011_000184	甲午，也先自立為可汗。
HCH_012_011_000185	冬十月庚寅，詔天下鎮守、巡撫官督課農桑。
HCH_012_011_000186	甲午，諭德徐有貞為左僉都御史，治沙灣決河。
HCH_012_011_000187	戊戌，也先遣使來。
HCH_012_011_000188	十一月辛未，皇太子見濟薨。
HCH_012_011_000189	十二月乙未，免山東被災稅糧。
HCH_012_011_000190	乙巳，賚邊軍。
HCH_012_011_000191	是年，琉球中山、安南、爪哇、日本、占城、哈密、瓦剌入貢。
HCH_012_011_000192	五年春正月戊午，黃河清，自龍門至於芮城。
HCH_012_011_000193	甲子，大祀天地於南郊。
HCH_012_011_000194	壬申，罷福州、建寧銀場。
HCH_012_011_000195	甲戌，平江侯陳豫、學士江淵撫輯山東、河南被災軍民。
HCH_012_011_000196	二月乙巳，以雨暘弗時，詔修省，求直言。
HCH_012_011_000197	三月壬子，賜孫賢等進士及第、出身有差。
HCH_012_011_000198	辛酉，學士江淵振淮北饑民。
