HCH_010_045_000147	掌公主帐宅之事。
HCH_010_045_000148	辽太祖有帝王之度者三：代遙輦氏，尊九帐于御营之上，一也；灭渤海国，存其族帐，亚于遥辇，二也；并奚王之众，抚其帐部，拟于国族，三也。
HCH_010_045_000149	有英雄之智者三：任国舅以耦皇族，崇乙室以抗奚王，列二院以制遥辇是已。
HCH_010_045_000150	观北面诸帐官，可以见之矣。
HCH_010_045_000151	遥辇九帐大常衮司。
HCH_010_045_000152	掌遥辇洼可汗、阻午可汗、胡剌可汗、苏可汗、鲜质可汗、昭古可汗、耶澜可汗、巴剌可汗、痕德堇可汗九世宫分之事。
HCH_010_045_000153	太祖受位于遥辇，以九帐居皇族一帐之上，设常衮司以奉之，有司不与焉。
HCH_010_045_000154	凡辽十二宫、五京，皆太祖以来征讨所得，非受之于遥辇也。
HCH_010_045_000155	其待先世之厚，蔑以加矣。
HCH_010_045_000156	辽俗东向而尚左，御帐东向，遥辇九帐南向，皇族三父帐北向。
HCH_010_045_000157	东西为经，南北为纬，故谓御营为横帐云。
HCH_010_045_000158	大常衮。
HCH_010_045_000159	亦曰敞稳。
HCH_010_045_000160	遥辇侍中，一作世烛。
HCH_010_045_000161	太宗會同元年置。
HCH_010_045_000162	遥辇克。
HCH_010_045_000163	官名未详。
HCH_010_045_000164	大国舅司。
HCH_010_045_000165	掌国舅乙室已、拔里二帐之事。
HCH_010_045_000166	太宗天顯十年，合皇太后二帐为国舅司；圣宗開泰三年，又并乙室已、拔里二司为一帐。
HCH_010_045_000167	乙室已国舅大翁帐常衮。
HCH_010_045_000168	一作敞稳。
HCH_010_045_000169	敞史。
HCH_010_045_000170	太宗会同元年，改郎君为敞史。
HCH_010_045_000171	国舅本族小将军。
HCH_010_045_000172	兴宗重熙五年，枢密院奏，国舅乙室已小翁帐敞史，准大横帐及国舅二父帐，改为将军。
HCH_010_045_000173	国舅别部。
HCH_010_045_000174	世宗置。
HCH_010_045_000175	官制未详。
HCH_010_045_000176	国舅别部敞史。
HCH_010_045_000177	圣宗太平八年，见国舅别部敞史萧塔葛。
HCH_010_045_000178	渤海帐司。
HCH_010_045_000179	官制未详。
HCH_010_045_000180	乙室王府。
HCH_010_045_000181	并见部族官。
HCH_010_045_000182	辽建诸宫斡鲁朵，部族、蕃户，统以北面宫官。
HCH_010_045_000183	具如左。
HCH_010_045_000184	诸行宫都部署院。
HCH_010_045_000185	总契丹汉人诸行宫之事。
HCH_010_045_000186	契丹行宫都部署司。
HCH_010_045_000187	总行在行军诸斡鲁朵之政令。
