HCH_012_253_000097	至發乃具疏，自謂當去者三，而未嘗引疾，忽得旨回籍調理，時人傳笑，以為遵旨患病雲。
HCH_012_253_000098	至發頗清強。
HCH_012_253_000099	起自外吏，諸翰林多不服，又始終惡異己，不能虛公延攬。
HCH_012_253_000100	帝亦惡其泄漏機密，聽之去。
HCH_012_253_000101	且不遣行人護行，但令乘傳，賜道里費六十金、彩幣二表裏，視首輔去國彜典，僅得半焉。
HCH_012_253_000102	既歸，捐貲改建淄城，賜敕優獎。
HCH_012_253_000103	俄以徽號禮成，遣官存問。
HCH_012_253_000104	十四年夏，帝思用舊臣，特敕召周延儒、賀逢聖及至發，獨至發四疏辭。
HCH_012_253_000105	明年七月病歿。
HCH_012_253_000106	先屢加太子太傅、禮部尚書、文淵閣大學士。
HCH_012_253_000107	及卒，贈少保，祭葬，蔭子如制。
HCH_012_253_000108	代至發為首輔者，孔貞運。
HCH_012_253_000109	代貞運者，劉宇亮。
HCH_012_253_000110	貞運，句容人，至聖十三代孫也。
HCH_012_253_000111	萬歷四十七年以殿試第二人授編修。
HCH_012_253_000112	天啟中，充經筵展書官，纂修《兩朝實錄》。
HCH_012_253_000113	莊烈帝嗣位，貞運進講《皇明寶訓》，稱述祖宗勤政講學事，帝嘉納之。
HCH_012_253_000114	崇禎元年，擢國子監祭酒，尋進少詹，仍管監事。
HCH_012_253_000115	二年正月，帝臨雍，貞運進講《書經》。
HCH_012_253_000116	唐貞觀時，祭酒孔穎達講《孝經》，有釋奠頌。
HCH_012_253_000117	孔氏子孫以國師進講，至貞運乃再見。
HCH_012_253_000118	帝以聖裔故，從優賜一品服。
HCH_012_253_000119	冬十月，畿輔被兵，條上御敵城守應援數策。
HCH_012_253_000120	尋以艱歸。
HCH_012_253_000121	六年服闋，起南京禮部侍郎。
HCH_012_253_000122	越二年，遷吏部左侍郎。
HCH_012_253_000123	九年六月，與賀逢聖、黃士俊並入內閣。
HCH_012_253_000124	時體仁當國，欲重治復社，值其在告，貞運從寬結之。
HCH_012_253_000125	體仁怒語人曰：「句容亦聽人提索矣。」
HCH_012_253_000126	自是不敢有所建白。
HCH_012_253_000127	及至發去位，貞運代之，乃揭救鄭三俊、錢謙益，俱從寬擬。
HCH_012_253_000128	帝親定考選諸臣，下輔臣再閱，貞運及薛國觀有所更。
HCH_012_253_000129	迨命下，閣擬悉不從，而帝以所擇十八卷下部議行。
HCH_012_253_000130	適新御史郭景昌等謁貞運於朝房，貞運言所下諸卷，說多難行。
HCH_012_253_000131	景昌與辯，退即上疏劾之。
HCH_012_253_000132	帝雖奪景昌俸，貞運卒引歸。
HCH_012_253_000133	十七年五月，莊烈帝哀詔至，貞運哭臨，慟絕不能起。
HCH_012_253_000134	舁歸，得疾遽卒。
HCH_012_253_000135	黃士俊，順德人。
HCH_012_253_000136	萬歷三十五年殿試第一。
HCH_012_253_000137	授修撰，歷官禮部尚書。
HCH_012_253_000138	崇禎九年入閣，累加少傅，予告歸。
HCH_012_253_000139	父母俱在堂，錦衣侍養，人以為榮。
HCH_012_253_000140	唐王以原官召，未赴。
HCH_012_253_000141	後相永明王，耄不能決事，數為臺省論列。
HCH_012_253_000142	辭歸而卒。
HCH_012_253_000143	劉宇亮，綿竹人。
HCH_012_253_000144	萬歷四十七年進士。
HCH_012_253_000145	屢遷吏部右侍郎。
HCH_012_253_000146	崇禎十年八月，擢禮部尚書，與傅冠、薛國觀同入閣。
HCH_012_253_000147	宇亮短小精悍，善擊劍。
HCH_012_253_000148	居翰林，常與家僮角逐為樂。
HCH_012_253_000149	性不嗜書，館中纂修、直講、典試諸事，皆不得與。
HCH_012_253_000150	座主錢士升為之援，又力排同鄉王應熊，張己聲譽，竟獲大用。
HCH_012_253_000151	明年六月，貞運罷歸，遂代為首輔。
HCH_012_253_000152	其冬，都城戒嚴，命閱視三大營及勇衛營軍士，兩日而畢。
HCH_012_253_000153	又閱視內城九門，外城七門，皆茍且卒事。
HCH_012_253_000154	時大清兵深入，帝憂甚，宇亮自請督察軍情。
HCH_012_253_000155	帝喜，即革總督盧象升任，命宇亮往代。
HCH_012_253_000156	字亮請督察，而帝忽改為總督，大懼，與國觀及楊嗣昌謀，且具疏自言。
HCH_012_253_000157	乃留象升，而宇亮仍往督察，各鎮勤王兵皆屬焉。
HCH_012_253_000158	甫抵保定，聞象升戰歿，過安平，偵者報大清兵將至，相顧無人色，急趨晉州避之，知州陳弘緒閉門不納，士民亦歃血誓不延一兵。
HCH_012_253_000159	宇亮大怒，傳令箭：亟納師，否則軍法從事。
HCH_012_253_000160	弘緒亦傳語曰：「督師之來以禦敵也，今敵且至，奈何避之？芻糧不繼，責有司，欲入城，不敢聞命。」
HCH_012_253_000161	宇亮乃馳疏劾之，有旨逮治。
HCH_012_253_000162	州民詣闕訟冤，願以身代者千計，弘緒得鐫級調用。
HCH_012_253_000163	帝自是疑宇亮不任事，徒擾民矣。
HCH_012_253_000164	明年正月至天津。
HCH_012_253_000165	憤諸將退避，疏論之，因及總兵劉光祚逗遛狀。
HCH_012_253_000166	國觀方冀為首輔，與嗣昌謀傾宇亮，遽擬旨軍前斬光祚。
HCH_012_253_000167	比旨下，光祚適有武清之捷，宇亮乃系光祚於獄，而具疏乞宥，繼上武清捷音。
HCH_012_253_000168	國觀乃擬嚴旨，責以前後矛盾，下九卿科道議。
HCH_012_253_000169	僉謂宇亮玩弄國憲，大不敬。
HCH_012_253_000170	宇亮疏辯，部議落職閑住，給事中陳啟新、沈迅復重劾之，改擬削籍。
HCH_012_253_000171	帝令戴罪圖功，事平再議。
HCH_012_253_000172	宇亮竟以此去位，而國觀代為首輔矣。
HCH_012_253_000173	已而定失事者五案，宇亮終免議。
HCH_012_253_000174	久之，卒於家。
HCH_012_253_000175	薛國觀，韓城人。
HCH_012_253_000176	萬歷四十七年進士。
HCH_012_253_000177	授萊州推官。
HCH_012_253_000178	天啟四年，擢戶部給事中，數有建白。
HCH_012_253_000179	魏忠賢擅權，朝士爭擊東林。
HCH_012_253_000180	國觀所劾御史遊士任、操江都御史熊明遇、保定巡撫張鳳翔、兵部侍郎蕭近高、刑部尚書喬允升，皆東林也。
HCH_012_253_000181	尋遷兵科右給事中，於疆事亦多所論奏。
HCH_012_253_000182	忠賢遣內臣出鎮，偕同官疏爭。
HCH_012_253_000183	七年，再遷刑科都給事中。
