HCH_015_027_000073	進平南將軍，增督南豫、北徐二州，增邑為千戶。
HCH_015_027_000074	初，孝武世，太祖為舍人，懷珍為直閤，相遇早舊。
HCH_015_027_000075	懷珍假還青州，上有白驄馬，齧人，不可騎，送與懷珍別。
HCH_015_027_000076	懷珍報上百匹絹。
HCH_015_027_000077	或謂懷珍曰：「蕭君此馬不中騎，是以與君耳。君報百匹，不亦多乎？」
HCH_015_027_000078	懷珍曰：「蕭君局量堂堂，寧應負人此絹。吾方欲以身名托之，豈計錢物多少。」
HCH_015_027_000079	太祖輔政，以懷珍內資未多，二年冬，徵為都官尚書，領前軍將軍，以第四子寧朔將軍晃代為豫州刺史。
HCH_015_027_000080	或疑懷珍不受代，太祖曰：「我布衣時，懷珍便推懷投款，況在今日，寧當有異？」
HCH_015_027_000081	晃發經日，而疑論不止。
HCH_015_027_000082	上乃遣軍主房靈民領百騎追送晃，謂靈民曰：「論者謂懷珍必有異同，我期之有素，必不應爾。卿是其鄉里，故遣卿行，非唯衛新，亦以迎故也。」
HCH_015_027_000083	懷珍還，仍授相國右司馬。
HCH_015_027_000084	建元元年，轉左衛將軍，加給事中，改霄城侯，增邑二百戶。
HCH_015_027_000085	明年，加散騎常侍。
HCH_015_027_000086	虜寇淮、肥，以本官加平西將軍，假節，西屯巢湖，為壽春勢援，虜退乃還。
HCH_015_027_000087	懷珍年老，以禁旅辛勤，求為閒職，轉光祿大夫，常侍如故。
HCH_015_027_000088	其冬，虜寇朐山，授使持節、安北將軍，本官如故，領兵救授。
HCH_015_027_000089	未至，事寧，解安北、持節。
HCH_015_027_000090	四年，疾篤，上表解職，上優詔答許，別量所授。
HCH_015_027_000091	其夏，卒，年六十三。
HCH_015_027_000092	遺言薄葬。
HCH_015_027_000093	世祖追贈散騎常侍、鎮北將軍、雍州刺史，諡曰敬侯。
HCH_015_027_000094	子靈哲，字文明。
HCH_015_027_000095	解褐王國常侍、行參軍，尚書直郎，齊臺步兵校尉。
