HCH_012_231_000226	其兼銜必曰太子之師、傅、保，而冊立皇元子之儀，至今又復改遲，臣不知其所兼者何職矣。
HCH_012_231_000227	所當論者七。
HCH_012_231_000228	翰林一途，謂之儲相。
HCH_012_231_000229	累貲躡級，循列卿位，以覬必得。
HCH_012_231_000230	遂使國家命相之大任，僅為閣臣援引之私物。
HCH_012_231_000231	庸者習軟熟結納之態，黠者恣憑陵侵奪之謀。
HCH_012_231_000232	外推內引，珰閣表裏。
HCH_012_231_000233	始進不正，安望其終？
HCH_012_231_000234	故自來內閣之臣一據其位，遠者二十年，近者十年，不敗不止。
HCH_012_231_000235	嵩之鑒不遠，而居正蹈之；居正之鑒不遠，而時行又蹈之。
HCH_012_231_000236	繼其後者庸碌罷駑，或甚於時行；褊隘執拗，又復為居正。
HCH_012_231_000237	若非大破常格，公天下以選舉，相道終未可言。
HCH_012_231_000238	所當論者八。
HCH_012_231_000239	先民詢芻蕘之言，明王設誹謗之木。
HCH_012_231_000240	今大臣懼人攻己，而欲鉗天下之口，不目之為奸、為邪、為浮薄，必詈之為讒、為謗、為小人。
HCH_012_231_000241	目前之耳目可塗，身後之是非難罔。
HCH_012_231_000242	所當論者九。
HCH_012_231_000243	君臣之分，等於天地。
HCH_012_231_000244	今上名之曰總政，己亦居之曰總政。
HCH_012_231_000245	以其身居於寵利之極，耐彈忍辱，必老死於位而後已。
HCH_012_231_000246	古所謂元老大臣，乃如是其不知進退存亡者耶？
HCH_012_231_000247	大臣既無難進易退之節，天下安有頑廉懦立之風！
HCH_012_231_000248	舉一世之人心風俗，糜爛於乞祼登壟之坑，滔滔而莫之止。
HCH_012_231_000249	是故陛下之治，前數年不勝其操切慘刻，而勢焰爍人；後數年不勝其姑息委靡，而賢愚共貫。
HCH_012_231_000250	前之政自居正總，今之政自時行總，而皆不自朝廷總故也。
HCH_012_231_000251	所當論者十。
HCH_012_231_000252	然君道莫先論相，而取人亦在君身，願陛下勿以國本為兒戲。
HCH_012_231_000253	昔孔子以九經告君，而先之修身、勸賢。
HCH_012_231_000254	大抵讒夫女謁貨利之交，一有惑溺，則內之心誌決不清明，外之身體決不強固。
HCH_012_231_000255	矧以艷處之褒姒，而為善譖之驪姬，狐媚既以蠱其心，鹿臺又復移其誌。
HCH_012_231_000256	陛下之方寸，臣知其不能自持者多矣，抑何以貴德尊士，而修身取人哉！
HCH_012_231_000257	陛下所以遲遲建儲者，謂欲效皇祖世宗之為耳。
HCH_012_231_000258	然皇祖中年嘗立莊敬為太子，封皇考為裕王，非終不立太子也。
HCH_012_231_000259	矧今日事體又迥然不同。
HCH_012_231_000260	皇貴妃寵過皇后。
HCH_012_231_000261	其處心積慮，無一日而不萌奪嫡之心，無一日而不思為援立其子之計。
HCH_012_231_000262	此世宗時所無也。
HCH_012_231_000263	凡子必依於母，皇元子之母壓於皇貴妃之下。
HCH_012_231_000264	陛下曰「長幼有序」，皇貴妃曰「貴賤有等」。
HCH_012_231_000265	倘一日遂其奪嫡之心，不審陛下何以處此？
HCH_012_231_000266	此世宗時所無也。
