HCH_012_047_000094	建圜丘壇於正陽門外五里許，大祀殿之南，方澤壇於安定門外之東。
HCH_012_047_000095	圜丘二成，壇面及欄俱青琉璃，邊角用白玉石，高廣尺寸皆遵祖制，而神路轉遠。
HCH_012_047_000096	內門四。
HCH_012_047_000097	南門外燎爐毛血池，西南望燎臺。
HCH_012_047_000098	外門亦四。
HCH_012_047_000099	南門外左具服臺，東門外神庫、神廚、祭器庫、宰牲亭，北門外正北泰神殿。
HCH_012_047_000100	正殿以藏上帝、太祖之主，配殿以藏從祀諸神之王。
HCH_012_047_000101	外建四天門：東曰泰元，南曰昭亭，西曰廣利。
HCH_012_047_000102	又西鑾駕庫，又西犧牲所，其北神樂觀。
HCH_012_047_000103	北曰成貞。
HCH_012_047_000104	北門外西北爲齋宮，迤西爲壇門，壇北，舊天地壇，即大祀殿也。
HCH_012_047_000105	十七年撤之，又改泰神殿曰皇穹宇。
HCH_012_047_000106	二十四年，又即故大祀殿之址建大享殿。
HCH_012_047_000107	方澤亦二成，壇面黃琉璃，陛增爲九級，用白石圍以方坎。
HCH_012_047_000108	內，北門外西瘞位，東燈臺，南門外皇祇室。
HCH_012_047_000109	外，西門外迤西神庫、神廚、宰牲亭、祭器庫，北門外西北齋宮。
HCH_012_047_000110	又外建四天門，西門外北爲鑾駕庫、遣官房、內陪祀官房。
HCH_012_047_000111	又外爲壇門，門外爲泰折街牌坊，護壇地千四百餘畝。
HCH_012_047_000112	太社稷壇，在宮城西南，東西峙，明初建。
HCH_012_047_000113	廣五丈，高五尺，四出陛，皆五級。
HCH_012_047_000114	壇土五色隨其方，黃土覆之。
HCH_012_047_000115	壇相去五丈，壇南皆樹鬆。
HCH_012_047_000116	二壇同一壝，方廣三十丈，高五尺，甃磚，四門飾色隨其方。
HCH_012_047_000117	周坦四門，南靈星門三，北戟門五，東西戟門三。
HCH_012_047_000118	戟門各列戟二十四。
HCH_012_047_000119	洪武十年，改壇午門右，社稷共一罈，爲二成。
HCH_012_047_000120	上成廣五丈，下成廣五丈三尺，崇五尺。
HCH_012_047_000121	外壝崇五尺，四面各十九丈有奇。
HCH_012_047_000122	外垣東西六十六丈有奇，南北八十六丈有奇。
HCH_012_047_000123	垣北三門，門外爲祭殿，其北爲拜殿。
HCH_012_047_000124	外復爲三門，垣東、西、南門各一。
HCH_012_047_000125	永樂中，建壇北京，如其制。
HCH_012_047_000126	帝社稷壇在西苑，壇址高六寸，方廣二丈五尺，甃細磚，實以淨土。
HCH_012_047_000127	壇北樹二坊，曰社街。
HCH_012_047_000128	王國社稷壇，高廣殺太社稷十之三。
HCH_012_047_000129	府、州、縣社稷壇，廣殺十之五，高殺十之四，陛三級。
HCH_012_047_000130	後皆定同壇合祭，如京師。
HCH_012_047_000131	朝日、夕月壇，洪武三年建。
HCH_012_047_000132	朝日壇高八尺，夕月壇高六尺，俱方廣四丈。
HCH_012_047_000133	兩壝，壝各二十五步。
HCH_012_047_000134	二十一年罷。
HCH_012_047_000135	嘉靖九年復建，壇各一成。
HCH_012_047_000136	朝日壇紅琉璃，夕月壇用白。
HCH_012_047_000137	朝日壇陛九級，夕月壇六級，俱白石。
HCH_012_047_000138	各建天門二。
HCH_012_047_000139	先農壇，高五尺，廣五丈，四出陛。
HCH_012_047_000140	御耕耤位，高三尺，廣二丈五尺，四出陛。
HCH_012_047_000141	山川壇，洪武九年建。
HCH_012_047_000142	正殿、拜殿各八楹，東西廡二十四楹。
HCH_012_047_000143	西南先農壇，東南具服殿，殿南耤田壇，東旗纛廟，後爲神倉。
HCH_012_047_000144	周垣七百餘丈，垣內地歲種穀蔬，供祀事。
HCH_012_047_000145	嘉靖十年，改名天神地祇壇，分列左右。
HCH_012_047_000146	太歲壇與嶽瀆同。
HCH_012_047_000147	嶽鎮海瀆山川城隍壇，據高阜，南向，高二尺五寸，方廣十倍，四出陛，南向五級，東西北三級。
HCH_012_047_000148	王國山川壇，高四尺，四出陛，方三丈五尺。
HCH_012_047_000149	天下山川所在壇，高三尺，四出陛，三級，方二丈五尺。
HCH_012_047_000150	神位圜丘。
HCH_012_047_000151	洪武元年冬至，正壇第一成，昊天上帝南向。
HCH_012_047_000152	第二成，東大明，星辰次之，西夜明，太歲次之。
HCH_012_047_000153	二年，奉仁祖配，位第一成，西向。
HCH_012_047_000154	三年，壇下壝內，增祭風雲雷雨。
HCH_012_047_000155	七年更定，內壝之內，東西各三壇。
HCH_012_047_000156	星辰二壇，分設於東西。
HCH_012_047_000157	其次，東則太歲、五嶽，西則風雲雨、五鎮。
HCH_012_047_000158	內壝之外，東西各二壇。
HCH_012_047_000159	東四海，西四瀆。
HCH_012_047_000160	次天下神祇壇，東西分設。
HCH_012_047_000161	方丘。
HCH_012_047_000162	洪武二年夏至，正壇第一成，皇地祇，南向。
HCH_012_047_000163	第二成，東五嶽，次四海，西五鎮，次四瀆。
HCH_012_047_000164	三年，奉仁祖配，位第一成，西向。
HCH_012_047_000165	壇下壝內，增祭天下山川。
