HCH_012_235_000121	或疑外臣不可盡信，或疑外事未可盡從。
HCH_012_235_000122	君臣相猜，政事積廢。
HCH_012_235_000123	致市猾得以揣意旨，左右得以播威權。
HCH_012_235_000124	惟利是聞，禍將胡底。
HCH_012_235_000125	謹以三輕二重之弊為陛下陳之。
HCH_012_235_000126	一、部院之體漸輕。
HCH_012_235_000127	或虛其位而不補，或用其人而不任。
HCH_012_235_000128	如冬官一曹，亞卿專署，已為異事，乃冢宰何官，數月虛位。
HCH_012_235_000129	法司議劉世延罪，竟爾留中，主事劉冠南疏入即發。
HCH_012_235_000130	何小臣聽而大臣不聽，單疏下而公疏不下哉！
HCH_012_235_000131	以至戶曹三疏諫開礦，臣院九疏催行取，皆置不報。
HCH_012_235_000132	議大事則十疏而九不行，遇廷推則十人而九不用。
HCH_012_235_000133	失大臣師表百僚，奈何輕之至此！
HCH_012_235_000134	一、科道之職漸輕。
HCH_012_235_000135	五科都給事中久虛不補，御史曹學程一系不釋，考選臺諫，屢請屢格，乃至服闋補任，亦皆廢閣。
HCH_012_235_000136	是不欲言路之充也。
HCH_012_235_000137	夫政無缺失，何憚人言。
HCH_012_235_000138	徒使唯諾風成，謇諤意絕，國是將何定乎？
HCH_012_235_000139	一、撫按之任漸輕。
HCH_012_235_000140	如開礦一事，撫按有言，鹹蒙切責。
HCH_012_235_000141	於是鄭一麟以千戶而妄劾李盛春。
HCH_012_235_000142	夫閽人、武弁得以制巡撫之命，紀綱不倒置乎？
HCH_012_235_000143	一珰得誌，諸珰效尤，撫按斂手，何有於監司？
HCH_012_235_000144	從此陛下之赤子將無人拊循矣。
HCH_012_235_000145	一、進獻之途漸重。
HCH_012_235_000146	下僚捐俸，儒士獻資，名為助工，實懷覬幸。
HCH_012_235_000147	甚者百戶王守仁以謀復世爵，妄構楚府，而使陛下恩薄於懿親；主簿張以述以求復舊秩，妄獻白鹿，而使陛下德損於玩物。
HCH_012_235_000148	部臣糾之不聽，言官糾之不聽，業已明示好惡，大開受獻之門。
HCH_012_235_000149	將見媚子宵人，投袂競起，今日獻靈瑞，明日貢珍奇，究使敗節文官、僨軍武帥，憑藉錢神，邀求故物，不至如嘉靖末年之濁亂不止也。
HCH_012_235_000150	一、內差之勢漸重。
HCH_012_235_000151	中使紛然四出，乞請之章無日不上，批答之旨無言不溫。
HCH_012_235_000152	左右藉武弁以營差，武弁藉左右以網利，共構狂言，誑惑天聽。
HCH_012_235_000153	陛下方厭外臣沮撓，謂欲辦家事，必賴家奴，於是有言無不立聽。
HCH_012_235_000154	豈武弁皆急君，而朝紳盡誤國乎？
HCH_012_235_000155	今奸宄實繁有徒。
HCH_012_235_000156	采礦不已，必及采珠；皇店不止，漸及皇莊。
HCH_012_235_000157	繼而營市舶，繼而復鎮守，內可以謀坐營，外可以謀監軍。
HCH_012_235_000158	正德敝風，其鑒不遠。
HCH_012_235_000159	凡此三輕二重，勢每相因。
HCH_012_235_000160	德與財不並立，中與外不兩勝，惟陛下早見而速圖之。
HCH_012_235_000161	不報。
HCH_012_235_000162	又明年六月，兩宮三殿繼災。
HCH_012_235_000163	養蒙復上疏曰：近日之災，前古未有。
HCH_012_235_000164	自非君臣交儆，痛革敝風，恐虛文相謾，大禍必至。
HCH_012_235_000165	臣請陛下躬謁郊廟以謝嚴譴，立禦便殿以通物情，早建國本以系人心。
HCH_012_235_000166	停銀礦、皇店之役，杜四海亂階；減宦官宮妾之刑，弭蕭墻隱禍。
HCH_012_235_000167	然此皆應天實事，猶非應天實心也。
HCH_012_235_000168	罪己不如正己，格事不如格心。
HCH_012_235_000169	陛下平日成心有四：一曰好逸。
HCH_012_235_000170	朝享倦於躬臨，章奏倦於省覽。
HCH_012_235_000171	古帝王乾健不息，似不如此。
HCH_012_235_000172	一曰好疑。
HCH_012_235_000173	疑及近侍，則左右莫必其生；疑及外庭，則僚采不安於位。
HCH_012_235_000174	究且謀以疑敗，奸以疑容。
HCH_012_235_000175	古帝王至誠馭物，似不如此。
HCH_012_235_000176	一曰好勝。
HCH_012_235_000177	奮厲威嚴以震群工，喜諂諛而惡鯁直，厭封駁而樂順從。
HCH_012_235_000178	古帝王予違汝弼，似不如此。
HCH_012_235_000179	一曰好貨。
HCH_012_235_000180	以聚斂為奉公，以投獻為盡節。
HCH_012_235_000181	古帝王四海為家，似不如此。
HCH_012_235_000182	願陛下戒此四者，亟圖更張，庶天意可回，國祚可保。
HCH_012_235_000183	帝亦不省。
HCH_012_235_000184	尋遷戶部右侍郎。
HCH_012_235_000185	時再用師朝鮮，命養蒙督餉。
HCH_012_235_000186	事寧，予一子官。
HCH_012_235_000187	三十年，尚書陳蕖稱疾乞罷。
HCH_012_235_000188	詔養蒙署事。
HCH_012_235_000189	會養蒙亦有疾在告，固辭。
HCH_012_235_000190	給事中夏子陽劾其托疾，遂罷歸。
HCH_012_235_000191	卒於家。
HCH_012_235_000192	天啟初，賜謚毅敏。
HCH_012_235_000193	孟一脈，字淑孔，東阿人。
HCH_012_235_000194	隆慶五年進士。
HCH_012_235_000195	為平遙知縣。
HCH_012_235_000196	以廉能擢南京御史。
HCH_012_235_000197	萬歷六年五月，上言：「近上兩宮徽號，覃恩內外，獨御史傅應禎、進士鄒元標、部郎艾穆、沈思孝，投荒萬里，遠絕親闈，非所以廣錫類溥仁施也。」
HCH_012_235_000198	疏入，忤張居正，黜為民。
HCH_012_235_000199	居正死，起故官，疏陳五事，言：近再選宮女至九十七人，急征一時，輦下甚擾。
HCH_012_235_000200	一也。
HCH_012_235_000201	中外章奏，宜下部臣議覆，閣臣擬旨，脫有不當，臺諫得糾駁之。
HCH_012_235_000202	今乃不任臣工，顓取宸斷，明旨一出，臣下莫敢犯顏。
HCH_012_235_000203	二也。
HCH_012_235_000204	士習邪正，系世道汙隆。
HCH_012_235_000205	今廉恥日喪，營求茍且。
HCH_012_235_000206	亟宜更化救弊，先實行而後才華。
HCH_012_235_000207	三也。
HCH_012_235_000208	東南財賦之區，靡於淫巧，民力竭矣，非陛下有以倡之乎？
HCH_012_235_000209	數年以來，禦用不給。
HCH_012_235_000210	今日取之光祿，明日取之太僕，浮梁之磁，南海之珠，玩好之奇，器用之巧，日新月異。
HCH_012_235_000211	遇聖節則有壽服，元宵則有燈服，端陽則有五毒吉服，年例則有歲進龍服。
