HCH_012_249_000153	諸蠻爭納土，獻重器。
HCH_012_249_000154	燮元乃裂疆域，眾建諸蠻。
HCH_012_249_000155	復上疏曰：水西有宣慰之土，有各目之土。
HCH_012_249_000156	宣慰公土，宜還朝廷。
HCH_012_249_000157	各目私土，宜畀分守，籍其戶口，征其賦稅，殊俗內響，等之編氓。
HCH_012_249_000158	大方、西溪、谷裏、北那要害之地，築城戍兵，足銷反側。
HCH_012_249_000159	夫西南之境，皆荒服也，楊氏反播，奢氏反藺，安氏反水西。
HCH_012_249_000160	滇之定番，小州耳，為長官司者十有七，數百年來未有反者。
HCH_012_249_000161	非他苗好叛逆，而定番性忠順也，地大者跋扈之資，勢弱者保世之策。
HCH_012_249_000162	今臣分水西地，授之酋長及有功漢人，咸俾世守。
HCH_012_249_000163	虐政苛斂，一切蠲除，參用漢法，可為長久計。
HCH_012_249_000164	不設郡縣置軍衛，因其故俗，土漢相安，便一。
HCH_012_249_000165	地益墾辟，聚落日繁，經界既正，土酋不得侵軼民地，便二。
HCH_012_249_000166	黔地荒確，仰給外邦，今自食其地，省轉輸勞，便三。
HCH_012_249_000167	有功將士，酬以金則國幣方匱，酬以爵則名器將輕，錫以土田，於國無損，便四。
HCH_012_249_000168	既世其土，各圖久遠，為子孫計，反側不生，便五。
HCH_012_249_000169	大小相維，輕重相制，無事易以安，有事易以制，便六。
HCH_012_249_000170	訓農治兵，耀武河上，俾賊遺孽不敢窺伺，便七。
HCH_012_249_000171	軍民願耕者給田，且耕且守，衛所自實，無勾軍之累，便八。
HCH_012_249_000172	軍耕抵餉，民耕輸糧，以屯課耕，不拘其籍，以耕聚人，不世其伍，便九。
HCH_012_249_000173	帝咸報可。
HCH_012_249_000174	無何，所撫土目有叛者，諸將方國安等軍敗，燮元坐貶一秩。
HCH_012_249_000175	已，竟破滅之。
HCH_012_249_000176	十一年春卒官，年七十三。
HCH_012_249_000177	燮元長八尺，腹大十圍，飲啖兼二十人。
HCH_012_249_000178	鎮西南久，軍貲贖鍰，歲不下數十萬，皆籍之於官。
HCH_012_249_000179	治事明決，軍書絡繹，不假手幕佐。
HCH_012_249_000180	行軍務持重，謀定後戰，尤善用間。
HCH_012_249_000181	使人各當其材，犯法，即親愛必誅；有功，廝養不遺賞也。
HCH_012_249_000182	馭蠻以忠信，不妄殺，苗民懷之。
HCH_012_249_000183	初官陜西時，遇一老叟，載與歸，盡得其風角、占候、遁甲諸術。
HCH_012_249_000184	將別，語燮元曰：「幸自愛，他日西南有事，公當之矣。」
HCH_012_249_000185	內江牟康民者，奇士也，兵未起時，語人曰：「蜀且有變，平之者朱公乎？」
HCH_012_249_000186	已而果然。
HCH_012_249_000187	徐如珂，字季鳴，吳縣人。
HCH_012_249_000188	萬歷二十三年進士。
HCH_012_249_000189	除刑部主事，歷郎中。
HCH_012_249_000190	主事謝廷贊疏請建儲。
HCH_012_249_000191	帝怒，盡貶刑曹官，如珂降云南布政司照磨。
HCH_012_249_000192	累遷南京禮部郎中、廣東嶺南道右參議。
HCH_012_249_000193	暹羅貢使饋犀角、象牙，如珂不受。
HCH_012_249_000194	天啟元年，遷川東兵備副使。
HCH_012_249_000195	擊殺奢崇明黨樊龍，復重慶。
HCH_012_249_000196	奉檄搗藺州土城，賊借水西兵十萬來援，前軍少卻，捍子軍覃懋勛挽白竹弩連中之，賊大潰。
HCH_012_249_000197	轉戰數十里，斬首萬餘級，遂拔藺州，崇明父子竄水西去。
HCH_012_249_000198	乃召如珂為太僕少卿，轉左通政。
HCH_012_249_000199	魏忠賢逐楊漣，如珂郊餞之，忠賢銜甚。
HCH_012_249_000200	遷光祿卿，修公廨竣，疏詞無所稱頌。
HCH_012_249_000201	六年九月，廷推南京工部右侍郎，遂削籍。
HCH_012_249_000202	歸裏三月，治具飲客。
HCH_012_249_000203	頃之卒。
HCH_012_249_000204	崇禎初，以原推起用，死歲餘矣。
HCH_012_249_000205	尋錄破賊功，賜祭葬，進秩一等，官一子。
HCH_012_249_000206	劉可訓，澧州人。
HCH_012_249_000207	萬歷中舉鄉試。
HCH_012_249_000208	歷官刑部員外郎。
HCH_012_249_000209	天啟元年，恤刑四川。
HCH_012_249_000210	會奢崇明反，圍成都，可訓佐城守有功，擢僉事，監軍討賊。
HCH_012_249_000211	崇明走龍場壩，可訓督諸將進剿，功最多。
HCH_012_249_000212	總督朱燮元匯奏文武將吏功，盛推可訓，乃遷威茂兵備參議。
HCH_012_249_000213	崇禎元年，改敘瀘副使，仍監諸將軍。
HCH_012_249_000214	二年，與總兵侯良柱破賊十萬眾於五峰山，斬崇明及安邦彥。
HCH_012_249_000215	御史毛羽健言：「可訓將孤軍，出入蠻煙瘴雨者多年。初無守土責，因奉命錄囚，而乃見危授命，解圍成都，奏捷永寧，掃除藺穴，逆寅授首。五路大戰，十道並攻，皆抱病督軍，誓死殉國。畀以節鉞，誰曰不宜？」
HCH_012_249_000216	帝頗納其言。
HCH_012_249_000217	未幾，畿輔被兵，可訓率師入衛。
HCH_012_249_000218	三年五月恢復遵化，擢右僉都御史，巡撫順天、永平，督薊鎮邊務。
HCH_012_249_000219	兵部尚書梁廷棟囑私人沈敏於可訓，敏遂交關為奸利。
HCH_012_249_000220	御史水佳允劾可訓，落職歸。
HCH_012_249_000221	後敘四川平寇功，復官，世蔭錦衣千戶。
HCH_012_249_000222	未及起用，卒於家。
HCH_012_249_000223	胡平表，云南臨安人。
HCH_012_249_000224	萬歷中舉於鄉，歷忠州判官。
HCH_012_249_000225	天啟元年秋，樊龍陷重慶，平表縋城下，詣石砫土官秦良玉乞師，號泣不食飲者五晝夜，良玉為發兵。
HCH_012_249_000226	巡撫朱燮元檄平表監良玉軍。
HCH_012_249_000227	會擢新鄭知縣，燮元奏留之，改重慶推官，監軍兼副總兵，盡護諸軍將。
HCH_012_249_000228	戰數有功，擢四川監軍僉事，兼理屯田。
HCH_012_249_000229	遷貴州右參議。
HCH_012_249_000230	崇禎元年，總督張鶴鳴言：「平表偏州小吏，慷慨赴義。復新都，解成都圍，連戰白市驛、馬廟，進據兩嶺，俘斬無算。奪二郎關，擒賊帥黑蓬頭，追降樊龍，遂克重慶。用六千人敗奢、安二酋十萬兵。請以本官加督師御史銜，賜之專敕，必能梟逆賊首獻闕下。」
HCH_012_249_000231	部議格不行，乃進秩右參政，分守貴寧道，蔭子錦衣世千戶。
HCH_012_249_000232	久之，擢貴州布政使。
HCH_012_249_000233	四年大計，坐不謹落職。
HCH_012_249_000234	十三年，督師楊嗣昌薦之，詔以武昌通判監標下軍事。
HCH_012_249_000235	嗣昌卒，乃罷歸。
HCH_012_249_000236	盧安世，貴州赤水衛人。
HCH_012_249_000237	萬歷四十年舉於鄉，為富順教諭。
HCH_012_249_000238	天啟初，奢崇明反，遣賊逼取縣印，署令棄城走。
HCH_012_249_000239	安世收印，率壯士擊斬賊。
HCH_012_249_000240	無何，賊數萬猝至，安世單騎鬥，手馘數人，詣上官請兵復其城。
HCH_012_249_000241	帝用大學士孫承宗言，超擢僉事，監軍討賊，屢戰有功。
HCH_012_249_000242	五年四月，總督朱燮元上言：「自遵義五路進兵，永寧破巢之後，大小數百戰，擒獲幾四萬人，降賊將百三十四人，招撫群賊及土、漢、苗仲二十九萬三千二百餘人，皆監司李仙品、劉可訓、鄭朝棟及安世等功，武將則林兆鼎、秦翼明、羅象乾，土官則陳治安、冉紹文、悅先民等。」
HCH_012_249_000243	帝納之。
HCH_012_249_000244	安世進貴州右參議，遷四川副使、遵義監軍，功復多。
HCH_012_249_000245	崇禎初，予世蔭武職，進右參政。
HCH_012_249_000246	久之，解官，歸卒。
HCH_012_249_000247	林兆鼎，福建人。
HCH_012_249_000248	天啟中，為四川參將，積功至總兵官，都督同知。
HCH_012_249_000249	崇禎三年，遣將討定番州苗，連破十餘寨，擒其魁。
HCH_012_249_000250	四年，遣將討湖廣苗黑酋，攻拔二百餘寨。
HCH_012_249_000251	加左都督，召僉南京右府。
HCH_012_249_000252	卒，贈太子少保。
HCH_012_249_000253	李枟，字長孺，鄞人。
HCH_012_249_000254	曾祖循義，衡州知府。
HCH_012_249_000255	祖生威，鳳陽推官。
HCH_012_249_000256	枟登萬歷二十九年進士，授行人，擢御史。
HCH_012_249_000257	例轉廣東鹽法僉事，歷山東參議、陜西提學副使、山東參政、按察使。
HCH_012_249_000258	四十七年秋，擢右僉都御史，巡撫貴州。
HCH_012_249_000259	貴州宣慰同知安邦彥者，宣慰使堯臣族子。
HCH_012_249_000260	堯臣死，子位幼，其母奢社輝代領其事。
HCH_012_249_000261	社輝，永寧宣撫奢崇明女弟也，邦彥遂專兵柄。
HCH_012_249_000262	會朝議征西南兵援遼，邦彥素桀黠，欲乘以起事，詣枟請行，枟諭止之。
HCH_012_249_000263	邦彥歸，益為反謀。
HCH_012_249_000264	枟累疏請增兵益餉，中朝方急遼事，置不問。
HCH_012_249_000265	會枟被劾，乃六疏乞休。
HCH_012_249_000266	天啟元年始得請，以王三善代。
HCH_012_249_000267	而奢崇明已反重慶，陷遵義，貴陽大震，枟遂留視事。
HCH_012_249_000268	時城中兵不及三千，倉庫空虛。
