HCH_012_174_000313	賜祭葬，贈恤有加。
HCH_012_174_000314	魯鑒，其先西大通人。
HCH_012_174_000315	祖阿失都鞏卜失加，明初率部落歸附，太祖授為百夫長，俾統所部居莊浪。
HCH_012_174_000316	傳子失加，累官莊浪衛指揮同知。
HCH_012_174_000317	正統末，鑒嗣父職。
HCH_012_174_000318	久之，擢署都指揮僉事。
HCH_012_174_000319	成化四年，固原滿四反，鑒以土兵千人從征。
HCH_012_174_000320	諸軍圍石城，日挑戰，鑒出則先驅，入則殿後，最為賊所憚。
HCH_012_174_000321	賊平，進署都督同知。
HCH_012_174_000322	尋充左參將，分守莊浪。
HCH_012_174_000323	命其子麟為百戶，統治土軍。
HCH_012_174_000324	十七年坐寇入境，戴罪立功。
HCH_012_174_000325	尋充左副總兵，協守甘肅。
HCH_012_174_000326	寇犯永昌。
HCH_012_174_000327	被劾。
HCH_012_174_000328	鑒疏辨，第停其俸兩月。
HCH_012_174_000329	俄命充總兵官，鎮守延綏。
HCH_012_174_000330	自陳往功，予實授。
HCH_012_174_000331	孝宗立，得疾，致仕。
HCH_012_174_000332	弘治初，命麟襲指揮使，加都指揮僉事。
HCH_012_174_000333	已，進同知，充甘肅遊擊將軍。
HCH_012_174_000334	魯氏世守西陲，有捍禦功，至鑒官益顯，其世業益大，而所部土軍生齒又日盛。
HCH_012_174_000335	麟既移甘肅，帝以土軍非鑒不能治，特起治之，且命有司建坊旌其世績。
HCH_012_174_000336	鑒乃條上邊務四事，多議行。
HCH_012_174_000337	鑒有材勇，遇敵輒冒矢石，數被傷不為沮，故能積功至大將。
HCH_012_174_000338	十五年以舊創疾發，卒。
HCH_012_174_000339	贈右都督，賜恤如制。
HCH_012_174_000340	時麟已由甘肅參將擢左副總兵，豪健如其父，而恭順不如。
HCH_012_174_000341	先為遊擊時，寇入永昌，失律，委罪副將陶禎。
HCH_012_174_000342	下御史按，當戍邊，但貶一秩，遊擊如故。
HCH_012_174_000343	暨為副將，調韋州禦寇。
HCH_012_174_000344	寇大入不能擊，遣都指揮楊琳邀之孔壩溝。
HCH_012_174_000345	琳大敗，不救，連被劾。
HCH_012_174_000346	麟自訴，止停俸二月。
HCH_012_174_000347	時已授麟子經官，令約束土軍。
HCH_012_174_000348	而麟奏經幼，土人不受要束，乞歸治之。
HCH_012_174_000349	不俟報，徑歸。
HCH_012_174_000350	帝用劉大夏言，從其請。
HCH_012_174_000351	武宗立，甘肅巡撫畢亨薦經及麟謀勇，令率所部協戰守。
HCH_012_174_000352	正德二年，經既襲指揮使，自陳嘗隨父有功，乃以為都指揮僉事。
HCH_012_174_000353	未幾，麟卒，贈都督僉事。
HCH_012_174_000354	賜祭葬。
HCH_012_174_000355	故事，都指揮無恤典，以經乞，破例予之。
HCH_012_174_000356	經積戰功，再遷都指揮使充左參將，分守莊浪。
HCH_012_174_000357	復自陳功閥，兵部執不可。
HCH_012_174_000358	帝特命為署都督僉事。
HCH_012_174_000359	世宗立，乞休。
HCH_012_174_000360	巡撫許鳳翔言經力戰被創，疾行愈，且世將敢戰，知名異域，今邊患棘，不宜聽其去。
HCH_012_174_000361	帝乃諭留，且勞以銀幣。
HCH_012_174_000362	尋充副總兵分守如故。
HCH_012_174_000363	嘉靖六年冬，以都督同知充總兵官，鎮守延綏。
HCH_012_174_000364	大學士楊一清言：「經守莊浪二十餘載，屢立戰功，其部下土軍非他人所能及。雖其子瞻已為指揮僉事，奉命統轄，然年尚少。今陜西總兵官張鳳乃延綏世將，若調鳳延綏，而改經陜西，自可彈壓莊浪，無西顧患。」
HCH_012_174_000365	帝立從之。
HCH_012_174_000366	居二年，竟以疾致仕。
HCH_012_174_000367	久之，命瞻以本官守備山丹。
HCH_012_174_000368	經奏言：「自臣高祖後，世守茲土。今臣家居，瞻又移他鎮，土軍皇皇，不欲別附，若因此生他患，是隳先業而負世恩也，乞令守故業。」
HCH_012_174_000369	可。
HCH_012_174_000370	二十二年，宣、大有警，詔經簡壯士五千赴援。
HCH_012_174_000371	至而邊患已息，乃遣還。
HCH_012_174_000372	以經力疾趨召，厚賚之。
HCH_012_174_000373	明年瞻卒。
HCH_012_174_000374	經以次子及孫皆幼，請得自轄土軍。
HCH_012_174_000375	詔許之。
HCH_012_174_000376	經驍勇，奉職寡過，繼祖父為大帥，保功名，稱良將。
HCH_012_174_000377	三十五年卒。
HCH_012_174_000378	賜恤如制。
HCH_012_174_000379	劉寧，字世安，其先山陽人。
HCH_012_174_000380	襲世職，為永寧衛指揮使。
HCH_012_174_000381	勇敢善戰。
HCH_012_174_000382	自以冗散無所見，會延綏用兵，疏請效死。
HCH_012_174_000383	尚書白圭許之。
HCH_012_174_000384	屢以功遷都指揮使，充宣府遊擊將軍。
HCH_012_174_000385	周璽，字廷玉，遷安人。
HCH_012_174_000386	嗣職為開平衛指揮使。
HCH_012_174_000387	負氣習兵書，善騎射。
HCH_012_174_000388	以征北功，擢署都指揮僉事充右參將，分守陽和，敕部兵三千訓肄聽調。
HCH_012_174_000389	成化十六年，從王越征威寧海子，累進都指揮使。
HCH_012_174_000390	時邊寇無虛歲。
HCH_012_174_000391	十八年分道入掠，璽與遊擊董昇戰黑石崖，寧戰塔兒山，皆有功。
HCH_012_174_000392	璽進署都督僉事，遷大同副總兵。
HCH_012_174_000393	寧進都督僉事，改左參將，分守陽和。
HCH_012_174_000394	十九年秋，亦思馬因大入。
HCH_012_174_000395	大同總兵官許寧分遣璽守懷仁，寧與董昇營西山，自將中軍，擊之夏米莊，敗績。
HCH_012_174_000396	寧、昇被圍數重，幾陷。
HCH_012_174_000397	亟發巨炮擊之，敵多死，圍乃解。
HCH_012_174_000398	璽聞中軍失利，亟還兵援。
HCH_012_174_000399	夜遇敵，乘勝前，銳甚。
HCH_012_174_000400	璽厲將士曰：「今日有進無退！」
HCH_012_174_000401	大呼陷陣，敵少卻。
HCH_012_174_000402	久之，短兵接。
HCH_012_174_000403	臂中流矢，拔鏃戰益急，與子鵬及麾下壯士擊殺數十人。
HCH_012_174_000404	會寧兵至，中軍潰卒亦稍集，敵乃退，許寧等亦還。
HCH_012_174_000405	無何復入掠。
HCH_012_174_000406	寧將兵三千，遇之聚落站西，連戰敗之。
HCH_012_174_000407	復敗之白登、柳林，又追敗之小鵓鴿谷。
