HCH_012_081_000101	用給事中李用敬言，以制錢與前代雜錢相兼行，上品者俱七文當銀一分，餘視錢高下為三等，下者二十一文當銀一分；私造濫惡錢悉禁不行，犯者置之法。
HCH_012_081_000102	小錢行久，驟革之，民頗不便。
HCH_012_081_000103	又出內庫錢給文武官俸，不論新舊美惡，悉以七文折算。
HCH_012_081_000104	諸以俸錢市易者，亦悉以七文抑勒予民，民亦騷然。
HCH_012_081_000105	屬連歲大侵，四方流民就食京師，死者相枕藉。
HCH_012_081_000106	論者謂錢法不通使然。
HCH_012_081_000107	於是御史何廷鈺條奏，請許民用小錢，以六十文當銀一分。
HCH_012_081_000108	戶部執不從。
HCH_012_081_000109	廷鈺訐奏尚書方鈍及郎中劉爾牧。
HCH_012_081_000110	帝怒，斥爾牧，採廷鈺議，命從民便。
HCH_012_081_000111	且定嘉靖錢七文，洪武諸錢十文，前代錢三十文，當銀一分。
HCH_012_081_000112	然諸濫惡小錢，以初禁之嚴，雖奉旨間行，竟不復用，而民間競私鑄嘉靖通寶錢，與官錢並行焉。
HCH_012_081_000113	給事中殷正茂言：「兩京銅價大高，鑄錢得不償費。宜採雲南銅，運至岳州鼓鑄，費工本銀三十九萬，可得錢六萬五千萬文，直銀九十三萬餘兩，足以少佐國家之急。」
HCH_012_081_000114	戶部覆言：「雲南地僻事簡，即山鼓鑄為便。」
HCH_012_081_000115	乃敕巡撫以鹽課銀二萬兩為工本。
HCH_012_081_000116	未幾，巡撫王昺言費多入少，乞罷鑄。
HCH_012_081_000117	帝以小費不當惜，仍命行之。
HCH_012_081_000118	越數年，巡按王諍復言宜罷鑄。
HCH_012_081_000119	部議：「錢法壅滯者，由宣課司收稅以七文當一分。奸民乘機阻撓，錢多則惡濫相欺，錢少則增直罔利，故禁愈繁而錢愈滯。自今准折聽民便，不必定文數，而課稅及官俸且俱用銀。」
HCH_012_081_000120	乃罷雲南鑄錢，而從戶部議。
HCH_012_081_000121	時所鑄錢有金背，有火漆，有鏇邊。
HCH_012_081_000122	議者以鑄錢艱難，工匠勞費，革鏇車用鑢鐋。
HCH_012_081_000123	於是鑄工競雜鉛錫便剉治，而輪郭粗糲，色澤黯黲。
HCH_012_081_000124	奸偽仿效，盜鑄日滋，金背錢反阻不行。
HCH_012_081_000125	死罪日報，終不能止。
HCH_012_081_000126	帝患之，問大學士徐階。
HCH_012_081_000127	階陳五害，請停寶源局鑄錢，應支給錢者悉予銀。
HCH_012_081_000128	帝乃鞫治工匠侵料減工罪，而停鼓鑄。
HCH_012_081_000129	自後稅課徵銀而不徵錢。
HCH_012_081_000130	且民間止用制錢，不用古錢，而私鑄者多。
HCH_012_081_000131	隆慶初，錢法不行，兵部侍郎譚綸言：「欲富民，必重布帛菽粟而賤銀，欲賤銀，必制錢法以濟銀之不足。今錢惟布於天下，而不以輸於上，故其權在市井。請令民得以錢輸官，則錢法自通。」
HCH_012_081_000132	於是課稅銀三兩以下復收錢，民間交易一錢以下止許用錢。
HCH_012_081_000133	時錢八文折銀一分，禁民毋得任意低昂。
HCH_012_081_000134	直隸巡按楊家相請鑄大明通寶錢，不識年號。
HCH_012_081_000135	部議格不行。
HCH_012_081_000136	高拱再相，言：「錢法朝議夕更，迄無成說。小民恐今日得錢，而明日不用，是以愈更愈亂，愈禁愈疑。請一從民便，勿多為制以亂人耳目。」
HCH_012_081_000137	帝深然之。
HCH_012_081_000138	錢法復稍稍通矣。
HCH_012_081_000139	寶鈔不用垂百餘年，課程亦鮮有收鈔者，惟俸錢獨支鈔如故。
HCH_012_081_000140	四年始以新鑄隆慶錢給京官俸云。
HCH_012_081_000141	萬曆四年命戶工二部，準嘉靖錢式鑄「萬曆通寶」金背及火漆錢，一文重一錢二分五釐，又鑄鏇邊錢，一文重一錢三分，頒行天下，俸糧皆銀錢兼給。
HCH_012_081_000142	雲南巡按郭庭梧言：「國初京師有寶源局，各省有寶泉局，自嘉靖間省局停廢，民用告匱。滇中產銅，不行鼓鑄，而反以重價購海，非利也。」
HCH_012_081_000143	遂開局鑄錢。
HCH_012_081_000144	尋命十三布政司皆開局。
HCH_012_081_000145	採工部言，以五銖錢為準，用四火黃銅鑄金背，二火黃銅鑄火漆，粗惡者罪之。
HCH_012_081_000146	蓋以費多利少則私鑄自息也。
HCH_012_081_000147	久之，戶部言：「錢之輕重不常，輕則斂，重則散，故無壅閼匱乏之患。初鑄時，金背十文直銀一分，今萬曆金背五文，嘉靖金背四文，各直銀一分，火漆鏇邊亦如之。僅逾十年，而輕重不啻相半，錢重而物價騰踴，宜發庫貯以平其直。」
HCH_012_081_000148	從之。
HCH_012_081_000149	時王府皆鑄造私錢，吏樂敢訐。
HCH_012_081_000150	古錢阻滯不行，國用不足，乃命南北寶源局拓地增爐鼓鑄。
HCH_012_081_000151	而北錢視南錢昂值三之一，南鑄大抵輕薄。
HCH_012_081_000152	然各循其舊，並行不廢。
HCH_012_081_000153	天啟元年鑄泰昌錢。
HCH_012_081_000154	兵部尚書王象乾，請鑄當十、當百、當千三等大錢，用龍文，略仿白金三品之制，於是兩京皆鑄大錢。
HCH_012_081_000155	後有言大錢之弊者，詔兩京停鑄大錢，收大錢發局改鑄。
HCH_012_081_000156	當是時，開局遍天下，重課錢息。
HCH_012_081_000157	崇禎元年，南京鑄本七萬九千餘兩，獲息銀三萬九千有奇；戶部鑄錢獲息銀二萬六千有奇。
HCH_012_081_000158	其所鑄錢，皆以五十五文當銀一錢，計息取盈，工匠之賠補，行使之折閱，不堪命矣。
HCH_012_081_000159	寶泉局銅本四十萬兩，舊例錢成還本太倉，次年再借，至是令永作鑄本。
HCH_012_081_000160	三年，御史鐃京言：「鑄錢開局，本通行天下，今乃苦於無息，旋開旋罷，自南北兩局外，僅存湖廣、陝西、四川、雲南及宣、密二鎮。而所鑄之息，不盡歸朝廷，復苦無鑄本，蓋以買銅而非採銅也。乞遵洪武初及永樂九年、嘉靖六年例，遣官各省鑄錢，採銅於產銅之地，置官吏駐兵，仿銀礦法，十取其三。銅山之利，朝廷擅之，小民所採，仍予直以市。」
HCH_012_081_000161	帝從之。
HCH_012_081_000162	是時鑄廠並開，用銅益多，銅至益少。
HCH_012_081_000163	南京戶部尚書鄭三俊請專官買銅。
HCH_012_081_000164	戶部議原籍產銅之人駐鎮遠、荊、常銅鉛會集處，所謂採銅於產銅之地也。
HCH_012_081_000165	帝俱從之。
HCH_012_081_000166	既，又採絳、孟、垣曲、聞喜諸州縣銅鉛。
HCH_012_081_000167	荊州抽分主事硃大受言：「荊州上接黔、蜀，下聯江、廣，商販銅鉛畢集，一年可以四鑄。四鑄之息，兩倍於南，三倍於北。」
HCH_012_081_000168	因陳便宜四事，即命大受專督之。
HCH_012_081_000169	遂定錢式，每文重一錢，每千直銀一兩。
HCH_012_081_000170	南都錢輕薄，屢旨嚴飭，乃定每文重八分。
HCH_012_081_000171	初，嘉靖錢最工，隆、萬錢加重半銖，自啟、禎新鑄出，舊錢悉棄置。
HCH_012_081_000172	然日以惡薄，大半雜鉛砂，百不盈寸，捽擲輒破碎。
HCH_012_081_000173	末年敕鑄當五錢，不及鑄而明亡。
HCH_012_081_000174	初制，歷代錢與制錢通行。
HCH_012_081_000175	自神宗初，從僉都御史龐尚鵬議，古錢止許行民間，輸稅贖罪俱用制錢。
HCH_012_081_000176	啟、禎時廣鑄錢，始括古錢以充廢銅，民間市易亦擯不用矣。
HCH_012_081_000177	莊烈帝初即位，禦平臺召對，給事中黃承昊疏有銷古錢之語。
HCH_012_081_000178	大學士劉鴻訓言：「北方皆用古錢，若驟廢之，於民不便。」
HCH_012_081_000179	帝以為然。
HCH_012_081_000180	既而以御史王燮言，收銷舊錢，但行新錢，於是古錢銷毀頓盡。
HCH_012_081_000181	蓋自隋世盡銷古錢，至是凡再見云。
HCH_012_081_000182	鈔法自弘、正間廢，天啟時，給事中惠世揚復請造行。
HCH_012_081_000183	崇禎末，有蔣臣者申其說，擢為戶部司務。
HCH_012_081_000184	倪元璐方掌部事，力主之，然終不可行而止。
HCH_012_081_000185	坑冶之課，金銀、銅鐵、鉛汞、硃砂、青綠，而金銀礦最為民害。
HCH_012_081_000186	徐達下山東，近臣請開銀場。
HCH_012_081_000187	太祖謂銀場之弊，利於官者少，損於民者多，不可開。
HCH_012_081_000188	其後有請開陝州銀礦者，帝曰：「土地所產，有時而窮。歲課成額，徵銀無已。言利之臣，皆戕民之賊也。」
HCH_012_081_000189	臨淄丞乞發山海之藏以通寶路，帝黜之。
HCH_012_081_000190	成祖斥河池民言採礦者。
HCH_012_081_000191	仁、宣仍世禁止，填番禺坑洞，罷嵩縣白泥溝發礦。
HCH_012_081_000192	然福建尤溪縣銀屏山銀場局爐冶四十二座，始於洪武十九年。
HCH_012_081_000193	浙江溫、處、麗水、平陽等七縣，亦有場局。
HCH_012_081_000194	歲課皆二千餘兩。
HCH_012_081_000195	永樂間，開陝西商縣鳳皇山銀坑八所。
HCH_012_081_000196	遣官湖廣、貴州採辦金銀課，復遣中官、御史往核之。
HCH_012_081_000197	又開福建浦城縣馬鞍等坑三所，設貴州太平溪、交址宣光鎮金場局，葛容溪銀場局，雲南大理銀冶。
HCH_012_081_000198	其不產金銀者，亦屢有革罷。
HCH_012_081_000199	而福建歲額增至三萬餘兩，浙江增至八萬餘。
HCH_012_081_000200	宣宗初，頗減福建課，其後增至四萬餘，而浙江亦增至九萬餘。
HCH_012_081_000201	英宗下詔封坑穴，撤閘辦官，民大蘇息，而歲額未除。
HCH_012_081_000202	歲辦，皆洪武舊額也。
HCH_012_081_000203	閘辦者，永、宣所新增也。
HCH_012_081_000204	既而禁革永煎。
HCH_012_081_000205	奸民私開坑穴相殺傷，嚴禁不能止。
HCH_012_081_000206	下詔宥之，不悛。
HCH_012_081_000207	言者復請開銀場，則利歸於上，而盜無所容。
HCH_012_081_000208	乃命侍郎王質往經理，定歲課，福建銀二萬餘，浙江倍之。
HCH_012_081_000209	又分遣御史曹祥、馮傑提督，供億過公稅，民困而盜愈眾。
HCH_012_081_000210	鄧茂七、葉宗留之徒流毒浙、閩，久之始定。
HCH_012_081_000211	景帝嘗封閉，旋以盜礦者多，兵部尚書孫原貞請開浙江銀場，因並開福建，命中官戴細保提督之。
HCH_012_081_000212	天順四年命中官羅永之浙江，羅珪之雲南，馮讓之福建，何能之四川。
HCH_012_081_000213	課額浙、閩大略如舊，雲南十萬兩有奇，四川萬三千有奇，總十八萬三千有奇。
HCH_012_081_000214	成化中，開湖廣金場，武陵等十二縣凡二十一場，歲役民夫五十五萬，死者無算，得金僅三十五兩，於是復閉。
HCH_012_081_000215	而浙江銀礦以缺額量減，雲南屢開屢停。
HCH_012_081_000216	弘治元年始減雲南二萬兩，溫、處萬兩餘，罷浦城廢坑銀冶。
HCH_012_081_000217	至十三年，雲南巡撫李士實言：「雲南九銀場，四場礦脈久絕，乞免其課。」
HCH_012_081_000218	報可。
HCH_012_081_000219	四川、山東礦穴亦先後封閉。
HCH_012_081_000220	武宗初，從中官秦文等奏，復開浙、閩銀礦。
HCH_012_081_000221	既而浙江守臣言礦脈已絕，乃令歲進銀二萬兩，劉瑾誅乃止。
HCH_012_081_000222	世宗初，閉大理礦場。
HCH_012_081_000223	其後薊、豫、齊、晉、川、滇所在進礦砂金銀，復議開採，以助大工。
HCH_012_081_000224	既獲玉旺峪礦銀，帝諭閣臣廣開採。
HCH_012_081_000225	戶部尚書方鈍等請令四川、山東、河南撫按嚴督所屬，一一搜訪，以稱天地降祥之意。
HCH_012_081_000226	於是公私交鶩礦利，而浙江、江西盜礦者且劫徽、寧，天下漸多事矣。
HCH_012_081_000227	隆慶初，罷薊鎮開採。
HCH_012_081_000228	南中諸礦山，亦勒石禁止。
HCH_012_081_000229	萬曆十二年，奸民屢以礦利中上心。
HCH_012_081_000230	諸臣力陳其弊。
HCH_012_081_000231	帝雖從之，意怏怏。
HCH_012_081_000232	二十四年，張位秉政，前衛千戶仲春請開礦，位不能止。
HCH_012_081_000233	開採之端啟，廢弁白望獻礦峒者日至，於是無地不開。
