HCH_012_237_000137	明年八月，極陳君德缺失，言：「陛下專誌財利，自私藏外，絕不措意。中外群工，因而泄泄。君臣上下，曾無一念及民。空言相蒙，人怨天怒，妖祲變異，罔不畢集。乃至皇陵為發祥之祖而災，孝陵為創業之祖而災，長陵為奠鼎之祖而亦災。天欲蹶我國家，章章明矣。臣觀十餘年來，亂政亟行，不可枚舉，而病源止在貨利一念。今聖諭補缺官矣，釋系囚矣，然礦稅不撤，而群小猶恣橫，閭閻猶朘削，則百工之展布實難，而罪罟之羅織必眾。缺官雖補，系囚雖釋，曾何益哉！陛下中歲以來，所以掩聰明之質，而甘蹈貪愚暴亂之行者，止為家計耳。不知家之盈者國必喪。如夏桀隕於瑤臺，商紂焚於寶玉，幽、厲啟戎於榮夷，桓、靈絕統於私鬻，德宗召難於瓊林，道君兆禍於花石。覆轍相仍，昭然可鑒。陛下邇來亂政，不減六代之季。一旦變生，其何以托身於天下哉！」
HCH_012_237_000138	居月餘，復以星變乞固根本，設防禦，罷礦稅。
HCH_012_237_000139	帝皆不省。
HCH_012_237_000140	又明年，以久次添註太常少卿，卒官。
HCH_012_237_000141	大益性骨鯁，守官無他營。
HCH_012_237_000142	數進危言，卒獲免禍。
HCH_012_237_000143	蓋時帝倦勤，上章者雖千萬言，大率屏置勿閱故也。
HCH_012_237_000144	馮應京，字可大，盱眙人。
HCH_012_237_000145	萬曆二十年進士。
HCH_012_237_000146	為戶部主事。
HCH_012_237_000147	督薊鎮軍儲，以廉幹聞。
HCH_012_237_000148	尋改兵部，進員外郎。
HCH_012_237_000149	二十八年，擢湖廣僉事，分巡武昌、漢陽、黃州三府。
HCH_012_237_000150	繩貪墨，摧奸豪，風采大著。
HCH_012_237_000151	稅監陳奉恣橫，巡撫支可大以下唯諾惟謹，應京獨以法裁之。
HCH_012_237_000152	奉掊克萬端，至伐冢毀屋，刳孕婦，溺嬰兒。
HCH_012_237_000153	其年十二月，有諸生妻被辱，訴上官。
HCH_012_237_000154	市民從者萬餘，哭聲動地，蜂湧入奉廨，諸司馳救乃免。
HCH_012_237_000155	應京捕治其爪牙，奉怒，陽餉食而置金其中。
HCH_012_237_000156	應京復暴之，益慚恨。
HCH_012_237_000157	明年正月，置酒邀諸司，以甲士千人自衛，遂舉火箭焚民居。
HCH_012_237_000158	民群擁奉門。
HCH_012_237_000159	奉遣人擊之，多死，碎其屍，擲諸途。
HCH_012_237_000160	可大噤不敢出聲，應京獨抗疏列其十大罪。
HCH_012_237_000161	奉亦誣奏應京撓命，陵敕使。
HCH_012_237_000162	帝怒，命貶雜職，調邊方。
HCH_012_237_000163	給事中田大益、御史李以唐等交章劾奉，乞宥應京。
HCH_012_237_000164	帝益怒，除應京名。
