HCH_015_032_000141	上好水引，戢令婦女躬自執事以設上焉。
HCH_015_032_000142	久之，復爲侍中，遷安成王車騎長史，加輔國將軍、濟陰太守，行府、州事。
HCH_015_032_000143	出爲吳郡太守，以疾歸。
HCH_015_032_000144	爲侍中，祕書監，仍轉中書令，太祖相國左長史。
HCH_015_032_000145	建元元年，遷散騎常侍，太子詹事，尋改侍中，詹事如故。
HCH_015_032_000146	上欲轉戢領選，問尚書令褚淵，以戢資重，欲加常侍。
HCH_015_032_000147	淵曰：「宋世王球從侍中中書令單作吏部尚書，資與戢相似。頃選職方昔小輕，不容頓加常侍。聖旨每以蟬冕不宜過多，臣與王儉旣已左珥，若復加戢，則八座便有三貂。若帖以驍、游，亦爲不少。」
HCH_015_032_000148	乃以戢爲吏部尚書，加驍騎將軍。
HCH_015_032_000149	戢美容儀，動止與褚淵相慕，時人呼爲「小褚公」。
HCH_015_032_000150	家業富盛，性又華侈，衣被服飾，極爲奢麗。
HCH_015_032_000151	三年，出爲左將軍、吳興太守。
HCH_015_032_000152	上頗好畫扇，宋孝武賜戢蟬雀扇，善畫者顧景秀所畫。
HCH_015_032_000153	時陸探微、顧彥先皆能畫，歎其巧絕。
HCH_015_032_000154	戢因王晏獻之，上令晏厚酬其意。
HCH_015_032_000155	四年，卒。
HCH_015_032_000156	時年三十六。
HCH_015_032_000157	贈散騎常侍、撫軍，太守如故。
HCH_015_032_000158	諡懿子。
HCH_015_032_000159	女爲雞林王后，又贈侍中、光祿大夫。
HCH_015_032_000160	王延之字希季，琅邪臨沂人也。
HCH_015_032_000161	祖裕，宋左光祿儀同三司。
HCH_015_032_000162	父昇之，都官尚書。
HCH_015_032_000163	延之出繼伯父秀才粲之。
HCH_015_032_000164	延之少而靜默，不交人事。
HCH_015_032_000165	州辟主簿，不就。
HCH_015_032_000166	舉秀才。
HCH_015_032_000167	除北中郎法曹行參軍，轉署外兵尚書外兵部，司空主簿，竝不就。
HCH_015_032_000168	除中軍建平王主簿、記室，仍度司空、北中郎二府，轉祕書丞，西陽王撫軍諮議，州別駕，尋陽王冠軍、安陸王後軍司馬，加振武將軍，出爲安遠護軍，武陵內史，不拜。
HCH_015_032_000169	宋明帝爲衞軍，延之轉爲長史，加宣威將軍。
HCH_015_032_000170	司徒建安王休仁征赭圻，轉延之爲左長史，加寧朔將軍。
HCH_015_032_000171	延之清貧，居宇穿漏。
HCH_015_032_000172	褚淵往候之，見其如此，具啓明帝，帝卽敕材官爲起三閒齋屋。
HCH_015_032_000173	遷侍中，領射聲校尉，未拜，出爲吳郡太守。
HCH_015_032_000174	罷郡還，家產無所增益。
HCH_015_032_000175	除吏部尚書，侍中，領右軍，竝不拜。
HCH_015_032_000176	復爲吏部尚書，領驍騎將軍，出爲後軍將軍、吳興太守。
HCH_015_032_000177	遷都督浙東五郡、會稽太守。
HCH_015_032_000178	轉侍中，祕書監，晉熙王師。
HCH_015_032_000179	遷中書令，師如故，未拜，轉右僕射。
HCH_015_032_000180	昇明二年，轉左僕射。
HCH_015_032_000181	宋德旣衰，太祖輔政，朝野之情，人懷彼此。
HCH_015_032_000182	延之與尚書令王僧虔中立無所去就，時人爲之語曰：「二王持平，不送不迎。」
HCH_015_032_000183	太祖以此善之。
HCH_015_032_000184	三年，出爲使持節、都督江州豫州之新蔡晉熙二郡諸軍事、安南將軍、江州刺史。
HCH_015_032_000185	建元二年，進號鎮南將軍。
HCH_015_032_000186	延之與金紫光祿大夫阮韜，俱宋領軍劉湛外甥，竝有早譽。
HCH_015_032_000187	湛甚愛之，曰：「韜後當爲第一，延之爲次也。」
HCH_015_032_000188	延之甚不平。
HCH_015_032_000189	每致餉下都，韜與朝士同例。
HCH_015_032_000190	太祖聞其如此，與延之書曰：「韜云卿未嘗有別意，當緣劉家月旦故邪？」
HCH_015_032_000191	在州祿俸以外，一無所納，獨處齋內，吏民罕得見者。
HCH_015_032_000192	四年，遷中書令，右光祿大夫，本州大中正。
HCH_015_032_000193	轉左僕射，光祿、中正如故。
HCH_015_032_000194	尋領竟陵王師。
HCH_015_032_000195	永明二年，陳疾解職，世祖許之。
HCH_015_032_000196	轉特進，右光祿大夫，王師、中正如故。
HCH_015_032_000197	其年卒，年六十四。
HCH_015_032_000198	追贈散騎常侍，右光祿大夫、特進如故。
HCH_015_032_000199	諡簡子。
HCH_015_032_000200	延之家訓方嚴，不妄見子弟，雖節歲問訊，皆先克日。
HCH_015_032_000201	子倫之，見兒子亦然。
HCH_015_032_000202	永明中，爲侍中。
HCH_015_032_000203	世祖幸琅邪城，倫之與光祿大夫全景文等二十一人坐不參承，爲有司所奏。
HCH_015_032_000204	詔倫之親爲陪侍之職，而同外惰慢，免官，景文等贖論。
HCH_015_032_000205	建武中，至侍中，領前軍將軍，都官尚書，領游擊將軍，卒。
HCH_015_032_000206	阮韜字長明，陳留人，晉金紫光祿大夫裕玄孫也。
HCH_015_032_000207	韜少歷清官，爲南兖州別駕，刺史江夏王劉義恭逆求資費錢，韜曰：「此朝廷物。」
HCH_015_032_000208	執不與。
HCH_015_032_000209	宋孝武選侍中四人，竝以風貌。
HCH_015_032_000210	王彧、謝莊爲一雙，韜與何偃爲一雙。
HCH_015_032_000211	常充兼假。
HCH_015_032_000212	泰始末，爲征南江州長史。
HCH_015_032_000213	桂陽王休範在鎮，數出行遊，韜性方峙，未嘗隨從。
HCH_015_032_000214	至散騎常侍，金紫光祿大夫，領始興王師。
HCH_015_032_000215	永明二年，卒。
HCH_015_032_000216	史臣曰：內侍樞近，世爲華選，金璫熲耀，朝之麗服，久忘儒藝，專授名家。
HCH_015_032_000217	加以簡擇少姿，簪貂冠冕，基蔭所通，後才先貌，事同謁者，以形骸爲官，斯違舊矣。
HCH_015_032_000218	辟強之在漢朝，幼有妙察；仲宣之處魏國，見貶容陋。
HCH_015_032_000219	何戢之讓，雖未能深識前古之美，與夫尸官靦服者，何等級哉！
HCH_015_032_000220	贊曰：萬石祗慎，琨旣爲倫。
HCH_015_032_000221	五龍一氏，張亦繼荀。
HCH_015_032_000222	炫清褚族，戢遺何姻。
HCH_015_032_000223	延之居簡，名峻王臣。
HCH_015_032_000224	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
