HCH_012_041_000000	山東《禹貢》青、兗二州地。
HCH_012_041_000135	西南距府二百四十里。
HCH_012_041_000136	領縣四：陽信州北。
HCH_012_041_000137	元屬棣州。
HCH_012_041_000138	東有商河。
HCH_012_041_000139	海豐州東北。
HCH_012_041_000140	洪武六年六月析樂安州南地置，屬濱州，後來屬。
HCH_012_041_000141	東北濱海。
HCH_012_041_000142	又北有鬲津河，又有無棣縣，元屬棣州，洪武初省。
HCH_012_041_000143	東北有大沽河口巡檢司。
HCH_012_041_000144	樂陵州西北。
HCH_012_041_000145	舊治在縣之咸平鎮，屬滄州，洪武元年改屬濟寧府，二年移治富平鎮，七月來屬。
HCH_012_041_000146	南有般河及鬲津河，又有土河。
HCH_012_041_000147	西南又有商河。
HCH_012_041_000148	西北有舊縣鎮巡檢司。
HCH_012_041_000149	商河州西南。
HCH_012_041_000150	南有商河。
HCH_012_041_000151	濱州洪武初，以州治渤海縣省入。
HCH_012_041_000152	東北濱海，產鹽。
HCH_012_041_000153	南有大清河。
HCH_012_041_000154	北有士傷河，即鬲津別名也。
HCH_012_041_000155	西南距府三百五十里。
HCH_012_041_000156	領縣三：利津州東。
HCH_012_041_000157	東北濱海，有永阜等鹽場。
HCH_012_041_000158	東有大清河，流入海。
HCH_012_041_000159	又東北有豐國鎮巡檢司。
HCH_012_041_000160	沾化州西北。
HCH_012_041_000161	東北濱海，有富國等鹽場。
HCH_012_041_000162	又有久山鎮巡檢司。
HCH_012_041_000163	蒲台州南。
HCH_012_041_000164	元屬般陽路。
HCH_012_041_000165	洪武二年七月來屬。
HCH_012_041_000166	東濱海。
HCH_012_041_000167	北有大清河。
HCH_012_041_000168	兗州府元兗州，屬濟寧路。
HCH_012_041_000169	洪武十八年升爲兗州府。
HCH_012_041_000170	領州四，縣二十三。
HCH_012_041_000171	東北距布政司三百五十里。
HCH_012_041_000172	滋陽倚。
HCH_012_041_000173	洪武三年四月建魯王府。
HCH_012_041_000174	元曰嵫陽。
HCH_012_041_000175	洪武初，省入州。
HCH_012_041_000176	十八年復置。
HCH_012_041_000177	成化間，改爲滋陽。
HCH_012_041_000178	泗水在東，又有沂水，自曲阜縣西流來合焉。
HCH_012_041_000179	曲阜府東。
HCH_012_041_000180	東南有尼山，沂水所出。
HCH_012_041_000181	又東有防山。
HCH_012_041_000182	北有泗水。
HCH_012_041_000183	又有洙水，西南流入於沂水。
HCH_012_041_000184	又北有孔林。
HCH_012_041_000185	寧陽府北。
HCH_012_041_000186	西北有汶水，支流爲洸水。
HCH_012_041_000187	洸水者，洙水也，洸、洙相入受，通稱也，俱西南入運河。
HCH_012_041_000188	又東北有堽城堰，即汶、洸分流處也。
HCH_012_041_000189	鄒府東南。
HCH_012_041_000190	元屬滕州。
