HCH_012_097_000111	鄒期禎《東林諸賢言行錄》五卷已上皆紀明代人物。
HCH_012_097_000112	洪武十三年罷中書省，詔儒臣採歷代史所載相臣，賢者自蕭何至文天祥八十二人，為傳十六卷；不肖者自田鯇分至賈似道二十六人，為傳四卷。
HCH_012_097_000113	太祖制序。
HCH_012_097_000114	《外戚傳》三卷永樂中，編輯漢以後可為法戒者。
HCH_012_097_000115	成祖制序。
HCH_012_097_000116	《古今列女傳》三卷永樂中解縉等編。
HCH_012_097_000117	宋濂《唐仲友補傳》一卷，《浦江人物記》二卷謝應芳《懷古錄》三卷，《思賢錄》六卷魏顯國《歷代相臣傳》一百六十八卷，《守令傳》二十四卷，《儒林傳》二十卷楊俊民《河南忠臣集》八卷，《烈女集》五卷薛應旂《隱逸傳》二卷，《高士傳》四卷陳繼儒《邵康節外紀》四卷，《逸民史》二十二卷徐學聚《兩浙名賢錄》五十四卷，《外錄》八卷已上皆紀歷代人物。
HCH_012_097_000118	──右傳記類，一百四十四部，一千九百九十七卷。
HCH_012_097_000119	《大明志書》洪武三年詔儒士魏俊民等類編天下州郡地理形勢、降附顛末為書。
HCH_012_097_000120	卷亡。
HCH_012_097_000121	《寰宇通志》一百十九卷景泰中修。
HCH_012_097_000122	《一統志》九十卷天順中李賢等修。
HCH_012_097_000123	《承天大志》四十卷嘉靖中，顧璘修《興都志》二十四卷。
HCH_012_097_000124	世宗以其載獻帝事實，於志體例不合，詔徐階等重修。
HCH_012_097_000125	桂萼《歷代地理指掌》四卷，《明輿地指掌圖》一卷郭子章《郡縣釋名》十六卷，《古今郡國名類》三卷張元陽《方隅武備》十六卷一作《方隅武事考》。
HCH_012_097_000126	劉崧《北平八府志》三十卷，《北平事蹟》一卷陳沂《南畿志》六十四卷，《金陵世紀》四卷，《金陵古今圖考》一卷周暉《金陵瑣事》八卷，《剩錄》八卷《留都錄》五卷見國子監書目，不著撰人。
HCH_012_097_000127	劉鳳《續吳錄》二卷，《吳郡考》二卷李濂《汴京遺跡志》二十四卷，《祥符文獻志》十七卷硃睦鄶挈《中州文獻志》四十卷，《開封府志》八卷徐衍祥《禹州志》十卷萬曆中，鈞州改曰禹州。
HCH_012_097_000128	崔銑《彰德府志》八卷一名《鄴乘》。
HCH_012_097_000129	伍福《陝西通志》三十五捲成化中修。
HCH_012_097_000130	馬理《陝西通志》四十卷嘉靖中修。
HCH_012_097_000131	胡纘宗《漢中府志》十卷，《鞏郡記》三十卷，《秦州志》三十卷夏時正《杭州府志》六十四捲成化中修。
HCH_012_097_000132	陳善《杭州府志》一百卷，《外志》一卷、全郡山川原委。
HCH_012_097_000133	《武林風俗略》一卷何鏜《括蒼志》五十五卷，《括蒼匯紀》十五卷郭子章《注豫章古今記》一卷，《豫章雜記》八卷，《廣豫章災祥記》六卷黃仲昭《八閩通志》八十七卷，《邵武府志》二十五卷王應山《閩大記》五十五卷，《閩都記》三十二卷陳鳴鶴《閩中考》一卷，《晉安逸志》三卷郭棐《四川通志》三十六卷，《夔州府志》十二卷，《夔記》四卷曹學牷《蜀漢地理補》二卷，《蜀郡縣古今通鐸》四卷，《蜀中風土記》四卷，《方物記》十二卷郭棐《粵大記》三十二卷，《嶺南名勝志》十六卷張邦翼《嶺南文獻志》十二卷，《補遺》六卷黃佐《廣州府志》二十二卷，《香山志》八卷王佐《瓊臺外紀》五卷，《珠崖錄》五卷魏浚《西事珥》八卷，《嶠南瑣記》二卷張鳴鳳《桂故》八卷，《桂勝》十四卷《雲南志書》六十一卷洪武十四年既平雲南，詔儒臣考定為書。
HCH_012_097_000134	李元陽《雲南通志》十八卷，《大理府志》十卷楊士雲《黑水集證》一卷，《郡大記》一卷郭子章《黔記》六十卷，《黔小志》一卷楊守謙《大寧考》一卷，《紫荊考》一卷，《花馬池考》一卷楊時寧《大同鎮圖說》三卷，《大同分營地方圖》一卷鄭若曾《萬里海防圖論》二卷，《江南經略》八卷安國賢《南澳小記》十二卷，《南日寨小記》十卷潘季馴《河防一覽》十四卷，《宸斷大工錄》十卷徐標《河患備考》二卷，《河防律令》二卷黃承玄《河漕通考》四十五卷，《安平鎮志》十一卷，《北河紀略》十四卷謝肇淛《北河紀》八卷，《紀餘》四卷王寵《東泉志》四卷，《濟寧閘河志》四卷《太嶽太和山志》十五卷洪熙中道士任自垣編。
HCH_012_097_000135	潘之恆《新安山水志》十卷，《黃海》二十九卷謝肇淛《支提山志》七卷，《鼓山志》十二卷李思聰《百夷傳》一卷洪武中出使緬國所紀。
HCH_012_097_000136	費信《星槎勝覽集》二卷，《天心紀行錄》一卷永樂中從鄭和使西洋所紀。
HCH_012_097_000137	倪謙《朝鮮紀事》一卷，《遼海編》四卷錢溥《朝鮮雜志》三卷，《使交錄》一卷李文鳳《粵嶠書》二十卷經安南事。
HCH_012_097_000138	卜大同《備倭國記》四卷，《徵苗圖記》一卷——右地理類，四百七十一部，七千四百九十八卷。
HCH_012_097_000139	《天潢玉牒》一卷，《宗支》二卷男女各一冊、《宗譜》一卷，《主婿譜牒》一卷已上皆明初修。
HCH_012_097_000140	硃睦鄶挈《帝繫世表》一卷，《周國世系表》一卷，《周乘》一卷，《鎮平世系錄》二卷郭勳《三家世典》一卷輯徐達、沐英、郭英三家世系勳伐本末。
HCH_012_097_000141	陳士元《姓匯》四卷，《姓觿》二卷，《名疑》四卷淩迪知《歷代帝王姓系統譜》六卷，《姓氏博考》十四卷，《萬姓統譜》一百四十卷──右譜牒類，三十八部，五百四卷。
