HCH_012_042_000240	又西有少室山，潁水中源出焉；又有右源，出於山之南溪，又有左源，出於西南之陽乾山，合流至南直壽州入淮。
HCH_012_042_000241	又北有陽城山，洧水所出，下流至扶溝縣入沙河。
HCH_012_042_000242	又東南有崿嶺，即箕山也，上有崿阪關。
HCH_012_042_000243	又東南有五渡水，流入潁，亦曰三交水。
HCH_012_042_000244	又西南有少陽河，亦流入潁。
HCH_012_042_000245	嵩府西南。
HCH_012_042_000246	元嵩州，屬南陽府。
HCH_012_042_000247	洪武二年四月降爲縣，來屬。
HCH_012_042_000248	三塗山在西南。
HCH_012_042_000249	陸渾山在東北。
HCH_012_042_000250	又東有篩山，北有露寶山，西有大礦山，皆產錫。
HCH_012_042_000251	西南有伏牛山，即天息山也，山有分水嶺，汝水出焉，下流至南直潁州入淮，行千三百五十餘里。
HCH_012_042_000252	又南有伊水，西北有高都川流入焉。
HCH_012_042_000253	又西南有舊縣鎮巡檢司。
HCH_012_042_000254	西有沒大嶺巡檢司。
HCH_012_042_000255	盧氏府西南。
HCH_012_042_000256	元屬嵩州。
HCH_012_042_000257	洪武元年四月屬南陽府。
HCH_012_042_000258	三年三月屬陝州。
HCH_012_042_000259	萬曆初，改屬府。
HCH_012_042_000260	西南有熊耳山，洛水自陝西商州流入境，經此。
HCH_012_042_000261	東南有巒山，一名悶頓嶺，伊水所出。
HCH_012_042_000262	北有鐵嶺，東澗水出焉，東南入洛。
HCH_012_042_000263	又東北有馬回川，亦入於洛。
HCH_012_042_000264	又東南有欒州鎮、西南有硃陽鎮、北有杜管鎮三巡檢司。
HCH_012_042_000265	又西有白華關。
HCH_012_042_000266	陝州元屬河南府路。
HCH_012_042_000267	洪武元年四月改屬南陽府，以州治陝縣省入。
HCH_012_042_000268	東有底柱山，在大河中。
HCH_012_042_000269	山有三門，中曰神門，南曰鬼門，北曰人門，惟人門修廣可行舟，鬼門最險。
HCH_012_042_000270	又南有橐水，一名永定澗，亦曰漫澗，西北入河。
HCH_012_042_000271	又東南有硤石關，有巡檢司。
HCH_012_042_000272	又有雁翎關。
HCH_012_042_000273	東距府三百里。
HCH_012_042_000274	領縣二：靈寶州西少南。
HCH_012_042_000275	北濱河。
HCH_012_042_000276	又西有弘農澗。
HCH_012_042_000277	南有虢略鎮巡檢司。
HCH_012_042_000278	又有函谷故關。
HCH_012_042_000279	西南又有洪關。
HCH_012_042_000280	閿鄉州西南。
HCH_012_042_000281	東南有夸父山，一名秦山，中有大谷關。
HCH_012_042_000282	北濱河，自山西芮城縣流入，東南至永城縣，入南直碭山縣界。
HCH_012_042_000283	西有湖水，又有盤澗水北流入焉。
HCH_012_042_000284	又西有潼關，與陝西華陰縣分界。
HCH_012_042_000285	歸德府元直隸河南江北行省。
HCH_012_042_000286	洪武元年五月降爲州，屬開封府。
HCH_012_042_000287	嘉靖二十四年六月升爲府。
HCH_012_042_000288	領州一，縣八。
HCH_012_042_000289	西距布政司三百五十里。
HCH_012_042_000290	商丘倚。
HCH_012_042_000291	元曰睢陽。
HCH_012_042_000292	洪武初省。
HCH_012_042_000293	嘉靖二十四年六月復置，更名。
HCH_012_042_000294	舊治在南，弘治十五年圮於河，十六年九月遷於今治。
HCH_012_042_000295	北濱河。
HCH_012_042_000296	正統後，河決而南。
HCH_012_042_000297	城嘗在河北，正德後，仍在河南。
HCH_012_042_000298	北有丁家道口巡檢司。
HCH_012_042_000299	東南有武津關巡檢司。
HCH_012_042_000300	寧陵府西。
HCH_012_042_000301	南有睢水。
HCH_012_042_000302	北有桃源集巡檢司。
HCH_012_042_000303	鹿邑府南。
HCH_012_042_000304	元屬亳州。
HCH_012_042_000305	洪武中改屬。
HCH_012_042_000306	南有潁水，又蔡河自西流入，謂之蔡河口，即沈丘縣之沙河也。
HCH_012_042_000307	又北有渦水，東流入南直亳州境。
HCH_012_042_000308	夏邑府東。
HCH_012_042_000309	元曰下邑，洪武初更名。
HCH_012_042_000310	北濱大河。
HCH_012_042_000311	又東南有睢水。
HCH_012_042_000312	永城府東南。
HCH_012_042_000313	洪武元年五月屬開封府。
HCH_012_042_000314	十一月來屬。
HCH_012_042_000315	北有碭山，又有芒山，皆與南直碭山縣界，又睢水、澮水皆在縣南。
HCH_012_042_000316	又南有泡水，弘治間淤塞。
HCH_012_042_000317	虞城府東北。
HCH_012_042_000318	元屬濟寧路。
HCH_012_042_000319	洪武二年正月來屬。
HCH_012_042_000320	南有故城。
HCH_012_042_000321	嘉靖九年遷於今治。
HCH_012_042_000322	北有黃河。
HCH_012_042_000323	睢州元屬汴梁路。
HCH_012_042_000324	洪武初，屬開封府，以州治襄邑縣省入。
HCH_012_042_000325	十年五月降爲縣。
HCH_012_042_000326	十三年十一月復升爲州。
HCH_012_042_000327	嘉靖二十四年六月來屬。
HCH_012_042_000328	北濱河。
HCH_012_042_000329	又有睢水亦在州東北。
HCH_012_042_000330	東距府百七十里。
HCH_012_042_000331	領縣二：考城州北。
HCH_012_042_000332	元末省。
HCH_012_042_000333	洪武四年八月復置，屬開封府。
HCH_012_042_000334	十年五月復省。
HCH_012_042_000335	十三年十一月復置，屬州。
HCH_012_042_000336	舊治在縣東南。
HCH_012_042_000337	正統十三年徙。
HCH_012_042_000338	北濱大河。
HCH_012_042_000339	柘城州東南。
HCH_012_042_000340	元末省。
HCH_012_042_000341	洪武四年八月復置，屬開封府。
HCH_012_042_000342	十年五月省入寧陵縣。
HCH_012_042_000343	十三年十一月復置，屬州。
HCH_012_042_000344	北有睢水。
