HCH_010_015_000278	遣禮部尚書劉京、翰林學士吳叔達、知制誥仇正己、起居舍人程翥、吏部員外郎南承顏、禮部員外郎王景運分路按察刑獄。
HCH_010_015_000279	辛酉，以西南路招討請，置寧仁縣於勝州。
HCH_010_015_000280	九月庚子，還上京，以皇子屬思生，大赦。
HCH_010_015_000281	丁未，以駙馬蕭璉、節度使化哥、知制誥仇正己、楊佶充賀宋生辰正旦使副。
HCH_010_015_000282	乙卯，蕭合卓等攻高麗興化軍不克，還師。
HCH_010_015_000283	冬十月丁卯，南京路饑，免雲、應、朔、弘等州粟振之。
HCH_010_015_000284	辛未，獵鏵子河。
HCH_010_015_000285	庚寅，駐蹕達離山。
HCH_010_015_000286	十一月乙卯，建州節度使石匡弼卒。
HCH_010_015_000287	十二月丁卯，上輕騎還上京。
HCH_010_015_000288	戊子，宋遣李行簡、張信來賀千齡節。
HCH_010_015_000289	翌日，宋馮元、張綸來賀正旦。
HCH_010_015_000290	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
