HCH_012_169_000174	已而實自言於帝。
HCH_012_169_000175	帝第報也先書，就令楊善迎歸而已。
HCH_012_169_000176	直等復上言：「今北使已發，願本上皇之心，順臣民之願，因彼悔心，遣使往報，以圖迎復，此不待計而決者也。不然，眾誌難犯，違天不祥，彼將執為兵端，邊事益棘，京師亦不得高枕臥矣。」
HCH_012_169_000177	帝乃命群臣擇使，直與陳懋等請仍遣實。
HCH_012_169_000178	報曰：「候善歸議之。」
HCH_012_169_000179	御史畢鑾等復上疏，力言：「就令彼以詐來，我以誠往，萬一不測，則我之兵力固在。」
HCH_012_169_000180	帝終不聽。
HCH_012_169_000181	已而善竟奉上皇還。
HCH_012_169_000182	二年，也先遣使入貢，且請答使。
HCH_012_169_000183	直屢疏言：「邊備未修，芻糧未積，瘡痍未復，宜如其請。遣使往以觀虛實，開導其善。」
HCH_012_169_000184	不許。
HCH_012_169_000185	無何，也先遣騎入塞，以報使為辭。
HCH_012_169_000186	直與群臣復請之，卒不許。
HCH_012_169_000187	直等乃上疏言：「陛下銳意治兵，為戰守計，真大有為之主。然使命不通，難保其不為寇。宜敕沿邊守臣，發兵遊僥，有警則入保，無事則力耕。陛下於機務之暇，時召京營總督、總兵，詢以方略，誠接而禮貌之，信賞罰以持其後，斯戰守可言也。」
HCH_012_169_000188	帝曰「善」。
HCH_012_169_000189	明年正月進少傅。
HCH_012_169_000190	帝欲易太子。
HCH_012_169_000191	未發。
HCH_012_169_000192	會思明土知府黃矰以為請。
HCH_012_169_000193	帝喜，下禮部議。
HCH_012_169_000194	胡濙唯唯，文武諸臣議者九十一人當署名，直有難色。
HCH_012_169_000195	陳循濡筆強之，乃署，竟易皇太子。
HCH_012_169_000196	直進兼太子太師，賜金幣加等。
HCH_012_169_000197	頓足嘆曰：「此何等大事，乃為一蠻酋所壞，吾輩愧死矣。」
HCH_012_169_000198	景帝疾亟，直、濙等會諸大臣臺諫，請復立沂王為皇太子，推大學士商輅草疏。
HCH_012_169_000199	未上，而石亨、徐有貞等奪門迎上皇復位，殺王文等。
HCH_012_169_000200	疏草留姚夔所，嘗出以示郎中陸昶，嘆曰：「是疏不及進，天也。」
HCH_012_169_000201	直遂乞休。
HCH_012_169_000202	賜璽書、金綺、楮幣，給驛歸。
HCH_012_169_000203	直為人方面修髯，儀觀甚偉。
HCH_012_169_000204	性嚴重，不茍言笑。
HCH_012_169_000205	及與人交，恂恂如也。
HCH_012_169_000206	在翰林二十餘年，稽古代言編纂紀註之事，多出其手。
HCH_012_169_000207	與金溪王英齊名，人稱「二王」，以居地目直曰「東王」，英曰「西王」。
HCH_012_169_000208	直以次當入閣，楊士奇不欲也。
HCH_012_169_000209	及長吏部，兼廉慎。
HCH_012_169_000210	時初罷廷臣薦舉方面大吏，專屬吏部。
HCH_012_169_000211	直委任曹郎，嚴抑奔競。
HCH_012_169_000212	凡御史巡方歸者，必令具所屬賢否以備選擢，稱得人。
HCH_012_169_000213	其子資為南國子博士。
HCH_012_169_000214	考績至部，文選郎欲留侍直，直不可，曰：「是亂法自我始也。」
HCH_012_169_000215	朝廷以直老，命何文淵為尚書佐之。
HCH_012_169_000216	文淵去，又命王翺，部遂有二尚書。
HCH_012_169_000217	直為尚書十四年，年益高，名德日益重。
HCH_012_169_000218	帝優禮之，免其常朝。
HCH_012_169_000219	比家居，嘗從諸佃仆耕蒔，擊鼓歌唱。
HCH_012_169_000220	諸子孫更叠舉觴上壽，直嘆曰：「曩者西楊抑我，令不得共事。然使我在閣，今上復辟，當不免遼陽之行，安得與汝曹為樂哉！」
HCH_012_169_000221	天順六年卒，年八十四。
HCH_012_169_000222	贈太保，謚文端。
HCH_012_169_000223	資仕至翰林檢討，亦以學行稱。
HCH_012_169_000224	曾孫思，自有傳。
HCH_012_169_000225	贊曰：高谷之清直，胡濙之寬厚，王直之端重，蓋皆有大臣之度焉。
HCH_012_169_000226	當英、景之間，國勢初更，人心觀望，執政任事之臣多阿意取容。
HCH_012_169_000227	而谷、濙惓惓於迎駕之儀，直侃侃於遣使之請，皆力持正議，不隨眾俯仰，故能身負碩望，始終一節，可謂老成人矣。
