HCH_011_034_000106	十年，復爲御史中丞，加通直散騎常侍。
HCH_011_034_000107	綰再爲憲司，彈糾無所回避，豪右憚之。
HCH_011_034_000108	是時城西開士林館聚學者，綰與右衛朱异、太府卿賀琛遞述《制旨禮記中庸》義。
HCH_011_034_000109	太清二年，遷左衛將軍。
HCH_011_034_000110	會侯景寇至，入守東掖門。
HCH_011_034_000111	三年，遷吏部尚書。
HCH_011_034_000112	宮城陷，綰出奔，外轉至江陵。
HCH_011_034_000113	湘東王承制，授侍中、左衛將軍、相國長史，侍中如故。
HCH_011_034_000114	出爲持節、雲麾將軍、湘東內史。
HCH_011_034_000115	承聖二年，徵爲尚書右僕射，尋加侍中。
HCH_011_034_000116	明年，江陵陷，朝士皆俘入關，綰以疾免，後卒於江陵，時年六十三。
HCH_011_034_000117	次子交，字少遊，頗涉文學，選尚太宗第十一女安陽公主。
HCH_011_034_000118	承聖二年，官至太子洗馬，秘書丞，掌東宮管記。
HCH_011_034_000119	陳吏部尚書姚察曰：太清版蕩，親屬離貳，纘不能叶和籓岳，成溫陶之舉，苟懷私怨，構隙瀟湘，遂及禍於身，非由忠節；繼以江陵淪覆，實萌於此。
HCH_011_034_000120	以纘之風格，卒爲梁之亂階，惜矣哉。
HCH_011_034_000121	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
