HCH_013_079_000122	又召唐通、劉澤清率兵入衞。
HCH_013_079_000123	澤清前命移鎭彰德，因縱掠臨清南奔。
HCH_013_079_000124	惟唐通以八千人入衞。
HCH_013_079_000125	已，同太監杜之秩守居庸。
HCH_013_079_000126	賊犯保定，大學士李建泰已病，中軍郭中傑縋城降賊，兵潰。
HCH_013_079_000127	賊入保定，建泰被執。
HCH_013_079_000128	御史金毓峒守西門，賊執之，入三皇廟見賊帥。
HCH_013_079_000129	毓峒奮拳毆賊帥，仆之，躍入井中死。
HCH_013_079_000130	妻王氏自經。
HCH_013_079_000131	毓峒從子振孫以武舉效力行間，登城射賊，多應弦而斃。
HCH_013_079_000132	城陷，衆解戎衣自匿，振孫衣裲襠大呼曰：「我御史金毓峒姪也。」
HCH_013_079_000133	賊支解之。
HCH_013_079_000134	毓峒子罌婦陳氏，年十八，與其祖母張、母楊、嫂常，一時盡投於井。
HCH_013_079_000135	張抱孫於懷同下，侍婢四人亦從下。
HCH_013_079_000136	乙未，命太監馬思理馳赴大同督兵援勦。
HCH_013_079_000137	李自成宿陽和，遂長驅向宣府。
HCH_013_079_000138	宣府叛將白廣恩貽總兵姜瓖書約降，監視太監杜勳緋袍八騶郊迎三十里，軍民聚謀籍籍。
HCH_013_079_000139	巡撫朱之馮懸賞勞軍守城，無一應者。
HCH_013_079_000140	三命之，咸叩頭曰：「願中丞聽軍民納款。」
HCH_013_079_000141	之馮獨行巡城，見大礮，曰：「汝曹試發之，可殺數百人，賊雖殺我無恨矣。」
HCH_013_079_000142	衆又不應。
HCH_013_079_000143	之馮不得已，乃自起燃火，兵民競挽其手。
HCH_013_079_000144	之馮乃奪士卒刀自刎。
HCH_013_079_000145	宣府軍民俱迎降於賊。
HCH_013_079_000146	鄕紳張羅彥自殺。
HCH_013_079_000147	上按籍勳戚大璫，徵其助餉。
HCH_013_079_000148	遣太監徐高諭嘉定伯周奎爲倡，奎謝無有。
HCH_013_079_000149	高泣諭再三，奎漫詞以對。
HCH_013_079_000150	高拂然起曰：「外戚如此，國事去矣。多金何益！」
HCH_013_079_000151	奎奏捐萬金，上少之，勒其二萬。
HCH_013_079_000152	奎密書皇后求助，后勉應以五千金，令奎以私蓄足其額。
HCH_013_079_000153	奎匿中宮所畀二千金，僅輸三千金。
HCH_013_079_000154	太監王永祚、曹化淳助至三萬、五萬。
HCH_013_079_000155	王之心最富，上面諭之，僅獻萬金。
HCH_013_079_000156	諸內官各大書於門曰：「此房急賣。」
HCH_013_079_000157	復雜出雕鏤玩好諸物，陳於市以求售。
HCH_013_079_000158	後賊拷王之心，追十五萬，他金銀器玩稱是。
HCH_013_079_000159	周奎抄見銀五十二萬，珍幣復數十萬。
HCH_013_079_000160	魏藻德首輸百金。
HCH_013_079_000161	陳演旣放未行，召入，訴清苦。
HCH_013_079_000162	百官共議捐助，勉諭至再，最後每省限額，浙江六千，山東四千，先後共二十萬。
HCH_013_079_000163	時諭上等三萬金，皆無應。
HCH_013_079_000164	惟太康伯張國紀輸二萬，餘不及也。
HCH_013_079_000165	又議前三門巨室，各輸糧給軍，且贍其妻孥，使無內顧，諸巨室多不樂而止。
