HCH_015_053_000124	懷慰與濟陽江淹、陳郡袁彖善，亦著文翰。
HCH_015_053_000125	永明初，獻《皇德論》云。
HCH_015_053_000126	裴昭明，河東聞喜人，宋太中大夫松之孫也。
HCH_015_053_000127	父駰，南中郎參軍。
HCH_015_053_000128	昭明少傳儒史之業。
HCH_015_053_000129	泰始中，爲太學博士。
HCH_015_053_000130	有司奏：「太子婚，納徵用玉璧虎皮，未詳何所准據。」
HCH_015_053_000131	昭明議：「禮納徵，儷皮爲庭實，鹿皮也。晉太子納妃注『以虎皮二』。太元中，公主納徵，虎豹皮各一。豈其謂婚禮不詳。王公之差，故取虎豹文蔚以尊其事。虎豹雖文，而徵禮所不言，熊羆雖古，而婚禮所不及，珪璋雖美，或爲用各異。今宜准的經誥，凡諸僻謬，一皆詳正。」
HCH_015_053_000132	於是有司參議，加珪璋，豹熊羆皮各二。
HCH_015_053_000133	元徽中，出爲長沙郡丞，罷任，刺史王蘊謂之曰：「卿清貧，必無還資。湘中人士有須一禮之命者，我不愛也。」
HCH_015_053_000134	昭明曰：「下官忝爲邦佐，不能光益上府，豈以鴻都之事仰累清風。」
HCH_015_053_000135	歷祠部通直郎。
HCH_015_053_000136	永明三年，使虜，世祖謂之曰：「以卿有將命之才，使還，當以一郡相賞。」
HCH_015_053_000137	還爲始安內史。
HCH_015_053_000138	郡民龔玄宣，云神人與其玉印玉板書，不須筆，吹紙便成字。
HCH_015_053_000139	自稱「龔聖人」，以此惑衆。
HCH_015_053_000140	前後郡守敬事之，昭明付獄治罪。
HCH_015_053_000141	及還，甚貧罄。
HCH_015_053_000142	世祖曰：「裴昭明罷郡還，遂無宅。我不諳書，不知古人中誰比？」
HCH_015_053_000143	遷射聲校尉。
HCH_015_053_000144	九年，復遣北使。
HCH_015_053_000145	建武初，爲王玄邈安北長史、廣陵太守。
HCH_015_053_000146	明帝以其在事無所啓奏，代還，責之。
HCH_015_053_000147	昭明曰：「臣不欲競執關楗故耳。」
HCH_015_053_000148	昭明歷郡皆有勤績，常謂人曰：「人生何事須聚蓄，一身之外，亦復何須？子孫若不才，我聚彼散；若能自立，則不如一經。」
HCH_015_053_000149	故終身不治產業。
HCH_015_053_000150	中興二年，卒。
HCH_015_053_000151	從祖弟顗，字彥齊。
HCH_015_053_000152	少有異操。
HCH_015_053_000153	泰始中，於總明觀聽講，不讓劉秉席，秉用爲參軍。
HCH_015_053_000154	昇明末，爲奉朝請。
HCH_015_053_000155	齊臺建，世子裴妃須外戚譜，顗不與，遂分籍。
HCH_015_053_000156	太祖受禪，上表誹謗，掛冠去，伏誅。
HCH_015_053_000157	沈憲字彥璋，吳興武康人也。
HCH_015_053_000158	祖說道，巴西梓潼二郡太守，父璞之，北中郎行參軍。
HCH_015_053_000159	憲初應州辟，爲主簿。
HCH_015_053_000160	少有幹局，歷臨首、餘杭令，巴陵王府佐，帶襄令，除駕部郎。
HCH_015_053_000161	宋明帝與憲棋，謂憲曰：「卿，廣州刺史才也。」
HCH_015_053_000162	補烏程令，甚著政績。
HCH_015_053_000163	太守褚淵歎之曰：「此人方員可施。」
HCH_015_053_000164	除通直郎，都水使者。
HCH_015_053_000165	長於吏事，居官有績。
HCH_015_053_000166	除正員郎，補吳令，尚書左丞。
HCH_015_053_000167	昇明二年，西中郎將晃爲豫州，太祖擢憲爲晃長史，南梁太守，行州事。
HCH_015_053_000168	遷豫章王諮議，未拜，坐事免官。
HCH_015_053_000169	復除安成王冠軍、武陵王征虜參軍，遷少府卿。
HCH_015_053_000170	少府管掌市易，與民交關，有吏能者，皆更此職。
HCH_015_053_000171	遷王儉鎮軍長史。
HCH_015_053_000172	武陵王曄爲會稽，以憲爲左軍司馬。
HCH_015_053_000173	太祖以山陰戶衆難治，欲分爲兩縣。
HCH_015_053_000174	世祖啓曰：「縣豈不可治，但用不得其人耳。」
HCH_015_053_000175	乃以憲帶山陰令，政聲大著。
HCH_015_053_000176	孔稚珪請假東歸，謂人曰：「沈令料事特有天才。」
HCH_015_053_000177	加寧朔將軍。
HCH_015_053_000178	王敬則爲會稽，憲仍留爲鎮軍長史，令如故。
HCH_015_053_000179	遷爲冠軍長史，行南豫州事，晉安王後軍長史、廣陵太守。
HCH_015_053_000180	西陽王子明代爲南兖州，憲仍留爲冠軍長史，太守如故，頻行州府事。
HCH_015_053_000181	永明八年，子明典籤劉道濟取府州五十人役自給，又役子明左右，及船仗贓私百萬，爲有司所奏，世祖怒，賜道濟死。
HCH_015_053_000182	憲坐不糾，免官。
HCH_015_053_000183	尋復爲長史、輔國將軍，以疾去官。
HCH_015_053_000184	除散騎常侍，未拜，卒。
HCH_015_053_000185	當世稱爲良吏。
HCH_015_053_000186	憲同郡丘仲起，先是爲晉平郡，清廉自立。
HCH_015_053_000187	褚淵歎曰：「見可欲心能不亂，此楊公所以遺子孫也。」
HCH_015_053_000188	仲起字子震，少爲憲從伯領軍寅之所知。
HCH_015_053_000189	宋元徽中，爲太子領軍長史，官至廷尉。
HCH_015_053_000190	卒。
HCH_015_053_000191	李珪之字孔璋，江夏鍾武人也。
HCH_015_053_000192	父祖皆爲縣令。
HCH_015_053_000193	珪之少辟州從事。
HCH_015_053_000194	宋泰始初，蔡興宗爲郢州，以珪之爲安西府佐，委以職事，清治見知。
HCH_015_053_000195	遷鎮西中郎諮議，右軍將軍，兼都水使者。
HCH_015_053_000196	珪之歷職稱爲清能，除游擊將軍，兼使者如故。
HCH_015_053_000197	轉兼少府，卒。
HCH_015_053_000198	先是，四年，滎陽毛惠素爲少府卿，吏才強而治事清刻。
HCH_015_053_000199	勑市銅官碧青一千二百斤供御畫，用錢六十萬。
