HCH_012_160_000309	授刑部主事，曆郎中，有能聲。
HCH_012_160_000310	景泰時，賜敕為吉安知府。
HCH_012_160_000311	俗尚巫，迎神無休日。
HCH_012_160_000312	瑄遇諸途，設神水中。
HCH_012_160_000313	俄遘危疾，父老皆言神為祟，請復之。
HCH_012_160_000314	瑄怒，不許，疾亦愈。
HCH_012_160_000315	歲大饑，陳牒上官，不俟報，輒發廩振貸。
HCH_012_160_000316	居八年，用薦擢廣東右布政使。
HCH_012_160_000317	廣西賊莫文章等越境陷連山，瑄擊斬之。
HCH_012_160_000318	又破陽山賊周公轉、新興賊鄧李保等。
HCH_012_160_000319	既而大藤峽賊頻陷屬邑，瑄坐停俸。
HCH_012_160_000320	成化初，韓雍平賊，錄瑄轉餉勞，賜銀幣，給俸如初。
HCH_012_160_000321	瑄按行所部，督建預備倉六十二，修陂塘圩岸四千六百，增築廣州新會諸城垣一十二。
HCH_012_160_000322	民德瑄，惟恐其去。
HCH_012_160_000323	既轉左布政使，會滿九載，當赴京，軍民相率乞留。
HCH_012_160_000324	巡撫陳濂等為之請，乃仍故任。
HCH_012_160_000325	八年始以右副都御史巡撫福建。
HCH_012_160_000326	平賊林壽六、魏懷三等。
HCH_012_160_000327	福安、壽甯諸縣鄰江、浙，賊首葉旺、葉春等負險。
HCH_012_160_000328	瑄捕誅之，餘盡解散。
HCH_012_160_000329	帝降敕勞之，改撫河南。
HCH_012_160_000330	議事入都，陳撫流民、振滯才十八事，所司多議行。
HCH_012_160_000331	黃河水溢，瑄請振，且移王府祿米於他所，留應輸榆林餉濟荒，石取直八錢輸榆林，民稱便。
HCH_012_160_000332	還理院事。
HCH_012_160_000333	尋遷南京刑部侍郎。
HCH_012_160_000334	久之，進尚書。
HCH_012_160_000335	二十年，星變，被劾，帝弗問。
HCH_012_160_000336	居三年，給事御史復劾之，遂落職。
HCH_012_160_000337	孝宗立，復官，致仕。
HCH_012_160_000338	張鵬，字騰霄，淶水人。
HCH_012_160_000339	景泰二年進士。
HCH_012_160_000340	授御史。
HCH_012_160_000341	上疏言：「懷利事君，人臣所戒。比每遇聖節，或進羊馬錦綺，交錯殿廷。自非貪賄，安有餘財充進奉？且陛下富有四海，豈借是足國哉？宜一切停罷，塞諂諛奔競之途。」
HCH_012_160_000342	疏凡四事，帝頗採用。
HCH_012_160_000343	出按大同、宣府，奏：「兩鎮軍士敝衣菲食，病無藥，死無棺。乞官給醫藥、棺槥，設義塚，俾饗曆祭。死者蒙恩，則生者勸。」
HCH_012_160_000344	帝立報可，且命諸邊概行之。
HCH_012_160_000345	奏停淮、揚征賦，給牛種。
HCH_012_160_000346	天順元年，同官楊瑄劾石亨、曹吉祥。
HCH_012_160_000347	鵬亦偕劉泰、魏瀚、康驥論劾。
HCH_012_160_000348	俱得罪，下詔獄。
HCH_012_160_000349	諸御史多謫官，而鵬、瑄戍遼東。
HCH_012_160_000350	頃之赦免，復戍南丹。
HCH_012_160_000351	憲宗立，廷臣交薦，召復原官。
HCH_012_160_000352	尋超擢福建按察使。
HCH_012_160_000353	成化四年，以右僉都御史巡撫廣西，剿蠻寇有功。
HCH_012_160_000354	其冬罷巡撫官，命還理南京都察院事。
HCH_012_160_000355	改督漕運，兼撫淮、揚四府。
HCH_012_160_000356	尋解漕務，專理巡撫事。
HCH_012_160_000357	復還南院，進副都御史，巡撫寧夏。
HCH_012_160_000358	召還，曆兵部左、右侍郎。
HCH_012_160_000359	十八年代陳鉞為兵部尚書。
HCH_012_160_000360	守珠池宦官韋助乞往來高、肇、瓊、廉，會守巡官捕寇。
HCH_012_160_000361	鵬執不可，帝竟許之。
HCH_012_160_000362	南北印馬，率遣勳臣、內侍，後以災傷止遣御史。
HCH_012_160_000363	是年，帝復欲遣內侍，鵬等執不可。
HCH_012_160_000364	帝勉從之，命俟後仍如故事。
HCH_012_160_000365	鎮守大同中官汪直言小王子將大舉，請發京兵援。
HCH_012_160_000366	鵬等言：「大同士馬四萬已足用，所請宜勿許。且京軍困營造，精力銷沮，猝有急，何以作威厲氣，請悉停其役。」
HCH_012_160_000367	詔可。
HCH_012_160_000368	尋加太子少保。
HCH_012_160_000369	鵬初為御史，剛直尚氣節，有盛名。
HCH_012_160_000370	後揚曆中外，惟事安靜。
HCH_012_160_000371	群小竊柄，閣臣萬安、劉吉輩專營私，鵬循職而已，不能有所匡救。
HCH_012_160_000372	二十一年，星變，鵬偕僚屬言：「傳奉武職至八百餘人，乞悉令閑住，非軍功毋濫授。四方鎮守、監槍、守備內官，非正統間原設者，悉宜召還。」
HCH_012_160_000373	廷臣亦交以請，下兵部復核。
HCH_012_160_000374	鵬畏中官，不敢堅其議，帝遂盡留之。
HCH_012_160_000375	時論皆咎鵬。
HCH_012_160_000376	奸民章瑾獻珍寶，得為錦衣鎮撫。
HCH_012_160_000377	理刑缺，鵬所上不允。
HCH_012_160_000378	知帝意屬瑾，即推用焉。
HCH_012_160_000379	台諫劾大臣不職者多及鵬，鵬力求去，遂賜敕給驛以歸。
HCH_012_160_000380	弘治四年卒。
HCH_012_160_000381	諡懿簡。
HCH_012_160_000382	李裕，字資德，豐城人。
HCH_012_160_000383	景泰五年進士。
HCH_012_160_000384	授御史。
HCH_012_160_000385	天順中，巡按陝西，上安邊八事。
HCH_012_160_000386	石彪濫報首功，詔裕核實。
HCH_012_160_000387	彪從父亨以書抵裕，裕焚之，以實聞。
HCH_012_160_000388	亨亦旋敗。
HCH_012_160_000389	由是有強直聲。
HCH_012_160_000390	都御史寇深遇僚屬嚴，惟裕不為屈。
