HCH_012_167_000131	九年出理四川茶課，奏減其常數，以俟豐歲。
HCH_012_167_000132	振饑江淮及山東、河南，民鹹賴之。
HCH_012_167_000133	平居恂恂若無能，臨事悉治辦。
HCH_012_167_000134	從征歿，贈刑部尚書，官其子琥大理評事。
HCH_012_167_000135	後謚襄湣。
HCH_012_167_000136	王永和，字以正，昆山人。
HCH_012_167_000137	少至孝。
HCH_012_167_000138	父病伏枕十八年，侍湯藥無少懈。
HCH_012_167_000139	永樂中舉於鄉，歷嚴州、饒州訓導。
HCH_012_167_000140	以蹇義薦，為兵科給事中。
HCH_012_167_000141	嘗劾都督王彧鎮薊州縱寇，及錦衣馬順不法事。
HCH_012_167_000142	持節冊韓世子妃，糾中官蹇傲罪。
HCH_012_167_000143	以勁直聞。
HCH_012_167_000144	正統六年進都給事中。
HCH_012_167_000145	八年擢工部右侍郎。
HCH_012_167_000146	從征歿，贈工部尚書，官其子汝賢大理評事。
HCH_012_167_000147	後謚襄敏。
HCH_012_167_000148	鄧棨，字孟擴，南城人。
HCH_012_167_000149	永樂末年進士。
HCH_012_167_000150	授監察御史，奉敕巡按蘇、松諸府。
HCH_012_167_000151	期滿將代去，父老赴闕乞留，得請。
HCH_012_167_000152	旋以憂去。
HCH_012_167_000153	宣德十年，陜西闕按察使，詔廷臣舉清慎有威望者。
HCH_012_167_000154	楊士奇薦棨，遂以命之。
HCH_012_167_000155	正統十年入為右副都御史。
HCH_012_167_000156	北征扈從，師出居庸關，疏請回鑾，以兵事專屬大將。
HCH_012_167_000157	至宣府、大同，復再上章。
HCH_012_167_000158	皆不報。
HCH_012_167_000159	及遇變，同行者語曰：「吾輩可自脫去。」
HCH_012_167_000160	棨曰：「鑾輿失所，我尚何歸！主辱臣死，分也。」
HCH_012_167_000161	遂死。
HCH_012_167_000162	贈右都御史，官其子常大理評事。
HCH_012_167_000163	後謚襄敏。
HCH_012_167_000164	英宗之出也，備文武百官以行。
HCH_012_167_000165	六師覆於土木，將相大臣及從官死者不可勝數。
HCH_012_167_000166	英國公張輔及諸侯伯自有傳。
