HCH_010_073_000103	戰久之，被數創，歸營而卒。
HCH_010_073_000104	太祖深悼惜之，佐命功臣其一也。
HCH_010_073_000105	頗德，字兀古鄰。
HCH_010_073_000106	弱冠事太祖。
HCH_010_073_000107	天顯初，為左皮室詳穩，典宿衛，遷南院夷離堇，治有聲。
HCH_010_073_000108	石敬瑭破張敬達軍於太原北，時頗德勒兵為援，敬達遁。
HCH_010_073_000109	敬瑭追至晉安寨圍之，頗德領輕騎襲潞州，塞其餉道。
HCH_010_073_000110	唐諸將懼，殺敬達以降。
HCH_010_073_000111	會同初，改叠剌部夷離堇為大王，即拜頗德，既而加采訪使。
HCH_010_073_000112	舊制，肅祖以下宗室稱院，德祖宗室號三父房，稱橫帳，百官子弟及籍沒人稱著帳。
HCH_010_073_000113	耶律斜的言，橫帳班列，不可與北、南院並。
HCH_010_073_000114	太宗詔在廷議，皆曰然，乃詔橫帳班列居上。
HCH_010_073_000115	頗德奏曰：「臣伏見官制，北、南院大王品在惕隱上。今橫帳始圖爵位之高，願與北、南院參任；茲又恥與同列。夫橫帳與諸族皆臣也，班列奚以異？」
HCH_010_073_000116	帝乃諭百官曰：「朕所不知，卿等不宜面從。」
HCH_010_073_000117	詔仍舊制。
HCH_010_073_000118	其強直不撓如此。
HCH_010_073_000119	頗德狀貌秀偉，初，太祖見之曰：「是子風骨異常兒，必為國器。」
HCH_010_073_000120	後果然。
HCH_010_073_000121	卒年四十九。
HCH_010_073_000122	耶律欲穩，字轄剌幹，突呂不部人。
HCH_010_073_000123	祖臺押，遙輦時為北邊拽剌。
HCH_010_073_000124	簡獻皇后與諸子之罹難也，嘗倚之以免。
HCH_010_073_000125	太祖思其功不忘，又多欲穩嚴重有濟世誌，乃命典司近部，以遏諸族窺覬之想。
HCH_010_073_000126	欲穩既見器重，益感奮思報。
HCH_010_073_000127	太祖始置宮分以自衛，欲穩率門客首附宮籍。
HCH_010_073_000128	帝益嘉其忠，詔以臺押配享廟廷。
HCH_010_073_000129	及平剌葛等亂，以功遷奚叠剌部夷離堇。
HCH_010_073_000130	從征渤海有功。
HCH_010_073_000131	天顯初卒。
HCH_010_073_000132	後諸帝以太祖之與欲穩也為故，往往取其子孫為友。
HCH_010_073_000133	宮分中稱「八房」，皆其後也。
HCH_010_073_000134	弟霞裏，終奚六部禿裏。
HCH_010_073_000135	耶律海裏，字涅剌昆，遙輦昭古可汗之裔。
HCH_010_073_000136	太祖傳位，海裏與有力焉。
HCH_010_073_000137	初受命，屬籍比局萌覬覦，而遙輦故族尤觖望。
HCH_010_073_000138	海裏多先帝知人之明，而素服太祖威德，獨歸心焉。
HCH_010_073_000139	以故太祖托為耳目，數從征討。
HCH_010_073_000140	既清內亂，始置遙輦敞穩，命海裏領之。
HCH_010_073_000141	天顯初，征渤海，海裏將遙輦糺破忽汗城。
HCH_010_073_000142	師般，卒。
HCH_010_073_000143	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
