HCH_012_015_000073	閏月癸巳，禁宗室、勳戚奏請田土及受人投獻。
HCH_012_015_000074	冬十一月甲辰，停工役，罷內官燒造瓷器。
HCH_012_015_000075	十二月辛亥，以彗星見，敕羣臣修省，陳軍民利病。
HCH_012_015_000076	己未，京師地震。
HCH_012_015_000077	壬戌，減供御品物，罷明年上元燈火。
HCH_012_015_000078	是年，琉球、安南、哈密、撒馬兒罕、天方、土魯番入貢。
HCH_012_015_000079	四年春正月癸未，以修省罷上元節假。
HCH_012_015_000080	己丑，大祀天地於南郊，停慶成宴。
HCH_012_015_000081	二月己巳，敕法司曰：「曩因天道示異，敕天下諸司審錄重囚，發遣數十百人。朕以為與其寬之於終，孰若謹之於始。嗣後兩京三法司及天下問刑官，務存心仁恕，持法公平，詳審其情罪所當，庶不背於古聖人欽恤之訓。」
HCH_012_015_000082	六月辛亥，京師地震。
HCH_012_015_000083	秋八月庚戌，蘇、松、浙江水，停本年織造。
HCH_012_015_000084	乙卯，南京地震。
HCH_012_015_000085	己未，封皇弟祐榰為壽王，祐梈汝王，祐涇王，祐樞榮王，祐楷申王。
HCH_012_015_000086	冬十月丙辰，以皇長子生，詔天下。
HCH_012_015_000087	戊午，河溢，振河南被災者。
HCH_012_015_000088	乙丑，禮部尚書丘濬兼文淵閣大學士預機務。
HCH_012_015_000089	十一月庚辰，振南畿災。
HCH_012_015_000090	十二月甲子，土魯番以哈密地及金印來歸。
HCH_012_015_000091	是年，暹羅入貢。
HCH_012_015_000092	五年春正月壬午，大祀天地於南郊。
HCH_012_015_000093	二月丙寅，命陝巴襲封忠順王。
HCH_012_015_000094	庚午，減陝西織造絨毼之半。
HCH_012_015_000095	三月戊寅，立皇子厚照為皇太子，大赦。
HCH_012_015_000096	錄太祖廟配享功臣絕封者後。
HCH_012_015_000097	辛卯，廣西副總兵馬俊、參議馬鉉、千戶王珊等討古田叛僮，遇伏死。
HCH_012_015_000098	夏六月丁未，免南畿去年被災稅糧。
HCH_012_015_000099	秋七月甲午，振南京、浙江、山東饑。
HCH_012_015_000100	八月癸卯，劉吉致仕。
HCH_012_015_000101	乙丑，停蘇、松、浙江額外織造，召督造官還。
HCH_012_015_000102	冬十月壬戌，湖廣總兵官鎮遠侯顧溥、貴州巡撫都御史鄧廷瓚、太監江悳會師討貴州黑苗。
HCH_012_015_000103	十一月丙申，閉溫、處銀坑。
HCH_012_015_000104	十二月丁巳，荊王見潚有罪，廢為庶人。
HCH_012_015_000105	是年，琉球、烏斯藏、土魯番入貢。
HCH_012_015_000106	火剌札國貢方物，不受，給廩食遣還。
HCH_012_015_000107	六年春正月己卯，大祀天地於南郊。
HCH_012_015_000108	二月甲寅，錄常遇春、李文忠、鄧愈、湯和後裔，世襲指揮使。
HCH_012_015_000109	丁巳，擢布政使劉大夏右副都御史，治張秋決河。
HCH_012_015_000110	三月癸未，賜毛澄等進士及第、出身有差。
HCH_012_015_000111	夏四月己亥，土魯番速檀阿黑麻襲執陝巴，據哈密。
HCH_012_015_000112	己酉，侍郎張海、都督同知緱謙經略哈密。
HCH_012_015_000113	辛酉，久旱，敕修省，求直言。
HCH_012_015_000114	五月丙寅，小王子犯寧夏，殺指揮趙璽。
HCH_012_015_000115	閏月乙未，免南京被災秋糧。
HCH_012_015_000116	六月庚午，捕蝗。
HCH_012_015_000117	壬申，都御史閔珪擊破古田叛僮。
HCH_012_015_000118	秋八月甲戌，免順天被災夏稅。
HCH_012_015_000119	九月丁酉，免陝西被災夏稅。
HCH_012_015_000120	冬十月丙寅，以災傷罷明年上元燈火。
HCH_012_015_000121	庚辰，停甘肅織造絨毼。
HCH_012_015_000122	十一月庚申，振京師流民。
HCH_012_015_000123	十二月己卯，敕天下鎮巡官修省。
HCH_012_015_000124	是年，安南、烏斯藏、土魯番、暹羅入貢。
HCH_012_015_000125	七年春正月丁酉，大祀天地於南郊。
HCH_012_015_000126	二月甲子，以去年冬孝陵風雷之變，遣使祭告，修省，求直言，命內外慎刑獄，決輕繫。
HCH_012_015_000127	三月癸巳，貴州黑苗平。
HCH_012_015_000128	戊申，兩畿捕蝗。
HCH_012_015_000129	夏五月甲辰，太監李興、平江伯陳銳同劉大夏治張秋決河。
HCH_012_015_000130	秋七月乙巳，京師地震。
HCH_012_015_000131	丙午，工部侍郎徐貫、巡撫副都御史何鑑經理南畿水利。
HCH_012_015_000132	九月丁亥，以水災停蘇、松諸府所辦物料，留關鈔、戶鹽備振。
HCH_012_015_000133	冬十一月壬子，京師地震。
HCH_012_015_000134	十二月甲戌，張秋河工成。
HCH_012_015_000135	己卯，振甘、涼被兵軍民，給牛種。
HCH_012_015_000136	是年，免北京、河南、湖廣、陝西、山西被災稅糧。
HCH_012_015_000137	琉球入貢。
HCH_012_015_000138	以土魯番據哈密，卻其貢使。
HCH_012_015_000139	八年春正月乙未，大祀天地於南郊，以太皇太后不豫，免慶成宴。
HCH_012_015_000140	壬子，甘肅總兵官劉寧敗小王子於涼州。
HCH_012_015_000141	二月乙卯朔，日有食之。
HCH_012_015_000142	戊午，丘濬卒。
HCH_012_015_000143	乙丑，禮部侍郎李東陽、少詹事謝遷入閣預機務。
HCH_012_015_000144	己卯，黃陵岡河口工成。
HCH_012_015_000145	三月壬辰，免湖廣被災稅糧。
HCH_012_015_000146	己亥，寧夏地震。
HCH_012_015_000147	夏四月甲寅，蘇、松各府治水工成。
HCH_012_015_000148	壬戌，諭吏部、都察院，人材進退，考察務得實跡，不可偏聽枉人。
HCH_012_015_000149	五月己丑，免南畿被災秋糧。
HCH_012_015_000150	秋七月丁亥，封宋儒楊時將樂伯，從祀孔子廟庭。
HCH_012_015_000151	戊子，廣西副總兵歐磐擊破平樂叛瑤。
HCH_012_015_000152	八月癸亥，以四方災異數見，敕羣臣修省。
HCH_012_015_000153	冬十一月己酉，免直隸被災秋糧。
HCH_012_015_000154	十二月辛酉，巡撫甘肅僉都御史許進、總兵官劉寧入哈密，土魯番遁，遂班師。
HCH_012_015_000155	是年，爪哇、占城、烏斯藏入貢。
HCH_012_015_000156	乜克力諸部欵肅州塞求入貢，卻之。
HCH_012_015_000157	九年春正月壬辰，大祀天地於南郊。
HCH_012_015_000158	二月庚午，免河南被災稅糧。
HCH_012_015_000159	辛未，右通政張璞、大理少卿馬中錫閱邊。
HCH_012_015_000160	三月丙申，賜朱希周等進士及第、出身有差。
HCH_012_015_000161	夏四月戊子，以岷王膺鉟奏，逮武岡知州劉遜。
HCH_012_015_000162	給事中、御史龐泮、劉紳等諫，下錦衣衞獄，尋釋之。
HCH_012_015_000163	六月庚子，免江西被災稅糧。
HCH_012_015_000164	秋八月壬寅，免湖廣被災秋糧。
HCH_012_015_000165	九月己酉，禁勢家侵奪民利。
HCH_012_015_000166	是年，日本、疏球、烏斯藏入貢。
HCH_012_015_000167	十年春正月庚戌，大祀天地於南郊。
HCH_012_015_000168	三月辛亥，以旱霾修省，求直言。
HCH_012_015_000169	甲子，召大學士劉健、李東陽、謝遷於文華殿議庶政，後以為常。
HCH_012_015_000170	夏五月戊辰，小王子犯潮河川。
HCH_012_015_000171	己巳，犯大同。
HCH_012_015_000172	六月己卯，侍郎劉大夏、李介理宣府、大同軍餉。
HCH_012_015_000173	秋七月癸丑，都督楊玉帥京營軍，備永平。
HCH_012_015_000174	冬十一月庚子，土魯番歸陝巴，乞通貢。
HCH_012_015_000175	是年，免南畿、山西、陝西被災稅糧，振山東、四川水災。
HCH_012_015_000176	安南、暹羅、烏斯藏入貢。
HCH_012_015_000177	十一年春正月丁未，大祀天地於南郊。
HCH_012_015_000178	二月己巳，小王子遣使求貢。
HCH_012_015_000179	夏五月戊申，甘肅參將楊翥敗小王子於黑山。
HCH_012_015_000180	秋七月己酉，總制三邊都御史王越襲小王子於賀蘭山後，敗之。
HCH_012_015_000181	癸亥，徐溥致仕。
HCH_012_015_000182	八月癸未，振祥符民被河患者。
HCH_012_015_000183	冬十月丙寅，命工作不得役團營軍士。
HCH_012_015_000184	甲戌，清寧宮災。
HCH_012_015_000185	丁亥，敕羣臣修省，求直言，罷明年上元燈火。
HCH_012_015_000186	十一月壬子，免陝西織造羊絨。
HCH_012_015_000187	閏月壬戌朔，日有食之。
HCH_012_015_000188	乙酉，罷福建織造綵布。
HCH_012_015_000189	十二月庚子，禁中外奢靡踰制。
HCH_012_015_000190	壬子，以清寧宮災詔赦天下。
HCH_012_015_000191	是年，免山西、陝西、兩畿、廣西、廣東被災稅糧。
HCH_012_015_000192	土魯番、烏斯藏入貢。
HCH_012_015_000193	十二年春正月辛未，大祀天地於南郊，免慶成宴。
HCH_012_015_000194	二月壬辰，免山東被災夏稅。
HCH_012_015_000195	戊申，嚴左道惑眾之禁。
HCH_012_015_000196	三月丁丑，賜倫文敍等進士及第、出身有差。
HCH_012_015_000197	夏四月癸巳，敕宣、大、延綏備邊。
HCH_012_015_000198	是月，免湖廣、江西被災稅糧。
HCH_012_015_000199	五月戊寅，免南畿被災秋糧。
HCH_012_015_000200	六月甲辰，闕里先師廟災，遣使慰祭。
HCH_012_015_000201	秋八月，免河南、南畿被災夏稅。
HCH_012_015_000202	九月壬午，普安賊婦米魯作亂。
HCH_012_015_000203	甲申，重建清寧宮成。
HCH_012_015_000204	是年，占城、烏斯藏、土魯番、爪哇、撒馬兒罕入貢。
HCH_012_015_000205	十三年春正月乙丑，大祀天地於南郊。
HCH_012_015_000206	二月戊子，免山西被災稅糧。
HCH_012_015_000207	庚寅，定問刑條例。
HCH_012_015_000208	乙未，嚴旌舉連坐之法。
HCH_012_015_000209	夏四月，火篩寇大同，遊擊將軍王杲敗績於威遠衞。
HCH_012_015_000210	乙巳，平江伯陳銳為靖虜將軍，充總兵官，太監金輔監軍，戶部左侍郎許進提督軍務，禦之。
HCH_012_015_000211	五月甲寅朔，日有食之。
HCH_012_015_000212	丙辰，召大學士劉健、李東陽、謝遷於平臺，議京營將領。
HCH_012_015_000213	癸亥，火篩大舉入寇大同左衞，遊擊將軍張俊禦卻之。
HCH_012_015_000214	六月甲申，免江西被災秋糧，停山、陝採辦物料。
HCH_012_015_000215	庚子，召陳銳、金輔還，保國公朱暉、太監扶安往代，益兵禦寇。
HCH_012_015_000216	秋七月己巳，京師地震。
HCH_012_015_000217	八月辛卯，振江西水災。
HCH_012_015_000218	冬十月戊申，兩京地震。
HCH_012_015_000219	是月，小王子諸部寇大同。
HCH_012_015_000220	十二月辛丑，火篩寇大同，南掠百餘里。
HCH_012_015_000221	是年，小王子部入居河套，犯延綏神木堡。
HCH_012_015_000222	琉球、土魯番、烏斯藏入貢。
HCH_012_015_000223	十四年春正月庚戌朔，陝西地大震。
HCH_012_015_000224	己未，大祀天地於南郊。
HCH_012_015_000225	二月己亥，罷陝西織造中官。
HCH_012_015_000226	夏四月庚辰，工部侍郎李鐩總督延綏邊餉。
HCH_012_015_000227	戊子，保國公朱暉、提督軍務都御史史琳、監軍太監苗逵分道進師延綏。
HCH_012_015_000228	戊戌，免陝西、山西物料。
HCH_012_015_000229	是月，火篩諸部寇固原。
HCH_012_015_000230	五月庚戌，振大同被兵軍民，免稅糧。
HCH_012_015_000231	辛酉，免陝西被災稅糧。
HCH_012_015_000232	戊辰，修闕里先師廟。
HCH_012_015_000233	命各布政使司上地里圖。
HCH_012_015_000234	秋七月丁未，泰寧衞賊犯遼東，掠長勝諸屯堡。
HCH_012_015_000235	癸亥，南京戶部尚書王軾兼左副都御史提督軍務，討貴州賊婦米魯。
HCH_012_015_000236	丁卯，朱暉、史琳襲小王子於河套。
HCH_012_015_000237	庚午，分遣給事中、御史清理屯田。
HCH_012_015_000238	閏月乙酉，都指揮王泰禦小王子於鹽池，戰死。
HCH_012_015_000239	戊戌，振兩畿、江西、山東、河南水災。
HCH_012_015_000240	八月己酉，免河南被災稅糧。
HCH_012_015_000241	是月，火篩諸部犯固原，大掠韋州、環縣、萌城、靈州。
HCH_012_015_000242	己巳，減光祿寺供應，如元年制。
HCH_012_015_000243	火篩諸部犯寧夏東路。
HCH_012_015_000244	九月丙子朔，日有食之。
HCH_012_015_000245	丁亥，遣使募兵於延綏、寧夏、甘、涼。
HCH_012_015_000246	甲辰，召史琳還，起秦紘為戶部尚書兼副都御史，代之。
HCH_012_015_000247	冬十一月癸巳，分遣侍郎何鑑、大理寺丞吳一貫振卹兩畿、山東、河南饑民。
HCH_012_015_000248	十二月戊辰，遼東大饑，振之。
HCH_012_015_000249	是月，寇出河套。
HCH_012_015_000250	是年，免湖廣、江西、山西、山東、陝西、河南、畿內被災稅糧。
HCH_012_015_000251	安南、琉球入貢。
HCH_012_015_000252	十五年春正月丙子，朱暉帥師還。
HCH_012_015_000253	丙戌，大祀天地於南郊。
HCH_012_015_000254	二月癸丑，免河南被災稅糧。
HCH_012_015_000255	三月癸未，罷饒州督造瓷器中官。
HCH_012_015_000256	庚寅，賜康海等進士及第、出身有差。
HCH_012_015_000257	夏四月壬寅，振京師貧民。
HCH_012_015_000258	五月庚子，免湖廣被災秋糧。
HCH_012_015_000259	秋七月己卯，錄劉基後裔世襲指揮使。
HCH_012_015_000260	己丑，王軾破斬米魯，貴州賊平。
HCH_012_015_000261	辛卯，命各邊衞設養濟院、漏澤園。
HCH_012_015_000262	八月庚戌，以南京、鳳陽霪雨大風，江溢為災，遣使祭告，敕兩京羣臣修省。
HCH_012_015_000263	九月庚午朔，日有食之。
HCH_012_015_000264	戊子，放減內府所畜鳥獸。
HCH_012_015_000265	冬十月癸卯，罷明年上元燈火。
HCH_012_015_000266	十一月壬申，瓊州黎賊作亂。
HCH_012_015_000267	甲午，罷廣東採珠。
HCH_012_015_000268	十二月己酉，《大明會典》成。
HCH_012_015_000269	辛亥，以疾不視朝。
HCH_012_015_000270	是月，免南畿被災秋糧。
HCH_012_015_000271	是年，琉球、安南入貢。
HCH_012_015_000272	十六年春正月癸酉，遣官代享太廟。
HCH_012_015_000273	二月辛丑，視朝。
HCH_012_015_000274	戊申，大祀天地於南郊。
HCH_012_015_000275	三月癸巳，免山西被災稅糧。
HCH_012_015_000276	夏四月辛亥，敕宣、大嚴邊備。
HCH_012_015_000277	五月戊子，以雲南災變敕羣臣修省。
HCH_012_015_000278	刑部侍郎樊瑩巡視雲、貴，察官吏，問民疾苦。
HCH_012_015_000279	秋七月，廣東官軍討黎賊，敗之。
HCH_012_015_000280	九月丁丑，振兩畿、浙江、山東、河南、湖廣被災軍民。
HCH_012_015_000281	冬十一月甲戌，罷營造器物及明年上元烟火。
HCH_012_015_000282	是月，免南畿被災秋糧。
HCH_012_015_000283	十二月丙午，免淮、揚、浙江物料。
HCH_012_015_000284	是年，安南、暹羅、哈密、土魯番、撒馬兒罕入貢。
HCH_012_015_000285	十七年春正月辛未，南京工部侍郎高銓振應天饑。
HCH_012_015_000286	甲戌，大祀天地於南郊。
HCH_012_015_000287	壬午，嚴誣告之禁。
HCH_012_015_000288	二月甲寅，減供用物料。
HCH_012_015_000289	己未，嚴讖緯妖書之禁。
HCH_012_015_000290	庚申，免浙江被災稅糧。
HCH_012_015_000291	三月壬戌，太皇太后崩。
HCH_012_015_000292	癸未，定太廟各室一帝一后之制。
HCH_012_015_000293	夏四月己酉，葬孝肅皇太后。
HCH_012_015_000294	閏月辛酉，闕里先師廟成，遣大學士李東陽祭告。
HCH_012_015_000295	庚午，免山東被災稅糧。
HCH_012_015_000296	乙亥，以四方災荒敕羣臣修省。
HCH_012_015_000297	庚辰，命諸司詳議害民弊政。
HCH_012_015_000298	五月壬辰，罷南京、蘇、杭織造中官。
HCH_012_015_000299	六月乙亥，始命兩京五品以下官六年一考察。
HCH_012_015_000300	辛巳，召劉健、李東陽於暖閣，議邊務。
HCH_012_015_000301	癸未，火篩入大同，指揮鄭瑀力戰死。
HCH_012_015_000302	秋七月癸巳，工部侍郎李鐩、大理少卿吳一貫、通政司參議叢蘭分道經略邊塞。
HCH_012_015_000303	甲午，左副都御史閻仲宇、通政司參議熊偉分理邊餉。
HCH_012_015_000304	八月戊辰，命天下撫、按、三司官奏軍民利病，士民建言可採者，所司以聞。
HCH_012_015_000305	甲申，免南畿被災夏稅。
HCH_012_015_000306	丁亥，召馬文升、戴珊於暖閣，諭以明年考察，務訪實蹟，以求至當。
HCH_012_015_000307	九月庚寅，諭法司不得任情偏執，致淹獄囚。
HCH_012_015_000308	甲寅，太常少卿孫交經略宣、大邊務。
HCH_012_015_000309	丁巳，御暖閣，諭劉健、李東陽、謝遷：「諸邊首功，巡按御史察勘，動淹歲年，非所以示勸。自今奏報，以遠近立限。違者詰治。」
HCH_012_015_000310	諭講官進講直言毋諱。
HCH_012_015_000311	冬十一月戊子，罷雲南銀場。
HCH_012_015_000312	十二月庚午，申閉糴之禁。
HCH_012_015_000313	甲申，免湖廣被災秋糧。
HCH_012_015_000314	是年，琉球、撒馬兒罕、哈密、烏斯藏入貢。
HCH_012_015_000315	十八年春正月己丑，小王子諸部圍靈州，入花馬池，遂掠韋州、環縣。
HCH_012_015_000316	戶部侍郎顧佐理陝西軍餉。
HCH_012_015_000317	乙未，大祀天地於南郊。
HCH_012_015_000318	甲辰，小王子陷寧夏清水營。
HCH_012_015_000319	二月戊辰，御奉天門，諭戶、兵、工三部曰：「方今生齒漸繁，而戶口、軍伍日就耗損，此皆官司撫卹無方，因仍苟且所致。其悉議弊政以聞。」
HCH_012_015_000320	三月癸卯，賜顧鼎臣等進士及第、出身有差。
HCH_012_015_000321	夏四月戊寅，刑部侍郎何鑑撫輯荊、襄流民。
HCH_012_015_000322	甲申，帝不豫。
HCH_012_015_000323	五月庚寅，大漸，召大學士劉健、李東陽、謝遷受顧命。
HCH_012_015_000324	辛卯，崩於乾清宮，年三十有六。
HCH_012_015_000325	六月庚申，上尊謚，廟號孝宗，葬泰陵。
HCH_012_015_000326	贊曰：明有天下，傳世十六，太祖、成祖而外，可稱者仁宗、宣宗、孝宗而已。
HCH_012_015_000327	仁、宣之際，國勢初張，綱紀修立，淳樸未漓。
HCH_012_015_000328	至成化以來，號為太平無事，而晏安則易耽怠玩，富盛則漸啟驕奢。
HCH_012_015_000329	孝宗獨能恭儉有制，勤政愛民，兢兢於保泰持盈之道，用使朝序清寧，民物康阜。
HCH_012_015_000330	易曰：「无平不陂，无往不復，艱貞无咎。」
HCH_012_015_000331	知此道者，其惟孝宗乎。
