HCH_012_044_000001	湖廣《禹貢》荊、揚、樑、豫四州之域。
HCH_012_044_000074	東南有九宮山，寶石河出焉，下流合於富水。
HCH_012_044_000075	東有黃泥壠巡檢司。
HCH_012_044_000076	漢陽府元屬湖廣行省。
HCH_012_044_000077	洪武九年四月降爲州，屬武昌府。
HCH_012_044_000078	十三年五月復爲府。
HCH_012_044_000079	屬湖廣佈政司，尋屬河南。
HCH_012_044_000080	二十四年六月還湖廣。
HCH_012_044_000081	領縣二。
HCH_012_044_000082	西北距布政司，隔江僅七里。
HCH_012_044_000083	漢陽倚。
HCH_012_044_000084	洪武九年四月省。
HCH_012_044_000085	十三年五月復置。
HCH_012_044_000086	大別山在城東北，一名翼際山，又名魯山。
HCH_012_044_000087	漢水自漢川縣流入，舊逕山南襄河口入江。
HCH_012_044_000088	成化初，於縣西郭師口之上決，而東從山北注於大江，即今之漢口也，有漢口巡檢司。
HCH_012_044_000089	大江自巴陵縣西北接洞庭之水，流入府境，至此與漢水會。
HCH_012_044_000090	又西南有沔水，即漢水支流也，仍合漢入江。
HCH_012_044_000091	又有沌水，大江支流也，自沔陽州流入，仍入大江，謂之沌口，有沌口巡檢司。
HCH_012_044_000092	又有弇水，在大江南岸，至弇口入江。
HCH_012_044_000093	又北有灄水，亦漢水支流也，有淪水流合焉，下流注於大江。
HCH_012_044_000094	又西有太白湖，江北諸水多匯焉。
HCH_012_044_000095	西有蔡店鎮、西南有新灘鎮二巡檢司。
HCH_012_044_000096	又西南有百人磯鎮巡檢司，後遷於東江腦。
HCH_012_044_000097	漢川府西少北。
HCH_012_044_000098	元屬漢陽路。
HCH_012_044_000099	洪武九年四月改屬武昌府。
HCH_012_044_000100	十三年五月還屬。
HCH_012_044_000101	南有小別山，一名甑山，又有陽臺山。
HCH_012_044_000102	西南有漢水。
HCH_012_044_000103	東有溳水，自雲夢縣來，南入漢，謂之溳口。
HCH_012_044_000104	北有劉家塥巡檢司。
HCH_012_044_000105	黃州府元黃州路，屬河南江北行省。
HCH_012_044_000106	太祖甲辰年爲府，屬湖廣行省。
HCH_012_044_000107	九年屬湖廣佈政司，尋改屬河南。
HCH_012_044_000108	二十四年六月還屬湖廣。
HCH_012_044_000109	領州一，縣八。
HCH_012_044_000110	西南距布政司百八十里。
HCH_012_044_000111	黃岡倚。
HCH_012_044_000112	南有故城。
HCH_012_044_000113	洪武初，徙於今治。
HCH_012_044_000114	南濱大江，西北岸有赤鼻磯，非嘉魚之赤壁。
HCH_012_044_000115	西有三江口，其上流水分三派，至此合流。
HCH_012_044_000116	中有新生洲，又有崢嶸洲。
HCH_012_044_000117	東有巴河，西有舉水，俱入於江。
HCH_012_044_000118	江濱西有陽邏鎮、北有團風鎮、又西北有中和鎮三巡檢司。
HCH_012_044_000119	又有鹿城關，有大活關。
HCH_012_044_000120	又東北有陰山關。
HCH_012_044_000121	麻城府北。
HCH_012_044_000122	東有龜峯山，舉水出焉，流入黃岡縣。
HCH_012_044_000123	東南有長河，又南有縣前河流入焉，下流注於江西。
HCH_012_044_000124	有雙城鎮、鵝籠鎮，東北有虎頭關三巡檢司。
HCH_012_044_000125	又西北有木陵關，在木陵山上。
HCH_012_044_000126	東北有陰山關，在陰山上。
HCH_012_044_000127	又北有黃土關，與木陵、虎頭、白沙、大城爲五關。
HCH_012_044_000128	又西有岐亭鎮，嘉靖五年築城。
HCH_012_044_000129	黃陂府西。
HCH_012_044_000130	東南濱大江，有武湖自西來，入於江，曰武口，又曰沙武口，亦曰沙洑口。
HCH_012_044_000131	又西有灄水，自漢陽流入江，曰灄口。
HCH_012_044_000132	北有大城潭鎮巡檢司。
HCH_012_044_000133	又北有白沙關，即麻城五關之一也。
HCH_012_044_000134	黃安府西北。
HCH_012_044_000135	嘉靖四十二年以麻城縣之姜家畈置，析黃岡、黃陂二縣地益之。
HCH_012_044_000136	東有三角山，接蘄水、羅田、蘄州界。
HCH_012_044_000137	又有東流河，下流出團風口入江。
HCH_012_044_000138	西有西河，又有雙河，合流出灄口，入漢。
HCH_012_044_000139	又北有雙山關巡檢司。
HCH_012_044_000140	西北有金扃關，亦曰金山關，與河南羅山縣界。
HCH_012_044_000141	蘄水府東少南。
HCH_012_044_000142	元屬蘄州路。
HCH_012_044_000143	洪武九年四月屬蘄州。
HCH_012_044_000144	十一年十月改屬府。
HCH_012_044_000145	西南濱大江。
HCH_012_044_000146	南有浠水，源出英山縣，流經縣境西南入江。
HCH_012_044_000147	又東有蘭溪，東南流入浠水。
HCH_012_044_000148	又北有巴水，源出縣之板石山，流入黃岡縣界。
HCH_012_044_000149	有蘭溪鎮、巴河鎮二巡檢司。
HCH_012_044_000150	羅田府東北。
HCH_012_044_000151	元屬蘄州路。
HCH_012_044_000152	洪武九年四月屬蘄州。
HCH_012_044_000153	十一年十月改屬府。
HCH_012_044_000154	東南有浠水。
HCH_012_044_000155	西北有平湖水。
HCH_012_044_000156	南有官渡河，亦名縣前河，平湖水流入焉，下流合黃岡縣之巴河，入大江。
HCH_012_044_000157	東北有多雲鎮巡檢司，又有栗子關，又有上岐嶺、中岐嶺、下岐嶺等關。
HCH_012_044_000158	西北又有平湖關。
HCH_012_044_000159	蘄州元蘄州路，屬河南江北行省。
HCH_012_044_000160	太祖甲辰年爲府。
HCH_012_044_000161	九年四月降爲州，以州治蘄春縣省入，來屬。
HCH_012_044_000162	正統十年，荊王府自江西建昌遷此。
HCH_012_044_000163	東北有百家冶山，產蘄竹。
HCH_012_044_000164	南濱江。
HCH_012_044_000165	東北有蘄水，出大浮山，經州北，匯爲赤東湖，西南流，接蘄水縣界，注於大江。
HCH_012_044_000166	西有茅山鎮、北有大同鎮二巡檢司。
HCH_012_044_000167	西距府二百十里。
HCH_012_044_000168	領縣二：廣濟州東北。
HCH_012_044_000169	南濱江，江中有中洲。
HCH_012_044_000170	崇禎末遷治於此，尋復故。
HCH_012_044_000171	又有武山湖、馬口湖皆流通大江。
HCH_012_044_000172	南有武家穴鎮、西南有馬口鎮二巡檢司。
HCH_012_044_000173	黃梅州東北。
HCH_012_044_000174	東南有礦山，舊產鐵。
HCH_012_044_000175	大江在南，江濱有太子洑。
HCH_012_044_000176	又南有縣前河，由小池口入江。
HCH_012_044_000177	西南有新開口鎮巡檢司，屢圮於江，內徙。
HCH_012_044_000178	又南有靖江觜鎮巡檢司。
HCH_012_044_000179	承天府元安陸府，屬荊湖北道宣慰司。
HCH_012_044_000180	太祖乙巳年屬湖廣行省。
HCH_012_044_000181	洪武九年四月降爲州，直隸湖廣佈政司。
HCH_012_044_000182	二十四年六月改屬河南，未幾還屬。
HCH_012_044_000183	弘治四年，興王府自德安府遷此。
HCH_012_044_000184	嘉靖十年升州爲承天府。
HCH_012_044_000185	十八年建興都留守司於此。
HCH_012_044_000186	領州二，縣五。
HCH_012_044_000187	東南距布政司五百七十里。
HCH_012_044_000188	鍾祥倚。
HCH_012_044_000189	洪武二十四年建郢王府，永樂十二年除。
HCH_012_044_000190	二十二年建梁王府，正統六年除。
HCH_012_044_000191	元曰長壽縣，元末廢。
HCH_012_044_000192	洪武三年復置。
HCH_012_044_000193	九年四月省入州。
HCH_012_044_000194	嘉靖十年八月復置，更名。
HCH_012_044_000195	東有兩木山，一名青泥山。
HCH_012_044_000196	北有松林山，興獻王陵寢在焉，嘉靖十年賜名純德山，置顯陵縣於此。
HCH_012_044_000197	明末，縣廢。
HCH_012_044_000198	西濱漢水。
HCH_012_044_000199	北有直河，自隨州流入，有滶水流合焉。
HCH_012_044_000200	又有豐樂水，又東有臼水，俱注於漢水。
HCH_012_044_000201	京山府東。
HCH_012_044_000202	南有縣河，下流至景陵縣，入漢江。
HCH_012_044_000203	又東北有撞河，自隨州流入，至漢川縣入漢江，或謂之富水。
HCH_012_044_000204	潛江府東南。
HCH_012_044_000205	元屬中興路。
HCH_012_044_000206	洪武十年八月來屬。
HCH_012_044_000207	北有漢水。
HCH_012_044_000208	西北有潛水，即漢水分流，經縣東南入於漢。
HCH_012_044_000209	又東南有深江，又南有恩江，皆漢水支分也。
HCH_012_044_000210	西南有沱水，爲江水之分流，經縣南，有重湖環繞，又東匯於漢水。
HCH_012_044_000211	荊門州元治長林縣，屬荊湖北道宣慰司。
HCH_012_044_000212	洪武九年四月改爲縣，省長林縣入焉，屬荊州府。
HCH_012_044_000213	十三年五月復爲州，仍屬荊州府。
HCH_012_044_000214	嘉靖十年八月來屬。
HCH_012_044_000215	東南有章山，即內方山也。
HCH_012_044_000216	漢水逕其東，亦曰沔水。
HCH_012_044_000217	又西有權水，東南有直江，一名直河，又有陽水，一名建水，皆流入焉。
HCH_012_044_000218	南有荊門守禦千戶所。
HCH_012_044_000219	北有宜陽守禦千戶所。
HCH_012_044_000220	東南有建陽鎮、新城鎮，西北有仙居口，北有樂仙橋四巡檢司。
HCH_012_044_000221	東北距府九十里。
HCH_012_044_000222	領縣一：當陽州西。
HCH_012_044_000223	元屬荊門州。
HCH_012_044_000224	洪武九年改屬荊州府。
HCH_012_044_000225	十年五月省入荊門縣。
HCH_012_044_000226	十三年五月復置，仍屬州。
HCH_012_044_000227	東南有方城，洪武初移治於此。
HCH_012_044_000228	十三年復故。
HCH_012_044_000229	南有玉泉山，玉泉水出焉。
HCH_012_044_000230	北有沮水，源出房縣，逕縣東南，合榕渡，與漳水會，下流至枝江縣，入於大江。
HCH_012_044_000231	北有漳河口巡檢司。
HCH_012_044_000232	沔陽州元沔陽府，屬荊湖北道宣慰司。
HCH_012_044_000233	洪武九年四月降爲州，以州治玉沙縣省入，直隸湖廣佈政司，尋直隸河南。
HCH_012_044_000234	二十四年六月還直隸湖廣。
HCH_012_044_000235	嘉靖十年十二月來屬。
HCH_012_044_000236	東南有黃蓬山，其下爲黃蓬湖。
HCH_012_044_000237	南有大江。
HCH_012_044_000238	北有漢水。
HCH_012_044_000239	東有太白湖，州西十四湖之水悉匯焉，由漢陽縣之沌口入於大江。
HCH_012_044_000240	又南有長夏河，江水支流也，亦曰夏水。
HCH_012_044_000241	西北有襄水，漢水支流也，至州東北瀦口合流，東入於沔水。
HCH_012_044_000242	東有沙鎮、西南有茅鎮二巡檢司。
HCH_012_044_000243	西北距府三百二十五里。
HCH_012_044_000244	領縣一：景陵州西北。
HCH_012_044_000245	南有沔水。
HCH_012_044_000246	西南有楊水，北注沔，謂之楊口，亦曰中夏口，又曰楊林口。
HCH_012_044_000247	又有中水，流合楊水，曰中口。
HCH_012_044_000248	東有乾鎮巡檢司。
HCH_012_044_000249	德安府元屬荊湖北道宣慰司。
HCH_012_044_000250	洪武元年十月屬湖廣行省。
HCH_012_044_000251	九年四月降爲州，屬黃州府。
HCH_012_044_000252	十一月屬武昌府。
HCH_012_044_000253	十三年五月復爲府，屬湖廣佈政司。
HCH_012_044_000254	二十四年六月改屬河南，未幾還屬。
HCH_012_044_000255	領州一，縣五。
HCH_012_044_000256	東南距布政司四百里。
HCH_012_044_000257	安陸倚。
HCH_012_044_000258	成化二十三年建興王府。
HCH_012_044_000259	弘治四年遷於安陸州。
HCH_012_044_000260	八年建岐王府，十四年除。
HCH_012_044_000261	正德元年，壽王府自四川保寧府遷此，嘉靖二十四年除。
HCH_012_044_000262	四十年建景王府，四十四年除。
HCH_012_044_000263	洪武初，縣省。
HCH_012_044_000264	十三年五月復置。
HCH_012_044_000265	東有章山，即豫章山。
HCH_012_044_000266	溳水在城西，俗稱府河，亦曰石潼河，又西有漳水入焉，謂之漳口。
HCH_012_044_000267	南有高核鎮巡檢司，後移於隨州之合河店。
HCH_012_044_000268	雲夢府東南。
HCH_012_044_000269	西南有溳水。
HCH_012_044_000270	東有興安鎮巡檢司，後廢。
HCH_012_044_000271	應城府西南。
HCH_012_044_000272	洪武九年四月屬黃州府。
HCH_012_044_000273	十年五月省入雲夢縣。
HCH_012_044_000274	十三年五月復置。
HCH_012_044_000275	西北有西河，下流入漢水。
HCH_012_044_000276	又峙山鎮巡檢司亦在西北。
HCH_012_044_000277	孝感府東南。
HCH_012_044_000278	洪武九年四月屬黃州府。
HCH_012_044_000279	十年五月省入德安州。
HCH_012_044_000280	十三年五月復置。
HCH_012_044_000281	北有澴水，下流入於漢水。
HCH_012_044_000282	南有淪河，自溳河分流至漢陽，合灄水入江。
HCH_012_044_000283	北有小河溪、東南有馬溪河二巡檢司。
HCH_012_044_000284	隨州洪武二年正月以州治隨縣省入。
HCH_012_044_000285	九年四月降爲縣，屬黃州府。
HCH_012_044_000286	十年五月省入應山縣。
HCH_012_044_000287	十三年五月復升爲州。
HCH_012_044_000288	西有大溪山，溳水出焉，下流至漢川縣入漢水。
HCH_012_044_000289	又西有大洪山，漳水所出。
HCH_012_044_000290	西北有溠水，源出栲栳山，又有㵐水流入焉。
HCH_012_044_000291	又南有浪水，源出大猿山，下流俱注於溳水。
HCH_012_044_000292	又西北有合河店、東北有出山鎮二巡檢司。
HCH_012_044_000293	東南距府百八十里。
HCH_012_044_000294	領縣一：應山州東。
HCH_012_044_000295	洪武初省。
HCH_012_044_000296	十三年五月復置。
HCH_012_044_000297	西有雞頭山，澴水出焉。
HCH_012_044_000298	西南有溳水。
HCH_012_044_000299	東有白泉河，與澴水合，入孝感縣界。
HCH_012_044_000300	西北有杏遮關巡檢司，即平靖關，義陽三關之一。
HCH_012_044_000301	又西南有平裏市巡檢司。
HCH_012_044_000302	又東北有武陽關，一名武勝關，又名禮山關，亦義陽三關之一。
HCH_012_044_000303	岳州府元岳州路，屬湖廣行省。
HCH_012_044_000304	太祖甲辰年爲府。
HCH_012_044_000305	洪武九年四月降爲州，直隸布政司。
HCH_012_044_000306	十四年正月復爲府。
HCH_012_044_000307	領州一，縣七。
HCH_012_044_000308	東北距布政司五百里。
HCH_012_044_000309	巴陵倚。
HCH_012_044_000310	洪武九年四月省，十四年復置。
HCH_012_044_000311	西南有巴丘山。
HCH_012_044_000312	又有君山，在洞庭湖中。
HCH_012_044_000313	大江在西北。
HCH_012_044_000314	洞庭湖上納湘、澧二水，自西南來合，謂之三江口。
HCH_012_044_000315	湖之南有青草湖，又西曰赤沙湖，謂之三湖。
HCH_012_044_000316	沅、漸、元、辰、敘、酉、澧、澬、湘九水，皆匯於此，故亦名九江。
HCH_012_044_000317	東南有㴩湖，亦名翁湖。
HCH_012_044_000318	南有鹿角巡檢司。
HCH_012_044_000319	臨湘府東北。
HCH_012_044_000320	東南有龍窖山，跨臨湘、通城、當陽、蒲圻四縣界。
HCH_012_044_000321	西南有城陵磯，又有道人磯，皆濱大江，有城陵磯巡檢司。
HCH_012_044_000322	又南有土門鎮、東北有鴨欄磯二巡檢司。
HCH_012_044_000323	華容府西北。
HCH_012_044_000324	東有東山，又有石門山。
HCH_012_044_000325	大江在北。
HCH_012_044_000326	又有華容河，自大江分流，南達洞庭湖。
HCH_012_044_000327	南有澧水，東流入洞庭湖。
HCH_012_044_000328	西南有赤沙湖，與洞庭湖接。
HCH_012_044_000329	南有明山古樓巡檢司。
HCH_012_044_000330	又東北有黃家穴巡檢司，後移於塔市。
HCH_012_044_000331	北有北河渡巡檢司，後廢。
HCH_012_044_000332	平江府東南。
HCH_012_044_000333	元平江州，洪武三年降爲縣。
HCH_012_044_000334	北有永寧山。
HCH_012_044_000335	東北有幕阜山。
HCH_012_044_000336	東有汨水，西南流，昌水北流入焉。
HCH_012_044_000337	東北有長壽巡檢司。
HCH_012_044_000338	澧州元澧州路，屬湖廣行省。
HCH_012_044_000339	太祖甲辰年爲府。
HCH_012_044_000340	九年四月降爲州，以州治澧陽縣省入，屬常德府。
HCH_012_044_000341	三十年三月來屬。
HCH_012_044_000342	元元貞末徙治新城。
HCH_012_044_000343	洪武五年復舊治。
HCH_012_044_000344	東有關山。
HCH_012_044_000345	西南有大浮山，跨石門、武陵、桃源三縣界。
HCH_012_044_000346	南有澧水，一名蘭江，亦曰繡水。
HCH_012_044_000347	其東有澹水，北有涔水，俱流入焉。
HCH_012_044_000348	東有嘉山鎮巡檢司。
HCH_012_044_000349	東距府二百七十里。
HCH_012_044_000350	領縣三：安鄉州東南。
HCH_012_044_000351	西有澧水，一名長河。
HCH_012_044_000352	北有涔水。
HCH_012_044_000353	石門州西。
HCH_012_044_000354	南有澧水。
HCH_012_044_000355	西北有渫水，亦名添平河，自添平所南流入焉。
HCH_012_044_000356	慈利州西少南。
HCH_012_044_000357	元慈利州，洪武二年降爲縣。
HCH_012_044_000358	西南有天門山，有檳榔洞，與瑤分界。
HCH_012_044_000359	又西有崇山。
HCH_012_044_000360	又有歷山，澧水出焉，下流至華容縣入於洞庭湖。
HCH_012_044_000361	又西有漊水，源出四川巫山縣，東流合諸溪澗之水，至縣西匯於澧水，亦曰後江。
HCH_012_044_000362	西南有永定衛，洪武中置，二十三年八月徙於永順宣慰司之芋岸坪。
HCH_012_044_000363	西北有龍伏關，東南有後平關、黑崇關，謂之永定三關。
HCH_012_044_000364	所屬曰大庸守禦千戶所，本大庸衛，在衛西，洪武九年四月置，三十一年改爲所，曰茅岡長官司，在衛東北，正統中永定衛置。
HCH_012_044_000365	北有九溪衛，洪武二十三年六月置，有九淵、野牛、三江口、閘口四關。
HCH_012_044_000366	所屬曰守禦添平千戶所，在衛北，洪武二年置。
HCH_012_044_000367	曰守禦安福千戶所，在衛西北，洪武二十三年九月置。
HCH_012_044_000368	曰守禦麻寮千戶所，在衛北，洪武四年置。
HCH_012_044_000369	曰桑植安撫司，本桑植、荒溪等處宣撫司，在衛西北，太祖丙午年二月置，後廢，永樂四年十一月改置。
HCH_012_044_000370	荊州府元中興路，屬荊湖北道。
HCH_012_044_000371	太祖甲辰年九月改爲荊州府，屬湖廣行省。
HCH_012_044_000372	吳元年十月置湖廣分省於此，尋罷。
HCH_012_044_000373	九年屬湖廣佈政司，尋改屬河南。
HCH_012_044_000374	二十四年還屬。
HCH_012_044_000375	領州二，縣十一。
HCH_012_044_000376	東距布政司千二百一十里。
HCH_012_044_000377	江陵倚。
HCH_012_044_000378	洪武十一年正月建湘王府，建文元年四月除。
HCH_012_044_000379	永樂元年，遼王府自遼東廣寧遷於此，隆慶二年十月除。
HCH_012_044_000380	萬曆二十九年十月建惠王府。
HCH_012_044_000381	南濱江。
HCH_012_044_000382	東南有夏水，至沔陽州合於沔水，故沔水亦兼夏水之名。
HCH_012_044_000383	又有陽水，東北至景陵縣，入沔水。
HCH_012_044_000384	又東北有三海，沮、漳水匯流處。
HCH_012_044_000385	北有柞溪。
HCH_012_044_000386	又東有靈溪，亦曰零水，南入江，謂之零口。
HCH_012_044_000387	東北有龍彎市、東南有沙頭市、南有郝穴口、西南有虎渡口四巡檢司。
HCH_012_044_000388	公安府東南。
HCH_012_044_000389	東北有舊城。
HCH_012_044_000390	今治崇禎元年所遷。
HCH_012_044_000391	北濱江，西北有油河流入焉，謂之油口，有油口巡檢司。
HCH_012_044_000392	東北有夏水。
HCH_012_044_000393	石首府東南。
HCH_012_044_000394	元末治楚望山北，洪武中徙繡林山左，本宋時舊治也。
HCH_012_044_000395	北濱江，江中有石首山。
HCH_012_044_000396	又東有焦山，下有港，通洞庭湖。
HCH_012_044_000397	有調絃口巡檢司。
HCH_012_044_000398	監利府東少南。
HCH_012_044_000399	南濱江。
HCH_012_044_000400	東南有魯洑江，亦曰夏水，自大江分流，下至沔陽州入沔。
HCH_012_044_000401	又西有涌水，南入江，謂之涌口。
HCH_012_044_000402	又東有瓦子灣、西有窯所、南有白螺磯、北有毛家口、又有分鹽所五巡檢司。
HCH_012_044_000403	松滋府西南。
HCH_012_044_000404	西南有巴山。
HCH_012_044_000405	北濱大江。
HCH_012_044_000406	南有紅崖子巡檢司。
HCH_012_044_000407	又有西坪塞巡檢司，後廢。
HCH_012_044_000408	枝江府西。
HCH_012_044_000409	洪武十年五月省入鬆滋縣。
HCH_012_044_000410	十三年五月復置。
HCH_012_044_000411	北濱大江，江中有百里洲，江水經此而分，故曰枝江。
HCH_012_044_000412	北有沮水，南入江，謂之沮口。
HCH_012_044_000413	夷陵州元峽州路，屬荊湖北道宣慰司。
HCH_012_044_000414	太祖甲辰年爲府。
HCH_012_044_000415	九月降爲州，直隸湖廣行省。
HCH_012_044_000416	九年四月改州名夷陵，以州治夷陵縣省入，來屬。
HCH_012_044_000417	大江在南。
HCH_012_044_000418	西北有關曰下牢關，夾江爲險。
HCH_012_044_000419	又有西陵、明月、黃牛三峽，峽中有使君、虎頭、狼尾、鹿角等灘，皆江流至險處也。
HCH_012_044_000420	西北有赤谿，東合大江。
HCH_012_044_000421	南有南津口巡檢司。
HCH_012_044_000422	又東有金竹坪巡檢司，後廢。
HCH_012_044_000423	又西有西津關。
HCH_012_044_000424	東北有白虎關。
HCH_012_044_000425	東距府三百四十里。
HCH_012_044_000426	領縣三：長陽州西南。
HCH_012_044_000427	東南有清江。
HCH_012_044_000428	西有舊關堡、西南有蹇家園、南有漁洋關三巡檢司。
HCH_012_044_000429	南有古捍關。
HCH_012_044_000430	西有梅子八關。
HCH_012_044_000431	宜都州東南。
HCH_012_044_000432	西北有荊門山，下臨大江，其對岸即虎牙山也。
HCH_012_044_000433	又西有清江，東流合大江，有清江口巡檢司。
HCH_012_044_000434	又西北有古江關、東北有普通鎮二巡檢司。
HCH_012_044_000435	遠安州東北。
HCH_012_044_000436	舊治亭子山下。
HCH_012_044_000437	成化四年遷於東莊坪。
HCH_012_044_000438	崇禎十三年又遷鳳凰山麓，即今治也。
HCH_012_044_000439	東北有沮水。
HCH_012_044_000440	歸州元治秭歸縣，直隸湖廣行省。
HCH_012_044_000441	洪武九年四月廢州入秭歸縣，屬夷陵州。
HCH_012_044_000442	十年二月改縣名長寧。
HCH_012_044_000443	十三年五月復改縣爲歸州。
HCH_012_044_000444	舊治江北，後治白沙南浦。
HCH_012_044_000445	洪武初，徙治丹陽。
HCH_012_044_000446	四年徙長寧，在江南楚王臺下。
HCH_012_044_000447	嘉靖四十年復還江北舊治。
HCH_012_044_000448	東有馬肝、白狗、空舲等峽。
HCH_012_044_000449	大江在州北，經峽中，入夷陵界。
HCH_012_044_000450	其西有叱灘、蓮花灘、新灘，皆濱江。
HCH_012_044_000451	西北有牛口巡檢司，後遷於巴東縣利洲。
HCH_012_044_000452	東南有南邏口巡檢司，後遷於新灘。
HCH_012_044_000453	東距府五百二十里。
HCH_012_044_000454	領縣二：興山州西北。
HCH_012_044_000455	洪武九年改屬夷陵州，後還屬。
HCH_012_044_000456	正統九年三月省入州。
HCH_012_044_000457	弘治三年五月復置。
HCH_012_044_000458	南有香溪，亦曰縣前河，南流入江。
HCH_012_044_000459	東北有高雞寨巡檢司。
HCH_012_044_000460	又東有桑林坪巡檢司，後廢。
HCH_012_044_000461	又北有貓兒關，達鄖、襄。
HCH_012_044_000462	巴東州西。
HCH_012_044_000463	元屬歸州。
HCH_012_044_000464	洪武九年改屬夷陵州。
HCH_012_044_000465	隆慶四年還屬。
HCH_012_044_000466	北濱大江，自四川巫山縣流入，東經門扇、東奔、破石，謂之巴東三峽，下流至黃梅縣入南直宿松縣界。
HCH_012_044_000467	又南有清江，一名夷水，自四川建始縣流入，下流入於大江。
HCH_012_044_000468	又北有鹽井。
HCH_012_044_000469	西南有連天關巡檢司。
