HCH_012_106_000278	正統十二年卒。
HCH_012_106_000279	正統十三年十二月甲戌襲。
HCH_012_106_000280	十四年沒於土木。
HCH_012_106_000281	贈侯，諡悼僖。
HCH_012_106_000282	景泰元年六月庚子襲。
HCH_012_106_000283	成化四年八月己酉以平都掌蠻功進封侯。
HCH_012_106_000284	二十二年十月加太保。
HCH_012_106_000285	弘治二年三月卒。
HCH_012_106_000286	追封芮國公，諡壯武。
HCH_012_106_000287	弘治二年九月己巳襲伯。
HCH_012_106_000288	三年四月坐幼官營。
HCH_012_106_000289	八年三月坐揚威營。
HCH_012_106_000290	十一年五月壬寅卒。
HCH_012_106_000291	隆孫，黼從兄。
HCH_012_106_000292	弘治十一年八月戊子襲。
HCH_012_106_000293	十三年八月領右府。
HCH_012_106_000294	正德四年七月卒。
HCH_012_106_000295	正德四年十二月癸卯襲。
HCH_012_106_000296	十六年九月癸亥領南京前府兼督操江。
HCH_012_106_000297	嘉靖十八年卒。
HCH_012_106_000298	贈太子少保，諡恭敏。
HCH_012_106_000299	嘉靖二十年二月乙丑襲。
HCH_012_106_000300	萬曆十年卒。
HCH_012_106_000301	一作承功。
HCH_012_106_000302	萬曆十年襲。
HCH_012_106_000303	二十九年七月己酉領南京右府兼操江。
HCH_012_106_000304	三十六年十一月甲戌卒。
HCH_012_106_000305	予祭葬。
HCH_012_106_000306	萬曆三十八年二月癸亥襲。
HCH_012_106_000307	崇禎元年十一月辛未總京營。
HCH_012_106_000308	崇禎三年襲。
HCH_012_106_000309	十六年十二月己酉加太子太保，總京營。
HCH_012_106_000310	明年，城陷，賊執殺之。
HCH_012_106_000311	東昌戰死，成祖即位，追封，諡忠顯。
HCH_012_106_000312	洪熙元年三月追封河間王，改諡忠武。
HCH_012_106_000313	九月甲申封信安伯，第十九，勳號、祿襲同徐祥。
HCH_012_106_000314	永樂三年十一月癸巳進封新城侯，祿一千五百石，世襲。
HCH_012_106_000315	六年七月癸丑以安南功封英國公，祿三千石，世襲。
HCH_012_106_000316	二十一年加太師。
HCH_012_106_000317	正統十四年沒於土木。
HCH_012_106_000318	追封定興王，諡忠烈。
HCH_012_106_000319	景泰元年五月戊辰襲。
HCH_012_106_000320	成化間屢領軍府，累加太保。
HCH_012_106_000321	正德十年三月卒。
HCH_012_106_000322	追封寧陽王，諡恭靖。
HCH_012_106_000323	正德十年十月癸酉襲。
HCH_012_106_000324	十二年九月坐奮武營管操。
HCH_012_106_000325	嘉靖十四年六月乙卯卒。
HCH_012_106_000326	贈太保，諡莊和。
HCH_012_106_000327	嘉靖十四年十一月甲申襲。
HCH_012_106_000328	四十四年十二月領左府，加太子太保。
HCH_012_106_000329	萬曆二年加少保。
HCH_012_106_000330	萬曆十年三月甲申襲。
HCH_012_106_000331	二十四年十一月庚子卒。
HCH_012_106_000332	萬曆二十四年襲。
HCH_012_106_000333	二十六年五月卒。
HCH_012_106_000334	萬曆二十六年十一月甲辰襲。
HCH_012_106_000335	三十七年十一月丁未領後府，累加少傅兼太子太保。
HCH_012_106_000336	天啟三年七月加太保。
HCH_012_106_000337	崇禎三年十一月戊戌加太師。
HCH_012_106_000338	見崇禎十年正月戊申。
HCH_012_106_000339	襲年無考。
HCH_012_106_000340	崇禎十六年襲。
HCH_012_106_000341	城陷，被殺。
HCH_012_106_000342	世次無考。
HCH_012_106_000343	九月甲申封，第二十，勳祿同徐祥，世指揮使。
HCH_012_106_000344	永樂元年七月卒。
HCH_012_106_000345	夾河戰死，成祖即位，追封。
HCH_012_106_000346	諡壯節。
HCH_012_106_000347	九月甲申封，祿千石。
HCH_012_106_000348	宣德八年五月卒。
HCH_012_106_000349	宣德十年二月丁卯襲。
HCH_012_106_000350	正統十四年六月卒。
HCH_012_106_000351	正統十四年十月丁巳襲。
HCH_012_106_000352	景泰三年三月卒。
HCH_012_106_000353	天順元年六月癸巳襲。
HCH_012_106_000354	成化十七年領前府，屢典軍職，加太保。
HCH_012_106_000355	正德四年七月管五軍營。
HCH_012_106_000356	嘉靖四年卒。
HCH_012_106_000357	諡莊僖。
HCH_012_106_000358	嘉靖四年閏十二月甲戌襲。
HCH_012_106_000359	十一年三月領南京前府。
HCH_012_106_000360	二十七年卒。
HCH_012_106_000361	嘉靖二十七年八月辛未襲。
HCH_012_106_000362	三十六年十二月領南京左府。
HCH_012_106_000363	隆慶元年二月丙午卒。
HCH_012_106_000364	隆慶元年七月戊午襲。
HCH_012_106_000365	萬曆二十七年六月甲申卒。
HCH_012_106_000366	萬曆二十七年八月乙酉襲。
HCH_012_106_000367	天啟三年卒。
HCH_012_106_000368	天啟中襲。
HCH_012_106_000369	崇禎末死於賊。
HCH_012_106_000370	九月甲申封，第二十一，勳祿同徐祥。
HCH_012_106_000371	永樂十六年六月卒。
HCH_012_106_000372	追進侯，諡威武。
HCH_012_106_000373	永樂十八年正月襲伯。
HCH_012_106_000374	二十一年正月卒。
HCH_012_106_000375	永樂二十一年二月己巳襲。
HCH_012_106_000376	明年二月卒。
HCH_012_106_000377	永樂二十二年九月戊子襲。
HCH_012_106_000378	宣德五年有罪下獄，尋復。
HCH_012_106_000379	景泰二年十二月卒。
HCH_012_106_000380	景泰三年襲。
HCH_012_106_000381	弘治三年八月管五軍營圍子手。
HCH_012_106_000382	十六年九月卒。
HCH_012_106_000383	弘治十六年十一月壬子襲。
HCH_012_106_000384	嘉靖十八年卒。
HCH_012_106_000385	嘉靖十九年十月壬午襲。
HCH_012_106_000386	三十五年二月甲子卒。
HCH_012_106_000387	嘉靖三十五年九月庚午襲。
HCH_012_106_000388	三十九年八月僉書中府。
HCH_012_106_000389	萬曆十四年正月領南京後府。
HCH_012_106_000390	十七年卒。
HCH_012_106_000391	萬曆十七年六月庚辰襲。
HCH_012_106_000392	二十八年六月甲申卒。
HCH_012_106_000393	萬曆三十三年十月丙辰襲。
HCH_012_106_000394	崇禎三年九月甲辰加少保。
HCH_012_106_000395	十七年死於賊。
HCH_012_106_000396	九月甲申封，勳祿同前，世指揮使。
HCH_012_106_000397	永樂四年十月卒。
HCH_012_106_000398	九月甲申封，第二十三，勳號、祿襲同徐祥。
HCH_012_106_000399	宣德元年正月卒，諡武毅。
HCH_012_106_000400	宣德元年七月戊午襲。
HCH_012_106_000401	正統十四年七月領前府。
HCH_012_106_000402	天順元年理南京軍府。
HCH_012_106_000403	成化三年六月卒。
HCH_012_106_000404	成化四年七月丙戌襲。
HCH_012_106_000405	弘治十七年閏四月卒。
HCH_012_106_000406	溥從子。
HCH_012_106_000407	弘治十八年九月甲申襲。
HCH_012_106_000408	正德十三年正月卒。
HCH_012_106_000409	正德十三年十二月辛卯襲。
HCH_012_106_000410	嘉靖三十五年五月丁亥卒。
HCH_012_106_000411	嘉靖三十七年四月癸未襲。
HCH_012_106_000412	四十年卒。
HCH_012_106_000413	右永樂朝自姚廣孝以下，皆從北平，以功追贈者。
