HCH_009_092_000106	廉介之士老於令幕無舉主者、七考無贓私罪者，准朝官三考勞敘。
HCH_009_092_000107	吏部每季圖上外路職官姓名，路為一圖，大書贓汙者於其名下，使知畏慎。
HCH_009_092_000108	外任五品以上官改除，令代之者具功過以聞。
HCH_009_092_000109	年六十以上者，終更赴調，有司察其視聽精力，老疾不堪厘務，給以半祿罷遣。
HCH_009_092_000110	其三，論守邊將帥及沿邊州縣官漁剝軍民，擅興力役，宜歲遣監察禦史周行察之。
HCH_009_092_000111	邊部有訟，招討司無得輒遣白身人征斷，宜於省部有出身女直、契丹人及縣令丞簿中擇廉能者，因其風俗，略定科條，務為簡易。
HCH_009_092_000112	征斷羊馬入官籍數，如邊部遇饑饉，即以此賑給之。
HCH_009_092_000113	招討及都監視事，宜限邊部饋送駝馬。
HCH_009_092_000114	招討司女直人戶，或擷野菜以濟艱食，而軍中舊籍馬死，則一村均錢補買，往往鬻妻子、賣耕牛以備之。
HCH_009_092_000115	臣恐數年之後，邊防困弊，臨時賑濟，費財十倍而無益，早為之所，則財用省而邊備實矣。
HCH_009_092_000116	官給軍箭用盡，則市以補之，皆朽鈍不堪用，可每歲給官箭一分，以補其闕。
HCH_009_092_000117	邊民闕食給米，地遠負重，往往就倉賤賣而去，可計口支錢，則公私兩便。
HCH_009_092_000118	陝西正副，宜如猛安謀克用土人一員，隊將亦宜參用土人，久居其任。
HCH_009_092_000119	增弓箭田，複其賦役。
HCH_009_092_000120	以廉吏為提舉，舉察總管府以下官。
HCH_009_092_000121	農隙校閱，以嚴武備。
HCH_009_092_000122	則太平之時有經略之制矣。
HCH_009_092_000123	又論六鹽場用人，宜令戶部公議辟舉。
HCH_009_092_000124	論漕運，先計河倉見在幾何，通州容受幾何，京師歲費幾何。
HCH_009_092_000125	今近河州縣歲稅或六七萬石，小民有入資之費，富室收轉輸之利，宜計實數以科稅入。
HCH_009_092_000126	論民間私錢苦惡，宜以官錢五百易私錢千，期以一月易之，過期以銷錢法坐之。
HCH_009_092_000127	論州府力役錢物，戶部頒印署白簿，使盡書之，以俟審閱，有畏避不書者坐之。
HCH_009_092_000128	論工部營造調發，妨民生業。
HCH_009_092_000129	諸路射糧軍約量人數，習武藝，期以三年成，以息調民。
HCH_009_092_000130	書奏，多見採納。
HCH_009_092_000131	以本官行六部事於北邊，召拜戶部尚書。
HCH_009_092_000132	上數之曰：「汝前為侍郎，以不忠外補，頗能練習錢穀，故任以尚書之重，宜改前非，以圖新效也。」
HCH_009_092_000133	是時，戶部尚書高德基坐高估俸粟責降，世宗念望之吝出納或懲德基也，既出，使人諭之曰：「勿以高德基下粟直，要在平估而已。」
HCH_009_092_000134	十五年新宮成，世宗幸新宮，敕望之曰：「新宮中所須，毋取於民間也。」
HCH_009_092_000135	有良民夫婦質身于東京留守完顏彀英家，期終而不遣，尚書省下東京鞫治。
HCH_009_092_000136	望之言彀英為留守，其同官必且阿徇，不肯窮竟，當移他州。
HCH_009_092_000137	望之久習事，有治錢穀名，性剛愎，頗沾沾自露，希覬執政。
HCH_009_092_000138	而刑部尚書梁肅自詳問宋國使還，世宗嘗欲以為執政，久而未用，亦頗炫耀求進。
HCH_009_092_000139	世宗謂左丞相紇石烈良弼日：「曹望之、梁肅急於見知，涉於躁進。」
HCH_009_092_000140	遂出梁肅為濟南尹。
HCH_009_092_000141	數年，乃召拜參知政事。
HCH_009_092_000142	而望之終於戶部尚書，年五十六。
HCH_009_092_000143	世宗惜其未及用，賜錢三千貫，敕使致祭，賻銀五百兩、重彩二十端、絹二百匹，以其子淵為奉禦，澤為筆硯承奉。
HCH_009_092_000144	其後，尚輦局舉出身人年六十餘可以臨事，世宗曰：「豈為此輩惜官邪，但此輩專以盜取官錢為謀生計，不可用也。」
HCH_009_092_000145	由是欲更改監臨格式，以問戶部尚書劉瑋。
HCH_009_092_000146	瑋恐監官謗己，不肯實對。
HCH_009_092_000147	世宗因思望之，歎曰：「不如望之之敢行也。」
HCH_009_092_000148	望之初不學，及貴，稍知讀書，遂刻苦自致，有詩集三十卷。
HCH_009_092_000149	大懷貞，字子正，遼陽人。
HCH_009_092_000150	皇統五年，除閤門祗候，三遷東上閣門使。
HCH_009_092_000151	丁母憂，起複符寶郎，累官右宣徽使。
HCH_009_092_000152	正隆伐宋，為武勝軍都總管。
HCH_009_092_000153	大定二年，除洺州防禦使兼押軍萬戶，改沂州，再遷彰國、安武軍節度使。
HCH_009_092_000154	縣尉獲盜，得一旗，上圖亢宿。
HCH_009_092_000155	詰之，有謀叛狀，株連幾萬人。
HCH_009_092_000156	懷貞當以亂民之刑，請誅其首亂者十八人，餘皆釋之。
HCH_009_092_000157	嘗以私忌飯僧數人，就中一僧異常，懷貞問曰：「汝何許人也？」
HCH_009_092_000158	對曰：「山西人。」
HCH_009_092_000159	複問：「曾為盜殺人否？」
HCH_009_092_000160	對曰：「無之。」
HCH_009_092_000161	後三日詰盜，果引此僧，皆服其明察。
HCH_009_092_000162	改興中尹。
HCH_009_092_000163	錦州富民蕭鶴壽途中殺人，匿府少尹家，有司捕不得，懷貞以計取之，置於法。
HCH_009_092_000164	改彰德軍節度使，卒。
HCH_009_092_000165	盧孝儉，宣德州人。
HCH_009_092_000166	登天眷二年第，調憲州軍事判官，補尚書省令史，累官太原少尹。
HCH_009_092_000167	大定二年，陝西用兵，尚書省發本路稅粟赴平涼充軍實，期甚嚴迫。
HCH_009_092_000168	孝儉輒易以金帛，馳至平涼，用省而不失期，並人稱之。
HCH_009_092_000169	用廉，進官二階，遷同知廣甯尹。
HCH_009_092_000170	廣寧大饑，民多流亡失業，乃借僧粟，留其一歲之用，使平其價市與貧民，既以救民，僧亦獲利。
HCH_009_092_000171	累遷山東東路轉運使。
HCH_009_092_000172	孝儉素褊躁，與同僚王公謹失歡。
HCH_009_092_000173	其子嘗私用官帑，孝儉不知也。
HCH_009_092_000174	既而改河北西路轉運使，公謹乃發其事。
HCH_009_092_000175	孝儉聞被逮，莫測所以，行至章丘，自縊死。
HCH_009_092_000176	盧庸，字子憲，薊州豐潤人。
HCH_009_092_000177	大定二十八年進士，調唐州軍事判官，再調定平縣令。
HCH_009_092_000178	庸治舊堰，引涇水溉田，民賴其利。
HCH_009_092_000179	補尚書省令史，除南京轉運副使，改中都戶籍判官。
HCH_009_092_000180	察廉，遷禮部主事，累官鳳翔治中。
HCH_009_092_000181	大安三年，征陝西屯田軍衛中都，以庸簽三司事，主兵食。
HCH_009_092_000182	至潞州，放還屯田軍，庸改乾州刺史，入為吏部郎中。
HCH_009_092_000183	至甯元年，改陝西按察副使。
HCH_009_092_000184	夏人犯邊，庸繕治平涼城池，積芻粟，團結土兵為備。
HCH_009_092_000185	十一月，夏人掠鎮戎，陷涇、邠，遂圍平涼。
HCH_009_092_000186	庸矢盡，募人取夏兵射城上箭以濟急用，出府庫賞有功者，人樂為死，平涼賴以完。
HCH_009_092_000187	貞祐二年，庸移書陝西行省僕散端，大概謂慶陽、平涼、德順陝西重地，長安以西邠為厄塞，當重兵屯守。
HCH_009_092_000188	詔賞平涼功，庸進官四階，遷按察轉運使。
HCH_009_092_000189	三年，詔諸道按察司講究防秋，庸陳便宜曰：「自毾延至積石，雖多溝阪，無長河大山為之遮罩，恃弓箭手以禦侮，其人皆剛猛善鬥，熟于地利，夏人畏之。向者徙屯他所，夏人即時犯邊，此近年深患也。人情樂土，且耕且戰，緩急將自奮。」
HCH_009_092_000190	又曰：「防秋之際，宜先清野。」
HCH_009_092_000191	又曰：「掌軍之官不宜臨時易代，兵家所忌，將非其人，屢代何益？」
HCH_009_092_000192	無何，有言庸老不勝任者，即罷之。
HCH_009_092_000193	未幾，改定海軍節度使，山東亂，不能赴，按察司劾之，當奪兩官，審理官直之。
HCH_009_092_000194	庸以病請求醫藥，遂致仕。
HCH_009_092_000195	興定三年，卒。
