HCH_009_011_000121	己卯，以雨足，報祭社稷。
HCH_009_011_000122	辛巳，遣官報祀嶽瀆。
HCH_009_011_000123	癸未，奉職丑和尚進《浮漏水稱影儀簡儀圖》。
HCH_009_011_000124	命有司依式造之。
HCH_009_011_000125	丁亥，定宮中親戚非公事傳達語言、轉遞諸物及書簡出入者罪。
HCH_009_011_000126	七月甲辰，更定尚藥、儀鸞局學者格。
HCH_009_011_000127	辛亥，敕宣徽院官，天壽節凡致仕宰執悉召與宴。
HCH_009_011_000128	丙辰，以久雨，令大興府祈晴。
HCH_009_011_000129	八月己巳，獵於近郊。
HCH_009_011_000130	壬申，獵於香山。
HCH_009_011_000131	甲戌，以皇嗣未立，命有司祈於太廟。
HCH_009_011_000132	丁丑，獵於近郊。
HCH_009_011_000133	庚辰，還宮。
HCH_009_011_000134	九月庚寅朔，天壽節，宋、高麗、夏遣使來賀。
HCH_009_011_000135	己亥，如薊州秋山。
HCH_009_011_000136	己未，以知東平府事僕散琦等為賀宋生日使。
HCH_009_011_000137	冬十月丙寅，至自秋山。
HCH_009_011_000138	壬午，初定百官休假。
HCH_009_011_000139	甲申，初置審官院。
HCH_009_011_000140	十一月乙未，敕京、府、州、縣設普濟院，每歲十月至明年四月設粥，以食貧民。
HCH_009_011_000141	丙申，平章政事張萬公表乞致政，不許。
HCH_009_011_000142	庚戌，命有司祈雪。
HCH_009_011_000143	甲寅，定護衛改充奉禦格。
HCH_009_011_000144	以知濟南府事範楫等為賀宋正旦使。
HCH_009_011_000145	十二月己未，除授文字初送審官院。
HCH_009_011_000146	辛酉，更定考試隨朝檢、知法條格。
HCH_009_011_000147	右補闕楊庭秀請類集太祖、太宗、世宗三朝聖訓，以時觀覽。
HCH_009_011_000148	從之，仍詔增熙宗為四朝。
HCH_009_011_000149	癸未，更定科舉法。
HCH_009_011_000150	增設國史院女直、漢人同修史各一人。
HCH_009_011_000151	定親軍及承應人退閑遷賞格。
HCH_009_011_000152	是月，淑妃李氏進封元妃。
