HCH_012_173_000197	明年又言：「大同西路屯堡，皆臨極邊。玉林故城去右衛五十里，與東勝單於城接，水草便利。請分軍築壘，防護屯種。」
HCH_012_173_000198	詔皆允行。
HCH_012_173_000199	尋以敗敵紅城功，進都指揮使。
HCH_012_173_000200	敵犯延安，追至金山敗之，再遷都督僉事。
HCH_012_173_000201	亨以國制搜將才未廣，請仿漢、唐制，設軍謀宏遠、智識絕倫等科，令人得自陳，試驗擢用，不專保舉。
HCH_012_173_000202	報可。
HCH_012_173_000203	十四年，與都督僉事馬麟巡僥塞外。
HCH_012_173_000204	至箭豁山，敗兀良哈眾，進都督同知。
HCH_012_173_000205	是時，邊將智勇者推楊洪，其次則亨。
HCH_012_173_000206	亨雖偏將，中朝倚之如大帥，故亨亦盡力。
HCH_012_173_000207	其秋，也先大舉寇大同，亨及西寧侯宋瑛、武進伯朱冕等戰陽和口。
HCH_012_173_000208	瑛、冕戰沒，亨單騎奔還。
HCH_012_173_000209	降官，募兵自效。
HCH_012_173_000210	郕王監國，尚書于謙薦之。
HCH_012_173_000211	召掌五軍大營，進右都督。
HCH_012_173_000212	無何，封武清伯。
HCH_012_173_000213	也先逼京師，命偕都督陶瑾等九將，分兵營九門外。
HCH_012_173_000214	德勝門當敵沖，特以命亨。
HCH_012_173_000215	于謙以尚書督軍。
HCH_012_173_000216	寇薄彰義門，都督高禮等卻之。
HCH_012_173_000217	轉至德勝門外，亨用謙令，伏兵誘擊，死者甚眾。
HCH_012_173_000218	既而圍孫鏜西直門外，以亨救引卻。
HCH_012_173_000219	相持五日，寇斂眾遁。
HCH_012_173_000220	論功，亨為多，進侯。
HCH_012_173_000221	景泰元年二月命佩鎮朔大將軍印，帥京軍三萬人，巡哨大同。
HCH_012_173_000222	遇寇，敗之。
HCH_012_173_000223	其秋，予世襲誥券。
HCH_012_173_000224	易儲，加亨太子太師。
HCH_012_173_000225	于謙立團營，命亨提督，充總兵官如故。
HCH_012_173_000226	八年，帝將郊，宿齋宮，疾作不能行禮，召亨代。
HCH_012_173_000227	亨受命榻前，見帝病甚，遂與張軏、曹吉祥等謀迎立上皇。
HCH_012_173_000228	上皇既復辟，以亨首功，進爵忠國公。
HCH_012_173_000229	眷顧特異，言無不從。
HCH_012_173_000230	其弟侄家人冒功錦衣者五十餘人，部曲親故竄名「奪門」籍得官者四千餘人。
HCH_012_173_000231	兩京大臣，斥逐殆盡。
HCH_012_173_000232	納私人重賄，引用太僕丞孫弘，郎中陳汝言、蕭璁、張用瀚、郝璜、龍文、朱銓，員外郎劉本道為侍郎。
HCH_012_173_000233	時有語曰「朱三千，龍八百」。
HCH_012_173_000234	勢焰熏灼，嗜進者競走其門。
HCH_012_173_000235	既以私憾殺于謙、範廣等，又以給事中成章、御史甘澤等九人嘗攻其失，貶黜之。
HCH_012_173_000236	數興大獄，構陷耿九疇、嶽正，而戍楊瑄、張鵬，謫周斌、盛颙等。
HCH_012_173_000237	又惡文臣為巡撫，抑武臣不得肆，盡撤還。
HCH_012_173_000238	由是大權悉歸亨。
HCH_012_173_000239	亨無日不進見，數預政事。
HCH_012_173_000240	所請或不從，艴然見於辭色。
HCH_012_173_000241	即不召，必假事以入，出則張大其勢，市權利。
HCH_012_173_000242	久之，帝不能堪，嘗以語閣臣李賢。
HCH_012_173_000243	賢曰：「惟獨斷乃可。」
HCH_012_173_000244	帝然之。
HCH_012_173_000245	一日語賢曰：「閣臣有事，須燕見。彼武臣，何故頻見？」
HCH_012_173_000246	遂敕左順門，非宣召毋得納總兵官。
HCH_012_173_000247	亨自此稀燕見。
HCH_012_173_000248	亨嘗白帝立碑於其祖墓。
HCH_012_173_000249	工部希亨指，請敕有司建立，翰林院撰文。
HCH_012_173_000250	帝以永樂以來，無為功臣祖宗立碑故事，責部臣，而令亨自立。
HCH_012_173_000251	初，帝命所司為亨營第。
HCH_012_173_000252	既成，壯麗逾制。
HCH_012_173_000253	帝登翔鳳樓見之，問誰所居。
HCH_012_173_000254	恭順侯吳瑾謬對曰：「此必王府。」
HCH_012_173_000255	帝曰：「非也。」
HCH_012_173_000256	瑾曰：「非王府，誰敢僭逾若此？」
HCH_012_173_000257	帝頷之。
HCH_012_173_000258	亨既權侔人主，而從子彪亦封定遠侯，驕橫如亨。
HCH_012_173_000259	兩家蓄材官猛士數萬，中外將帥半出其門。
HCH_012_173_000260	都人側目。
HCH_012_173_000261	三年秋，彪謀鎮大同，令千戶楊斌等奏保。
HCH_012_173_000262	帝覺其詐，收斌等拷問得實，震怒，下彪詔獄。
HCH_012_173_000263	亨懼，請罪。
HCH_012_173_000264	帝慰諭之。
HCH_012_173_000265	亨請盡削弟侄官，放歸田裏。
HCH_012_173_000266	帝亦不許。
HCH_012_173_000267	及鞫彪，得繡蟒龍衣及違式寢床諸不法事，罪當死。
HCH_012_173_000268	遂籍彪家，命亨養病。
HCH_012_173_000269	亨嘗遣京衛指揮裴瑄出關市木，遣大同指揮盧昭追捕亡者。
HCH_012_173_000270	至是事覺，法司請罪亨，帝猶置不問。
HCH_012_173_000271	法司再鞫彪，言彪初為大同遊擊，以代王增祿為己功，王至跪謝。
HCH_012_173_000272	自是數款彪，出歌妓行酒。
HCH_012_173_000273	彪淩侮親王，罪亦當死。
HCH_012_173_000274	因劾亨招權納賕，肆行無忌，與術士鄒叔彜等私講天文，妄談休咎，宜置重典。
HCH_012_173_000275	帝命錮彪於獄，亨閑住，罷朝參。
HCH_012_173_000276	時方議革「奪門」功，窮治亨黨，由亨得官者悉黜，朝署一清。
HCH_012_173_000277	明年正月，錦衣指揮逯杲奏亨怨望，與其從孫後等造妖言，蓄養無賴，專伺朝廷動靜，不軌跡已著。
HCH_012_173_000278	廷臣皆言不可輕宥。
HCH_012_173_000279	乃下亨詔獄，坐謀叛律斬，沒其家貲。
HCH_012_173_000280	逾月，亨瘐死，彪、後並伏誅。
HCH_012_173_000281	彪驍勇敢戰，善用斧。
HCH_012_173_000282	初以舍人從軍。
HCH_012_173_000283	正統末，積功至指揮同知。
HCH_012_173_000284	也先逼京師，既退，追襲余寇，頗有斬獲，進署都指揮僉事。
HCH_012_173_000285	景泰改元，詔予實授，充遊擊將軍，守備威遠衛。
HCH_012_173_000286	敵圍土城，彪用炮擊死百餘人，遁去。
HCH_012_173_000287	塞上日用兵，彪勇冠流輩，每戰必捷，以故一歲中數遷，至都督僉事。
HCH_012_173_000288	恃亨勢，多縱家人占民產，又招納流亡五十餘戶，擅越關置莊墾田，為給事中李侃、御史張奎所劾，請並罪亨。
HCH_012_173_000289	景帝皆宥不問，但令給還民產，遣流亡戶復業而已。
HCH_012_173_000290	三年冬，充右參將，協守大同。
HCH_012_173_000291	嘗憾巡撫年富抑己不得逞。
HCH_012_173_000292	及英宗復辟，召彪還。
HCH_012_173_000293	亨方得誌，彪遂誣奏富罪，致之獄。
HCH_012_173_000294	未幾，進都督同知，再以遊擊將軍赴大同備敵。
HCH_012_173_000295	與參將張鵬等哨磨兒山。
HCH_012_173_000296	寇千餘騎來襲，彪率壯士沖擊，斬把禿王，搴其旗，俘斬百二十人。
HCH_012_173_000297	追至三山墩，又斬七十二人。
HCH_012_173_000298	以是封定遠伯，遊擊如故。
HCH_012_173_000299	天順二年命偕高陽伯李文赴延綏禦寇，以疾召還，尋充總兵官。
HCH_012_173_000300	明年，寇二萬騎入掠安邊營。
HCH_012_173_000301	彪與彰武伯楊信等禦之，連戰皆捷。
HCH_012_173_000302	斬鬼力赤，追出塞轉戰六十餘里，生擒四十餘人，斬首五百餘級，獲馬駝牛羊二萬餘，為西北戰功第一。
HCH_012_173_000303	捷聞，進侯。
HCH_012_173_000304	彪本以戰功起家，不藉父兄蔭，然一門二公侯，勢盛而驕，多行不義。
HCH_012_173_000305	謀鎮大同，與亨表裏握兵柄，為帝所疑。
HCH_012_173_000306	遂及於禍。
HCH_012_173_000307	後，天順元年進士，助亨籌畫。
HCH_012_173_000308	都督杜清出亨門下，後造妖言，有「土木掌兵權」語，蓋言杜也。
HCH_012_173_000309	事覺，後伏誅，清亦流金齒。
HCH_012_173_000310	郭登，字元登，武定侯英孫也。
HCH_012_173_000311	幼英敏。
HCH_012_173_000312	及長，博聞強記，善議論，好談兵。
HCH_012_173_000313	洪熙時，授勛衛。
HCH_012_173_000314	正統中，從王驥征麓川有功，擢錦衣衛指揮僉事。
HCH_012_173_000315	又從沐斌征騰沖，遷署都指揮僉事。
HCH_012_173_000316	十四年，車駕北征，扈從至大同，超拜都督僉事，充參將，佐總兵官廣寧伯劉安鎮守。
HCH_012_173_000317	朱勇等軍覆，倉猝議旋師。
HCH_012_173_000318	登告學士曹鼐、張益曰「車駕宜入紫荊關」，王振不從，遂及於敗。
HCH_012_173_000319	當是時，大同軍士多戰死，城門晝閉，人心洶洶。
