HCH_012_189_000074	都察院奏，哲因公杖人死，罪當徒。
HCH_012_189_000075	爵、玉、琦及聶母女當杖。
HCH_012_189_000076	獄上，珪憤懣，抗疏曰：「聶女之獄，哲斷之審矣。鵬拷聶使誣服，鎮撫司共相蔽欺。陛下令法司、錦衣會問，懼東廠莫敢明，至鞫之朝堂乃不能隱。夫女誣母僅擬杖，哲等無罪反加以徒。輕重倒置如此，皆東廠威劫所致也。臣在刑部三年，見鞫問盜賊，多東廠鎮撫司緝獲，有稱校尉誣陷者，有稱校尉為人報仇者，有稱校尉受首惡贓而以為從、令傍人抵罪者。刑官洞見其情，無敢擅更一字。上幹天和，災異迭見。臣願陛下革去東廠，戮鵬叔侄並賈校尉及此女於市，謫戍鎮撫司官極邊，進哲、爵、琦、玉各一階，以洗其冤，則天意可回，太平可致。如不罷東廠，亦當推選謹厚中官如陳寬、韋泰者居之，仍簡一大臣與共理。鎮撫司理刑亦不宜專用錦衣官。乞推選在京各衛一二人及刑部主事一人，共蒞其事。或三年、六年一更，則巡捕官校，當有作奸擅刑，誣及無辜者矣。臣一介微軀，左右前後皆東廠鎮撫司之人，禍必不免。顧與其死於此輩，孰若死於朝廷。願斬臣頭，以行臣言。給臣妻子送骸骨歸，臣雖死無恨。」
HCH_012_189_000077	帝怒，下都察院考訊。
HCH_012_189_000078	都御史閔珪等抵以奏事不實，贖徒還役。
HCH_012_189_000079	帝責具狀，皆上疏引罪，奪俸有差。
HCH_012_189_000080	珪贖徒畢，發為民。
HCH_012_189_000081	既而給事中龐泮等言：「哲等獄詞覆奏已餘三月，繫獄者凡三十八人，乞早為省釋。」
HCH_012_189_000082	乃杖滿倉兒，送浣衣局。
HCH_012_189_000083	哲給璘理葬資，發為民。
HCH_012_189_000084	爵及琦、玉俱贖杖還職。
HCH_012_189_000085	時弘治九年十二月也。
HCH_012_189_000086	磐尋擢吏部主事。
HCH_012_189_000087	正德元年，宦官漸用事，磐復上疏曰：「今日弊政，莫甚於內臣典民。夫臣以內稱，外事皆不當預，矧可使握兵柄哉。前代盛時，未嘗有此。唐、宋季世始置監軍，而其國遂以不永。今九邊鎮守、監槍諸內臣，恃勢專恣，侵克百端。有警則擁精卒自衛，克敵則縱部下攘功。武弁藉以夤緣，憲司莫敢訐問。所攜家人頭目，率惡少無賴。吞噬爭攫，勢同狼虎，致三軍喪氣，百職灰心。乞盡撤還京，專以邊務責將帥，此今日修攘要務也。」
HCH_012_189_000088	不從。
HCH_012_189_000089	及劉瑾得志，斥磐為奸黨，勒之歸。
HCH_012_189_000090	瑾誅，起河南僉事，坐累罷。
HCH_012_189_000091	珪以刑部主事陳鳳梧薦，授桐鄉丞。
HCH_012_189_000092	正德中，曆贛州通判。
HCH_012_189_000093	招降盜魁何積玉。
HCH_012_189_000094	已，復叛，下珪獄，尋釋之。
HCH_012_189_000095	後以平盜功擢知州。
HCH_012_189_000096	胡爟，字仲光，蕪湖人。
HCH_012_189_000097	弘治六年進士。
HCH_012_189_000098	改庶起士，授戶部主事。
HCH_012_189_000099	十年三月，災異求言。
HCH_012_189_000100	爟應詔，疏言：「中官李廣、楊鵬引左道劉良輔輩惑亂聖聰，濫設齋醮，耗蠹國儲。而不肖士大夫方昏暮乞憐於其門，交通請托。陰盛陽微，災何由弭？」
HCH_012_189_000101	因極陳戚畹、方士、傳奉冗員之害。
HCH_012_189_000102	疏留中。
HCH_012_189_000103	未幾，廣死，故爟得無罪。
HCH_012_189_000104	當成化時，宦官用事。
HCH_012_189_000105	孝宗嗣位，雖間有罷黜，而勢積重不能驟返。
HCH_012_189_000106	忤之者必結黨排陷，不勝不止。
HCH_012_189_000107	前後庶僚以忤璫被陷者，如弘治元年戶部員外郎周時從疏請置先朝遺奸汪直、錢能、蔡用輩於重典，而察核兩京及四方鎮守中官。
HCH_012_189_000108	諸宦官摘其奏中「宗社」字不越格，命法司逮治。
HCH_012_189_000109	已而釋之。
HCH_012_189_000110	十三年秋，大同有警，命保國公硃暉禦之。
HCH_012_189_000111	行人永清王雄極言暉不足任，且請罷中官監督，以重將權。
HCH_012_189_000112	苗逵方督暉軍，謂雄阻軍，乃下詔獄，謫雲南浪穹丞。
HCH_012_189_000113	羅僑，字維升，吉水人。
HCH_012_189_000114	性純靜，寡嗜欲。
HCH_012_189_000115	受業張元禎，講學里中。
HCH_012_189_000116	舉弘治十二年進士，除新會知縣，有惠愛。
HCH_012_189_000117	正德初，入為大理右評事。
