HCH_012_163_000251	遷雲南左參政。
HCH_012_163_000252	正德九年，以父老乞侍養。
HCH_012_163_000253	時子炫已成進士，官禮部主事，亦謁假歸。
HCH_012_163_000254	三世一堂，鄉人稱盛事。
HCH_012_163_000255	嘉靖初，父憂，服闋，起官江西，歷湖廣左、右布政使。
HCH_012_163_000256	舉治行卓異，擢右副都御史，巡撫保定諸府。
HCH_012_163_000257	歷工部右侍郎。
HCH_012_163_000258	應詔言郊壇大工，南城、西苑相繼興作，請以儉約先天下。
HCH_012_163_000259	又因災傷，乞撤還采木、燒造諸使。
HCH_012_163_000260	進左，拜尚書，加太子太保。
HCH_012_163_000261	時帝方大興土木功，庭㭿所規畫多稱意。
HCH_012_163_000262	會詔建沙河行宮，庭㭿議加天下田賦，為御史桑喬、給事中管見所劾。
HCH_012_163_000263	乞罷，歸卒，贈少保，謚康懿。
HCH_012_163_000264	炫終通政司參議。
HCH_012_163_000265	庭機，字利仁，瀚季子也。
HCH_012_163_000266	嘉靖十四年進士。
HCH_012_163_000267	改庶吉士，授檢討，遷司業，擢南京祭酒，累遷至工部尚書。
HCH_012_163_000268	穆宗立，調禮部，俱官陪京。
HCH_012_163_000269	時子燫已為祭酒，遂致仕歸。
HCH_012_163_000270	萬曆九年卒，年七十有六。
HCH_012_163_000271	贈太子太保，謚文僖。
HCH_012_163_000272	子燫、烴。
HCH_012_163_000273	燫，字貞烜，庭機長子。
HCH_012_163_000274	嘉靖二十六進士。
HCH_012_163_000275	改庶吉士，授檢討。
HCH_012_163_000276	景恭王就邸，命燫侍講讀。
HCH_012_163_000277	三遷國子祭酒。
HCH_012_163_000278	自燫祖瀚，父庭機，三世為祭酒，前此未有也。
HCH_012_163_000279	隆度改元，擢禮部右侍郎，充日講官。
HCH_012_163_000280	寇犯邊，條上備邊七事。
HCH_012_163_000281	改吏部，調南京吏部，署禮部事。
HCH_012_163_000282	魏國公徐鵬舉廢長立幼，燫持不可。
HCH_012_163_000283	萬歷元年進工部尚書，改禮部。
HCH_012_163_000284	仍居南京。
HCH_012_163_000285	名位一與父庭機等。
HCH_012_163_000286	母喪去官。
HCH_012_163_000287	服闋，以庭機篤老侍養，家居七年，先父庭機卒。
HCH_012_163_000288	贈太子少保，謚文恪。
HCH_012_163_000289	明代三世為尚書，並得謚文。
HCH_012_163_000290	林氏一家而已。
HCH_012_163_000291	子世勤，性篤孝。
HCH_012_163_000292	芝生者三，枯篁復青。
HCH_012_163_000293	御史上其事，被旌。
HCH_012_163_000294	烴字貞燿，庭機次子也。
HCH_012_163_000295	嘉靖四十一年進士。
HCH_012_163_000296	授戶部主事，歷廣西副使。
HCH_012_163_000297	兄燫卒，請急歸養。
HCH_012_163_000298	久之，歷太僕少卿。
HCH_012_163_000299	因災異極陳礦稅之害，請釋逮系諸臣。
HCH_012_163_000300	不報。
HCH_012_163_000301	終南京工部尚書致仕。
HCH_012_163_000302	林氏三世五尚書，皆內行修潔，為時所稱。
HCH_012_163_000303	謝鐸，字鳴治，浙江太平人。
HCH_012_163_000304	天順末進士。
HCH_012_163_000305	改庶吉士，授編修，預修《英宗實錄》。
HCH_012_163_000306	性介特，力學慕古，講求經世務。
HCH_012_163_000307	成化九年校勘《通鑒綱目》，上言：「《綱目》一書，帝王龜鑒。陛下命重加考定，必將進講經筵，為致治資也。今天下有太平之形，無太平之實，因仍積習，廢實徇名。曰振綱紀，而小人無畏忌；曰勵風俗，而縉紳棄廉恥。飭官司，而汙暴益甚；恤軍民，而罷敝益極。減省有制，而興作每疲於奔命；蠲免有詔，而征斂每困於追呼。考察非不舉，而幸門日開；簡練非不行，而私撓日眾。賞竭府庫之財，而有功者不勸；罰窮讞覆之案，而有罪者不懲。以至修省祈禱之命屢頒，水旱災傷之來不絕。禁垣被震，城門示災，不思疏動旋轉，以大答天人之望，是則誠可憂也。願陛下以古證今，兢兢業業，然後可長治久安，而載籍不為無用矣。」
HCH_012_163_000308	帝不能從。
HCH_012_163_000309	時塞上有警，條上備邊事宜，請養兵積粟，收復東勝、河套故疆。
HCH_012_163_000310	又言：「今之邊將，無異晚唐債帥。敗則士卒受其殃，捷則權豪蒙其賞。且克侵軍餉，辦納月錢，三軍方怨憤填膺，孰肯為國效命者？」
HCH_012_163_000311	語皆切時弊。
HCH_012_163_000312	秩滿，進侍講，直經筵。
HCH_012_163_000313	遭兩喪，服除，以親不逮養，遂不起。
HCH_012_163_000314	弘治初，言者交薦，以原官召修《憲宗實錄》。
HCH_012_163_000315	三年擢南京國子祭酒。
HCH_012_163_000316	上言六事，曰擇師儒，慎科貢，正祀典，廣載籍，復會饌，均撥歷。
HCH_012_163_000317	其正祀典，請進宋儒楊時而罷吳澄。
HCH_012_163_000318	禮部尚書傅瀚持之，乃進時而澄祀如故。
HCH_012_163_000319	明年謝病去。
HCH_012_163_000320	家居將十年，薦者益眾。
HCH_012_163_000321	會國子缺祭酒，部議起之。
HCH_012_163_000322	帝素重鐸，擢禮部右侍郎，管祭酒事。
HCH_012_163_000323	屢辭，不許。
HCH_012_163_000324	時章懋為南祭酒，兩人皆人師，諸生交相慶。
HCH_012_163_000325	居五年，引疾歸。
HCH_012_163_000326	鐸經術湛深，為文章有體要。
HCH_012_163_000327	兩為國子師，嚴課程，杜請謁，增號舍，修堂室，擴廟門。
HCH_012_163_000328	置公廨三十餘居其屬。
HCH_012_163_000329	諸生貧者周恤之，死者請官定制為之殮。
HCH_012_163_000330	家居好周恤族黨，自奉則布衣蔬食。
HCH_012_163_000331	正德五年卒。
HCH_012_163_000332	贈禮部尚書，謚文肅。
HCH_012_163_000333	魯鐸，字振之，景陵人。
HCH_012_163_000334	弘治十五年會試第一。
HCH_012_163_000335	歷編修。
HCH_012_163_000336	閉門自守，不妄交人。
HCH_012_163_000337	武宗立，使安南，卻其饋。
HCH_012_163_000338	正德二年遷國子監司業。
HCH_012_163_000339	累擢南祭酒，尋改北。
HCH_012_163_000340	鐸屢典成均，教士切實為學，不專章句。
HCH_012_163_000341	士有假歸廢學者，訓飭之，悔過乃已。
HCH_012_163_000342	久之，謝病歸。
HCH_012_163_000343	嘉靖初，以刑部尚書林俊薦，用孝宗朝謝鐸故事，起南祭酒。
HCH_012_163_000344	逾年，復請致仕。
HCH_012_163_000345	累征不起，卒。
HCH_012_163_000346	謚文恪。
HCH_012_163_000347	鐸以德望重於時。
HCH_012_163_000348	居鄉，有盜掠牛馬，或紿云：「魯祭酒物也」，舍之去。
HCH_012_163_000349	大學士李東陽生日，鐸為司業，與祭酒趙永皆其門生也，相約以二帕為壽。
HCH_012_163_000350	比檢笥，亡有，徐曰：「鄉有饋乾魚者，盍以此往？」
HCH_012_163_000351	詢諸庖，食過半矣，以其餘詣東陽。
HCH_012_163_000352	東陽喜，為烹魚置酒，留二人飲，極歡乃去。
HCH_012_163_000353	永，字爾錫，臨淮人。
HCH_012_163_000354	與鐸同年進士，亦官編修。
HCH_012_163_000355	復與鐸相繼為祭酒。
HCH_012_163_000356	尋遷南京禮部侍郎。
HCH_012_163_000357	大學士楊一清重其才，欲引以自助，乃為他語挑之。
HCH_012_163_000358	永正色曰：「可以纓冠汙吾道乎？」
HCH_012_163_000359	遂請致仕去。
HCH_012_163_000360	人服其廉介。
HCH_012_163_000361	贊曰：明太祖時，國學師儒，體貌優重。
HCH_012_163_000362	魏觀、宋訥為祭酒，造就人才，克舉其職。
HCH_012_163_000363	諸生銜命奉使，往往擢為大官，不專以科目進也。
HCH_012_163_000364	中葉以還，流品稍雜，撥歷亦為具文，成均師席，不過為儒臣序遷之地而已。
HCH_012_163_000365	李時勉、陳敬宗諸人，方廉清鯁，表範卓然，類而傳之，庶觀者有所法焉。
