HCH_013_017_000157	帝好文章，能為詩歌，嘗賦詩曰：「牢落西南四十秋，蕭蕭白髮已盈頭。乾坤有恨家何在？江、漢無情水自流。長樂宮中雲氣散，朝元閣上雨聲收。新蒲細柳年年綠，野老吞聲哭未休。」
HCH_013_017_000158	後至貴州金竺長官司羅永菴，嘗題詩壁間，其一曰：「風塵一夕忽南侵，天命潛移四海心。鳳返丹山紅日遠，龍歸滄海碧雲深。紫微有象星還拱，玉漏無聲水自沈。遙想禁城今夜月，六宮猶望翠華臨。」
HCH_013_017_000159	其二曰：「閱罷《楞嚴》磬懶敲，笑看黃屋寄團瓢。南來瘴嶺千層逈，北望天門萬里遙。款段久忘飛鳳輦，袈裟新換袞龍袍。百官此日知何處？唯有羣烏早晚朝。」
HCH_013_017_000160	至是，出亡蓋三十九年矣。
HCH_013_017_000161	會有同寓僧者，竊帝詩，自謂建文帝，詣思恩知州岑瑛，大言曰：「吾建文皇帝也。」
HCH_013_017_000162	瑛大駭，聞之藩司，因繫僧，并及帝，蜚章以聞，詔械入京師，程濟從。
HCH_013_017_000163	八月，至金陵，九月，至京，命御史廷鞫之。
HCH_013_017_000164	僧稱：「年九十餘，且死，思葬祖父陵旁耳。」
HCH_013_017_000165	御史言：「建文君生洪武十年，距正統五年，當六十四歲，何得九十歲！」
HCH_013_017_000166	廉其狀，僧實楊應祥，鈞州白沙里人。
HCH_013_017_000167	奏上，僧論死，下錦衣獄，從者十二人，戍邊。
HCH_013_017_000168	而帝適有南歸之思，白其實，御史密以聞。
HCH_013_017_000169	閹吳亮老矣，逮事帝，乃令探之。
HCH_013_017_000170	建文帝見亮，輒曰：「汝非吳亮耶？」
HCH_013_017_000171	亮曰：「非也。」
HCH_013_017_000172	建文帝曰：「吾昔御便殿，汝尚食，食子鵞，棄片肉於地，汝手執壺，據地狗餂之，乃云非是耶？」
HCH_013_017_000173	亮伏地哭。
HCH_013_017_000174	建文帝左趾有黑子，摩視之，持其踵，復哭不能仰視，退而自經。
HCH_013_017_000175	於是迎建文帝入西內，程濟聞之，歎曰：「今日方終臣職矣。」
HCH_013_017_000176	往雲南焚菴，散其徒。
HCH_013_017_000177	帝既入宮，宮中人皆呼為老佛，以壽終；葬西山，不封不樹。
