HCH_012_319_000127	命都督楊文佩征南將軍印，為總兵官，都指揮韓觀為左將軍，都督僉事宋晟為右將軍，劉真為參將，率京衛馬步軍三萬人至廣西，會討龍州及奉議、南丹、向武等州叛蠻。
HCH_012_319_000128	師行，帝撰文遣使祭嶽鎮海瀆，復遣禮部尚書任亨泰、監察御史嚴震直使安南，諭以討龍州趙宗壽之故，令陳日焜慎守邊境，毋助逆，勿納叛。
HCH_012_319_000129	遣人諭文調南寧衛兵千人，江陰侯吳高領之，柳州衛兵千人，安陸侯吳傑領之，皆令其建功自贖。
HCH_012_319_000130	又詔文等，如兵至龍州，宗壽親來見，具陳茂已死之由，則宥其罪。
HCH_012_319_000131	若詐遣人來，則進兵討之。
HCH_012_319_000132	既，鐸還京，言宗壽伏罪來朝，乞罷兵勿征。
HCH_012_319_000133	詔文移兵於奉議，仍命鐸至軍參軍事。
HCH_012_319_000134	宗壽偕耆民農裏等六十九人來朝謝罪，貢方物。
HCH_012_319_000135	宗壽死，子景升襲。
HCH_012_319_000136	景升死，無嗣，以叔仁政襲。
HCH_012_319_000137	仁政再傳為趙源，源死無子。
HCH_012_319_000138	思恩土官岑浚率兵攻田州回，劫龍州，奪其印，納故知府源妻岑氏。
HCH_012_319_000139	詔下鎮巡官剿賊，而議立為源後者。
HCH_012_319_000140	以源庶兄浦有二子，相居長當立。
HCH_012_319_000141	相弟楷不能無望，則謀於岑氏，以仆韋隊子璋詭雲遺腹。
HCH_012_319_000142	岑氏恃兄子猛方兵雄，楷遂奏言，璋實源子，當立，為相所篡。
HCH_012_319_000143	事下督府勘，未決。
HCH_012_319_000144	璋賂鎮守太監傅倫舍人，詭稱有詔，檄猛調二萬兵，納璋入龍州。
HCH_012_319_000145	左江大震，相挈印奔況村。
HCH_012_319_000146	都御史楊旦討璋，猛殺之，相乃歸。
HCH_012_319_000147	相二子，長燧，次寶。
HCH_012_319_000148	相枝拇，寶亦枝拇，相絕愛之，曰：「肖我當立。」
HCH_012_319_000149	猛乃以寶去，髡為奴。
HCH_012_319_000150	嘉靖元年，相死，州人立燧。
HCH_012_319_000151	楷弒之，州人立其族弟暖。
HCH_012_319_000152	時王守仁提督兩廣，幕客岑伯高用事，楷賂伯高，言暖非趙氏裔，當立者楷也。
HCH_012_319_000153	遣上思州知州黃熊兆核之。
HCH_012_319_000154	熊兆黨伯高，言楷當立，以州印畀楷。
HCH_012_319_000155	楷遂殺暖，龍州大亂。
HCH_012_319_000156	州目黃安等潛往田州購寶。
HCH_012_319_000157	寶時為奴楊布家十三年矣，安等行百金購得之。
HCH_012_319_000158	言之督府，都御史林富謂楷勢已張，毋持之急，乃令楷攝職，俟寶長讓之。
HCH_012_319_000159	楷復，時時謀殺寶。
HCH_012_319_000160	富諭楷，令以印還寶，寶謝以五千金，益以腴田三十一村。
HCH_012_319_000161	楷計寶弱易與，不如邀厚利而徐圖之，遂聽命。
HCH_012_319_000162	楷復求韋璋之子應育之，令往來寶所。
HCH_012_319_000163	寶妻黃氏，思明府土官黃朝女也，貳於寶而與應通。
HCH_012_319_000164	應乃厚結州目，又數遣人與向武州締好，乞兵為衛。
HCH_012_319_000165	寶日荒悍，刑狡男子王良為閽。
HCH_012_319_000166	楷知良恨寶，激使內應，良許之。
HCH_012_319_000167	楷以千人夜至寶寢門呼良，良開門納楷兵，執寶寢所，斬之，以他盜聞。
HCH_012_319_000168	應以兵千人據州，並結朝自援。
HCH_012_319_000169	都御史蔡經屬副使翁萬達謀之。
HCH_012_319_000170	萬達謂楷狙詐，未可速圖。
HCH_012_319_000171	韋應巽懦寡慮，可旦夕擒，斷其中堅，然後可次第獲，督撫善之。
HCH_012_319_000172	萬達行部至太平，使人以他事召朝，諭之計，論應當死，言楷才勇，正須藉為龍州當一面耳。
HCH_012_319_000173	時諸言楷事者，故不為理，州人大嘩。
HCH_012_319_000174	萬達愈厚楷，楷信之，遂統精兵千人詣萬達言狀，並以三十一村地獻。
HCH_012_319_000175	萬達召楷及州目鄧瑀等入見，伏壯士劫之，曰：「汝罪大，宜自為計。誠死，尚可為爾子留一官。」
HCH_012_319_000176	楷自分無生理，乃手書諭其黨曰：「業已如此，亂無益也，可善輔我子以存趙。」
HCH_012_319_000177	萬達即杖楷，斃之，以楷書諭其州人。
HCH_012_319_000178	時楷子匡時，生四年矣，立之，一州悉定。
HCH_012_319_000179	乃以十三村還龍州，十八村隸崇善縣，於是龍州趙氏仍得襲。
HCH_012_319_000180	歸順州，舊為峒，隸鎮安府。
HCH_012_319_000181	永樂間，鎮安知府岑誌綱分其第二子岑永綱領峒事，傳子瑛，屢率兵報效。
HCH_012_319_000182	弘治九年，總督鄧廷瓚言：「鎮安府之歸順峒，舊為州治，洪武初裁革。今其峒主岑瑛每效勞於官，乞設州治，授以土官知州。凡出兵令備土兵五千，仍歲領土兵二千赴梧州聽調。」
HCH_012_319_000183	詔從之，增設流官吏目一員。
HCH_012_319_000184	瑛死，子璋襲。
HCH_012_319_000185	復從璋奏，以本州改隸布政司。
HCH_012_319_000186	璋多智略。
HCH_012_319_000187	田州岑猛以不法獲譴，都御史姚鏌將舉兵討之。
HCH_012_319_000188	璋，猛婦翁也。
HCH_012_319_000189	鏌慮璋黨猛，召都指揮沈希儀謀。
HCH_012_319_000190	希儀雅知璋女失寵，恨猛，又知部下千戶趙臣雅善璋。
HCH_012_319_000191	希儀因使趙臣語璋圖猛，璋受命。
HCH_012_319_000192	時猛子邦彥守工堯隘，璋詐遣兵千人助邦彥，言：「天兵至，以姻黨故，且與爾同禍。今發精兵來，幸努力堅守。」
HCH_012_319_000193	邦彥欣納之。
HCH_012_319_000194	璋遣人報希儀曰：「謹以千人內應矣。」
HCH_012_319_000195	時田州兵殊死拒戰，諸將莫利當隘者，希儀獨引兵當之。
HCH_012_319_000196	約戰三合，歸順兵大呼曰：「敗矣！」
HCH_012_319_000197	田州兵驚潰，希儀麾兵乘之，斬首數千級，邦彥死焉。
HCH_012_319_000198	猛聞敗，欲自經。
HCH_012_319_000199	而璋先已築別館，使人請猛。
HCH_012_319_000200	時猛倉皇不知所出，遂挈印從璋，使走歸順。
HCH_012_319_000201	璋詭為猛草奏，促猛出印實封之。
HCH_012_319_000202	璋既知猛印所在，乃鴆殺猛，斬其首，並府印函之，間道馳軍門。
HCH_012_319_000203	為讒言所阻，竟不論功。
HCH_012_319_000204	璋死，次子瓛襲。
HCH_012_319_000205	嘉靖四年，提督盛應期以瓛先助猛逆攻泗城，許自新，出兵討賊自贖。
HCH_012_319_000206	從之。
HCH_012_319_000207	十四年，四州盧蘇叛，糾瓛攻鎮安府。
HCH_012_319_000208	瓛破鎮安，並發岑真寶父母墳墓。
HCH_012_319_000209	事聞，革冠帶，許立功贖。
HCH_012_319_000210	瓛後從征交阯，卒於軍。
HCH_012_319_000211	子代襲，萬歷間以貢馬違限，給半賞。
HCH_012_319_000212	向武州，宋置，隸橫山寨。
HCH_012_319_000213	元隸田州路。
HCH_012_319_000214	其界東北抵田州，西抵鎮安，南抵鎮遠。
