HCH_012_150_000264	辰居官廉勤尚氣，與都司、按察使不相得，數爭，坐免官。
HCH_012_150_000265	十四年起行部左侍郎，復留南京者三年。
HCH_012_150_000266	帝念其老，賜敕及鈔幣，今致仕。
HCH_012_150_000267	卒於途，年七十八。
HCH_012_150_000268	楊砥，字大用，澤州人。
HCH_012_150_000269	洪武末，由進士授行人司右司副。
HCH_012_150_000270	上疏言：「揚雄為莽大夫，貽譏萬世。董仲舒《天人三策》及正誼明道之言，足以扶翼世教。今孔廟從祀有雄無仲舒，非是。」
HCH_012_150_000271	帝從之。
HCH_012_150_000272	歷官湖廣布政司參議。
HCH_012_150_000273	建文中，言：「帝堯之德始於親九族。今宜惇睦諸藩，無自剪枝葉。」
HCH_012_150_000274	不報。
HCH_012_150_000275	父喪歸。
HCH_012_150_000276	成祖即位，起鴻臚寺卿，乞終制。
HCH_012_150_000277	服闋，擢禮部侍郎，坐視河渠失職，降工部主事，改禮部。
HCH_012_150_000278	永樂十年遷北京行太僕寺卿。
HCH_012_150_000279	時吳橋至天津大水決堤傷稼。
HCH_012_150_000280	砥請開德州東南黃河故道及土河，以殺水勢。
HCH_012_150_000281	帝命工部侍郎藺芳經理之。
HCH_012_150_000282	定牧馬法，請令民五丁養種馬一匹，十馬立群頭一人，五十馬立群長一人，養馬家歲蠲租糧之半。
HCH_012_150_000283	而薊州以東至山海諸衛，土地寬廣，水草豐美，其屯軍人養種馬一匹，租亦免半。
HCH_012_150_000284	帝命軍租盡蠲之，余悉從其議。
HCH_012_150_000285	於是馬大蕃息。
HCH_012_150_000286	砥剛介有守，尤篤孝行。
HCH_012_150_000287	十六年，母喪哀毀，未至家，卒。
HCH_012_150_000288	虞謙，字伯益，金壇人。
HCH_012_150_000289	洪武中，由國子生擢刑部郎中，出知杭州府。
HCH_012_150_000290	建文中請限僧道田，人無過十畝，余以均給貧民。
HCH_012_150_000291	從之。
HCH_012_150_000292	永樂初召為大理寺少卿。
HCH_012_150_000293	時有詔。
HCH_012_150_000294	建文中，上言改舊制者悉面陳。
HCH_012_150_000295	謙乃言前事請罪。
HCH_012_150_000296	帝見謙怖，笑曰：「此秀才辟老、佛耳。」
HCH_012_150_000297	釋弗問。
HCH_012_150_000298	而僧道限田制竟罷。
HCH_012_150_000299	都察院論誆騙罪，準洪武榜例梟首以徇。
HCH_012_150_000300	謙奏：「比奉詔準律斷罪，誆騙當杖流，梟首非詔書意。」
HCH_012_150_000301	帝從之。
HCH_012_150_000302	天津衛倉災，焚糧數十萬石。
HCH_012_150_000303	御史言主者盜用多，縱火自蓋。
HCH_012_150_000304	逮幾八百人，應死者百。
HCH_012_150_000305	謙白其濫，得論減。
HCH_012_150_000306	七年，帝北巡，皇太子奏謙為右副都御史。
HCH_012_150_000307	明年，偕給事中杜欽巡視淮、鳳抵陳州災傷，免田租，贖民所鬻子女。
HCH_012_150_000308	明年，謙請振，太子諭之曰：「軍民困極，而卿等從容請啟，彼汲黯何如人也。」
HCH_012_150_000309	尋命督兩浙、蘇、松諸府糧，輸南、北京及徐州、淮安。
HCH_012_150_000310	富民賂有司，率得近地，而貧民多遠運。
HCH_012_150_000311	謙建議分四等：丁多糧最少者運北京，次少者運徐州，丁糧等者運南京、淮安，丁少糧多者存留本土。
HCH_012_150_000312	民利賴之。
HCH_012_150_000313	又言：徐州、呂梁二洪，行舟多阻。
HCH_012_150_000314	請每洪增挽夫二百，月給廩；官牛一百，暇時聽民耕，大舟至，用以挽。
HCH_012_150_000315	人以為便。
HCH_012_150_000316	嘗督運木，役者大疫。
HCH_012_150_000317	謙令散處之，疫遂息。
HCH_012_150_000318	未幾，偕給事中許能巡撫浙江。
HCH_012_150_000319	仁宗即位，召還，改大理寺卿。
HCH_012_150_000320	時呂升為少卿，仰瞻為丞，而謙又薦嚴本為寺正。
HCH_012_150_000321	帝方矜慎刑獄，謙等亦悉心奏當。
HCH_012_150_000322	凡法司及四方所上獄，謙等再四參復，必求其平。
HCH_012_150_000323	嘗語人曰：「彼無憾，斯我無憾矣。」
HCH_012_150_000324	嘗應詔上言七事，皆切中時務。
HCH_012_150_000325	有言其奏事不密，市恩於外者。
HCH_012_150_000326	帝怒，降少卿。
HCH_012_150_000327	一日，楊士奇奏事畢，不退。
HCH_012_150_000328	帝問：「欲何言，得非為虞謙乎？」
