HCH_013_027_000097	議遣陽武侯將兵討高煦，大學士楊榮力言不可，曰：「皇上獨不見李景隆事乎？」
HCH_013_027_000098	上默然。
HCH_013_027_000099	顧原吉，原吉曰：「往事可鑒，不可失也。臣見煦命將而色變，退語臣等而泣，知其無能為也。且兵貴神速，宜卷甲韜戈以往，一鼓而平之，所謂先聲有奪人之心也。若命將出師，恐不濟。楊榮言是。」
HCH_013_027_000100	上意遂決。
HCH_013_027_000101	立召張輔諭親征，輔對曰：「高煦鷙而寡謀，外戇中恇，今所擁非有能戰者。願假臣兵二萬，擒逆賊獻闕下。」
HCH_013_027_000102	上曰：「卿誠足辦賊，顧朕新即位，小人或懷二心，行決矣。」
HCH_013_027_000103	令大索樂安奸諜。
HCH_013_027_000104	乙丑，敕遣指揮黃謙，同總兵、平江伯陳瑄防守淮安，勿令賊南走。
HCH_013_027_000105	令指揮芮勛守居庸關。
HCH_013_027_000106	令法司盡弛軍旗刑徒從征。
HCH_013_027_000107	戊辰，命定國公徐永昌、彭城伯張昶守皇城；安鄉侯張安、廣寧伯劉瑞、忻城伯張榮、建平伯高遠守京師。
HCH_013_027_000108	己巳，命豐城伯李賢、侍郎郭璡、郭敬、李昶督軍餉；鄭王瞻埈、襄王瞻墡留守北京；廣平侯袁容、武安侯鄭京、都督張昇、山雲，尚書黃淮、黃福、李友直協守；少師蹇義、少傅楊士奇、少保夏原吉、太子少傅楊榮、太子少保吳中、尚書胡濙、張本、通政使顧佐扈行；陽武侯薛祿、清平伯吳成為先鋒。
HCH_013_027_000109	辛未，以高煦之罪，告天地宗廟社稷山川百神，遂親征。
HCH_013_027_000110	發京師，率大營五軍將士以行。
HCH_013_027_000111	東南天鳴，聲如萬鼓。
HCH_013_027_000112	癸酉，駕過楊村，馬上顧問從臣曰：「試度高煦計安出？」
HCH_013_027_000113	或對曰：「樂安城小，彼必先取濟南為巢窟。」
HCH_013_027_000114	或對曰：「彼曩不肯離南京，今必引兵南去。」
HCH_013_027_000115	上曰：「不然。濟南雖近，未易攻；聞大軍至，亦不暇攻。護軍家在樂安，不肯棄此走南京。高煦外多誇詐，內實怯懦，臨事狐疑，展轉不斷。今敢反者，輕朕年少新立，眾心未附。又謂朕不能親征，即遣將來，得以甘言厚利誘餌幸成事。今聞朕行，已膽落，敢出戰乎！至即擒矣。」
HCH_013_027_000116	戊寅，獲樂安歸正人，益知賊中虛實。
HCH_013_027_000117	言：「賊初約靳榮取濟南，山東布、按二司官覺之，防榮不得發。又聞大軍至，不敢出。朱煊力言：「宜引精兵取南京，得南京大事成矣。』眾不從，曰：「南人謀家耳，奈我輩何！』」又曰：「高煦初聞陽武侯等將兵，攘臂喜曰：「此易與耳。』聞親征，始懼。」于是授歸正人官厚賞，給榜令還樂安諭眾。上仍書諭高煦曰：「人言王反，朕初不信。及得王奏，知王志在禍生靈，危宗社。朕興師問罪，不得已也。王太宗皇帝之子，仁宗皇帝之弟。朕嗣位以來，事以叔父，禮不少虧，何為而反耶？朕惟張敖失國，本之貫高；淮南受誅，成于伍被。自古小人事藩國，率因之以身圖富貴，而陷其主于不義。及事不成，則反噬主以圖苟安，若此者多矣。今六師壓境，王能悔禍，即擒獻倡謀者。朕與王削除前過，恩禮如初，善之善者也。王如執迷，或出兵拒敵，或嬰城固守，圖僥倖于萬一，當率大軍乘之，一戰成擒矣。又或麾下以王為奇貨，執以來獻，王以何面目見朕？雖欲保全，不可得也。王之轉禍為福，一反掌間耳！其審圖之。」上英暢神武，詞旨明壯。六軍氣盛，龍旗鉦鼓，千里不絕。庚辰，薛祿馳奏前鋒至樂安，約明日出戰。上令大軍蓐食兼行，文臣請慎重，武臣曰：「林莽間或設伏，百里趨利不可。」上曰：「兵貴神速，
HCH_013_027_000118	我抵城下營，彼阱中虎，爪牙安施！
HCH_013_027_000119	大軍至，烏合之眾方洶洶，何暇設伏！
HCH_013_027_000120	遂行，夜分至陽信。
HCH_013_027_000121	時慶雲、陽信吏人皆入樂安城，無來朝者。
HCH_013_027_000122	辛巳，駐蹕樂安城北，城中黑氣黯黲，大軍壁其四門。
HCH_013_027_000123	賊乘城舉礮，大軍發神機銃箭，聲震如雷，城中人股慄。
HCH_013_027_000124	諸將請即攻城，上不許。
HCH_013_027_000125	敕諭高煦，不報。
HCH_013_027_000126	已，復遣敕諭之曰：「前敕諭爾備矣。朕言不再，爾其審圖之。」
HCH_013_027_000127	又以敕繫矢射城中，諭黨逆者以禍福，于是城中人多欲執獻高煦者。
HCH_013_027_000128	高煦狼狽失據，密遣人詣御幄陳奏，願寬假，今夕與妻子別，明旦出歸罪。
HCH_013_027_000129	上許之。
HCH_013_027_000130	是夜，高煦盡取積歲所造兵器與凡謀議交通文書，盡燬之。
HCH_013_027_000131	城中通夕火光燭天。
HCH_013_027_000132	壬午，移蹕樂安城南。
HCH_013_027_000133	高煦將出，王斌等固止之，曰：「寧一戰以死，就擒，辱矣。」
HCH_013_027_000134	高煦曰：「城小。」
HCH_013_027_000135	紿斌等復入宮，遂潛從間道，衣白席藁出見上，頓首自陳。
HCH_013_027_000136	羣臣列奏其罪，請正典刑。
HCH_013_027_000137	上曰：「彼固不義，祖訓待親藩自有成法。」
HCH_013_027_000138	羣臣復言：「《春秋》大義滅親。」
HCH_013_027_000139	上却之，以羣臣劾章示煦。
HCH_013_027_000140	煦頓首言：「臣罪萬死萬死，生殺惟陛下命。」
HCH_013_027_000141	上令煦為書，召諸子同歸京師。
HCH_013_027_000142	罪止倡謀數人，赦城中脅從者。
HCH_013_027_000143	遂執王斌等下行錦衣獄。
HCH_013_027_000144	癸未，令祿、本鎮撫樂安，改樂安為武定。
HCH_013_027_000145	乙酉，班師，命中官頸繫高煦父子赴北京，錦衣衛械繫王斌、朱煊、盛堅、典仗侯海、長史錢巽、教授錢常、百戶井授等以歸。
HCH_013_027_000146	庚寅，駐蹕獻縣之單橋，戶部尚書陳山迎駕。
HCH_013_027_000147	山見上言：「宜乘勝移師向彰德，襲執趙王，則朝廷永安矣。」
HCH_013_027_000148	上召楊榮以山言諭之。
HCH_013_027_000149	榮對曰：「山言國之大計。」
HCH_013_027_000150	遂召蹇義、夏原吉諭之，兩人不敢異議。
HCH_013_027_000151	榮言請先遣敕趙王，詰其與高煦連謀之罪，而六師奄至，可擒也。
HCH_013_027_000152	從之。
HCH_013_027_000153	榮遂傳旨令楊士奇草詔，士奇曰：「事須有實，天地鬼神豈可欺哉！且敕旨以何為辭？」
HCH_013_027_000154	榮厲聲曰：「此國家大事，庸可沮乎！令錦衣衛責所繫漢府人，狀云『與趙連謀』，即事之因，何患無辭？」
HCH_013_027_000155	士奇曰：「錦衣衛責狀，何以服人心！」
HCH_013_027_000156	士奇因往見蹇義、夏原吉，義曰：「上意已定，眾意已定，公何能中阻！」
HCH_013_027_000157	原吉曰：「萬一上從公言，今不行。趙後有變，如永樂中孟指揮之舉，誰任其咎？」
HCH_013_027_000158	士奇曰：「今時勢與永樂中異。永樂中，趙擁三護衛，今已去其二。且昔孟指揮所為，王實不預聞。不然，趙王豈至今日乎？」
HCH_013_027_000159	義曰：「即如公言，今若何？」
HCH_013_027_000160	士奇曰：「為今之計，朝廷重尊屬，厚待之。有疑，則嚴防之，亦必無虞，而于國體亦正矣。」
HCH_013_027_000161	義、原吉曰：「公言固當，然上特信楊榮言，不係吾二人可否也。」
HCH_013_027_000162	士奇退與榮曰：「太宗皇帝惟三子，今上親叔二人。一人有罪者不可恕，其無罪者當厚之，庶幾仰慰皇祖在天之靈。」
HCH_013_027_000163	榮不肯。
HCH_013_027_000164	時楊溥亦與士奇意合，溥曰：「吾二人請入見上，兵必不可移。」
HCH_013_027_000165	榮聞溥言，即趨入見，溥、士奇亦踵其後，而門者止二人，不得入。
HCH_013_027_000166	已，有旨召蹇、夏。
HCH_013_027_000167	義以士奇言白，上不懌，然亦不復言移兵矣。
HCH_013_027_000168	車駕遂還京。
HCH_013_027_000169	九月，帝還京師，御奉天門。
HCH_013_027_000170	高煦父子家屬皆至京師，命工部築館室于西安門內，處高煦夫婦男女，其飲食衣服之奉，悉仍舊無改。
HCH_013_027_000171	上出御製《東征記》，以示羣臣，凡高煦之罪，及朝廷不得已用兵之故，皆詳書之。
HCH_013_027_000172	逆黨王斌、朱煊等伏誅，同謀伏誅者六百四十餘人，其故縱與藏匿坐死戍邊者一千五百餘人，實口外者七百二十七人。
HCH_013_027_000173	獨長史李默免。
HCH_013_027_000174	上至京，始思楊士奇言，不復及彰德事。
HCH_013_027_000175	然言者猶喋喋，請盡削趙護衛，且請拘趙王京師，上皆不聽。
HCH_013_027_000176	乃召士奇諭曰：「言者論趙王益多如何？」
HCH_013_027_000177	對曰：「今日宗室，惟趙王最親，當思保全之，毋惑羣言。」
HCH_013_027_000178	上曰：「吾亦思之，皇考于趙王最友愛，且吾今惟一叔，奈何不愛！然當思所以保全之道。」
HCH_013_027_000179	乃封羣臣言章，遣駙馬都尉廣平侯袁容、左都御史劉觀齎以示之，使自處。
HCH_013_027_000180	士奇曰：「更得璽書親諭之尤善。」
HCH_013_027_000181	上從之。
HCH_013_027_000182	容等至，趙王大喜曰：「吾生矣。」
HCH_013_027_000183	即獻護衛，且上表謝恩，而言者始息。
HCH_013_027_000184	漢庶人高煦鎖縶之內逍遙城，一日，帝往，熟視久之。
HCH_013_027_000185	庶人出不意，伸一足勾上踣地。
HCH_013_027_000186	上大怒，亟命力士舁銅缸覆之。
HCH_013_027_000187	缸重三百斤，庶人有力，頂負缸起。
HCH_013_027_000188	積炭缸上如山，燃炭，逾時火熾銅鎔，庶人死。
HCH_013_027_000189	諸子皆死。
