HCH_012_225_000266	煥累疏乞除補。
HCH_012_225_000267	帝皆不報。
HCH_012_225_000268	其年八月，遂用煥為吏部尚書，諸部亦除侍郎四人。
HCH_012_225_000269	既而考選命下，補給事中十七人，御史五十人，言路稱盛。
HCH_012_225_000270	然是時朋黨已成，中朝議論角立。
HCH_012_225_000271	煥素有清望，驟起田間，於朝臣本無所左右，顧雅不善東林。
HCH_012_225_000272	諸攻東林者乘間入之。
HCH_012_225_000273	所舉措往往不協清議，先後為御史李若星、給事中孫振基所劾。
HCH_012_225_000274	帝皆優詔慰留之。
HCH_012_225_000275	已，兵部主事卜履吉為署部事都御史孫瑋所論。
HCH_012_225_000276	煥以履吉罪輕，擬奪俸三月。
HCH_012_225_000277	給事中趙興邦劾煥徇私。
HCH_012_225_000278	煥疏辨，再乞罷。
HCH_012_225_000279	向高言：「今國事艱難，人才日寡。在野者既賜環無期，在朝者復晨星無幾，乃大小臣工，日尋水火，甚非國家福也。臣願自今已後共捐成心，憂國事，議論聽之言官，主張聽之當事。使大臣得展布而毋苦言官之掣肘，言官得發舒而毋患當事之摧殘，天下事尚可為也。」
HCH_012_225_000280	因請諭煥起視事，煥乃出。
HCH_012_225_000281	明年春，以年例出振基及御史王時熙、魏雲中於外。
HCH_012_225_000282	三人嘗力攻湯賓尹、熊廷弼者，又不移咨都察院，於是御史湯兆京守故事爭，且詆煥。
HCH_012_225_000283	煥屢疏訐辯，杜門不出，詔慰起之。
HCH_012_225_000284	兆京以爭不得，投劾徑歸。
HCH_012_225_000285	其同官李邦華、周起元、孫居相，及戶部郎中賀烺交章劾煥擅權，請還振基等於言路。
HCH_012_225_000286	帝為奪諸臣俸，貶烺官以慰煥。
HCH_012_225_000287	煥請去益力。
HCH_012_225_000288	九月，遂叩首闕前，出城待命。
HCH_012_225_000289	帝猶遣諭留。
HCH_012_225_000290	給事中李成名復劾煥伐異黨同，煥遂稱疾篤，堅不起。
HCH_012_225_000291	逾月，乃許乘傳歸。
HCH_012_225_000292	四十六年，吏部尚書鄭繼之去國。
HCH_012_225_000293	時黨人勢成，清流斥逐已盡。
HCH_012_225_000294	齊黨亓詩教摯尤張。
HCH_012_225_000295	以煥為鄉人老而易制，力引煥代繼之，年七十有七矣。
HCH_012_225_000296	比至，一聽詩教指揮，不敢異同，由是素望益損。
HCH_012_225_000297	帝終以煥清操，委信之。
HCH_012_225_000298	及明年七月，遼東告警，煥率廷臣詣文華門固請帝臨朝議政。
HCH_012_225_000299	抵暮，始遣中官諭之退，而諸軍機要務廢閣如故。
HCH_012_225_000300	煥等復具疏趣之，且作危語曰：「他日薊門蹂躪，敵人叩閽，陛下能高枕深宮，稱疾謝卻之乎？」
HCH_012_225_000301	帝由是嗛焉。
HCH_012_225_000302	考滿當增秩，寢不報。
HCH_012_225_000303	煥尋卒，恤典不及。
HCH_012_225_000304	光宗立，始賜如制。
HCH_012_225_000305	熹宗初，贈太子太保。
HCH_012_225_000306	鄭繼之，字伯孝，襄陽人。
HCH_012_225_000307	嘉靖四十四年進士。
HCH_012_225_000308	除余幹知縣。
HCH_012_225_000309	遷戶部主事，歷郎中。
HCH_012_225_000310	遷寧國知府，進四川副使，以養親歸。
HCH_012_225_000311	服除，久之不出。
HCH_012_225_000312	萬歷十九年，用給事中陳尚象薦，起官江西，進右參政。
HCH_012_225_000313	召為太僕少卿，累遷大理卿。
HCH_012_225_000314	東征師罷，吏部尚書李戴議留戍兵萬五千，令朝鮮供億。
HCH_012_225_000315	繼之曰：「既留兵，自當轉餉，柰何疲敝屬國。」
HCH_012_225_000316	議者韙之。
HCH_012_225_000317	為大理九年，擢南京戶部尚書，就改吏部。
HCH_012_225_000318	四十一年，吏部尚書趙煥罷。
HCH_012_225_000319	時帝雖倦勤，特謹銓部選，久不除代。
HCH_012_225_000320	以繼之有清望，明年二月，乃召之代煥。
