HCH_013_004_000099	太祖召入見，勞之曰：「吳院判保障一方，使吾無東顧憂，其功大矣。賜車馬珠玉不足旌。」
HCH_013_004_000100	命諸儒臣為詩文美之。
HCH_013_004_000101	先是，士誠北有淮海，南據浙西，長興、江陰皆其要害。
HCH_013_004_000102	長興據太湖口，陸走廣德諸郡；江陰枕大江，扼姑蘇、通州濟渡之處。
HCH_013_004_000103	得長興則士誠步騎不敢出廣德，窺宣、歙；得江陰則士誠舟師不敢溯大江，上金、焦。
HCH_013_004_000104	自是侵軼路絕。
HCH_013_004_000105	平章邵榮自臨安進攻湖州，戰不利，還屯臨安。
HCH_013_004_000106	李伯昇來攻，設伏山下，戒寇至勿動，俟山上旗舉，齊擊之，伯昇果率眾奄至，遇覆敗，我師乃還。
HCH_013_004_000107	三月，張士誠寇建德，李文忠禦之于東門，使別將潛出小北門，間道過鮑婆嶺，由碧鷄塢繞出陣後，大破之。
HCH_013_004_000108	士誠復遣兵侵嚴州，至大浪灘，李文忠令部將何世明率精銳西出烏龍嶺至胥口，與戰，破走之。
HCH_013_004_000109	士誠兵據分水嶺，世明進擊，斬首五百餘級。
HCH_013_004_000110	太祖自將取紹興，以馮國用守之。
HCH_013_004_000111	國用卒于軍，士誠復遣兵陷紹興。
HCH_013_004_000112	九月，張士誠遣兵寇常州，吳復督兵出忠節門，奮擊，大敗之。
HCH_013_004_000113	吳良間道殲其援兵于無錫之三山，士誠兵狼狽奪氣，乃還。
HCH_013_004_000114	十二月，張士誠忿分水之敗，復遣兵據分水新城之三溪，何世明擊之，斬其將陸元帥、花將軍等一千餘人，焚其營。
HCH_013_004_000115	自是士誠不敢窺建、婺。
HCH_013_004_000116	尋改建德為嚴州府。
HCH_013_004_000117	二十年春三月，常遇春攻杭州，不克。
HCH_013_004_000118	秋九月，張士誠兵侵諸全，守將袁實戰死。
HCH_013_004_000119	呂珍、徐義自太湖分三路寇長興，耿炳文擊破之，總管湯全、張珙被殺。
HCH_013_004_000120	二十一年秋八月，胡大海攻紹興，部將張英恃勇輕進，至城下遇伏，死之。
HCH_013_004_000121	大海引兵還。
HCH_013_004_000122	冬十月，張士誠遣其將李伯昇寇長興，眾十餘萬，水陸並進，勢甚銳。
HCH_013_004_000123	城中守兵僅七千，耿炳文禦之，諸將陳德、華高、費聚等三路往援，伯昇夜劫營，諸將皆潰。
HCH_013_004_000124	炳文嬰城固守，伯昇悉兵圍之，結九寨，為樓車，下瞰城中，運土石填壕隍，以火船燒水關，攻益急。
HCH_013_004_000125	炳文晝夜應敵，內外不相聞月餘。
HCH_013_004_000126	十一月戊午，太祖在九江聞報，急遣常遇春將兵往援，伯昇聞遇春至，棄營遁。
HCH_013_004_000127	遇春追擊之，俘斬五千餘人。
HCH_013_004_000128	二十二年春二月，金華、處州苗帥叛，張士誠乘間遣其弟士信、同僉呂珍率兵十萬圍諸全。
HCH_013_004_000129	守將謝再興鏖戰二十九日，未決，走嚴州，告急於李文忠。
HCH_013_004_000130	文忠以嚴州兵少，且密邇桐廬賊境，衢、信兵又出江西，無以應援金華。
HCH_013_004_000131	議以兵貴虛聲，乃揭榜義烏古朴嶺，揚言平章邵榮引兵五萬出江右，右丞徐達引兵五萬出徽州，約會金華，尅日抵諸暨。
HCH_013_004_000132	賊見榜，轉相告，呂珍欲退軍五里下營，以待決戰。
HCH_013_004_000133	時胡德濟得李文忠檄，自信州率兵來援，有降卒言賊情，具得虛實。
HCH_013_004_000134	德濟與再興分門而守，至夜半，令軍士飽食，一鼓出城，金鼓銃砲震天地，賊眾驚亂，人馬奔走，自相蹂躪。
HCH_013_004_000135	德濟督兵追擊之，士信大潰走。
HCH_013_004_000136	冬十一月，池州帥羅友貴據神山寨，欲通張士誠，杭、歙震動，常遇春、趙德勝擊斬之。
HCH_013_004_000137	二十三年春二月戊寅，命移置浙江行省於嚴州。
HCH_013_004_000138	時張士誠屢寇諸全，李文忠駐金華，應援不及，于是徙省治於嚴，留徐司馬守金華。
HCH_013_004_000139	三月，張士誠、呂珍率眾十萬圍劉福通於安豐，福通遣人間道求援。
HCH_013_004_000140	珍破安豐，殺福通，據其城，韓林兒走滁州。
HCH_013_004_000141	太祖率徐達、常遇春等往討之。
HCH_013_004_000142	珍據城列柵，汪元帥攻其中壘，拔之，會左、右軍敗，阻于塹，不得出。
HCH_013_004_000143	遇春橫擊，三戰三勝，珍大敗。
