HCH_012_058_000110	內侍捧冊寶置於前，陳明器，行贈禮。
HCH_012_058_000111	皇太子四拜興，奠酒，進贈。
HCH_012_058_000112	執事官捧玉帛進於右，皇太子受獻，以授內執事，捧入皇堂安置。
HCH_012_058_000113	俯伏，興，四拜，舉哀，遂掩玄宮。
HCH_012_058_000114	行饗禮，如遷奠儀。
HCH_012_058_000115	遣官祀謝后土及天壽山。
HCH_012_058_000116	設香案玄宮門外，設題主案於前，西向。
HCH_012_058_000117	設皇太子拜位於前，北向。
HCH_012_058_000118	內侍盥手奉主置案上，題主官盥手西向題畢，內侍奉主安於神座，藏帛箱中。
HCH_012_058_000119	內侍奏請太宗文皇帝神靈上神主。
HCH_012_058_000120	贊四拜，興，獻酒，讀祝。
HCH_012_058_000121	俯伏，興，四拜，舉哀。
HCH_012_058_000122	內侍啓櫝受主訖，請神主降座升輿。
HCH_012_058_000123	至獻殿，奏請神主降輿升座，行初虞禮。
HCH_012_058_000124	皇太子四拜，初獻，奠帛酒，讀祝，俯伏，興。
HCH_012_058_000125	亞獻、終獻，四拜，舉哀，望瘞。
HCH_012_058_000126	內官捧神帛箱埋於殿前，焚兇器於野。
HCH_012_058_000127	葬日初虞，柔日再虞，剛日三虞，後間日一虞，至九虞止。
HCH_012_058_000128	在途，皇太子行禮。
HCH_012_058_000129	還京，皇帝行禮。
HCH_012_058_000130	神主將還，內侍請神主降座升輿，儀仗侍衛如儀。
HCH_012_058_000131	皇太子隨，仍朝夕奠。
HCH_012_058_000132	至京，先於城外置幄次，列儀衛，鼓吹備而不作。
HCH_012_058_000133	百官衰服候城外，主入幄次，百官序列，五拜三叩首。
HCH_012_058_000134	神主行，百官從。
HCH_012_058_000135	至午門外，皇帝衰服迎於午門內，舉哀，步導主升几筵殿。
HCH_012_058_000136	皇帝立殿上，內侍請神主降輿升座，行安神禮。
HCH_012_058_000137	皇帝四拜，興，奠酒，讀祝。
HCH_012_058_000138	俯伏，興，四拜，舉哀。
HCH_012_058_000139	皇太子以下陪拜。
HCH_012_058_000140	百官于思善門外行禮如儀。
HCH_012_058_000141	明日，百官行奉慰禮。
HCH_012_058_000142	卒哭用虞祭後剛日，禮同虞祭，自是罷朝夕奠。
HCH_012_058_000143	祔饗用卒哭之明日，太常寺設醴饌於太廟，如時饗儀，樂設而不作。
HCH_012_058_000144	設儀衛傘扇於午門外，內侍進御輦於几筵殿前，皇帝衰服四拜，舉哀。
HCH_012_058_000145	興，哀止，立於拜位之東，西向。
HCH_012_058_000146	內侍請神主降座升輦，詣太廟祔饗。
HCH_012_058_000147	至思善門外，皇帝易祭服，升輅，隨至午門外，詣御輦前跪。
HCH_012_058_000148	太常卿奏請神主降輦，皇帝俯伏，興，捧主由左門入，至丹陛上。
HCH_012_058_000149	典儀唱「太宗文皇帝謁廟」。
HCH_012_058_000150	至廟前，內侍捧主至褥位，皇帝於後行八拜禮。
HCH_012_058_000151	每廟俱同。
HCH_012_058_000152	內侍捧主北向，太常卿立壇東，西向。
HCH_012_058_000153	唱「賜坐」，皇帝搢圭，奉神主安於座，詣拜位行祭禮，如時饗儀。
HCH_012_058_000154	太常卿奏請神主還几筵，皇帝捧主由廟左門出，安奉於御輦。
HCH_012_058_000155	皇帝升輅隨，至思善門降輅，易衰服，隨至几筵殿前。
HCH_012_058_000156	內侍請神主降輦，升座。
HCH_012_058_000157	皇帝由殿左門入，行安神禮畢，釋服還宮。
HCH_012_058_000158	明日，百官素服行奉慰禮。
HCH_012_058_000159	大祥，奉安神主於太廟，禮詳廟制。
HCH_012_058_000160	皇帝祭告几筵殿，皇太后、皇后以下各祭一罈，王府遣官共祭一罈，在京文武官祭一罈。
HCH_012_058_000161	自神主出几筵殿，內侍即撤几筵、帷幄，焚于思善門外。
HCH_012_058_000162	禫祭，遣親王詣陵行禮。
HCH_012_058_000163	洪熙元年，仁宗崩。
HCH_012_058_000164	皇太子還自南京，至良鄉，宮中始發喪，宣遺詔。
HCH_012_058_000165	文武官常服於午門外四拜。
HCH_012_058_000166	宣畢，舉哀，復四拜。
HCH_012_058_000167	易素服，迎皇太子於盧溝橋，橋南設幕次香案。
HCH_012_058_000168	皇太子至，常服，詣次四拜。
HCH_012_058_000169	聽宣遺詔，復四拜，哭盡哀。
HCH_012_058_000170	易素服至長安右門下馬，步哭至宮門外，釋冠服，披髮詣梓宮前，五拜三叩首，哭盡哀。
HCH_012_058_000171	宮中自皇后以下皆披髮哭。
HCH_012_058_000172	皇太子就喪次東，見母后。
HCH_012_058_000173	親王以次見皇太子畢，各居喪次，行祭告禮。
HCH_012_058_000174	喪儀俱如舊。
HCH_012_058_000175	惟改在京朝夕哭臨三日，後又朝臨止七日，在外止朝夕哭臨三日，無朝臨禮。
HCH_012_058_000176	文武官一品至四品命婦入哭臨。
HCH_012_058_000177	服除，禮臣請帝服淺淡色衣、烏紗翼善冠、黑角帶，於奉天門視事。
HCH_012_058_000178	百官皆淺淡色衣、烏紗帽、黑角帶，朝參如常儀。
HCH_012_058_000179	退朝，仍終太宗服制。
HCH_012_058_000180	帝曰：「朕心何能忍，雖加一日愈於已。」
HCH_012_058_000181	仍素服坐西角門，不鳴鐘鼓，令百日後再議。
HCH_012_058_000182	已百日，禮臣復請御奉天門。
HCH_012_058_000183	帝命候山陵事畢。
HCH_012_058_000184	先是，詔營獻陵，帝召尚書蹇義、夏原吉諭曰：「國家以四海之富葬親，豈惜勞費。然古聖帝明王皆從儉制。孝子思保其親體魄於永久，亦不欲厚葬。況皇考遺詔，天下所共知，宜遵先志。」
HCH_012_058_000185	於是建寢殿五楹，左右廡神廚各五楹，門樓三楹。
HCH_012_058_000186	其制較長陵遠殺，皆帝所規畫也。
HCH_012_058_000187	吏部尚書蹇義等請祔廟後，素服御西角門視事。
HCH_012_058_000188	至孟冬歲暮，行時饗禮。
HCH_012_058_000189	鳴鐘鼓，黃袍御奉天門視朝。
HCH_012_058_000190	禫祭後，始釋素服。
HCH_012_058_000191	從之。
HCH_012_058_000192	宣宗崩，喪葬如獻陵故事。
HCH_012_058_000193	惟改命婦哭臨，自三品以上。
HCH_012_058_000194	英宗崩，遺命東宮過百日成婚，不得以宮妃殉葬。
HCH_012_058_000195	憲宗即位，百日御奉天門視朝，禮儀悉用吉典。
HCH_012_058_000196	憲宗崩，孝宗既除服，仍素翼善冠、麻衣、腰絰視朝，不鳴鐘鼓，百官素服朝參，百日後如常。
HCH_012_058_000197	弘治元年正旦，時未及小祥，帝黃袍御殿受朝。
HCH_012_058_000198	次日，仍黑翼善冠，淺淡服、犀帶。
HCH_012_058_000199	及大祥，神主奉安太廟及奉先殿。
HCH_012_058_000200	至禫祭，免朝。
HCH_012_058_000201	擇日遣官詣陵致祭。
HCH_012_058_000202	孝宗崩，工部言：「大行遺詔，惓惓以節用愛民爲本。乞敕內府諸司，凡葬儀冥器並山陵殿宇，務從減省。」
HCH_012_058_000203	禮部言：「百日例應變服，但梓宮未入山陵，請仍素翼善冠、麻布袍服、腰絰，御西角門視事，不鳴鐘鼓，百官仍素服朝參。」
HCH_012_058_000204	從之。
HCH_012_058_000205	自辭靈至虞祔，榮王俱在陪列。
HCH_012_058_000206	既而王以疾奏免。
HCH_012_058_000207	禮部請以駙馬等官捧帛朝祖，帝曰：「朝祖捧帛，朕自行。」
HCH_012_058_000208	發引，親王止送至大明門外。
HCH_012_058_000209	其在途及至陵臨奠，俱護喪官行禮。
HCH_012_058_000210	後遂爲例。
HCH_012_058_000211	世宗崩，令旨免命婦哭臨。
HCH_012_058_000212	隆慶元年正月，未及二十七日，帝衰服御宣治門，百官素服、腰絰奉慰。
HCH_012_058_000213	發引，帝行遣奠禮。
HCH_012_058_000214	至朝祖，則遣官捧帛行禮。
HCH_012_058_000215	梓宮至順天府，皇親命婦及三品以上命婦祭，餘如舊制。
HCH_012_058_000216	光宗即位，禮部言：「喪服列代皆有制度，而斷自孝宗。蓋孝宗篤於親，喪禮詳且備，故武、世、穆三廟皆宗之。今遵舊制，以衰服御文華門視事，百官素服朝參，候梓宮發引除。」
HCH_012_058_000217	從之。
HCH_012_058_000218	明自仁宗獻陵以後，規制儉約。
HCH_012_058_000219	世宗葬永陵，其制始侈。
HCH_012_058_000220	及神宗葬定陵，給事中惠世揚、御史薛貞巡視陵工，費至八百餘萬云。
