HCH_009_112_000091	故宣宗南伐，士馬折耗十不一存，雖攻陷淮上數州，徒使驕將悍卒恣其殺虜、飽其私欲而已。
HCH_009_112_000092	又宣徽使奧敦阿虎使北方，北中大臣有以輿地圖指示之曰：「商州至此中軍馬幾何？」
HCH_009_112_000093	又指興元雲：「我不從商州，則取興元路入汝界矣。」
HCH_009_112_000094	阿虎還奏，宣宗甚憂之。
HCH_009_112_000095	哀宗即位，群臣建言，可因國喪遣使報哀，副以遺留物，因與之講解，盡撤邊備，共守武休之險。
HCH_009_112_000096	遂下省院議之，而當國者有仰而不能俯之疾，皆以朝廷先遣人則於國體有虧為辭。
HCH_009_112_000097	元年，上諭南鄙諸帥，遣人往滁州與宋通好。
HCH_009_112_000098	宋人每以奏稟為辭，和事遂不講。
HCH_009_112_000099	然十年之間，朝廷屢敕邊將不妄侵掠，彼我稍得休息，宋人始信之，遂有繼好之意。
HCH_009_112_000100	及天山以劄付至宋，劄付者指揮之別名，宋制使陳該怒辱天山，且以惡語複之。
HCH_009_112_000101	報至，識者皆為竊歎。
HCH_009_112_000102	戊辰，北兵渡漢江而北，諸將以為可乘其半渡擊之，蒲阿不從。
HCH_009_112_000103	丙子，兵畢渡，戰于禹山之前，北兵小卻，營於三十裏之外。
HCH_009_112_000104	二相以大捷驛報，百官表賀，諸相置酒省中，左丞李蹊且喜且泣曰：「非今日之捷，生靈之禍，可勝言哉！」
HCH_009_112_000105	蓋以為實然也。
HCH_009_112_000106	先是，河南聞北兵出饒峰，百姓往往入城壁、保險固，及聞敵已退，至有晏然不動者，不二三日遊騎至，人無所逃，悉為捷書所誤。
HCH_009_112_000107	九年正月丁酉，兩省軍潰于陽翟之三峰山。
HCH_009_112_000108	初，禹山之戰，兩軍相拒，北軍散漫而北，金軍懼其乘虛襲京城，乃謀入援。
HCH_009_112_000109	時北兵遣三千騎趨河上，已二十餘日，泌陽、南陽、方城、襄、郟至京諸縣皆破，所有積聚焚毀無餘。
HCH_009_112_000110	金軍由鄧而東，無所仰給，乃並山入陽翟。
HCH_009_112_000111	既行，北兵即襲之，且行且戰，北兵傷折亦多。
HCH_009_112_000112	恆山一軍為突騎三千所沖，軍殊死鬥，北騎退走。
HCH_009_112_000113	追奔之際，忽大霧四塞，兩省命收軍。
HCH_009_112_000114	少之，霧散乃前，前一大澗，長闊數裏，非此霧則北兵人馬滿中矣。
HCH_009_112_000115	明日，至三峰山，遂潰，事載蒲阿傳。
HCH_009_112_000116	合達知大事已去，欲下馬戰，而蒲阿已失所在。
HCH_009_112_000117	合達以數百騎走鈞州，北兵塹其城外攻之，走門不得出，匿窟室中，城破，北兵發而殺之。
HCH_009_112_000118	時朝廷不知其死，或雲已走京兆，賜以手詔，募人訪之。
HCH_009_112_000119	及攻汴，乃揚言曰：「汝家所恃，惟黃河與合達耳。今合達為我殺，黃河為我有，不降何待？」
HCH_009_112_000120	合達熟知敵情，習於行陣，且重義輕財，與下同甘苦，有俘獲即分給，遇敵則身先之而不避，眾亦樂為之用，其為人亦可知矣。
HCH_009_112_000121	左丞張行信嘗薦之曰：「完顏合達，今之良將也。」
HCH_009_112_000122	移剌蒲阿，本契丹人，少從軍，以勞自千戶遷都統。
HCH_009_112_000123	初，哀宗為皇太子，控制樞密院，選充親衛軍總領，佩金符。
HCH_009_112_000124	元光二年冬十二月庚寅，宣宗疾大漸，皇太子異母兄英王守純先入侍疾，太子自東宮扣門求見，令蒲阿衷甲聚兵屯于艮嶽，以備非常。
HCH_009_112_000125	哀宗即位，嘗謂近臣言：「向非蒲阿，何至於此。」
HCH_009_112_000126	遂自遙授同知睢州軍州事，權樞密院判官，自是軍國大計多從決之。
HCH_009_112_000127	正大四年十二月，河朔軍突入商州，殘硃陽、盧氏。
HCH_009_112_000128	蒲阿逆戰至靈寶東，遇游騎十餘，獲一人，餘即退，蒲阿輒以捷聞。
HCH_009_112_000129	賞世襲謀克，仍厚賜之。
HCH_009_112_000130	人共知其罔上，而無敢言，吏部郎中楊居仁以微言取怒。
HCH_009_112_000131	六年二月丙辰，以蒲阿權樞密副使。
HCH_009_112_000132	自去年夏，北軍之在陝西者駸駸至涇州，且阻慶陽糧道。
HCH_009_112_000133	蒲阿奏：「陝西設兩行省，本以籓衛河南，今北軍之來三年於茲，行省統軍馬二三十萬，未嘗對壘，亦未嘗得一折箭，何用行省。」
HCH_009_112_000134	院官亦俱奏將來須用密院軍馬勾當，上不語者久之。
HCH_009_112_000135	是後，以丞相賽不行尚書省事於關中，召平章政事合達還朝，白撒亦召至闕，蒲阿率完顏陳和尚忠孝軍一千駐邠州，且令觀北勢。
HCH_009_112_000136	八月丙申，蒲阿再複潞州。
HCH_009_112_000137	十月乙未朔，蒲阿東還。
HCH_009_112_000138	十二月乙未，詔蒲阿與總帥牙吾塔、權簽樞密院事訛可救慶陽。
HCH_009_112_000139	七年正月，戰北兵于大昌原，北軍還，慶陽圍解。
HCH_009_112_000140	詔以訛可屯邠州，蒲阿、牙吾塔還京兆。
HCH_009_112_000141	未幾，以權參知政事與合達行省於閿鄉。
HCH_009_112_000142	八年正月，北軍入陝西，鳳翔破，兩行省棄京兆而東，至洛陽驛，被召議河中事，語在白華傳。
HCH_009_112_000143	十二月，北兵濟自漢江，兩省軍入鄧州，議敵所從出，謂由光化截江戰為便，放之渡而戰為便、張惠以「截江為便，縱之渡，我腹空虛，能不為所潰乎？」
HCH_009_112_000144	蒲阿麾之曰：「汝但知南事，于北事何知。我向於裕州得制旨雲，'使彼在沙磧，且當往求之'，況今自來乎。汝等更勿似大昌原、舊衛州、扇車回縱出之。」
HCH_009_112_000145	定住、高、樊皆謂蒲阿此言為然。
HCH_009_112_000146	合達乃問按得木，木以為不然。
HCH_009_112_000147	軍中以木北人，知其軍情，此言為有理，然不能奪蒲阿之議。
HCH_009_112_000148	順陽留二十日，光化探騎至，雲「千騎已北渡」，兩省是夜進軍，比曉至禹山，探者續雲「北騎已盡濟」。
HCH_009_112_000149	癸酉，北軍將近，兩省立軍高山，各分據地勢，步迎於山前，騎屯於山后。
HCH_009_112_000150	甲戌，日未出，北兵至，大帥以兩小旗前導來觀，觀竟不前，散如雁翅，轉山麓出騎兵之後，分三隊而進，輜重外余二萬人。
HCH_009_112_000151	合達令諸軍，「觀今日事勢，不當戰，且待之。」
HCH_009_112_000152	俄而北騎突前，金兵不得不戰，至以短兵相接，戰三交，北騎少退。
HCH_009_112_000153	北兵之在西者望蒲阿親繞甲騎後而突之，至於三，為蒲察定住力拒而退。
HCH_009_112_000154	大帥以旗聚諸將，議良久。
HCH_009_112_000155	合達知北兵意向。
HCH_009_112_000156	時高英軍方北顧，而北兵出其背擁之，英軍動，合達幾斬英，英複督軍力戰。
HCH_009_112_000157	北兵稍卻觀變，英軍定，複擁樊澤軍，合達斬一千夫長，軍殊死鬥，乃卻之。
HCH_009_112_000158	北兵回陣，南向來路。
HCH_009_112_000159	兩省復議：「彼雖號三萬，而輜重三之一焉。又相持二三日不得食，乘其卻退當擁之。」
HCH_009_112_000160	張惠主此議，蒲阿言：「江路已絕，黃河不冰，彼入重地，將安歸乎？何以速為。」
HCH_009_112_000161	不從。
HCH_009_112_000162	乙亥，北兵忽不知所在，營火寂無一耗。
