HCH_012_280_000122	王召騰蛟圖承胤，騰蛟無兵，命以雲南援將趙印選、胡一青兵隸之。
HCH_012_280_000123	及辭朝，賜銀幣，命廷臣郊餞。
HCH_012_280_000124	承胤伏千騎襲騰蛟，印選卒力戰，盡殲之，騰蛟乃還駐白牙。
HCH_012_280_000125	八月，大兵破武岡，承胤降。
HCH_012_280_000126	王走靖州，又走柳州。
HCH_012_280_000127	時常德、寶慶已失，永亦再失。
HCH_012_280_000128	王將返桂林，而城中止焦璉軍，騰蛟率印選、一青入為助。
HCH_012_280_000129	而南安侯郝永忠忽擁眾萬餘至，與璉兵欲鬥，會宜章伯盧鼎兵亦至，騰蛟為調劑，桂林以安。
HCH_012_280_000130	乃遣璉、永忠、鼎、印選、一青分扼興安、靈川、永寧、義寧諸州縣。
HCH_012_280_000131	十一月，大兵逼全州，騰蛟督五將合禦。
HCH_012_280_000132	五年正月，王居桂林，加騰蛟太師，進爵為侯，子孫世襲。
HCH_012_280_000133	二月，大兵破全州，至興安。
HCH_012_280_000134	永忠兵大潰，奔桂林，逼王西，縱兵大掠。
HCH_012_280_000135	騰蛟自永福至。
HCH_012_280_000136	大兵知桂林有變，直抵北門。
HCH_012_280_000137	騰蛟督璉、一青等分三門拒守，大兵乃還全州。
HCH_012_280_000138	會金聲桓、李成棟叛大清，以兵附。
HCH_012_280_000139	大兵在湖南者姑退，騰蛟遂取全州。
HCH_012_280_000140	復遣保昌侯曹誌建、宜章侯盧鼎、新興侯焦璉、新寧侯趙印選攻永州，圍城三月，大小三十六戰，十一月朔克之。
HCH_012_280_000141	未幾，監軍御史余鯤起、職方主事李甲春取寶慶，諸將亦取衡州，馬進忠取常德，所失地多復。
HCH_012_280_000142	騰蛟議進兵長沙。
HCH_012_280_000143	會督師堵胤錫惡進忠，招忠貞營李赤心軍自夔州至，令進忠讓常德與之。
HCH_012_280_000144	進忠大怒，盡驅居民出城，焚廬舍，走武岡。
HCH_012_280_000145	寶慶守將王進才亦棄城走，他守將皆潰。
HCH_012_280_000146	赤心等所至皆空城，旋棄走，東趨長沙。
HCH_012_280_000147	騰蛟時駐衡州，大駭。
HCH_012_280_000148	六年正月檄進忠由益陽出長沙，期諸將畢會，而親詣忠貞營，邀赤心入衡。
HCH_012_280_000149	部下卒六千人，懼忠貞營掩襲，不護行，止攜吏卒三十人往。
HCH_012_280_000150	將至，聞其軍已東，即尾之至湘潭。
HCH_012_280_000151	湘潭空城也，赤心不守而去，騰蛟乃入居之。
HCH_012_280_000152	大兵知騰蛟入空城，遣將徐勇引軍入。
HCH_012_280_000153	勇，騰蛟舊部將也，率其卒羅拜，勸騰蛟降。
HCH_012_280_000154	騰蛟大叱，勇遂擁之去。
HCH_012_280_000155	絕食七日，乃殺之。
HCH_012_280_000156	永明王聞之哀悼，賜祭者九，贈中湘王，謚文烈，官其子文瑞僉都御史。
HCH_012_280_000157	章曠，字於野，松江華亭人。
HCH_012_280_000158	崇禎十年進士。
HCH_012_280_000159	授沔陽知州。
HCH_012_280_000160	十六年三月，賊將郝搖旗陷其城，同知馬飆死之。
HCH_012_280_000161	曠走免，謁總督袁繼鹹於九江，署為監紀。
HCH_012_280_000162	從諸將方國安、毛憲文、馬進忠、王允成等復漢陽。
HCH_012_280_000163	武昌巡按御史黃澍令署漢陽推官兼攝府事，承德巡撫王揚基令署分巡道事。
HCH_012_280_000164	明年四月，憲文偕惠登相復德安，揚基檄曠往守。
HCH_012_280_000165	城空無人，衛官十數人賫印送賊將白旺。
HCH_012_280_000166	曠收斬之，日夕為警備。
HCH_012_280_000167	居三月，代者李藻至，巡撫何騰蛟檄曠署荊西道事。
HCH_012_280_000168	曠去，藻失將士心，城復陷。
HCH_012_280_000169	給事中熊汝霖、御史遊有倫劾曠沔陽失城罪，候訊黃州。
HCH_012_280_000170	用騰蛟薦，令戴罪立功。
HCH_012_280_000171	福王立南京，左良玉將犯闕。
HCH_012_280_000172	騰蛟至長沙，以曠為監軍。
HCH_012_280_000173	副將黃朝宣者，故巡撫宋一鶴部將，駐燕子窩，騰蛟令曠召之來。
HCH_012_280_000174	副將張先璧屯精騎三千於漵浦，復屬曠召之，留為親軍，而以朝宣戍茶陵。
HCH_012_280_000175	又令曠調劉承胤兵於武岡。
HCH_012_280_000176	會李自成死，其下劉體仁、郝搖旗、袁宗第、藺養成、王進才、牛有勇六大部各擁數萬兵至。
HCH_012_280_000177	騰蛟與曠計，盡撫其眾，軍容大壯。
HCH_012_280_000178	左良玉死，其將馬進忠、王允成無所歸，突至岳州。
HCH_012_280_000179	偏沅巡撫傅上瑞大懼，曠曰：「此無主之兵，可撫也。」
HCH_012_280_000180	入其營，與進忠握手，指白水為誓，進忠等皆從之。
HCH_012_280_000181	進忠即賊中渠魁混十萬也。
HCH_012_280_000182	時南京已破，大兵逼湖南，諸將皆畏怯，曠獨悉力禦。
HCH_012_280_000183	唐王擢為右僉都御史，提督軍務，恢剿湖北。
HCH_012_280_000184	曠有智略，行軍不避鋒鏑。
HCH_012_280_000185	身扼湘陰、平江之沖，湖南恃以無恐。
HCH_012_280_000186	嘗戰岳州，以後軍不繼而還。
HCH_012_280_000187	已，又大戰大荊驛。
HCH_012_280_000188	永明王加兵部右侍郎。
HCH_012_280_000189	長沙守將王進才與狼兵將覃遇春哄，大掠而去。
HCH_012_280_000190	騰蛟奔衡州，曠亦走寶慶，長沙遂失。
