HCH_013_028_000100	士奇上疏曰：「向來小臣得罪者眾，陛下即位以來，皆已宥之，今復追理前事，則詔書不信。漢景帝為太子時，召衛綰，稱疾不赴，即位，進用綰，前史美之。」
HCH_013_028_000101	上覽疏喜，即有旨罷仲成，而降璽書褒士奇，賜鈔幣，面諭之曰：「卿盡心如此，朕復何憂。」
HCH_013_028_000102	上嘉羣臣能言，謂楊士奇曰：「朕嘗處事有過，退朝思之，方自悔，而廷臣已有言者，甚愜朕意。」
HCH_013_028_000103	士奇對曰：「宋臣富弼有言，願不以同異為喜怒，不以喜怒為用舍。」
HCH_013_028_000104	上曰：「然。《書》云：「有言逆于汝心，必求諸道。』羣臣所言，有咈意者，朕退必自思。或朕實有失，亦未嘗不悔。」士奇曰：「成湯改過不吝，所以為聖人。」上曰：「朕有不善，患未知耳。知之，不難于改。」
HCH_013_028_000105	十二月，諭吏部慎選師儒。
HCH_013_028_000106	令吏、兵二部書各都司、布政司、按察司官姓名于奉天門內西序。
HCH_013_028_000107	上諭蹇義等曰：「庶官賢否，軍民休戚之所係也。昔唐太宗書各刺史于屏間，有善政，則各書于下。皇考亦嘗書中外官姓名于武英殿，時復觀之。今五府、六部之臣，朕朝夕接見，詢察其賢否。而在外諸司官，既久不能不忘。為臣有善而上忘之，誰肯自勉；有不善而上忘之，誰復自戒。爾吏部、兵部具各司官姓名，揭諸西序，朕將考其行事而黜陟焉。」
HCH_013_028_000108	罷海子、西湖巡視官。
HCH_013_028_000109	上謂蹇義曰：「朕之心，苟可推以利民，雖府庫之儲不吝，況山澤之利哉！」
HCH_013_028_000110	命戶部，被災田土，分遣人馳諭各郡縣，停免催徵糧稅。
HCH_013_028_000111	命刑部、都察院、通政司，自今內外官貪贓者，錄其姓名藏于官，以便稽閱。
HCH_013_028_000112	仁宗洪熙元年春正月壬申朔，上御奉天殿，朝羣臣，命禮部、鴻臚寺不作樂。
HCH_013_028_000113	先是，禮部尚書呂震請于上，宜受賀作樂如朝儀，上不從。
HCH_013_028_000114	震固請之，大學士楊士奇、楊榮、黃淮、金幼孜皆言陛下言是。
HCH_013_028_000115	震曰：「四方萬國之人，遠朝新主，皆欲一觀天顏，固聖孝誠至，亦宜勉徇下情。」
HCH_013_028_000116	上顧士奇等曰：「禮過矣。」
HCH_013_028_000117	對曰：「誠如聖諭，必欲俯徇輿情，亦不宜備禮。」
HCH_013_028_000118	上從之。
HCH_013_028_000119	明日，召士奇等諭曰：「為君以受直言為明，為臣以能直言為忠。如昨日朝會從震言，今悔何及。自今朕行有未當，但直言之，毋以不從為慮。」
HCH_013_028_000120	各賜鈔文幣。
HCH_013_028_000121	南京龍山產靈芝，禮部尚書呂震請賀，不許。
HCH_013_028_000122	建弘文閣于思善門，命翰林學士楊溥掌閣事。
HCH_013_028_000123	上親舉印授溥曰：「朕命卿等于左右，非止幫助學問，亦欲廣知民事。即有建白，封識以進。」
HCH_013_028_000124	大祀天地于南郊。
HCH_013_028_000125	頒詔天下，罷山場、園林、湖池、坑冶，聽民採取，悉照洪武年間例辦納。
HCH_013_028_000126	罷給朝覲官孳牧馬。
HCH_013_028_000127	初，兵部尚書李慶言于上曰：「民間牧馬蕃衍，已散之軍伍，尚餘數千。請令朝覲官領之，太僕苑馬，歲課其息。有虧，罰與民同。」
HCH_013_028_000128	楊士奇不可，慶忿不納。
HCH_013_028_000129	士奇奏曰：「朝廷求賢任官，今乃使養馬而課，責與民同。且所散不及三千，而朝廷負此名於天下，豈貴賢賤畜之意乎？」
HCH_013_028_000130	上許出內批罷之，已而不聞。
HCH_013_028_000131	明日，士奇又言之，上曰：「偶忘之。」
HCH_013_028_000132	有頃，上御思善閣，召士奇諭曰：「內批豈真忘之！朕聞呂震、李慶等皆忿卿，朕念卿孤立，恐為眾所傷，不欲因卿言而罷，今有名矣。」
HCH_013_028_000133	出示章，則陝西按察使陳智言畜馬不便，命士奇據此草敕止之。
HCH_013_028_000134	士奇頓首言：「陛下知臣，臣不孤矣。」
HCH_013_028_000135	上謂士奇曰：「繼今令有不便，惟密與朕言。李慶、呂震輩不識大體，不足語也。」
HCH_013_028_000136	二月，舞陽、清河、睢寧民饑，命發本縣倉粟賑之。
HCH_013_028_000137	大理寺少卿弋謙言事過激，呂震等交奏其沽名，上頗厭之。
HCH_013_028_000138	楊士奇以主聖臣直，從容為上言之，且曰：「謙雖昧于大體，蓋亦感恩圖報耳。」
HCH_013_028_000139	上因免謙朝參而視事如故。
HCH_013_028_000140	士奇復進曰：「四方朝覲之臣咸在，豈能盡知謙過。傳之于遠，將謂朝廷不能容直言。」
HCH_013_028_000141	上惕然曰：「此呂震誤朕也。朕非惡言事，謙言自有過者。卿可以朕言諭眾人。」
HCH_013_028_000142	士奇曰：「此非臣所能諭，當以璽書開喻之。」
HCH_013_028_000143	上遂命士奇書敕引過，而待謙如初，命百官毋以謙為戒。
HCH_013_028_000144	已而召謙為副都御史。
HCH_013_028_000145	時有中官採木四川擾民者，召謙諭曰：「爾素清直，其為朕窮治之，勿懷疑畏。」
HCH_013_028_000146	三月，諭三法司，自今誹謗者悉勿治。
HCH_013_028_000147	樂亭、連城、萊蕪、蓬萊、黃巖民饑，命發本縣倉賑之。
HCH_013_028_000148	夏四月，詔免山東、淮安、徐州今年夏稅之半。
HCH_013_028_000149	停罷一切官買物料。
HCH_013_028_000150	時有至自南京者，言徐、淮、山東民多乏食，而有司催科方急。
HCH_013_028_000151	上問蹇義，義對亦同。
HCH_013_028_000152	上命楊士奇草詔蠲恤。
HCH_013_028_000153	士奇言：「不可不令戶部、工部與聞。」
HCH_013_028_000154	上曰：「姑徐之，救民如拯溺，不可須臾緩。有司慮國用不足，必持不決。」
HCH_013_028_000155	因命中官給筆札，士奇就西角門草詔。
HCH_013_028_000156	上覽畢，即遣使齎行，顧士奇曰：「卿今可語部臣，朕悉免之矣。」
HCH_013_028_000157	左右或言宜有分別，庶不濫恩。
HCH_013_028_000158	上曰：「恤民寧過厚。為天下主，可與民較錙銖耶！」
HCH_013_028_000159	大名府民饑，命發長垣倉粟賑之。
HCH_013_028_000160	河南鎮、汝、鈞、許四州，延津、襄城等二十二縣，及山東昌邑，直隸邢臺等縣民饑，命所在發倉粟賑之。
HCH_013_028_000161	時近臣有進言太平之政者，楊士奇進曰：「流徙未歸，瘡痍未復，遠近猶有艱食之民，須休養數年，庶幾人得其所。」
HCH_013_028_000162	上嘉納之。
HCH_013_028_000163	復諭蹇義等曰：「曩與卿『繩愆糾謬』銀章，惟士奇封入五疏，餘皆無有，豈朝政果無闕，生民果皆安乎？」
HCH_013_028_000164	諸臣頓首謝。
HCH_013_028_000165	太常寺卿兼學士楊溥上言犧牲少，請遣官市。
HCH_013_028_000166	上曰：「愛人而後可以事神，其令有司監市，毋擾民。」
HCH_013_028_000167	五月，諭吏部慎選御史，以清風紀，咨訪可任都御史以聞。
HCH_013_028_000168	上曰：「都御史，十三道之表，都御史廉，御史雖不才，亦知畏憚。今不才者無復畏憚矣。」
HCH_013_028_000169	時左都御史劉觀有貪名。
HCH_013_028_000170	上崩。
HCH_013_028_000171	洪武中，上隨文皇入侍，太祖令閱皇城衛卒。
HCH_013_028_000172	還奏遲。
HCH_013_028_000173	問：「何後也？」
HCH_013_028_000174	對曰：「旦寒甚，衛士方食，俟食畢乃閱，以故遲。」
HCH_013_028_000175	太祖曰：「善。孺子知恤下乎！」
HCH_013_028_000176	又令閱奏疏，多取言民瘼者上白，太祖曰：「兒生長深宮，乃知民間疾苦。」
HCH_013_028_000177	嘗問：「堯九年水，湯七年旱，百姓何所恃？」
HCH_013_028_000178	對曰：「恃聖人有恤民之政耳。」
HCH_013_028_000179	太祖大喜，稱善。
HCH_013_028_000180	文皇即位，為皇太子監國，多仁政。
HCH_013_028_000181	既即位，天下益歸心。
HCH_013_028_000182	每邊將陛辭，輒戒曰：「民力罷矣，毋貪功。脫擾塞下，驅之而已。」
HCH_013_028_000183	用法尚寬厚，然深惡贓吏，每戒法司曰：「國家恤民，必自去贓吏始。」
HCH_013_028_000184	在位僅十月，而百政俱舉云。
HCH_013_028_000185	六月，皇太子即皇帝位。
HCH_013_028_000186	罷浙江布政司參議王和、袁昱、陝西按察司僉事韓善為民。
HCH_013_028_000187	和等坐贓遇赦，吏部奏擬還職，上曰：「士大夫當務廉恥，三人皆貪汙，豈可復任方面！」
HCH_013_028_000188	河南新安知縣陶鎔奏民饑，借驛糧千石賑救，秋成償還。
HCH_013_028_000189	上謂夏原吉曰：「有司拘文法，饑荒必申報賑濟，民饑死久矣。陶鎔先給後聞，能稱任使，毋責其耑擅。」
HCH_013_028_000190	定會試分南、北卷取士例。
HCH_013_028_000191	先是，仁宗嘗與侍臣論科舉之弊。
HCH_013_028_000192	楊士奇曰：「科舉當兼取南、北士。」
HCH_013_028_000193	仁宗曰：「北人學問遠不逮南人。」
HCH_013_028_000194	士奇曰：「長才大器，俱出北方，南人雖有才華，多輕浮。」
HCH_013_028_000195	仁宗曰：「然則將何如？」
HCH_013_028_000196	士奇曰：「試卷例緘其姓名，請于外書『南』、『北』二字，如當取百人，則南六十，北四十，南北人才，皆入彀矣。」
HCH_013_028_000197	仁宗曰：「然。往年北士無入格者，故怠惰成風。今如是，則北方學者亦感奮興起。」
HCH_013_028_000198	命與禮部議聞，未上而仁宗崩。
HCH_013_028_000199	上即位，遂行之。
HCH_013_028_000200	後復定南、北、中卷。
HCH_013_028_000201	北卷則北直隸、山東、河南、山西、陝西，中卷則四川、廣西、雲南、貴州及鳳陽、廬州二府，徐、滁、和三州，餘皆南卷。
HCH_013_028_000202	御史何文淵言：「太祖令州縣設老人，以年高有德者為之。比年所用，多非其才，或出自僕隸，憑藉官府，肆虐閭閻。」
HCH_013_028_000203	上命戶部申舊制，違者并有司置之法。
HCH_013_028_000204	冬十月，思州府通判檀凱九載考滿，其民詣闕乞留，令予正五品俸以優之。
HCH_013_028_000205	十一月，工部尚書吳中言：「製造御用器物不足，請買于民間。」
HCH_013_028_000206	上曰：「漢文服御帷帳無文繡，史稱其恭儉愛民。朕方以儉約率下。」
HCH_013_028_000207	命止之。
HCH_013_028_000208	宣宗宣德元年二月，禮部進《籍田儀注》，上觀之，謂侍臣曰：「先王制籍田，率天下務農，天子公卿躬秉耒耜，貴有實心耳。不然，三推五推，何益于事！」
HCH_013_028_000209	侍臣頓首曰：「先王制禮有本有文，陛下言及此，蒼生之福也。」
HCH_013_028_000210	夏四月，戶部奏青州借官糧賑饑，乞復勘，然後給。
HCH_013_028_000211	上曰：「民饑無食，當如拯溺救焚，即命就便分給。」
HCH_013_028_000212	五月，論三法司審錄繫囚，務在平恕。
HCH_013_028_000213	御左順門，諭廷臣遵守皇祖舊典。
HCH_013_028_000214	上曰：「皇太祖肇建國家，皇祖考相承，謀慮深遠。子孫遵而行之，猶恐未至。世之作聰明，亂舊章，馴至敗亡，往事多有可鑒。古人云：「商、周子孫，能守先王之法。』至今存可也。」秋七月，命六科給事中，凡內官傳旨，皆須復奏，然後行。朶顏衛朝貢不至，遼東總兵武進伯朱榮請掩擊之。上曰：「馭夷之道，毋令擾邊而已。」不許。八月，漢王高煦反，上親征，高煦降。尚書陳山請移師彰德襲趙王，楊士奇力止之。冬十月，復李時勉翰林侍讀。先是，洪熙中，時勉言事過激，仁宗怒，命武士撲以金瓜，斷脅不死，繫獄。時上面訊釋之，復召入翰林。二年二月，上御文華殿，賜輔臣蹇義、夏原吉、楊士奇、楊榮、胡濙範銀圖書。義曰「忠厚寬弘」，原吉曰「含弘貞靖」，士奇曰「清方貞靖」，榮曰「方正剛直」，濙曰「清和恭靖」。上御左順門，夏原吉等侍。上曰：「讒慝小人，直能變白為黑。聽其言若忠，究其心則險。汲黯正直，奸邪寢謀，卿等所宜法也。」原吉等頓首受命。八月，禁有司沮格詔令。九月，命浙江按察使林碩復職。碩振舉憲法不稍貸，中官裴可立督事浙江，以沮格詔令誣之。上遣人逮碩至，親問之曰：「爾毋怖，但盡實對。」碩叩頭具言故，立命馳驛復任，而降敕切責可立。冬十月，上御文華殿，
HCH_013_028_000215	儒臣講《易觀大象》畢，上曰：「古者帝王有巡狩之禮，後世何以不行？」
HCH_013_028_000216	對曰：「古之君臣，上下往來，以通禮意。至秦尊君抑臣，斯禮遂廢。」
