HCH_012_322_000113	十七年，倭船入王家山島，都督劉榮率精兵疾馳入望海堝。
HCH_012_322_000114	賊數千人分乘二十舟，直抵馬雄島，進圍望海堝。
HCH_012_322_000115	榮發伏出戰，奇兵斷其歸路。
HCH_012_322_000116	賊奔櫻桃園，榮合兵攻之，斬首七百四十二，生擒八百五十七。
HCH_012_322_000117	召榮至京，封廣寧伯。
HCH_012_322_000118	自是，倭不敢窺遼東。
HCH_012_322_000119	二十年，倭寇象山。
HCH_012_322_000120	宣德七年正月，帝念四方蕃國皆來朝，獨日本久不貢，命中官柴山往琉球，令其王轉諭日本，賜之敕。
HCH_012_322_000121	明年夏，王源義教遣使來。
HCH_012_322_000122	帝報之，賚白金、綵幣。
HCH_012_322_000123	秋復至。
HCH_012_322_000124	十年十月以英宗嗣位，遣使來貢。
HCH_012_322_000125	正統元年二月，使者還，賚王及妃銀幣。
HCH_012_322_000126	四月，工部言：「宣德間，日本諸國皆給信符勘合，今改元伊始，例當更給。」
HCH_012_322_000127	從之。
HCH_012_322_000128	四年五月，倭船四十艘連破台州桃渚、寧波大嵩二千戶所，又陷昌國衞，大肆殺掠。
HCH_012_322_000129	八年五月，寇海寧。
HCH_012_322_000130	先是，洪熙時，黃巖民周來保、龍巖民鍾普福困於徭役，叛入倭。
HCH_012_322_000131	倭每來寇，為之鄉導。
HCH_012_322_000132	至是，導倭犯樂清，先登岸偵伺。
HCH_012_322_000133	俄倭去，二人留村中丐食，被獲，置極刑，梟其首於海上。
HCH_012_322_000134	倭性黠，時載方物、戎器，出沒海濱，得間則張其戎器而肆侵掠，不得則陳其方物而稱朝貢，東南海濱患之。
HCH_012_322_000135	景泰四年入貢，至臨清，掠居民貨。
HCH_012_322_000136	有指揮往詰，毆幾死。
HCH_012_322_000137	所司請執治，帝恐失遠人心，不許。
HCH_012_322_000138	先是，永樂初，詔日本十年一貢，人止二百，船止二艘，不得攜軍器，違者以寇論。
HCH_012_322_000139	乃賜以二舟，為入貢用，後悉不如制。
HCH_012_322_000140	宣德初，申定要約，人毋過三百，舟毋過三艘。
HCH_012_322_000141	而倭人貪利，貢物外所攜私物增十倍，例當給直。
HCH_012_322_000142	禮官言：「宣德間所貢硫黃、蘇木、刀扇、漆器之屬，估時直給錢鈔，或折支布帛，為數無多，然已大獲利。今若仍舊制，當給錢二十一萬七千，銀價如之。宜大減其直，給銀三萬四千七百有奇。」
HCH_012_322_000143	從之。
HCH_012_322_000144	使臣不悅，請如舊制。
HCH_012_322_000145	詔增錢萬，猶以為少，求增賜物。
HCH_012_322_000146	詔增布帛千五百，終怏怏去。
HCH_012_322_000147	天順初，其王源義政以前使臣獲罪天朝，蒙恩宥，欲遣使謝罪而不敢自達，移書朝鮮王令轉請，朝鮮以聞。
HCH_012_322_000148	廷議敕朝鮮覈實，令擇老成識大體者充使，不得仍前肆擾，既而貢使亦不至。
HCH_012_322_000149	成化四年夏，乃遣使貢馬謝恩，禮之如制。
HCH_012_322_000150	其通事三人，自言本寧波村民，幼為賊掠，市與日本，今請便道省祭，許之。
HCH_012_322_000151	戒其勿同使臣至家，引中國人下海。
HCH_012_322_000152	十一月，使臣清啟復來貢，傷人於市。
HCH_012_322_000153	有司請治其罪，詔付清啟，奏言犯法者當用本國之刑，容還國如法論治。
HCH_012_322_000154	且自服不能鈐束之罪，帝俱赦之。
HCH_012_322_000155	自是，使者益無忌。
HCH_012_322_000156	十三年九月來貢，求佛祖統紀諸書，詔以法苑珠林賜之。
HCH_012_322_000157	使者述其王意，請於常例外增賜，命賜錢五萬貫。
HCH_012_322_000158	二十年十一月復貢。
HCH_012_322_000159	弘治九年三月，王源義高遣使來，還至濟寧，其下復持刀殺人。
HCH_012_322_000160	所司請罪之，詔自今止許五十人入都，餘留舟次，嚴防禁焉。
HCH_012_322_000161	十八年冬來貢，時武宗已即位，命如故事，鑄金牌勘合給之。
HCH_012_322_000162	正德四年冬來貢。
HCH_012_322_000163	禮官言：「明年正月，大祀慶成宴。朝鮮陪臣在殿東第七班，日本向無例，請殿西第七班。」
HCH_012_322_000164	從之。
HCH_012_322_000165	禮官又言：「日本貢物向用舟三，今止一，所賜銀幣，宜如其舟之數。且無表文，賜敕與否，請上裁。」
HCH_012_322_000166	命所司移文答之。
HCH_012_322_000167	五年春，其王源義澄遣使臣宋素卿來貢，時劉瑾竊柄，納其黃金千兩，賜飛魚服，前所未有也。
HCH_012_322_000168	素卿，鄞縣朱氏子，名縞，幼習歌唱。
HCH_012_322_000169	倭使見，悅之，而縞叔澄負其直，因以縞償。
HCH_012_322_000170	至是，充正使，至蘇州，澄與相見。
HCH_012_322_000171	後事覺，法當死，劉瑾庇之，謂澄已自首，並獲免。
HCH_012_322_000172	七年，義澄使復來貢，浙江守臣言：「今畿輔、山東盜充斥，恐使臣遇之為所掠，請以貢物貯浙江官庫，收其表文送京師。」
HCH_012_322_000173	禮官會兵部議，請令南京守備官即所在宴賚，遣歸，附進方物，皆予全直，毋阻遠人向化心。
HCH_012_322_000174	從之。
HCH_012_322_000175	嘉靖二年五月，其貢使宗設抵寧波。
HCH_012_322_000176	未幾，素卿偕瑞佐復至，互爭真偽。
HCH_012_322_000177	素卿賄市舶太監賴恩，宴時坐素卿於宗設上，船後至又先為驗發。
HCH_012_322_000178	宗設怒，與之鬬，殺瑞佐，焚其舟，追素卿至紹興城下，素卿竄匿他所免。
HCH_012_322_000179	凶黨還寧波，所過焚掠，執指揮袁璡，奪船出海。
HCH_012_322_000180	都指揮劉錦追至海上，戰沒。
HCH_012_322_000181	巡按御史歐珠以聞，且言：「據素卿狀，西海路多羅氏義興者，向屬日本統轄，無入貢例。因貢道必經西海，正德朝勘合為所奪。我不得已，以弘治朝勘合，由南海路起程，比至寧波，因詰其偽，致啟釁。」
HCH_012_322_000182	章下禮部，部議：「素卿言未可信，不宜聽入朝。但釁起宗設，素卿之黨被殺者多，其前雖有投番罪，已經先朝宥赦，毋容問。惟宣諭素卿還國，移咨其王，令察勘合有無，行究治。」
HCH_012_322_000183	帝已報可，御史熊蘭、給事張翀交章言：「素卿罪重不可貸，請幷治賴恩及海道副使張芹、分守參政朱鳴陽、分巡副使許完、都指揮張浩。閉關絕貢，振中國之威，寢狡寇之計。」
HCH_012_322_000184	事方議行，會宗設黨中林、望古多羅逸出之舟，為暴風飄至朝鮮。
HCH_012_322_000185	朝鮮人擊斬三十級，生擒二賊以獻。
HCH_012_322_000186	給事中夏言因請逮赴浙江，會所司與素卿雜治，因遣給事中劉穆、御史王道往。
HCH_012_322_000187	至四年，獄成，素卿及中林、望古多羅並論死，繫獄。
HCH_012_322_000188	久之，皆瘐死。
HCH_012_322_000189	時有琉球使臣鄭繩歸國，命傳諭日本以擒獻宗設，還袁璡及海濱被掠之人，否則閉關絕貢，徐議征討。
HCH_012_322_000190	九年，琉球使臣蔡瀚者，道經日本，其王源義晴附表言：「向因本國多事，干戈梗道。正德勘合不達東都，以故素卿捧弘治勘合行，乞貸遣。望幷賜新勘合、金印，修貢如常。」
HCH_012_322_000191	禮官驗其文，無印篆，言：「倭譎詐難信，宜敕琉球王傳諭，仍遵前命。」
HCH_012_322_000192	十八年七月，義晴貢使至寧波，守臣以聞。
HCH_012_322_000193	時不通貢者已十七年，敕巡按御史督同三司官覈，果誠心效順，如制遣送，否則卻回，且嚴居民交通之禁。
HCH_012_322_000194	明年二月，貢使碩鼎等至京申前請，乞賜嘉靖新勘合，還素卿及原留貢物。
HCH_012_322_000195	部議：「勘合不可遽給，務繳舊易新。貢期限十年，人不過百，舟不過三，餘不可許。」
HCH_012_322_000196	詔如議。
HCH_012_322_000197	二十三年七月復來貢，未及期，且無表文。
HCH_012_322_000198	部臣謂不當納，卻之。
HCH_012_322_000199	其人利互市，留海濱不去。
HCH_012_322_000200	巡按御史高節請治沿海文武將吏罪，嚴禁奸豪交通，得旨允行。
HCH_012_322_000201	而內地諸奸利其交易，多為之囊橐，終不能盡絕。
HCH_012_322_000202	二十六年六月，巡按御史楊九澤言：「浙江寧、紹、台、溫皆濱海，界連福建福、興、漳、泉諸郡，有倭患，雖設衞所城池及巡海副使、備倭都指揮，但海寇出沒無常，兩地官弁不能通攝，制禦為難。請如往例，特遣巡視重臣，盡統海濱諸郡，庶事權歸一，威令易行。」
HCH_012_322_000203	廷議稱善，乃命副都御史朱紈巡撫浙江兼制福、興、漳、泉、建寧五府軍事。
HCH_012_322_000204	未幾，其王義晴遣使周良等先期來貢，用舟四，人六百，泊於海外，以待明年貢期。
HCH_012_322_000205	守臣沮之，則以風為解。
HCH_012_322_000206	十一月事聞，帝以先期非制，且人船越額，敕守臣勒回。
HCH_012_322_000207	十二月，倭賊犯寧、台二郡，大肆殺掠，二郡將吏並獲罪。
HCH_012_322_000208	明年六月，周良復求貢，紈以聞。
HCH_012_322_000209	禮部言：「日本貢期及舟與人數雖違制，第表辭恭順，去貢期亦不遠，若概加拒絕，則航海之勞可憫，若稍務含容，則宗設、素卿之事可鑑。宜敕紈循十八年例，起送五十人，餘留嘉賓館，量加犒賞，諭令歸國。若互市防守事，宜在紈善處之。」
HCH_012_322_000210	報可。
HCH_012_322_000211	紈力言五十人過少，乃令百人赴都。
HCH_012_322_000212	部議但賞百人，餘罷勿賞。
HCH_012_322_000213	良訴貢舟高大，勢須五百人。
HCH_012_322_000214	中國商舶入海，往往藏匿島中為寇，故增一舟防寇，非敢違制。
HCH_012_322_000215	部議量增其賞，且謂：「百人之制，彼國勢難遵行，宜相其貢舟大小，以施禁令。」
HCH_012_322_000216	從之。
HCH_012_322_000217	日本故有孝、武兩朝勘合幾二百道，使臣前此入貢請易新者，而令繳其舊。
HCH_012_322_000218	至是良持弘治勘合十五道，言其餘為素卿子所竊，捕之不獲。
HCH_012_322_000219	正德勘合留十五道為信，而以四十道來還。
HCH_012_322_000220	部議令異時悉繳舊，乃許易新，亦報可。
HCH_012_322_000221	當是時，日本王雖入貢，其各島諸倭歲常侵掠，濱海奸民又往往勾之。
HCH_012_322_000222	紈乃嚴為申禁，獲交通者，不俟命輒以便宜斬之。
HCH_012_322_000223	由是，浙、閩大姓素為倭內主者，失利而怨。
HCH_012_322_000224	紈又數騰疏於朝，顯言大姓通倭狀，以故閩、浙人皆惡之，而閩尤甚。
HCH_012_322_000225	巡按御史周亮，閩產也，上疏詆紈，請改巡撫為巡視，以殺其權。
HCH_012_322_000226	其黨在朝者左右之，竟如其請。
HCH_012_322_000227	又奪紈官，羅織其擅殺罪，紈自殺。
HCH_012_322_000228	自是不置巡撫者四年，海禁復弛，亂益滋甚。
HCH_012_322_000229	祖制，浙江設市舶提舉司，以中官主之，駐寧波。
HCH_012_322_000230	海舶至則平其直，制馭之權在上。
HCH_012_322_000231	及世宗，盡撤天下鎮守中官，幷撤市舶，而濱海奸人遂操其利。
HCH_012_322_000232	初市猶商主之，及嚴通番之禁，遂移之貴官家，負其直者愈甚。
HCH_012_322_000233	索之急，則以危言嚇之，或又以好言紿之，謂我終不負若直。
HCH_012_322_000234	倭喪其貲不得返，已大恨，而大奸若汪直、徐海、陳東、麻葉輩素窟其中，以內地不得逞，悉逸海島為主謀。
