HCH_010_041_000001	西京大同府，陶唐冀州之域。
HCH_010_041_000051	在京北一百八十里。
HCH_010_041_000052	戶五千。
HCH_010_041_000053	長青縣。
HCH_010_041_000054	本白登臺地。
HCH_010_041_000055	冒頓單于縱精騎三十餘萬圍漢高帝於白登七日，即此。
HCH_010_041_000056	遼始置縣。
HCH_010_041_000057	有青陂。
HCH_010_041_000058	梁元帝《橫吹曲》云「朝跋青陂，暮上白登。」
HCH_010_041_000059	在東京北一百一十里。
HCH_010_041_000060	戶四千。
HCH_010_041_000061	奉義縣。
HCH_010_041_000062	本漢陶林縣地。
HCH_010_041_000063	後唐武皇與太祖會此。
HCH_010_041_000064	遼析雲中置。
HCH_010_041_000065	戶三千。
HCH_010_041_000066	懷仁縣。
HCH_010_041_000067	本漢沙南縣。
HCH_010_041_000068	元魏葛榮亂，縣廢。
HCH_010_041_000069	隋開皇二年移雲內於此。
HCH_010_041_000070	大業二年置大利縣，屬雲州，改屬定襄郡。
HCH_010_041_000071	隋末陷突厥。
HCH_010_041_000072	李克用敗赫連鐸，駐兵於此。
HCH_010_041_000073	遼改懷仁。
HCH_010_041_000074	在京南六十里。
HCH_010_041_000075	戶三千。
HCH_010_041_000076	懷安縣。
HCH_010_041_000077	本漢夷輿縣地。
HCH_010_041_000078	歷魏至隋，為突厥所據，唐克頡利，縣遂廢為懷荒鎮。
HCH_010_041_000079	高勛鎮燕，奏分歸化州文德縣置。
HCH_010_041_000080	初隸奉聖州，後來屬。
HCH_010_041_000081	在州西北二百八十里。
HCH_010_041_000082	戶三千。
HCH_010_041_000083	弘州，博寧軍，下，刺史。
HCH_010_041_000084	東魏靜帝置北靈丘縣。
HCH_010_041_000085	唐初地陷突厥，開元中置橫野軍安邊縣，天寶亂廢，後為襄陰村。
HCH_010_041_000086	統和中，以寰州近邊，為宋將潘美所破，廢之，乃於此置弘州，初軍曰永寧。
HCH_010_041_000087	有桑乾河、白道泉、白登山，亦曰火燒山，有火井。
HCH_010_041_000088	統縣二：永寧縣。
HCH_010_041_000089	戶一萬。
HCH_010_041_000090	順聖縣。
HCH_010_041_000091	本魏安塞軍，五代兵廢。
HCH_010_041_000092	高勛鎮幽州，奏景宗分永興縣置。
HCH_010_041_000093	初隸奉聖州。
HCH_010_041_000094	在州西北二百八十里。
HCH_010_041_000095	戶三千。
HCH_010_041_000096	德州，下，刺史。
HCH_010_041_000097	唐會昌中以西德店置德州。
HCH_010_041_000098	開泰八年，以漢戶復置。
HCH_010_041_000099	有步落泉、金河山、野狐嶺、白道阪。
HCH_010_041_000100	縣一：宣德縣。
HCH_010_041_000101	本漢桐過縣地，屬雲中郡，後隸定襄郡，漢末廢。
HCH_010_041_000102	高齊置紫阿鎮。
HCH_010_041_000103	唐會昌中置縣。
HCH_010_041_000104	戶三千。
HCH_010_041_000105	豐州，天德軍，節度使。
HCH_010_041_000106	秦為上郡北境，漢屬五原郡。
HCH_010_041_000107	地磧鹵，少田疇。
HCH_010_041_000108	自晉永嘉之亂，屬赫連勃勃。
HCH_010_041_000109	後周置永豐鎮。
HCH_010_041_000110	隋開皇中升永豐縣，改豐州。
HCH_010_041_000111	大業七年為五原郡，義寧元年，太守張遜奏改歸順郡。
HCH_010_041_000112	唐武德元年為豐州總管府。
HCH_010_041_000113	六年省，遷民於白馬縣，遂廢。
HCH_010_041_000114	貞觀四年分靈州境，置相州都督府，領蕃戶。
HCH_010_041_000115	天寶初改九原郡。
HCH_010_041_000116	乾元元年復豐州，後入回鶻。
HCH_010_041_000117	會昌中克之，後唐改天德軍。
HCH_010_041_000118	太祖神冊五年攻下，更名應天軍，復為州。
HCH_010_041_000119	有大鹽濼、九十九泉、沒越濼、古磧口、青冢，即王昭君墓，兵事屬西南面招討司。
HCH_010_041_000120	統縣二：富民縣。
HCH_010_041_000121	本漢臨戎縣，遼改今名。
HCH_010_041_000122	戶一千二百。
HCH_010_041_000123	振武縣。
HCH_010_041_000124	本漢定襄郡盛樂縣。
HCH_010_041_000125	背負陰山，前帶黃河。
HCH_010_041_000126	元魏嘗都盛樂，即此。
HCH_010_041_000127	唐武德四年克突厥，建雲中都督府。
HCH_010_041_000128	麟德三年改單于大都督府。
HCH_010_041_000129	聖歷元年又改安北都督。
HCH_010_041_000130	開元七年割隸東受降城。
HCH_010_041_000131	八年置振武軍節度使。
HCH_010_041_000132	會昌五年為安北都護府。
HCH_010_041_000133	後唐莊宗以兄嗣本為振武節度使。
HCH_010_041_000134	太祖神冊元年，伐吐渾還，攻之，盡俘其民以東，唯存鄉兵三百人防戍。
HCH_010_041_000135	後更為縣。
HCH_010_041_000136	雲內州，開遠軍，下，節度。
HCH_010_041_000137	本中受降城地。
HCH_010_041_000138	遼初置代北雲朔招討司，改雲內州。
HCH_010_041_000139	清寧初升。
HCH_010_041_000140	有威塞軍、古可敦城、大同川、天安軍、永濟柵、安樂戍、拂雲堆。
HCH_010_041_000141	兵事屬西南面招討司。
HCH_010_041_000142	統縣二：柔服縣。
HCH_010_041_000143	寧人縣。
HCH_010_041_000144	天德軍，本中受降城。
HCH_010_041_000145	唐開元中廢橫塞軍，置天安軍於大同川。
HCH_010_041_000146	乾元中改天德軍，移永濟柵，今治是也。
HCH_010_041_000147	太祖平党項，遂破天德，盡掠吏民以東。
HCH_010_041_000148	後置招討司，漸成井邑，乃以國族為天德軍節度使。
HCH_010_041_000149	有黃河、黑山峪、盧城、威塞軍、秦長城、唐長城；又有牟那山，鉗耳觜城在其北。
HCH_010_041_000150	寧邊州，鎮西軍，下，刺史。
HCH_010_041_000151	本唐隆鎮，遼置。
HCH_010_041_000152	兵事屬西南面招討司。
HCH_010_041_000153	奉聖州，武定軍，上，節度。
HCH_010_041_000154	本唐新州。
HCH_010_041_000155	後唐置團練使，總山後八軍，莊宗以弟存矩為之。
HCH_010_041_000156	軍亂，殺存矩於祁州，擁大將盧文進亡歸。
HCH_010_041_000157	太祖克新州，莊宗遣李嗣源復取之。
HCH_010_041_000158	同光二年升威塞軍。
HCH_010_041_000159	石晉高祖割獻，太宗改升。
HCH_010_041_000160	有兩河會、溫泉、龍門山、涿鹿山。
HCH_010_041_000161	東南至南京三百里，西北至西京四百四十里。
HCH_010_041_000162	兵事屬西京都部署司。
HCH_010_041_000163	統州三、縣四：永興縣。
HCH_010_041_000164	本漢涿鹿縣地。
HCH_010_041_000165	黃帝與蚩尤戰於此。
HCH_010_041_000166	戶八千。
HCH_010_041_000167	礬山縣。
HCH_010_041_000168	本漢軍都縣。
HCH_010_041_000169	山出白綠礬，故名。
HCH_010_041_000170	有礬山、桑乾河。
HCH_010_041_000171	在州南六十里。
HCH_010_041_000172	戶三千。
HCH_010_041_000173	龍門縣。
HCH_010_041_000174	有龍門山，石壁對峙，高數百尺，望之若門。
HCH_010_041_000175	僥外諸河及沙漠潦水，皆於此趣海。
HCH_010_041_000176	雨則俄頃水逾十仞，睛則清淺可涉，實塞北控扼之沖要也。
HCH_010_041_000177	在州東北二百八十里，戶四千。
HCH_010_041_000178	望雲縣。
HCH_010_041_000179	本望雲川地。
HCH_010_041_000180	景宗於此建潛邸，因而成井肆。
HCH_010_041_000181	穆宗崩，景宗入紹國統，號禦莊。
HCH_010_041_000182	後置望雲縣，直隸彰湣宮，附庸於此。
HCH_010_041_000183	在州東北二百六十里。
HCH_010_041_000184	戶一千。
HCH_010_041_000185	歸化州，雄武軍，上，刺史。
HCH_010_041_000186	本漢下洛縣。
HCH_010_041_000187	元魏改文德縣。
HCH_010_041_000188	唐升武州，僖宗改毅州。
HCH_010_041_000189	後唐太祖復武州，明宗又為毅州，潞王仍為武州。
HCH_010_041_000190	晉高祖割獻於遼，改今名。
HCH_010_041_000191	有桑乾河；會河川；愛陽川；炭山，又謂之陘頭。
HCH_010_041_000192	有涼殿，承天皇后納涼於此，山東北三十里有新涼殿，景宗納涼於此，唯松棚數陘而已。
HCH_010_041_000193	斷雲嶺，極高峻，故名。
HCH_010_041_000194	州西北至西京四百五十里，統縣一：文德縣。
HCH_010_041_000195	本漢女祁縣地。
HCH_010_041_000196	元魏置，戶一萬。
HCH_010_041_000197	可汗州，清平軍，下，刺史。
HCH_010_041_000198	本漢潘縣，元魏廢。
HCH_010_041_000199	北齊置北燕郡，改懷戎縣。
HCH_010_041_000200	隋廢郡，屬涿郡。
HCH_010_041_000201	唐武德中復置北燕州，縣仍舊。
HCH_010_041_000202	貞觀八年改媯州。
HCH_010_041_000203	五代時，奚王去諸以數千帳徙媯州，自別為西奚，號可汗州；太祖因之。
HCH_010_041_000204	有媯泉在城中，相傳舜嬪二女於此。
HCH_010_041_000205	又有溫泉、版泉、磨笄山、雞鳴山、喬山、歷山。
HCH_010_041_000206	統縣一：懷來縣。
HCH_010_041_000207	本懷戎縣，太祖改。
HCH_010_041_000208	戶三千。
HCH_010_041_000209	儒州，縉陽軍，中，刺史。
HCH_010_041_000210	唐置。
HCH_010_041_000211	後唐同光二年隸新州。
HCH_010_041_000212	太宗改奉聖州，仍屬。
HCH_010_041_000213	有南溪河、沽河、宋王峪、桃峪口。
HCH_010_041_000214	統縣一：縉山縣。
HCH_010_041_000215	本漢廣蜜縣地。
HCH_010_041_000216	唐天寶中割媯川縣置。
HCH_010_041_000217	戶五千。
HCH_010_041_000218	蔚州，忠順軍，上，節度。
HCH_010_041_000219	《周職方》，并州川曰漚夷，在州境飛狐縣。
HCH_010_041_000220	趙襄子滅代，武靈王置代郡；項羽徙趙歇為代王，歇還趙，立陳余王代；漢韓信斬余，復置代郡；文帝初封代；皆此地。
HCH_010_041_000221	周宣帝始置蔚州，隋開皇中廢。
HCH_010_041_000222	唐武德四年復置。
HCH_010_041_000223	至德二年改興唐縣。
HCH_010_041_000224	乾元元年仍舊。
HCH_010_041_000225	大中從，朱邪執宜為刺史，有功，賜姓名李國昌。
HCH_010_041_000226	子克用乞為留後，僖宗不許。
HCH_010_041_000227	廣明初，攻敗國昌，代北無備，太祖來攻，克之，俘掠居民而去。
HCH_010_041_000228	石晉獻地，升忠順軍，後更武安軍。
HCH_010_041_000229	統和四年入宋，尋復之，降刺史，隸奉聖州，升觀察，復忠順軍節度。
HCH_010_041_000230	兵事屬西京都部署司。
HCH_010_041_000231	統縣五：靈仙縣。
HCH_010_041_000232	唐置興唐縣，梁改隆化縣，後唐同光初復置，晉改今名。
HCH_010_041_000233	戶二萬。
HCH_010_041_000234	定安縣。
HCH_010_041_000235	本漢東安陽縣地，久廢。
HCH_010_041_000236	後唐太祖伐劉仁恭，次蔚州，晨霧晦冥，占，不利深入，會雷電大作，燕軍解去，即此。
HCH_010_041_000237	遼置定安縣。
HCH_010_041_000238	西北至州六十里。
HCH_010_041_000239	戶一萬。
HCH_010_041_000240	飛狐縣。
HCH_010_041_000241	後周大象二年置廣昌縣於五龍城，即此。
HCH_010_041_000242	隋仁壽元年改名飛狐。
HCH_010_041_000243	相傳有狐於紫荊嶺食五粒松子，成飛仙，故云。
HCH_010_041_000244	西北至州一百四十里。
HCH_010_041_000245	戶五千。
HCH_010_041_000246	靈丘縣。
HCH_010_041_000247	漢置。
HCH_010_041_000248	後漢省。
HCH_010_041_000249	東魏復置，屬靈丘郡。
HCH_010_041_000250	隋開皇中罷郡來屬。
HCH_010_041_000251	大業初改隸代州。
HCH_010_041_000252	唐武德六年仍舊。
HCH_010_041_000253	東北至州一百八十里。
HCH_010_041_000254	戶三千。
HCH_010_041_000255	廣陵縣。
HCH_010_041_000256	本漢延陵縣。
HCH_010_041_000257	隋唐為鎮州。
HCH_010_041_000258	後唐同光初分興唐縣置。
HCH_010_041_000259	石晉割屬遼。
HCH_010_041_000260	東南至州四十里。
HCH_010_041_000261	戶三千。
HCH_010_041_000262	應州，彰國軍，上，節度。
HCH_010_041_000263	唐武德中置金城縣，後改應州。
HCH_010_041_000264	後唐明宗，州人也。
HCH_010_041_000265	天成元年升彰國軍節度，興唐軍、寰州隸焉。
HCH_010_041_000266	遼因之。
HCH_010_041_000267	北龍首山，南雁門。
HCH_010_041_000268	兵事屬西京都部署司。
HCH_010_041_000269	統縣三：金城縣。
HCH_010_041_000270	本漢陰館縣地，漢末廢為陰館城。
HCH_010_041_000271	隋大業末陷突厥。
HCH_010_041_000272	唐始置金城縣，遼因之。
HCH_010_041_000273	戶八千。
HCH_010_041_000274	渾源縣。
HCH_010_041_000275	唐置。
HCH_010_041_000276	有渾源川。
HCH_010_041_000277	在州東南一百五十里。
HCH_010_041_000278	戶五千。
HCH_010_041_000279	河陰縣。
HCH_010_041_000280	本漢陰館縣地。
HCH_010_041_000281	初隸朔州，清寧中來屬。
HCH_010_041_000282	戶三千。
HCH_010_041_000283	朔州，順義軍，下，節度。
HCH_010_041_000284	本漢馬邑縣地。
HCH_010_041_000285	元魏孝文帝始置朔州，在今州北三百八十里定襄故城。
HCH_010_041_000286	葛榮亂，廢。
HCH_010_041_000287	高齊天保六年復置，在今州南四十七里新城。
HCH_010_041_000288	八年徙馬邑，即今城。
HCH_010_041_000289	武成帝置北道行臺。
HCH_010_041_000290	周武帝置朔州總管府。
HCH_010_041_000291	隋大業三年改馬邑郡。
HCH_010_041_000292	唐武德四年復朔州。
HCH_010_041_000293	遼升順義軍節度。
HCH_010_041_000294	兵事屬西京都部署司。
HCH_010_041_000295	統州一、縣三：鄯陽縣。
HCH_010_041_000296	本漢定襄縣地。
HCH_010_041_000297	建安中置新興郡。
HCH_010_041_000298	元魏置桑乾郡。
HCH_010_041_000299	高齊置招遠縣，郡仍舊。
HCH_010_041_000300	隋開皇三年罷郡，隸朔州。
HCH_010_041_000301	大業元年初名鄯陽縣，遼因之。
HCH_010_041_000302	戶四千。
HCH_010_041_000303	寧遠縣。
HCH_010_041_000304	齊天保六年，於朔州西置招遠縣。
HCH_010_041_000305	唐乾元元年改今名，遼因之。
HCH_010_041_000306	有寧遠鎮。
HCH_010_041_000307	東至朔州八十里。
HCH_010_041_000308	戶二千。
HCH_010_041_000309	馬邑縣。
HCH_010_041_000310	漢置屬雁門郡。
HCH_010_041_000311	唐開元五年，析鄯陽縣東三十里置大同軍，倚郭置馬邑縣。
HCH_010_041_000312	南至朔州四十里。
HCH_010_041_000313	戶三千。
HCH_010_041_000314	武州，宣威軍，下，刺史。
HCH_010_041_000315	趙惠王置武川塞。
HCH_010_041_000316	魏置神武縣。
HCH_010_041_000317	唐末置武州，後唐改毅州。
HCH_010_041_000318	重熙九年復武州，號宣威軍。
HCH_010_041_000319	統縣一：神武縣。
HCH_010_041_000320	魏置。
HCH_010_041_000321	晉改新城。
HCH_010_041_000322	後唐太祖生神武川之新城，即此。
HCH_010_041_000323	初隸朔州，後置州，並寧遠為一縣來屬。
HCH_010_041_000324	戶五千。
HCH_010_041_000325	東勝州，武興軍，下，刺史。
HCH_010_041_000326	隋開皇七年置勝州。
HCH_010_041_000327	大業五年改榆林郡。
HCH_010_041_000328	唐貞觀五年於南河地置決勝州，故謂此為東勝州。
HCH_010_041_000329	天寶七年又為榆林郡。
HCH_010_041_000330	乾元元年復為勝州。
HCH_010_041_000331	太祖神冊元年破振武軍，勝州之民皆趨河東，州廢。
HCH_010_041_000332	晉割代北來獻，復置。
HCH_010_041_000333	兵事屬西南面招討司。
HCH_010_041_000334	統縣二：榆林縣。
HCH_010_041_000335	河濱縣。
HCH_010_041_000336	金肅州。
HCH_010_041_000337	重熙十二年伐西夏置。
HCH_010_041_000338	割燕民三百戶、防秋軍一千實之。
HCH_010_041_000339	屬西南而招討司。
HCH_010_041_000340	河清軍。
HCH_010_041_000341	西夏歸遼，開直路以趨上京。
HCH_010_041_000342	重熙十二年建城，號河清軍。
HCH_010_041_000343	徙民五百戶、防秋兵一千人實之。
HCH_010_041_000344	屬西南面招討司。
HCH_010_041_000345	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
