HCH_012_026_000000	洪武元年五月甲申，犯填星。
HCH_012_026_000063	十七年十二月己未，犯填星。
HCH_012_026_000064	十八年十月丙戌，犯荧惑。
HCH_012_026_000065	二十年五月辛卯，犯岁星。
HCH_012_026_000066	二十一年四月甲寅，二十七年七月丁丑，俱犯太白。
HCH_012_026_000067	九月庚子，犯太白于角。
HCH_012_026_000068	三十一年五月辛丑，犯填星。
HCH_012_026_000069	九月庚寅，掩填星。
HCH_012_026_000070	十二月丁卯，犯岁星。
HCH_012_026_000071	四十二年五月庚辰，掩岁星。
HCH_012_026_000072	四十四年七月丁巳，犯荧惑。
HCH_012_026_000073	万历二年九月己卯，犯荧惑于箕。
HCH_012_026_000074	十年八月戊申，犯荧惑于井。
HCH_012_026_000075	十四年八月己丑，犯太白于角。
HCH_012_026_000076	十五年六月乙丑，十九年九月辛未，俱犯荧惑。
HCH_012_026_000077	十二月甲辰，犯填星于井。
HCH_012_026_000078	二十四年正月甲申，犯填星于张。
HCH_012_026_000079	二十七年九月辛亥，犯太白。
HCH_012_026_000080	三十一年五月癸未，犯太白，三十五年六月乙未，犯填星于斗。
HCH_012_026_000081	三十七年八月辛酉，犯填星。
HCH_012_026_000082	四十一年九月癸未，犯岁星。
HCH_012_026_000083	崇祯三年八月辛亥，掩太白。
HCH_012_026_000084	十一年四月己酉，掩荧惑于尾。
HCH_012_026_000085	洪武六年三月戊申，荧惑犯填星。
HCH_012_026_000086	六月壬辰，太白犯岁星。
HCH_012_026_000087	八年三月癸亥，荧惑犯填星。
HCH_012_026_000088	二十二年六月丙辰，辰星犯太白。
HCH_012_026_000089	二十七年三月乙丑，荧惑犯岁星于奎。
HCH_012_026_000090	永乐三年三月戊戌，太白犯岁星。
HCH_012_026_000091	十一月癸巳朔，太白犯辰星于箕。
HCH_012_026_000092	四年正月癸卯，太白犯岁星。
HCH_012_026_000093	五年七月甲子。
HCH_012_026_000094	荧惑犯填星。
HCH_012_026_000095	十二年十一月丁卯，太白犯岁星。
HCH_012_026_000096	十四年七月乙巳，太白犯填星。
HCH_012_026_000097	二十年九月乙亥，太白犯岁星。
HCH_012_026_000098	十月己酉，太白犯填星。
HCH_012_026_000099	洪熙元年十一月丙午，太白犯填星。
HCH_012_026_000100	宣德元年十一月戊戌，辰星犯填星。
HCH_012_026_000101	七年六月己酉，太白犯岁星。
HCH_012_026_000102	七月辛巳，太白犯荧惑。
HCH_012_026_000103	九年十一月己亥，太白犯填星。
HCH_012_026_000104	十年十月庚子，荧惑犯填星。
HCH_012_026_000105	正统元年五月戊寅，太白犯荧惑于井。
HCH_012_026_000106	二年五月辛丑，荧惑犯填星。
HCH_012_026_000107	三年十二月戊寅，太白犯岁星。
HCH_012_026_000108	五年五月丙午，太白犯填星。
HCH_012_026_000109	七年九月戊午，太白犯荧惑于氐。
HCH_012_026_000110	十一年九月丁亥，太白犯岁星。
HCH_012_026_000111	十二年七月戊午，荧惑犯填星。
HCH_012_026_000112	十四年二月己卯，太白犯荧惑。
HCH_012_026_000113	七月丙午，荧惑犯填星。
HCH_012_026_000114	景泰元年闰正月丁卯，荧惑犯岁星。
HCH_012_026_000115	天顺七年十一月乙卯朔，荧惑犯填星。
HCH_012_026_000116	成化六年九月乙亥，太白犯岁星。
HCH_012_026_000117	十一年七月戊辰，太白犯填星。
HCH_012_026_000118	十三年九月丙寅，荧惑犯填星。
HCH_012_026_000119	十六年六月壬申，太白犯岁星。
HCH_012_026_000120	弘治二年正月戊辰，太白犯岁星。
HCH_012_026_000121	十一月壬午，太白犯填星。
HCH_012_026_000122	三年正月庚申，太白犯填星。
HCH_012_026_000123	五年八月丁未，荧惑犯岁星。
HCH_012_026_000124	六年十一月己未，太白犯填星。
HCH_012_026_000125	七年九月甲寅及十年正月丙辰，荧惑犯岁星。
HCH_012_026_000126	十二月庚辰，辰星犯岁星。
HCH_012_026_000127	十七年闰四月癸酉，岁星犯填星。
HCH_012_026_000128	正德二年十月癸未，荧惑犯填星。
HCH_012_026_000129	八年正月壬午及十六年十二月丙午，俱太白犯岁星。
HCH_012_026_000130	嘉靖元年正月己未，太白犯岁星。
HCH_012_026_000131	十二月甲戌，太白犯填星。
HCH_012_026_000132	三年正月癸酉，太白犯岁星。
HCH_012_026_000133	二十九年六月庚辰，荧惑犯岁星守井。
HCH_012_026_000134	万历五年十二月辛丑，太白犯填星于斗。
HCH_012_026_000135	九年十二月癸巳，太白犯填星入危。
HCH_012_026_000136	十一年六月丁丑，太白犯荧惑。
HCH_012_026_000137	十五年五月己亥，太白犯填星。
HCH_012_026_000138	二十四年四月己酉，太白犯岁星。
HCH_012_026_000139	二十五年七月甲辰，荧惑犯岁星。
HCH_012_026_000140	二十七年闰四月庚寅，辰星犯太白于井。
HCH_012_026_000141	三十四年十一月庚辰，荧惑掩岁星于危；甲辰，荧惑犯岁星。
HCH_012_026_000142	三十八年十一月辛亥，太白犯填星于虚。
HCH_012_026_000143	四十七年三月壬子，太白犯岁星于壁。
HCH_012_026_000144	天启元年八月丙申，荧惑与太白同度者两日。
HCH_012_026_000145	崇祯九年六月己亥，太白犯岁星于张。
HCH_012_026_000146	洪武十四年六月癸未，辰星、荧惑、太白聚于井。
HCH_012_026_000147	十七年六月丙戌，岁星、填星、太白聚于参。
HCH_012_026_000148	十八年二月乙巳，五星并见。
HCH_012_026_000149	三月戊子，填星、岁星、太白聚于井。
HCH_012_026_000150	二十年二月壬午朔，五星俱见。
HCH_012_026_000151	二十四年七月戊子，太白、荧惑、填星聚于翼。
HCH_012_026_000152	十一月乙未，辰星、岁星合于斗。
HCH_012_026_000153	十二月甲子，荧惑、辰星合于箕。
HCH_012_026_000154	二十五年正月辛丑，荧惑、岁星合于牛。
HCH_012_026_000155	二十六年十月壬辰，太白、填星同度。
HCH_012_026_000156	永乐元年五月甲辰，五星俱见东方。
HCH_012_026_000157	二年四月戊子，太白、荧惑合于井。
HCH_012_026_000158	正统十四年九月壬寅，太白、填星、荧惑聚于翼。
HCH_012_026_000159	十二月辛未，太白、岁星合于尾。
HCH_012_026_000160	景泰元年十月壬申，太白、岁星合于箕。
HCH_012_026_000161	十二月己丑，辰星、岁星同度。
HCH_012_026_000162	二年九月庚申，太白、荧惑、填星聚于轸。
HCH_012_026_000163	四年三月乙丑，太白、岁星合于壁。
HCH_012_026_000164	五年正月戊辰，太白、岁星合于奎。
HCH_012_026_000165	六月己酉，荧惑、岁星合于胃。
HCH_012_026_000166	十一月己未，太白、填星合于氐。
HCH_012_026_000167	七年三月戊戌，太白、荧惑合于奎。
HCH_012_026_000168	十月戊申，岁星、荧惑合于鬼。
HCH_012_026_000169	天顺元年五月乙丑，太白、岁星合于井。
HCH_012_026_000170	十二月丙辰，太白、填星合于心。
HCH_012_026_000171	二年九月甲寅，太白、填星合于斗。
HCH_012_026_000172	三年九月乙巳，太白、岁星合于角。
HCH_012_026_000173	四年十月壬申，岁星、荧惑、辰星、太白聚于氐。
HCH_012_026_000174	五年十一月己亥，填星、荧惑合于牛。
HCH_012_026_000175	甲子，太白、荧惑合于虚。
HCH_012_026_000176	六年九月甲午，太白、荧惑合于张。
HCH_012_026_000177	七年十月庚寅，岁星、荧惑合于女。
HCH_012_026_000178	庚戌，太白、岁星合于女。
HCH_012_026_000179	八年二月丙午，填星、岁星、太白聚于危。
HCH_012_026_000180	成化四年四月癸巳，岁星、荧惑合于井。
HCH_012_026_000181	壬子及七年七月庚子，太白、岁星合于井。
HCH_012_026_000182	十一年八月甲午，荧惑、填星同度。
HCH_012_026_000183	弘治十三年四月癸丑，荧惑、太白、辰星聚于井。
HCH_012_026_000184	十六年八月庚申，荧惑、岁星、填星聚于井。
HCH_012_026_000185	十八年五月丙申，太白、岁星合于星。
HCH_012_026_000186	九月乙未，太白、岁星同度。
HCH_012_026_000187	正德二年九月戊辰，辰星、岁星、太白聚于亢。
HCH_012_026_000188	嘉靖三年正月壬午，五星聚于营室。
HCH_012_026_000189	十九年九月乙卯，太白、辰星、填星聚于角。
HCH_012_026_000190	二十三年正月癸卯，荧惑、岁星、填星聚于房。
HCH_012_026_000191	四十二年七月戊戌，太白、岁星、填星聚于井。
HCH_012_026_000192	四十三年四月庚子，岁星、填星、荧惑、太白聚于柳。
HCH_012_026_000193	万历十七年十二月辛卯，太白、荧惑同度。
HCH_012_026_000194	二十年六月壬子，太白、辰星、填星聚于井。
HCH_012_026_000195	三十二年九月辛酉，岁星、填星、荧惑聚于危。
HCH_012_026_000196	天启四年七月丙寅，五星聚于张。
HCH_012_026_000197	崇祯七年闰八月丙午至九月壬申，填星、荧惑、太白聚于尾。
HCH_012_026_000198	十年十一月己卯，岁星、荧惑合于亢。
HCH_012_026_000199	甲午，填星、辰星同度。
HCH_012_026_000200	洪武六年九月庚申，犯鬼。
HCH_012_026_000201	十一月壬子，退行犯鬼。
HCH_012_026_000202	七年八月乙巳，犯轩辕大星。
HCH_012_026_000203	九年二月乙丑，退入太微，犯左执法。
HCH_012_026_000204	十年六月戊寅及戊戌，犯亢。
HCH_012_026_000205	十一月甲辰，犯房。
HCH_012_026_000206	十一年四月戊申，犯键闭。
HCH_012_026_000207	七月甲申，犯牛。
HCH_012_026_000208	八月丙午，犯房。
HCH_012_026_000209	十四年四月壬戌，犯垒壁。
HCH_012_026_000210	十七年闰十月癸卯，犯井。
HCH_012_026_000211	十九年四月丙申，入鬼。
HCH_012_026_000212	八月壬辰，犯轩辕。
HCH_012_026_000213	二十一年四月丁未，留太微垣。
HCH_012_026_000214	十一月甲戌，入亢。
HCH_012_026_000215	二十二年三月辛卯，退入亢。
HCH_012_026_000216	九月丁卯，犯氐。
HCH_012_026_000217	十一月甲午，入房。
HCH_012_026_000218	十二月壬戌，犯东咸。
HCH_012_026_000219	二十三年五月己未，守房。
HCH_012_026_000220	八月乙丑，犯东咸。
HCH_012_026_000221	二十六年二月丙子朔，犯垒壁。
HCH_012_026_000222	二十九年六月庚子，犯井钺。
HCH_012_026_000223	七月丙辰朔，入井。
HCH_012_026_000224	十月癸卯，退入井。
HCH_012_026_000225	三十年八月庚辰朔，入鬼。
HCH_012_026_000226	建文四年七月乙未，退犯东咸。
HCH_012_026_000227	十月丙辰，犯天江。
HCH_012_026_000228	永乐元年正月丁未，犯建。
HCH_012_026_000229	十二月己丑，犯罗堰。
HCH_012_026_000230	六年三月己巳，犯诸王西第二星。
HCH_012_026_000231	四月甲午，犯东第一星。
HCH_012_026_000232	六月丙申，犯井。
HCH_012_026_000233	八年九月乙亥，犯灵台。
HCH_012_026_000234	十八年七月己丑，犯天樽西北星。
HCH_012_026_000235	八月庚子，犯东北星。
HCH_012_026_000236	二十一年正月庚戌，犯上将。
HCH_012_026_000237	二十二年十一月戊寅，入氐。
HCH_012_026_000238	宣德三年闰四月己酉，犯垒壁西第六星。
HCH_012_026_000239	十一月丙寅，又犯。
HCH_012_026_000240	七年七月丙寅，犯天樽。
HCH_012_026_000241	九年五月庚子，犯轩辕大星。
HCH_012_026_000242	正统五年六月甲寅，犯垒壁。
HCH_012_026_000243	十一年十月戊戌，犯右执法。
HCH_012_026_000244	十四年正月丙申，犯房北第一星。
HCH_012_026_000245	二月丙子，退犯房。
HCH_012_026_000246	九月己卯，犯进贤。
HCH_012_026_000247	丙戌，犯房。
HCH_012_026_000248	景泰元年闰正月庚午，与荧惑递入斗杓。
HCH_012_026_000249	八月戊子，犯秦。
HCH_012_026_000250	二年二月庚午朔，犯牛。
HCH_012_026_000251	三年十月辛丑，犯亢。
HCH_012_026_000252	六年六月庚子，犯诸王。
HCH_012_026_000253	八月庚申，犯井钺。
HCH_012_026_000254	七年九月癸未，入鬼。
HCH_012_026_000255	天顺元年九月癸亥，犯轩辕大星。
HCH_012_026_000256	二年八月癸未，犯右执法。
HCH_012_026_000257	十月己丑，三年正月辛卯，俱犯左执法。
HCH_012_026_000258	六月辛未，犯右执法。
HCH_012_026_000259	十二月癸亥，犯亢。
HCH_012_026_000260	四年闰十一月丙寅，犯房北第一星。
HCH_012_026_000261	庚午，犯钩钤。
HCH_012_026_000262	五年三月丁卯，退犯房上星。
HCH_012_026_000263	八月癸酉，犯钩钤。
HCH_012_026_000264	七年二月庚申朔，犯牛。
HCH_012_026_000265	八年二月丙午，犯垒壁。
HCH_012_026_000266	三月辛巳，又犯。
HCH_012_026_000267	成化二年六月丁未，守昴。
HCH_012_026_000268	五年七月己酉，犯轩辕大星。
HCH_012_026_000269	六年三月癸卯，留守轩辕。
HCH_012_026_000270	七年三月丁丑，退入太微垣，犯执法。
HCH_012_026_000271	四月乙卯，入太微垣，留守端门。
HCH_012_026_000272	六月甲寅，犯右执法。
HCH_012_026_000273	十一月己亥，犯亢。
HCH_012_026_000274	八年十一月辛亥，犯房北第一星。
HCH_012_026_000275	癸丑，犯钩钤。
HCH_012_026_000276	九年三月丙辰，犯东咸。
HCH_012_026_000277	五月己酉，犯钩钤。
HCH_012_026_000278	六月乙丑，犯房第一星。
HCH_012_026_000279	十二年三月丁巳，犯垒壁。
HCH_012_026_000280	十三年闰二月己未，犯外屏。
HCH_012_026_000281	十五年三月甲子，犯天街。
HCH_012_026_000282	九月乙卯，犯井。
HCH_012_026_000283	辛巳，守井。
HCH_012_026_000284	十七年正月己卯，犯鬼。
HCH_012_026_000285	三月甲午，入鬼。
HCH_012_026_000286	庚子，犯积尸。
HCH_012_026_000287	十八年五月庚戌，犯灵台。
HCH_012_026_000288	闰八月壬辰，犯左执法。
HCH_012_026_000289	二十年五月乙巳，守亢。
HCH_012_026_000290	八月癸酉，犯氐。
HCH_012_026_000291	弘治四年七月癸巳，犯井。
HCH_012_026_000292	十一月壬辰，又犯。
HCH_012_026_000293	六年八月庚寅，犯灵台。
HCH_012_026_000294	七年正月癸卯，犯垒壁。
HCH_012_026_000295	五月甲辰，犯灵台。
HCH_012_026_000296	八年二月丁巳，犯进贤。
HCH_012_026_000297	七月辛丑，又犯。
HCH_012_026_000298	十月丁卯，犯亢。
HCH_012_026_000299	十一月己酉，犯氐。
HCH_012_026_000300	九年二月至三月庚寅，守氐。
HCH_012_026_000301	十二年五月己亥，犯垒壁。
HCH_012_026_000302	十三年八月戊申，又犯。
HCH_012_026_000303	十五年七月丙子，犯诸王。
HCH_012_026_000304	十六年七月己巳，犯井。
HCH_012_026_000305	八月壬子，犯天樽。
HCH_012_026_000306	十八年九月丁未，犯太微垣上相。
HCH_012_026_000307	正德元年二月壬子，退犯右执法及上将。
HCH_012_026_000308	三月壬午，犯灵台。
HCH_012_026_000309	十一月戊辰，犯牛。
HCH_012_026_000310	六年四月丁未，十二月壬午，俱犯垒壁。
HCH_012_026_000311	九年八月丙辰，犯诸王。
HCH_012_026_000312	十四年十月癸未，犯氐。
HCH_012_026_000313	嘉靖元年四月戊寅，犯牛。
HCH_012_026_000314	十一月丙寅，犯罗堰。
HCH_012_026_000315	二年十一月壬辰，犯垒壁。
HCH_012_026_000316	二十年十一月庚寅，二十一年正月丁未，俱犯左执法。
HCH_012_026_000317	二十二年十二月丁亥，犯房北第一星。
HCH_012_026_000318	二十三年四月戊寅，又犯。
HCH_012_026_000319	三十五年五月壬戌，退行又犯。
HCH_012_026_000320	四十五年五月辛卯，退留守左执法。
HCH_012_026_000321	隆庆元年二月戊午，退守亢。
HCH_012_026_000322	万历三十九年十月己巳，天启三年九月甲辰，俱犯轩辕。
HCH_012_026_000323	四年正月丙寅，犯轩辕大星。
HCH_012_026_000324	五年正月庚戌朔，退行犯左执法。
HCH_012_026_000325	七年三月乙酉，退行犯房北第一星。
HCH_012_026_000326	崇祯七年闰八月丁未，犯积尸。
HCH_012_026_000327	九年冬，犯右执法。
HCH_012_026_000328	洪武元年八月甲午，犯太微西垣上将。
HCH_012_026_000329	九月戊申，犯右执法。
HCH_012_026_000330	二年正月乙卯，犯房。
HCH_012_026_000331	六月壬辰，犯东咸。
HCH_012_026_000332	三年九月丙申，入太微垣。
HCH_012_026_000333	乙卯，留太微垣。
HCH_012_026_000334	四年九月乙卯，犯垒壁。
HCH_012_026_000335	五年十一月庚午，犯钩钤。
HCH_012_026_000336	九年三月辛酉，犯井。
HCH_012_026_000337	四月戊申，犯鬼。
HCH_012_026_000338	十年八月丙寅，犯天樽。
HCH_012_026_000339	十月乙卯，犯鬼。
HCH_012_026_000340	十一年二月壬戌，犯五诸侯。
HCH_012_026_000341	三月甲午，犯积尸。
HCH_012_026_000342	六月壬戌，犯右执法。
HCH_012_026_000343	十二年八月乙亥，犯鬼。
HCH_012_026_000344	戊寅，犯积尸。
HCH_012_026_000345	十二月庚寅，犯轩辕大星。
HCH_012_026_000346	十四年十月丙子，犯太微垣。
HCH_012_026_000347	十五年三月乙亥，犯右执法。
HCH_012_026_000348	九月乙丑，犯南斗。
HCH_012_026_000349	十六年八月辛卯，行轩辕中。
HCH_012_026_000350	九月辛酉，犯太微西垣上将。
HCH_012_026_000351	十七年正月乙卯，入氐。
HCH_012_026_000352	三月戊午，犯氐。
HCH_012_026_000353	十八年正月戊辰，犯外屏。
HCH_012_026_000354	十月丁酉，犯进贤。
HCH_012_026_000355	十九年正月壬戌，犯罚，二月丁未，犯箕。
HCH_012_026_000356	四月己亥，留斗。
HCH_012_026_000357	七月辛巳，犯斗。
HCH_012_026_000358	八月丁亥，犯斗。
HCH_012_026_000359	十月辛亥，十一月己巳，犯垒壁。
HCH_012_026_000360	二十一年正月丙申，入斗。
HCH_012_026_000361	四月丁未，七月庚辰，俱犯垒壁。
HCH_012_026_000362	十一月癸巳，犯外屏。
HCH_012_026_000363	二十二年正月丙戌，犯天阴。
HCH_012_026_000364	二月癸卯，行昴中。
HCH_012_026_000365	十月庚申，入氐。
HCH_012_026_000366	十一月甲午，犯东咸。
HCH_012_026_000367	十二月癸丑，犯天江。
HCH_012_026_000368	二十三年正月甲戌，入斗。
HCH_012_026_000369	三月辛卯，犯垒壁。
HCH_012_026_000370	五月戊戌，犯外屏。
HCH_012_026_000371	二十四年十二月甲子，与辰星同犯箕。
HCH_012_026_000372	二十五年二月己卯，犯垒壁。
HCH_012_026_000373	九月己卯朔，入井。
HCH_012_026_000374	二十六年三月庚戌，犯积薪。
HCH_012_026_000375	五月丙辰，犯轩辕。
HCH_012_026_000376	六月己丑，犯右执法。
HCH_012_026_000377	二十七年六月辛未，犯天街。
HCH_012_026_000378	八月癸巳，犯积薪。
HCH_012_026_000379	九月乙巳，犯鬼。
HCH_012_026_000380	二十八年二月壬午，又犯。
HCH_012_026_000381	四月戊子，入轩辕。
HCH_012_026_000382	五月戊午，犯灵台。
HCH_012_026_000383	闰九月乙丑，犯东咸。
HCH_012_026_000384	二十九年五月丙寅，犯诸王。
HCH_012_026_000385	六月甲午，犯司怪。
HCH_012_026_000386	十月辛亥，犯上将。
HCH_012_026_000387	十二月癸卯，守太微垣。
HCH_012_026_000388	三十年三月壬午，入太微垣。
HCH_012_026_000389	五月戊午，犯右执法。
HCH_012_026_000390	八月丁亥，入氐。
HCH_012_026_000391	丁未，入房。
HCH_012_026_000392	十月癸未，犯斗杓。
HCH_012_026_000393	三十一年十月，守心。
HCH_012_026_000394	建文四年八月戊辰，犯上将。
HCH_012_026_000395	甲戌，入太微垣右掖门。
HCH_012_026_000396	九月辛巳朔，犯右执法。
HCH_012_026_000397	壬辰，犯左执法。
HCH_012_026_000398	十月甲寅，犯进贤。
HCH_012_026_000399	甲子，入角。
HCH_012_026_000400	十一月壬午，入亢。
HCH_012_026_000401	己亥，入氐。
HCH_012_026_000402	永乐元年五月癸未，犯垒壁西第四星。
HCH_012_026_000403	十月甲戌，犯东第五星。
HCH_012_026_000404	二年四月乙酉，犯天樽。
HCH_012_026_000405	九月乙卯，犯角。
HCH_012_026_000406	十一月壬子，犯钩钤。
HCH_012_026_000407	三年三月癸丑，犯垒壁。
HCH_012_026_000408	四年正月甲午，犯天阴。
HCH_012_026_000409	戊午，犯月星。
HCH_012_026_000410	五年七月癸酉，犯诸王。
HCH_012_026_000411	八月己酉，犯司怪南第二星。
HCH_012_026_000412	六年二月庚辰朔，犯北第二星。
HCH_012_026_000413	四月辛卯，犯鬼。
HCH_012_026_000414	七月辛亥，入太微垣右掖门。
HCH_012_026_000415	丙辰及八年六月丙午，十年五月壬辰，俱犯右执法。
HCH_012_026_000416	十一年十月戊午，犯上将。
HCH_012_026_000417	十二年二月癸酉，退入太微垣，犯上相。
HCH_012_026_000418	十三年九月丁酉，犯灵台上星。
HCH_012_026_000419	癸卯，犯上将。
HCH_012_026_000420	十月庚午，犯左执法。
HCH_012_026_000421	十二月甲午朔，犯进贤。
HCH_012_026_000422	十五年九月庚申，犯左执法。
HCH_012_026_000423	十二月甲午，入房北第一星。
HCH_012_026_000424	十六年九月壬申，犯垒壁。
HCH_012_026_000425	十七年十二月庚辰，犯钩钤。
HCH_012_026_000426	二十年十月壬子，退犯天街上星。
HCH_012_026_000427	二十一年三月庚戌，犯积薪。
HCH_012_026_000428	二十二年十一月辛卯，退犯五诸侯。
HCH_012_026_000429	洪熙元年正月庚辰，留井。
HCH_012_026_000430	四月癸卯，入鬼。
HCH_012_026_000431	宣德元年十二月戊寅，犯轩辕。
HCH_012_026_000432	三年六月甲戌，犯积尸。
HCH_012_026_000433	十月戊子，犯太微西垣上将。
HCH_012_026_000434	四年三月癸亥，犯灵台。
HCH_012_026_000435	戊辰，犯上将。
HCH_012_026_000436	四月丙申、戊戌，俱犯右执法。
HCH_012_026_000437	九月丙辰，犯天江。
HCH_012_026_000438	五年九月乙丑，犯灵台。
HCH_012_026_000439	十月癸酉，犯上将。
HCH_012_026_000440	十一月己亥，犯左执法。
HCH_012_026_000441	丙午，犯进贤。
HCH_012_026_000442	六年三月乙卯，犯亢。
HCH_012_026_000443	六月甲寅、乙卯，俱犯氐。
HCH_012_026_000444	七月甲戌，犯房。
HCH_012_026_000445	九月癸亥，犯斗杓。
HCH_012_026_000446	七年九月辛酉，犯上将。
HCH_012_026_000447	十月己酉，犯进贤。
HCH_012_026_000448	八年正月丁卯，犯房。
HCH_012_026_000449	庚辰，犯东咸。
HCH_012_026_000450	八月丙午，犯斗魁。
HCH_012_026_000451	十月甲戌，犯垒壁。
HCH_012_026_000452	九年十一月己卯，犯氐。
HCH_012_026_000453	十二月己酉，犯钩钤。
HCH_012_026_000454	十年三月丁亥，犯垒壁。
HCH_012_026_000455	正统元年二月乙丑，犯天街。
HCH_012_026_000456	十二月甲子，犯天江。
HCH_012_026_000457	二年四月乙亥，犯垒壁。
HCH_012_026_000458	三年三月甲辰，犯井。
HCH_012_026_000459	五月庚寅，犯积尸。
HCH_012_026_000460	四年闰二月己卯朔，犯垒壁。
HCH_012_026_000461	五年二月庚辰，三月辛未，俱犯井。
HCH_012_026_000462	七年五月己丑，犯右执法。
HCH_012_026_000463	八年八月辛丑，犯积尸。
HCH_012_026_000464	九年五月癸酉，犯左执法。
HCH_012_026_000465	十年十月辛丑，犯上将。
HCH_012_026_000466	十一年二月乙卯，三月丁酉，俱犯平道。
HCH_012_026_000467	七月丁亥，犯氐。
HCH_012_026_000468	九月辛未，犯天江。
HCH_012_026_000469	十三年正月丙午，犯房北第一星。
HCH_012_026_000470	二月戊午，犯罚。
HCH_012_026_000471	九月甲午，犯狗。
HCH_012_026_000472	十四年七月己卯朔，留守斗。
HCH_012_026_000473	九月壬寅，犯左执法。
HCH_012_026_000474	十月乙丑，犯进贤。
HCH_012_026_000475	十一月乙未，犯亢。
HCH_012_026_000476	十二月丁未朔，犯氐。
HCH_012_026_000477	丙子，犯房。
HCH_012_026_000478	景泰元年九月丁未，犯垒壁西第三星。
HCH_012_026_000479	辛亥，犯第四星。
HCH_012_026_000480	庚申，犯第六星。
HCH_012_026_000481	十月辛未朔又犯。
HCH_012_026_000482	十二月己丑，犯第五星。
HCH_012_026_000483	二年十一月丙申，犯氐。
HCH_012_026_000484	癸亥，犯钩钤。
HCH_012_026_000485	三年四月甲申，与岁星同犯危。
HCH_012_026_000486	四年正月庚午，犯昴。
HCH_012_026_000487	五年六月戊戌，犯诸王。
HCH_012_026_000488	六年三月丙辰，犯井。
HCH_012_026_000489	五月乙巳朔，犯积尸。
HCH_012_026_000490	七年七月丁酉，入井。
