HCH_015_042_000115	於省殺之，至秋而智明死，見諶爲祟。
HCH_015_042_000116	詔曰：「蕭諶擢自凡庸，識用輕險，因藉倖會，早預驅馳。永明之季，曲頒恩紀。鬱林昏悖，頗立誠效。寵靈優渥，期遇兼隆，內總戎柄，外暢蕃威，兄弟榮貴，震灼朝野。曾不感佩殊荷，少答萬一。自以勳高伊、霍，事均難賞，才冠當時，恥居物後。矯制王權，與奪由己。空懷疑懼，坐構嫌猜。覘候宮掖，希覬非望。蔽上罔下之心，誣君不臣之迹，固以彰暴民聽，喧聒遐邇。遂潛散金帛，招集不逞，交結禁衞，互爲脣齒，密契戚邸，將肆姦逆。朕以其任寄旣重，爵列河山，每加彌縫，弘以大信，庶能懷音，翻然悛改。而豺狼其性，凶謀滋甚。夫無將必戮，陽秋明義，況釁積禍盈，若斯之大。可收付廷尉，速正刑書。罪止元惡，餘無所問。」
HCH_015_042_000117	諶好左道，吳興沈文猷相諶云：「相不減高帝。」
HCH_015_042_000118	諶喜曰：「感卿意，無爲人言也。」
HCH_015_042_000119	至是文猷伏誅。
HCH_015_042_000120	諶兄誕，字彥偉，初爲殿中將軍。
HCH_015_042_000121	永明中爲建康令，與秣陵令司馬迪之同乘行，車前導四卒，左丞沈昭略奏：「凡有鹵簿官，共乘不得兼列騶寺。請免誕等官。」
HCH_015_042_000122	詔贖論。
HCH_015_042_000123	延興元年，自輔國徐州爲持節督司州剌史，將軍如故。
HCH_015_042_000124	明帝立，封安德侯，五百戶。
HCH_015_042_000125	進號冠軍。
HCH_015_042_000126	建武二年春，虜攻司州，誕盡力拒守，虜退。
HCH_015_042_000127	增封四百戶。
HCH_015_042_000128	徵左衞將軍。
HCH_015_042_000129	上欲殺諶，以誕在邊鎮拒虜，故未及行。
HCH_015_042_000130	虜退六旬，諶誅，遣黃門郎梁王爲司州別駕，使誅誕，束身受戮，家口繫尚方。
HCH_015_042_000131	諶弟誄，與諶同豫廢立，爲寧朔將軍、東莞太守，轉西中郎司馬。
HCH_015_042_000132	建武初，封西昌侯，千戶。
HCH_015_042_000133	轉太子左率。
HCH_015_042_000134	領軍解司州圍還，同伏誅。
HCH_015_042_000135	諶伯父仙民，官至太中大夫，卒。
HCH_015_042_000136	蕭坦之，南蘭陵蘭陵人也。
HCH_015_042_000137	祖道濟，太中大夫。
HCH_015_042_000138	父欣祖，有勳於世祖，至武進令。
HCH_015_042_000139	坦之與蕭諶同族。
HCH_015_042_000140	初爲殿中將軍，累至世祖中軍板刑獄參軍。
HCH_015_042_000141	以宗族見驅使。
HCH_015_042_000142	除竟陵王鎮北征北參軍，東宮直閤，以懃直爲世祖所知。
HCH_015_042_000143	除給事中，淮陵令，又除蘭陵令，給事中如故。
HCH_015_042_000144	尚書起部郎，司徒中兵參軍。
HCH_015_042_000145	世祖崩，坦之隨太孫文武度上臺，除射聲校尉，令如故。
HCH_015_042_000146	未拜，除正員郎、南魯郡太守。
HCH_015_042_000147	少帝以坦之世祖舊人，親信不離，得入內見皇后。
HCH_015_042_000148	帝於宮中及出後堂雜戲狡獪，坦之皆得在側。
HCH_015_042_000149	或值醉後袒，坦之輙扶持諫喻。
HCH_015_042_000150	見帝不可奉，乃改計附高宗，密爲耳目。
HCH_015_042_000151	除晉安王征北諮議。
HCH_015_042_000152	隆昌元年，追錄坦之父勳，封臨汝縣男，食邑三百戶。
