HCH_009_016_000143	有司奏請駁放，上已允，尋復遣諭松等曰：「汝等中選而復黜，不能無動於心。方今久旱，恐傷和氣，今特恩放汝矣。」
HCH_009_016_000144	庚子，賜林州行元帥府經歷官康琚進士及第。
HCH_009_016_000145	琚以武階乞赴廷試，故有是命。
HCH_009_016_000146	丙午，以旱築壇祀雷雨師。
HCH_009_016_000147	壬子，雨。
HCH_009_016_000148	四月己未，山東行省蒙古綱言：「東莒公燕寧戰敗而死。甯所居天勝砦據險，寧亡，眾無所歸，變在朝夕。權署其提控孫邦佐為招撫使，黃摑兀也為總領，以撫其眾。」
HCH_009_016_000149	遣使請命，敕有司議之。
HCH_009_016_000150	辛酉，禱雨於太廟。
HCH_009_016_000151	丙寅，僕散安貞破宋黃、蘄等州。
HCH_009_016_000152	壬申，俘宋宗室男女七十餘口獻于京師。
HCH_009_016_000153	癸酉，詔親軍中武舉第而授職需次者，仍執舊役，廩給循常，闕至發遣。
HCH_009_016_000154	辛巳，監察御史劉從益以彈劾失當，奪官一階，罷之。
HCH_009_016_000155	詔定進士中下甲及監官散階至明威者舉充縣令法。
HCH_009_016_000156	五月甲申朔，日有食之。
HCH_009_016_000157	戊戌，宋人據楚丘，官軍復之。
HCH_009_016_000158	庚子，納蘭記僧伏誅，告人趙銳升職四等。
HCH_009_016_000159	壬寅，陝西元帥完顏賽不遣使來獻晉安、平陽之捷，方議其賞，御史烏古論胡魯劾其縱將士鹵掠，不副主上除亂救民之意，乞正其罪。
HCH_009_016_000160	上以賽不有功，詔勿問，賞議亦寢。
HCH_009_016_000161	癸卯，唐州守將訛論為元帥賽不猶子，與宋人戰唐州境上，為宋人所敗，死者七百餘人，匿之而以捷聞。
HCH_009_016_000162	御史納蘭發其事。
HCH_009_016_000163	上以賽不故，亦不之罪，而以是意諭之。
HCH_009_016_000164	乃稱納蘭敢言，錄其功付有司，秩滿考最。
HCH_009_016_000165	癸丑，東平內徙，命蒙古綱行省於邳州，王庭玉行帥府于黃陵堈。
