HCH_012_010_000154	十二月，葬誠孝昭皇后於獻陵。
HCH_012_010_000155	是年，占城、瓦剌、哈密、琉球中山、安南、爪哇、土魯番、烏斯藏入貢。
HCH_012_010_000156	八年春正月丁卯，大祀天地於南郊。
HCH_012_010_000157	二月己丑，汰南京冗官。
HCH_012_010_000158	戊戌，淮王瞻墺來朝。
HCH_012_010_000159	丙午，荊王瞻堈來朝。
HCH_012_010_000160	夏五月己巳，復命平蠻將軍蔣貴、王驥帥師征麓川思任發子思機發。
HCH_012_010_000161	戊寅，雷震奉天殿鴟吻，敕修省。
HCH_012_010_000162	壬午，大赦。
HCH_012_010_000163	六月丁亥，侍講劉球陳十事，下錦衣衞獄，太監王振使指揮馬順殺之。
HCH_012_010_000164	甲辰，下大理少卿薛瑄於獄。
HCH_012_010_000165	秋七月戊午，祭酒李時勉荷校於國子監門三日。
HCH_012_010_000166	九月甲子，思機發請降。
HCH_012_010_000167	冬十一月，宣宗廢后胡氏卒。
HCH_012_010_000168	十二月癸未，免山東復業民稅糧二年。
HCH_012_010_000169	丙戌，駙馬都尉焦敬荷校於長安右門。
HCH_012_010_000170	是年，占城、安南、瓦剌、哈密、爪哇入貢。
HCH_012_010_000171	九年春正月甲寅，右都御史王文巡延安、寧夏邊。
HCH_012_010_000172	辛酉，大祀天地於南郊。
HCH_012_010_000173	辛未，成國公朱勇，興安伯徐亨，都督馬亮、陳懷，同太監僧保、曹吉祥、劉永誠、但住分道討兀良哈。
HCH_012_010_000174	二月丙午，王驥擊走思機發，俘其孥以獻。
HCH_012_010_000175	召驥還。
HCH_012_010_000176	三月辛亥朔，新建太學成，釋奠於先師孔子。
HCH_012_010_000177	甲子，朱勇等師還。
HCH_012_010_000178	楊士奇卒。
HCH_012_010_000179	乙丑，敍征兀良哈功，封陳懷平鄉伯，馬亮招遠伯；成國公朱勇等進秩有差。
HCH_012_010_000180	夏四月丙戌，翰林學士陳循直文淵閣，預機務。
HCH_012_010_000181	丁亥，振沙州及赤斤蒙古饑。
HCH_012_010_000182	五月己未，命法司錄在京刑獄，刑部侍郎馬昂錄南京刑獄。
HCH_012_010_000183	六月壬午，振湖廣、貴州蠻饑。
HCH_012_010_000184	秋七月己酉，下駙馬都尉石璟於獄。
HCH_012_010_000185	處州賊葉宗留盜福安銀礦，殺福建參議竺淵，癸丑，免河南被災稅糧。
HCH_012_010_000186	閏月戊寅，復開福建、浙江銀場。
HCH_012_010_000187	甲申，瘞暴骸。
HCH_012_010_000188	壬寅，雷震奉先殿鴟吻。
HCH_012_010_000189	八月庚戌，免陝西被災稅糧，贖民所鬻子女。
HCH_012_010_000190	甲戌，敕邊將備瓦剌也先。
HCH_012_010_000191	九月丁亥，靖遠伯王驥、右都御史陳鎰經理西北邊備。
HCH_012_010_000192	冬十月丙午朔，日有食之。
HCH_012_010_000193	庚午，兀良哈貢馬謝罪。
HCH_012_010_000194	是年，兩畿、山東、河南、浙江、湖廣大水，江河皆溢。
HCH_012_010_000195	暹羅、琉球中山、瓦剌、安南、烏斯藏、滿剌加入貢。
HCH_012_010_000196	十年春正月丙戌，大祀天地於南郊。
HCH_012_010_000197	戊子，詔舉智勇之士。
HCH_012_010_000198	二月丁巳，京師地震。
HCH_012_010_000199	己未，免陝西逋賦。
HCH_012_010_000200	丙寅，兀良哈貢馬，請貸犯邊者罪，不許。
HCH_012_010_000201	壬申，如天壽山。
HCH_012_010_000202	三月丙子，還宮。
HCH_012_010_000203	庚辰，思機發入貢謝罪。
HCH_012_010_000204	庚寅，賜商輅等進士及第、出身有差。
HCH_012_010_000205	夏四月甲辰朔，日有食之。
HCH_012_010_000206	庚申，詔所在有司飼逃民復業及流移就食者。
HCH_012_010_000207	六月乙丑，振陝西饑，免田租三之二。
HCH_012_010_000208	秋七月乙未，減糶河南、懷慶倉粟，濟山、陝饑。
HCH_012_010_000209	八月癸丑，免湖廣旱災秋糧。
HCH_012_010_000210	丙辰，免蘇、松、嘉、湖十四府州水災秋糧。
HCH_012_010_000211	冬十月戊辰，侍讀學士苗衷為兵部侍郎，侍講學士高穀為工部侍郎，並入閣預機務。
HCH_012_010_000212	十二月丙辰，緬甸獲思任發，斬其首送京師。
HCH_012_010_000213	壬戌，輸河南粟振陝西饑。
HCH_012_010_000214	廣西總兵官安遠侯柳溥討平慶遠叛蠻。
HCH_012_010_000215	是年，琉球中山、哈密、亦力把里、安南、占城、滿剌加、錫蘭山、撒馬兒罕、烏斯藏入貢。
HCH_012_010_000216	十一年春正月己卯，大祀天地於南郊。
HCH_012_010_000217	庚辰，予太監王振等弟姪世襲錦衣衞官。
HCH_012_010_000218	二月辛酉，異氣見華蓋、奉天殿，遣官祭告天地。
HCH_012_010_000219	癸亥，詔卹刑獄。
HCH_012_010_000220	三月戊辰，下戶部尚書王佐、刑部尚書金濂、右都御史陳鎰等於錦衣衞獄，尋釋之。
HCH_012_010_000221	壬申，御史柳華督福建、浙江、江西兵討礦賊。
HCH_012_010_000222	癸酉，如天壽山。
HCH_012_010_000223	庚辰，還宮。
HCH_012_010_000224	夏六月丙辰，京師地震。
HCH_012_010_000225	秋七月癸酉，增市廛稅鈔。
HCH_012_010_000226	庚辰，楊溥卒。
HCH_012_010_000227	八月戊戌，免湖廣被災秋糧。
HCH_012_010_000228	庚申，下吏部尚書王直等於獄，尋釋之。
HCH_012_010_000229	九月辛巳，廣西瑤叛，執化州知州茅自得，殺千戶汪義。
HCH_012_010_000230	冬十月甲寅，遣給事中、御史分賚諸邊軍士。
HCH_012_010_000231	十一月壬申，減殊死以下罪。
HCH_012_010_000232	是年，琉球中山、暹羅、安南、爪哇、回回哈密、占城、亦力把里、撒馬兒罕、烏斯藏入貢。
HCH_012_010_000233	十二年春正月癸酉，大祀天地於南郊。
HCH_012_010_000234	三月癸亥，如天壽山。
HCH_012_010_000235	庚午，還宮。
HCH_012_010_000236	丙子，免杭、嘉、湖被災秋糧。
HCH_012_010_000237	夏四月丁巳，免蘇、松、常、鎮被災秋糧。
HCH_012_010_000238	五月己亥，大理少卿張驥振濟寧及淮、揚饑。
HCH_012_010_000239	秋七月甲辰，敕各邊練軍備瓦剌。
HCH_012_010_000240	八月庚申朔，日有食之。
HCH_012_010_000241	九月乙未，馬愉卒。
HCH_012_010_000242	是年，琉球中山、安南、占城、瓦剌、爪哇、哈密、暹羅入貢。
HCH_012_010_000243	十三年春正月丁酉，大祀天地於南郊。
HCH_012_010_000244	三月戊子，詔責孟養宣慰司獻思機發。
HCH_012_010_000245	壬寅，賜彭時等進士及第、出身有差。
