HCH_012_079_000088	嘉靖元年，漕運總兵楊宏，請以輕齎銀聽運官道支，為顧僦舟車之費，不必裝鞘印封，計算羨餘，以苦漕卒。
HCH_012_079_000089	給事、御史交駁之。
HCH_012_079_000090	戶部言：「科道官之論，主於防奸，是也。但輕齎本資轉般費，今慮官軍侵耗，盡取其贏餘以歸太倉，則以腳價為正糧，非立法初意也。」
HCH_012_079_000091	乃議運船至通州，巡倉御史核驗，酌量支用實數，著為定規。
HCH_012_079_000092	有羨餘，不輸太倉，即用以修船，官旗漁蠹者重罪。
HCH_012_079_000093	輕齎銀者，憲宗以諸倉改兌，給路費，始各有耗米；兌運米，俱一平一銳，故有銳米；自隨船給運四斗外，餘折銀，謂之輕齎。
HCH_012_079_000094	凡四十四萬五千餘兩。
HCH_012_079_000095	後頗入太倉矣。
HCH_012_079_000096	隆慶中，運道艱阻，議者欲開膠萊河，復海運。
HCH_012_079_000097	由淮安清江浦口，曆新壩、馬家壕至海倉口，徑抵直沽，止循海套，不泛大洋。
HCH_012_079_000098	疏上，遣官勘報，以水多沙磧而止。
HCH_012_079_000099	神宗時，漕運總督舒應龍言：「國家兩都並建，淮、徐、臨、德，實南北咽喉。自兌運久行，臨、德尚有歲積，而淮、徐二倉無粒米。請自今山東、河南全熟時，盡徵本色上倉。計臨、德已足五十餘萬，則令納於二倉，亦積五十萬石而止。」
HCH_012_079_000100	從之。
HCH_012_079_000101	當是時，折銀漸多。
HCH_012_079_000102	萬曆三十年，漕運抵京，僅百三十八萬餘石。
HCH_012_079_000103	而撫臣議載留漕米以濟河工，倉場侍郎趙世卿爭之，言：「太倉入不當出，計二年後，六軍萬姓將待新漕舉炊，倘輸納愆期，不復有京師矣。」
HCH_012_079_000104	蓋災傷折銀，本折漕糧以抵京軍月俸。
HCH_012_079_000105	其時混支以給邊餉，遂致銀米兩空，故世卿爭之。
HCH_012_079_000106	自後倉儲漸匱，漕政亦益馳。
HCH_012_079_000107	迨於啟、禎，天下蕭然煩費，歲供愈不足支矣。
HCH_012_079_000108	運船之數，永樂至景泰，大小無定，為數至多。
HCH_012_079_000109	天順以後，定船萬一千七百七十，官軍十二萬人。
HCH_012_079_000110	許令附載土宜，免徵稅鈔。
HCH_012_079_000111	孝宗時限十石，神宗時至六十石。
HCH_012_079_000112	憲宗立運船至京期限，北直隸、河南、山東五月初一日，南直隸七月初一日，其過江支兌者，展一月，浙江、江西、湖廣九月初一日。
HCH_012_079_000113	通計三年考成，違限者，運官降罰。
HCH_012_079_000114	武宗列水程圖格，按日次填行止站地，違限之米，頓德州諸倉，曰寄囤。
HCH_012_079_000115	世宗定過淮程限，江北十二月者，江南正月，湖廣、浙江、江西三月，神宗時改為二月。
HCH_012_079_000116	又改至京限五月者，縮一月，七八九月者，遞縮兩月。
HCH_012_079_000117	後又通縮一月。
HCH_012_079_000118	神宗初，定十月開倉，十一月兌竣，大縣限船到十日，小縣五日。
HCH_012_079_000119	十二月開幫，二月過淮，三月過洪入閘。
HCH_012_079_000120	皆先期以樣米呈戶部，運糧到日，比驗相同乃收。
HCH_012_079_000121	凡災傷奏請改折者，毋過七月。
HCH_012_079_000122	題議後期及臨時改題者，立案免覆。
HCH_012_079_000123	漂流者，抵換食米。
HCH_012_079_000124	大江漂流為大患，河道為小患；二百石外為大患，二百石內為小患。
